Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TN loss (%)
10,0,7.0,1,70.0,0,0.0,0.0,9.9,11,1.2,0.0,65.52171,18.89189,2.22663,0,36.87905,49,0.38456,28.1
10,0,7.0,1,70.0,0,0.0,0.0,13.2,11,1.2,0.0,66.91171,18.89189,2.3715,0,37.25713,49,0.39214,21.7
10,0,7.0,1,70.0,0,0.0,0.0,16.5,11,1.2,0.0,65.34171,18.89189,2.37925,0,37.90571,49,0.38537,11.5
8,1,0.0,0,42.0,0,21.0,0.0,0.0,0,0.4,0.27668,71.68,32.89157,0.83,0,27.3,5,0.5,40.7
8,1,0.0,0,42.0,0,21.0,0.0,3.5,0,0.4,0.28504,61.117,33.86114,0.821,0,27.8,5,0.505,38.3
8,1,0.0,0,42.0,0,21.0,0.0,10.6,0,0.4,0.17059,61.048,35.56382,0.807,0,28.7,5,0.515,32.2
8,1,0.0,0,42.0,0,21.0,0.0,17.7,0,0.4,0.14624,64.03322,37.15365,0.794,0,29.5,5,0.525,26.7
8,1,0.0,0,42.0,0,21.0,0.0,24.7,0,0.4,0.63639,63.628,38.61893,0.782,0,30.2,5,0.535,20.4
8,1,0.0,0,42.0,0,21.0,0.0,31.8,0,0.4,0.5968,60.539,42.46196,0.723,0,30.7,5,0.545,14.6
8,1,2.0,0,22.0,0,22.0,0.0,2.0,7,0.0035,0.5536,57.9,18.84294,2.13,0,30.84213,17,0.67843,3.76
8,1,2.0,0,22.0,0,22.0,0.0,2.0,7,0.0035,0.5806,58.2,15.59019,2.05,0,30.45546,17,0.67843,4.01
8,1,2.0,0,22.0,0,22.0,0.0,2.0,7,0.0035,0.5806,59.4,13.73426,2.14,0,30.45546,17,0.67843,24.8
8,1,2.0,0,22.0,0,22.0,0.0,2.0,7,0.0035,0.5956,57.5,15.49294,2.15,0,33.38463,17,0.67735,28.1
8,1,2.0,0,22.0,0,22.0,0.0,0.0,7,0.0035,0.49494,58.2,14.76885,2.13,0,30.45546,5,0.67843,44.7
8,1,5.33333,0,16.0,0,16.0,0.0,0.0,7,0.045,0.51546,70.9,20.0,2.1,0,42.0,5,0.44444,24.4
8,1,5.33333,0,16.0,0,16.0,0.0,14.0,7,0.045,0.53004,71.7,21.0,2.0,0,42.0,5,0.44444,9.2
8,1,5.33333,0,16.0,0,16.0,0.0,14.0,7,0.045,0.47319,68.3,25.0,1.7,0,42.5,5,0.44444,8.5
3,1,2.11111,0,19.0,0,19.0,0.0,0.0,4,0.0306,10.0,70.0,26.38728,1.73,0,45.65,5,0.82879,49.1
3,1,2.11111,0,19.0,0,19.0,0.0,3.0,4,0.0306,10.0,70.0,26.38728,1.73,0,45.65,30,0.82879,40.5
3,1,2.11111,0,19.0,0,19.0,0.0,6.9,4,0.3946,10.0,70.0,26.34783,1.61,0,42.42,28,0.78782,40.5
