Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
8,1,8.75,0,35.0,0,35.0,0.0,2.124,8,0.06,0.3,69.2,18.4,2.04,0,37.48,5,0.61727,58.5
8,1,8.75,0,35.0,0,35.0,0.0,2.124,8,0.06,0.3,69.2,18.4,2.04,0,37.48,11,0.61727,42.9
8,1,7.0,0,28.0,0,28.0,0.0,0.0,9,0.06,0.36,62.06,17.91,1.95,0,34.9245,3,0.7402,35.76
8,1,7.0,0,28.0,0,28.0,0.0,10.0,9,0.06,0.36,58.69,18.23,1.96,0,35.7308,22,0.78068,31.91
6,1,5.66667,0,34.0,0,34.0,0.0,0.0,8,0.06,0.27211,65.0,11.37,2.216,0,37.144,3,0.58333,55.95
6,1,5.66667,0,34.0,0,34.0,0.0,10.0,8,0.06,0.26291,65.0,11.37,2.21292,0,36.997,22,0.60375,50.26
6,1,5.66667,0,34.0,0,34.0,0.0,10.28571,8,0.06,0.26265,65.0,11.37,2.21292,0,36.997,22,0.60433,49.66
6,1,5.66667,0,34.0,0,34.0,0.0,14.57143,8,0.06,0.2589,65.0,11.37,2.19768,0,37.2605,22,0.61308,49.64
8,1,5.83333,0,35.0,0,0.0,0.0,0.0,8,0.06,0.25,69.2,18.43351,2.03653,0,37.5404,3,0.33641,64.9
8,1,5.83333,0,35.0,0,0.0,0.0,8.24578,8,0.06,0.25,65.12895,18.43351,2.03653,0,37.5404,11,0.255,63.1
8,1,5.83333,0,35.0,0,0.0,0.0,4.0,8,0.06,0.25,66.63916,18.43351,2.03653,0,37.5404,22,0.33056,54.0
8,1,5.83333,0,35.0,0,0.0,0.0,8.24578,8,0.06,0.25,65.12895,18.43351,2.03653,0,37.5404,11,0.255,42.2
5,1,5.55556,0,50.0,0,34.6,0.0,0.0,8,0.1,0.312,60.0,31.0074,1.52371,0,42.64511,3,0.5,54.2
5,1,5.55556,0,50.0,0,34.6,0.0,2.0,8,0.1,0.262,60.0,30.0553,1.53458,0,44.7689,8,0.5,52.1
5,1,5.55556,0,50.0,0,28.8,0.0,4.0,8,0.1,0.272,60.0,30.3317,1.65677,0,44.20042,8,0.5,48.8
5,1,5.55556,0,50.0,0,33.8,0.0,6.0,8,0.1,0.272,60.0,30.5467,1.60643,0,45.91928,8,0.5,42.3
5,1,5.55556,0,50.0,0,34.0,0.0,8.0,8,0.1,0.18,60.0,31.0381,1.45139,0,43.86004,8,0.5,39.5
5,1,5.55556,0,50.0,0,24.2,0.0,10.0,8,0.1,0.125,60.0,30.7924,1.47792,0,42.02367,8,0.5,38.7
8,1,5.55556,0,50.0,0,50.0,0.0,0.0,8,0.1,0.3,55.0,25.0,2.084,0,52.1,3,0.54517,19.4242
8,1,5.55556,0,50.0,0,50.0,0.0,10.0,8,0.1,0.3,59.866,26.39749,1.94324,0,43.81105,3,0.4992,12.303
8,1,5.55556,0,50.0,0,50.0,0.0,20.0,8,0.1,0.3,60.907,20.63798,2.17309,0,44.71416,3,0.46474,11.9394
