Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),CO2-C loss (%)
6,0,0.0,0,84.0,0,0.0,0.0,0.0,5,0.12,0.0,75.8,15.3,3.18,0,48.8,0,0.37259,10.5
1,0,0.0,0,84.0,0,0.0,0.0,0.0,5,0.12,0.0,77.3,22.3,2.16,0,48.2,0,0.34361,13.4
1,0,0.0,0,84.0,0,0.0,0.0,0.0,5,0.12,0.0,77.0,20.1,2.25,0,45.3,0,0.35833,26.7
1,0,0.0,0,84.0,0,0.0,0.0,0.0,0,0.12,0.0,80.0,29.9,1.82,0,54.5,0,0.35875,14.7
1,0,0.0,0,84.0,0,0.0,0.0,22.28321,5,0.12,0.0,84.1,16.9,2.26,0,38.3,0,0.35901,1.9
1,0,0.0,0,84.0,0,0.0,0.0,9.53373,5,0.12,0.0,80.7,20.5,2.21,0,45.3,0,0.35838,13.1
1,0,0.0,0,84.0,0,0.0,0.0,15.84383,5,0.12,0.0,81.5,21.3,2.03,0,42.5,0,0.35766,7.3
1,1,0.0,0,28.0,0,28.0,0.0,0.0,5,0.01,0.28,69.0,11.0,3.7,0,40.7,0,0.24194,15.28999
1,1,0.0,0,28.0,0,28.0,0.0,0.0,3,0.01,0.28,63.0,11.0,3.7,0,40.7,0,0.27027,15.59457
1,1,0.0,0,28.0,0,28.0,0.0,0.0,3,0.01,0.28,66.0,11.0,3.7,0,40.7,0,0.25735,16.09073
1,1,0.0,0,28.0,0,28.0,0.0,0.0,4,0.01,0.28,65.0,14.7,2.85034,0,41.9,0,0.28571,11.49215
1,1,0.0,0,28.0,0,28.0,0.0,0.0,4,0.01,0.28,67.0,12.9,3.2093,0,41.4,0,0.26515,12.09028
1,1,0.0,0,28.0,0,28.0,0.0,25.0,5,0.01,0.28,65.0,16.7,2.93413,0,49.0,0,0.28571,8.3991
