Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),NH3-N loss (%)
7,0.77,0,0,2,12.19,31,0,2,13,45.76,1,26.63,2.18,5.55,5.67,1.38,64.01,0.7,20.96,17.96
7,0.77,0,0,2,12.19,1,0,2,13,45.76,1,26.63,2.18,5.55,5.67,1.38,64.01,0.7,20.96,3.22
7,0.77,0,0,2,12.19,34,0,2,13,45.76,1,26.63,2.18,5.55,5.67,1.38,64.01,0.7,20.96,5.64
7,1.0,0,0,2,0.0,31,3,2,13,112.0,0,112.0,0.0,12.0,0.0,0.03,61.9,2.02,23.79,10.35
7,1.0,0,0,2,0.0,27,3,2,13,112.0,0,112.0,0.0,12.0,10.0,0.03,61.11,2.02,25.0,2.05
7,1.0,0,0,2,0.0,27,3,2,13,112.0,0,112.0,0.0,12.0,10.0,0.03,61.11,2.02,25.0,2.36
3,1.0,0,0,2,0.0,31,3,2,13,30.0,0,30.0,0.0,4.0,0.0,0.06,60.6,0.2,20.0,24.9
3,1.0,0,0,2,0.0,21,3,2,4,30.0,0,30.0,0.0,4.0,2.14,0.06,52.89,0.2,17.3,12.6
3,1.0,0,0,2,0.0,40,3,2,13,30.0,0,30.0,0.0,4.0,3.2,0.06,54.68,0.2,19.82,15.3
3,1.0,0,0,2,0.0,9,3,2,13,30.0,0,30.0,0.0,4.0,2.22,0.06,52.89,0.2,17.3,8.9
3,1.0,0,0,2,0.0,3,3,2,13,30.0,0,30.0,0.0,4.0,2.54,0.06,52.74,0.2,19.82,8.9
3,1.0,0,0,2,0.0,31,3,2,13,19.0,0,19.0,0.0,9.0,0.0,0.19,70.0,10.0,26.39,16.55
3,1.0,0,0,2,0.0,25,3,2,13,19.0,0,19.0,0.0,9.0,3.0,0.2,70.0,10.0,26.39,12.88
3,1.0,0,0,2,0.0,23,3,2,4,19.0,0,19.0,0.0,9.0,6.9,0.2,70.0,10.0,26.35,12.88
3,1.0,0,0,0,0.0,25,3,2,10,19.0,0,19.0,0.0,9.0,9.9,0.2,70.0,10.0,26.35,2.99
9,0.77,1,0,2,12.19,31,3,5,13,45.76,0,26.63,2.18,5.55,5.67,1.38,64.01,0.7,20.96,21.4
9,0.77,1,0,2,12.19,27,3,5,13,45.76,0,26.63,2.18,5.55,5.67,1.38,64.01,0.7,20.96,20.7
9,0.0,1,0,2,0.0,31,3,5,13,112.0,2,0.0,0.0,12.0,0.0,1.24,64.9,0.0,14.25,18.4
9,0.0,1,0,2,0.0,27,3,5,13,112.0,2,0.0,0.0,12.0,2.82,1.63,64.5,0.0,14.25,19.7
3,1.0,0,0,2,0.0,19,3,5,13,35.0,0,35.0,0.0,9.0,2.25,0.02,64.71,0.5,29.01,27.1
3,1.0,0,0,1,0.0,19,3,5,10,35.0,0,35.0,0.0,9.0,1.82,0.02,64.16,0.5,32.02,0.47
3,1.0,0,0,1,0.0,19,3,5,10,35.0,0,35.0,0.0,9.0,2.57,0.02,64.07,0.5,30.34,10.43
3,1.0,0,0,1,0.0,19,3,5,10,35.0,0,35.0,0.0,9.0,3.32,0.02,60.53,0.5,26.95,17.37
3,1.0,0,0,1,0.0,19,3,5,10,35.0,0,35.0,0.0,9.0,4.07,0.02,65.06,0.5,29.05,29.18
9,1.0,0,0,2,690.0,31,3,6,13,40.0,1,30.0,30.0,6.0,0.0,0.29,64.55,7.69,16.54,26.0
9,1.0,0,0,2,690.0,40,3,6,13,40.0,1,30.0,30.0,6.0,6.0,0.16,63.56,7.32,16.4,11.8
9,1.0,0,0,2,690.0,37,3,6,13,40.0,1,30.0,30.0,6.0,15.0,0.16,62.07,6.82,15.97,21.5
9,1.0,0,0,2,690.0,43,3,6,13,40.0,1,30.0,30.0,6.0,1.46,0.36,65.17,7.79,16.35,20.2
3,0.77,0,0,2,12.19,29,3,1,13,45.76,0,26.63,2.18,5.55,5.67,1.38,64.01,0.7,20.96,12.86
3,0.77,0,0,2,12.19,31,3,1,13,45.76,0,26.63,2.18,5.55,5.67,1.38,64.01,0.7,20.96,10.23
3,0.77,0,0,2,12.19,44,3,6,13,45.76,1,26.63,2.18,5.55,5.67,1.38,64.01,0.7,20.96,9.65
3,0.77,0,0,2,12.19,20,3,6,13,45.76,1,26.63,2.18,5.55,5.67,1.38,64.01,0.7,20.96,13.45
8,1.0,0,0,2,0.0,31,3,6,13,56.0,1,56.0,0.0,11.0,0.0,0.13,55.0,1.11,25.02,1.02
8,1.0,0,0,2,0.0,4,3,6,13,56.0,1,56.0,0.0,11.0,2.0,0.13,55.0,1.11,25.09,0.2
8,1.0,0,0,2,0.0,4,3,6,13,56.0,1,56.0,0.0,11.0,4.0,0.13,55.0,1.11,25.0,0.11
8,1.0,0,0,2,0.0,4,3,6,13,56.0,1,56.0,0.0,11.0,6.0,0.13,55.0,1.11,23.99,0.11
8,1.0,0,0,2,0.0,4,3,6,13,56.0,1,56.0,0.0,11.0,8.0,0.13,55.0,1.11,22.32,0.06
8,1.0,0,0,2,0.0,4,3,6,13,56.0,1,56.0,0.0,11.0,12.0,0.13,55.0,1.11,21.14,0.04
8,1.0,0,0,2,0.0,4,3,6,13,56.0,1,56.0,0.0,11.0,18.0,0.13,55.0,1.11,20.4,0.02
3,0.77,0,0,2,12.19,31,3,3,13,45.76,0,26.63,2.18,5.55,5.67,1.38,64.01,0.7,20.96,21.2
3,0.77,0,0,2,12.19,24,3,3,8,45.76,0,26.63,2.18,5.55,5.67,1.38,64.01,0.7,20.96,32.8
3,0.77,0,0,2,12.19,24,3,3,7,45.76,0,26.63,2.18,5.55,5.67,1.38,64.01,0.7,20.96,12.6
3,0.77,0,0,2,12.19,24,3,3,5,45.76,0,26.63,2.18,5.55,5.67,1.38,64.01,0.7,20.96,3.5
4,0.0,1,0,2,0.0,31,3,1,13,69.0,2,0.0,0.0,37.0,0.0,0.08,80.7,0.0,20.38,11.4
4,0.0,1,0,2,0.0,4,3,1,13,69.0,2,0.0,0.0,37.0,3.0,0.08,80.7,0.0,22.77,8.14
4,0.0,1,0,2,0.0,41,3,1,13,69.0,2,0.0,0.0,37.0,4.0,0.08,80.7,0.0,19.47,4.23
4,0.0,1,0,2,0.0,41,3,1,0,69.0,2,0.0,0.0,37.0,3.0,0.08,80.7,0.0,22.13,7.93
9,1.0,0,0,2,0.0,31,3,6,13,35.0,0,35.0,0.0,4.0,0.0,0.06,69.2,0.3,18.4,32.5
9,1.0,0,0,2,0.0,14,3,6,9,35.0,0,35.0,0.0,4.0,1.68,0.06,69.2,0.3,18.4,14.5
9,1.0,0,0,2,0.0,15,3,6,11,35.0,0,35.0,0.0,4.0,1.68,0.06,69.2,0.3,18.4,16.0
9,1.0,0,0,2,0.0,5,3,6,11,35.0,0,35.0,0.0,4.0,1.68,0.06,69.2,0.3,18.4,13.3
9,1.0,0,0,2,0.0,14,3,6,11,35.0,0,35.0,0.0,4.0,1.68,0.06,69.2,0.3,18.4,5.9
9,1.0,0,0,2,0.0,31,3,6,13,30.0,0,30.0,0.0,6.0,0.0,0.12,66.11,2.57,17.58,1.6
9,1.0,0,0,2,0.0,0,3,6,13,30.0,0,30.0,0.0,6.0,5.0,0.12,60.76,2.57,27.17,1.18
9,1.0,0,0,2,0.0,0,3,6,13,30.0,0,30.0,0.0,6.0,10.0,0.12,60.61,2.57,14.51,0.86
9,1.0,0,0,2,0.0,0,3,6,13,30.0,0,30.0,0.0,6.0,20.0,0.12,58.22,2.57,16.71,0.69
9,1.0,0,0,2,0.0,7,3,6,13,30.0,0,30.0,0.0,6.0,1.0,0.12,60.76,2.57,27.17,0.85
9,1.0,0,0,2,0.0,31,3,7,13,28.0,0,28.0,0.0,4.0,0.0,0.06,62.06,0.36,17.91,13.18
9,1.0,0,0,2,0.0,40,3,7,13,28.0,0,28.0,0.0,4.0,10.0,0.06,58.69,0.36,18.23,11.36
3,1.0,0,0,2,20.0,31,3,6,13,30.0,1,30.0,40.0,4.0,0.0,0.06,53.59,0.79,32.46,23.17
3,1.0,0,0,2,20.0,31,2,6,13,30.0,1,30.0,40.0,4.0,0.0,0.06,58.03,1.02,22.41,14.5
3,1.0,0,0,2,20.0,36,3,6,13,30.0,1,30.0,40.0,4.0,0.0,0.06,58.03,0.78,22.41,12.31
3,1.0,0,0,2,20.0,25,3,6,13,30.0,1,30.0,40.0,4.0,0.0,0.06,58.03,0.78,22.41,20.84
9,0.0,2,0,2,0.0,31,3,6,13,26.0,2,0.0,0.0,7.0,0.0,1.2,65.0,0.0,22.46,26.82
9,0.0,2,0,2,0.0,4,3,6,13,26.0,2,0.0,0.0,7.0,15.68,1.2,65.0,0.0,24.97,21.65
9,0.0,2,0,2,0.0,4,3,6,13,26.0,2,0.0,0.0,7.0,31.36,1.2,65.0,0.0,26.48,7.31
9,0.77,2,0,2,12.19,4,3,6,13,45.76,2,26.63,2.18,5.55,5.67,1.38,64.01,0.7,20.96,5.47
9,1.0,0,0,2,30.0,31,3,6,13,35.0,1,35.0,30.0,2.0,0.0,0.06,67.6,0.38,17.43,29.26
9,1.0,0,0,2,30.0,33,3,6,13,35.0,1,35.0,30.0,2.0,0.41,0.06,65.79,0.38,14.84,16.11
9,1.0,0,0,2,30.0,6,3,6,13,35.0,1,35.0,30.0,2.0,0.41,0.06,67.3,0.38,16.2,30.93
9,1.0,0,0,2,30.0,33,3,6,1,35.0,1,35.0,30.0,2.0,0.41,0.06,66.1,0.38,13.98,16.12
9,1.0,0,0,2,0.0,31,3,6,13,28.0,0,28.0,0.0,5.0,0.0,0.06,57.54,0.48,19.25,24.95
9,1.0,0,0,2,0.0,14,3,6,13,28.0,0,28.0,0.0,5.0,2.45,0.06,59.41,0.48,18.57,11.23
9,1.0,0,0,2,0.0,13,3,6,13,28.0,0,28.0,0.0,5.0,2.45,0.06,59.41,0.48,18.57,22.85
9,1.0,0,0,2,0.0,16,3,6,13,28.0,0,28.0,0.0,5.0,4.35,0.06,60.3,0.48,18.97,26.71
8,1.0,0,0,2,0.0,31,3,6,13,34.0,0,34.0,0.0,6.0,0.0,0.06,65.0,0.27,11.37,31.52
8,1.0,0,0,2,0.0,40,3,6,13,34.0,0,34.0,0.0,6.0,10.0,0.06,65.0,0.26,11.37,21.26
8,1.0,0,0,2,0.0,40,3,6,2,34.0,0,34.0,0.0,6.0,10.29,0.06,65.0,0.26,11.37,16.22
8,1.0,0,0,2,0.0,40,3,6,2,34.0,0,34.0,0.0,6.0,14.57,0.06,65.0,0.26,11.37,14.88
9,1.0,0,0,2,0.0,31,3,6,13,35.0,0,0.0,0.0,6.0,0.0,0.06,69.2,0.25,18.43,32.5
9,1.0,0,0,2,0.0,14,3,6,10,35.0,0,0.0,0.0,6.0,6.3,0.06,67.79,0.25,18.43,14.5
9,1.0,0,0,2,0.0,40,3,6,13,35.0,0,0.0,0.0,6.0,4.0,0.06,68.85,0.25,18.43,20.3
9,1.0,0,0,2,0.0,14,3,6,13,35.0,0,0.0,0.0,6.0,6.3,0.06,67.79,0.25,18.43,12.4
7,1.0,0,0,2,0.0,31,3,6,13,50.0,0,28.4,0.05,9.0,0.0,0.1,60.0,0.24,31.01,36.3
