Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%)
0.23524028,-0.03825214,0.0026239567,0.0006565676,0.0062874914,0.0,-0.0012956016,0.047332343,5.2483387e-07,0.012881392,8.379601e-05,-0.0013366909,0.0022594817,0.010392502,-0.019027445,0.014833499,0.27683973,-0.049117263,0.35349312,0.085457906,0.038549967,0.12847407
0.23312715,-0.034173865,0.0031955286,0.0006454999,0.00623847,0.0,-0.0007140047,0.049685452,5.2483387e-07,0.013660056,0.00011404681,0.015657976,0.0021981036,0.015818192,-0.019601785,0.01564959,0.34959128,-0.031917088,0.35981375,0.104493484,0.033378843,0.1291716
0.22089121,-0.021970706,0.002662431,0.0006959024,0.0065066894,0.0,-0.0003816963,0.049685836,5.2483387e-07,0.015825713,-0.00019388636,0.014367494,0.0047139768,0.005646423,-0.021489212,0.004278948,0.30107066,0.011560193,0.34262267,0.21666968,0.05858223,0.03562619
0.24522066,-0.03003349,0.0015918493,0.0009183944,0.0042432756,0.0,-0.0014004722,0.043566298,5.2483387e-07,0.023277687,-7.364735e-05,-0.0142019475,-0.0034188097,0.00977181,-0.009970422,0.0037647984,0.24613075,0.22159451,0.3583824,0.14201988,0.037841503,0.12425014
0.12343595,-0.055758562,0.00534478,0.0031234792,0.0032125893,0.0,-0.0038513036,-0.005454156,5.2483387e-07,-0.64390415,-0.00034061025,0.05132473,0.0031810822,-0.02137668,-0.048898946,0.0015201214,-0.0863557,0.032959383,0.049067613,-0.13250758,0.0010269391,-0.0009879597
0.09501602,-0.035751555,0.0038311332,0.0012943733,0.0008895293,0.0,-0.0025455283,-0.019107506,5.2483387e-07,-0.5774938,4.405427e-05,0.039928425,0.0047013736,-0.023414014,-0.029054264,0.0036849475,-0.02485007,-0.066043854,0.06413977,-0.07458957,-0.0883824,0.013539555
0.17969531,-0.035823155,0.00566434,-0.0057561337,-0.056683674,0.0,-0.002179198,0.019229582,7.347674e-07,0.013548913,-0.00013231266,0.27039665,0.00442901,0.0050762175,0.087318376,-0.0048334175,-0.049807325,0.10158043,0.1812217,-0.06262087,-0.016334578,0.007645388
0.13221557,-0.035929304,0.003975359,-0.0033449242,0.01735651,0.0,-0.0011868909,-0.029788235,7.347674e-07,0.011288684,-0.00015863587,0.14996845,-0.00486232,-0.0017922913,0.08265734,-0.0054154033,-0.11521608,-0.18550113,0.049693808,-0.05725397,-0.015889447,-0.010472878
0.09276035,-0.075164825,-0.0014424144,-0.0028452496,-0.0044522155,0.0,-0.0043637147,-0.13567175,5.2483387e-07,0.00833034,-8.476008e-05,-0.035367586,0.012899,-0.028902233,0.043092273,0.0044208,0.027239023,-0.052879255,-0.17395635,-0.062419616,0.011375288,0.012886051
0.09276035,-0.075164825,-0.0014424144,-0.0028452496,-0.0044522155,0.0,-0.0043637147,-0.13567175,5.2483387e-07,0.00833034,-8.476008e-05,-0.035367586,0.012899,-0.028902233,0.043092273,0.0044208,0.027239023,-0.052879255,-0.17395635,-0.062419616,0.011375288,0.012886051
