,Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%)
V1_Ventilation Type,0.0020993266,0.0003124322,5.345756e-05,9.7517426e-05,5.4431434e-06,0.0,0.00035975012,0.0003670062,0.0,0.0029664913,6.799042e-07,0.0023493865,0.009419356,0.0014439073,0.0018329477,0.0018397571,0.0003345293,0.0013854982,0.00050923665,0.004761492,0.00071649655,0.002841322
V4_Ventilation Day,0.0014849651,0.0016899849,0.00023877823,2.1860898e-05,0.00037603377,0.0,0.00032381146,0.0023133722,0.0,0.0002277666,8.564774e-07,0.0037916123,0.0014439075,0.0132767875,0.0050025913,0.00026320858,0.003597333,0.0033186013,0.0045575863,0.0017617425,0.0042007305,0.0032685185
Compost volume (m3),0.009787418,0.00617774,3.6498393e-05,7.6396296e-05,0.00011115785,0.0,0.00086125213,0.0039053643,0.0,0.005252099,2.0645027e-06,0.003364817,0.001832947,0.0050025913,0.03924322,0.00017716723,0.0067739123,0.003055274,0.01461886,0.0052422932,0.0014076235,0.0030886778
V3_Ventilation Duration (min),0.01713559,0.003098552,0.0007817426,0.0001615267,0.0013657113,0.0,0.00025170803,0.004666756,0.0,0.0014496057,8.3403216e-07,0.0014231483,0.0018397571,0.00026320864,0.00017716706,0.021633977,0.0015594666,0.0050245514,0.00080542517,0.0008781456,0.00027751215,0.0004786676
V5_Ventilation rate (L/min/kg iniDW),0.017472181,0.009381226,0.0024451886,8.175012e-05,0.00024224832,0.0,0.0024255586,0.0023782195,5.1308456e-07,0.0038194512,3.358158e-05,0.017323779,0.0003345296,0.0035973361,0.0067739133,0.0015594662,0.07736333,0.005038602,0.0492563,0.009007719,0.00767445,0.0069460785
Application Rate (%DW),0.0074925413,0.0041503864,0.0002808008,0.0002496877,0.0011159012,0.0,0.00062862097,0.0053756875,0.0,0.0044909045,0.00017712204,0.005669149,0.0013854976,0.0033186013,0.0030552724,0.0050245514,0.0050386023,0.051445123,0.004486895,0.0060184253,0.004956193,0.006327902
Initial TN (%),0.03433392,0.020436846,0.004823149,0.0003665073,0.0009996505,0.0,0.00188579,0.010930271,1.339179e-06,0.0070971586,0.00018992145,0.013928249,0.00050923665,0.0045575853,0.014618854,0.00080542435,0.0492563,0.0044868966,0.13660789,0.031900615,0.00867616,0.010682758
Initial pH,0.010568128,0.014650384,0.0047682654,0.00028208285,0.00097354833,0.0,0.0012487308,0.0056417277,1.6833719e-06,0.0024726253,5.0237893e-05,0.003039848,0.004761492,0.0017617444,0.005242292,0.00087814464,0.0090077175,0.006018422,0.031900622,0.054351375,0.0054909037,0.007402089
Initial Moisture Content (%),0.005583178,0.0047480958,0.00073515764,0.000983853,0.0031043072,0.0,0.0005235309,0.0061499313,0.0,0.0006540485,4.2847878e-05,0.0024850431,0.0007164964,0.00420073,0.0014076228,0.00027751253,0.007674452,0.0049561937,0.008676158,0.0054909047,0.023507131,0.0036844462
Initial C/N (%),0.0072516794,0.003756311,0.0008821094,0.0015923291,7.1616436e-05,0.0,0.0014151902,0.0017354671,0.0,0.0022244395,5.5087326e-05,0.0014833827,0.002841321,0.0032685178,0.0030886782,0.00047866718,0.006946076,0.0063278987,0.010682753,0.007402094,0.0036844453,0.033349786
