Material_Main,Turning times,M1_is Enclosed, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),Final GI (%)
8,7.8,1,0,39.0,0,39.0,0.0,0.0,5,0.06,0.48,69.55,20.7524,1.976,0,39.24,13,0.50441,118.24
8,7.8,1,0,39.0,0,39.0,0.0,0.0,5,0.06,0.48,69.55,20.7524,1.976,0,39.24,6,0.50441,107.42
8,8.75,1,0,35.0,0,35.0,0.0,0.0,5,0.06,0.38,70.4,20.3,2.09,0,42.4,5,0.59642,116.28
8,8.75,1,0,35.0,0,35.0,0.0,4.56,5,0.06,0.38,69.19,18.50952,2.17362,0,38.14,19,0.61861,108.464
8,8.75,1,0,35.0,0,35.0,0.0,6.48,5,0.06,0.38,69.19,16.00383,2.40973,0,34.90856,19,0.64601,124.906
5,12.27273,0,2,135.0,0,0.0,0.0,0.0,5,4.5,0.0,65.9341,9.21875,3.2,0,29.5,5,0.66667,53.4975
5,12.27273,0,2,135.0,0,0.0,0.0,3.0,5,4.5,0.0,66.989,9.71875,3.2,0,31.1,5,0.66667,52.9064
6,0.0,1,0,56.0,0,0.0,0.0,0.0,5,0.13,0.0,60.9,29.12479,1.54003,0,43.95038,5,0.5,56.41
6,0.0,1,0,56.0,0,0.0,0.0,2.0,5,0.13,0.0,59.2,31.74438,1.44627,0,45.89893,3,0.5,63.78
6,0.0,1,0,56.0,0,0.0,0.0,4.0,5,0.13,0.0,60.07,30.19649,1.38762,0,42.20982,3,0.5,74.46
6,0.0,1,0,56.0,0,0.0,0.0,6.0,5,0.13,0.0,60.07,30.19649,1.38762,0,42.20982,3,0.5,85.47
6,0.0,1,0,56.0,0,0.0,0.0,10.0,5,0.13,0.0,60.27,29.23511,1.42423,0,39.28726,3,0.5,93.15
5,0.25,1,0,45.0,5,45.0,17.0,0.0,2,2.4,6.67,55.0,30.4875,1.09466,1,33.3734,5,0.41667,98.9221
5,0.25,1,0,45.0,5,45.0,17.0,0.44444,2,2.4,6.67,55.0,29.153,1.12653,1,32.8418,1,0.41667,120.626
5,0.25,1,0,45.0,5,45.0,17.0,0.44444,2,2.4,6.67,55.0,31.2883,1.03964,1,32.5285,28,0.41667,114.157
3,7.5,1,0,30.0,0,30.0,0.0,0.0,2,0.06,0.2,60.59701,20.0,1.9,0,38.0,5,0.54849,93.0576
3,7.5,1,0,30.0,0,30.0,0.0,2.1383,2,0.06,0.2,58.46543,23.31472,2.0354,0,42.68316,19,0.57601,100.295
3,7.5,1,0,30.0,0,30.0,0.0,3.20088,2,0.06,0.2,58.46543,23.31472,2.06657,0,42.68316,33,0.57601,106.056
3,7.5,1,0,30.0,0,30.0,0.0,2.216,2,0.06,0.2,58.46543,23.31472,2.0354,0,42.68316,10,0.57601,90.9897
3,7.5,1,0,30.0,0,30.0,0.0,2.53615,2,0.06,0.2,58.46543,23.31472,2.05528,0,42.68316,4,0.57601,80.3545
8,4.25,1,0,34.0,10,34.0,30.0,0.0,3,0.06,0.0,60.0,20.8683,2.83121,1,59.08254,5,0.5904,75.7692
8,4.25,1,0,34.0,10,34.0,30.0,7.5,3,0.06,0.0,60.0,19.9837,2.93429,1,58.63797,35,0.59313,84.5385
8,4.25,1,0,34.0,10,34.0,30.0,7.5,3,0.06,0.0,60.0,20.2439,2.8646,1,57.99068,33,0.5734,77.8462
8,4.25,1,0,34.0,10,34.0,30.0,7.5,3,0.06,0.0,60.0,20.2959,2.9372,1,59.61312,19,0.58275,94.4615
8,7.0,1,1,56.0,0,28.0,0.0,0.0,3,0.4,5e-05,65.0,20.97153,1.87389,0,36.74975,5,0.285,70.4558
8,7.0,1,1,56.0,0,28.0,0.0,8.4771,3,0.4,5e-05,65.0,25.84374,1.52655,0,36.8634,5,0.29355,83.6808
8,7.0,1,1,56.0,0,28.0,0.0,16.95419,3,0.4,5e-05,65.0,22.71355,1.84576,0,39.6865,5,0.3021,130.879
8,7.0,1,1,56.0,0,28.0,0.0,9.04224,3,0.4,5e-05,65.0,25.84374,1.52655,0,36.8634,5,0.29412,88.4688
8,7.0,1,1,56.0,0,28.0,0.0,10.17252,3,0.4,5e-05,65.0,25.84374,1.52655,0,37.974,5,0.29526,98.5016
3,3.88889,1,0,35.0,0,35.0,0.0,2.25,3,0.02,0.5,66.647,29.0076,1.66134,0,41.4847,16,0.57359,115.9
3,3.88889,1,0,35.0,0,35.0,0.0,3.3209,3,0.02,0.5,65.726,26.9466,1.74996,0,40.9596,16,0.55839,109.7
3,3.88889,1,0,35.0,0,35.0,0.0,4.0709,3,0.02,0.5,67.2976,29.0458,1.66134,0,41.5532,16,0.57048,125.1
8,6.66667,1,0,40.0,11,30.0,30.0,0.0,5,0.1604,7.69231,64.54545,16.53936,2.34,1,38.7021,5,0.62654,94.3868
8,6.66667,1,0,40.0,11,30.0,30.0,6.0,5,0.1604,7.31707,63.55556,16.39658,2.31,1,37.8761,33,0.5264,84.1981
8,6.66667,1,0,40.0,11,30.0,30.0,15.0,5,0.09105,6.81818,62.06897,15.97083,2.41,1,38.4897,30,0.30624,102.028
8,6.66667,1,0,40.0,11,30.0,30.0,1.46082,5,0.1604,7.79221,65.17413,16.34774,2.34,1,38.2537,34,0.65431,94.1038
6,5.09091,1,0,56.0,0,56.0,0.0,0.0,5,0.13,1.11111,55.0,25.02125,1.80435,1,45.1471,5,0.5,56.41
6,5.09091,1,0,56.0,0,56.0,0.0,2.0,5,0.13,1.11111,55.0,25.08996,1.84239,1,46.2255,5,0.5,65.5
6,5.09091,1,0,56.0,0,56.0,0.0,4.0,5,0.13,1.11111,55.0,25.00167,1.8587,1,46.4706,5,0.5,72.85
6,5.09091,1,0,56.0,0,56.0,0.0,6.0,5,0.13,1.11111,55.0,23.99361,1.95109,1,46.8137,5,0.5,81.34
6,5.09091,1,0,56.0,0,56.0,0.0,8.0,5,0.13,1.11111,55.0,22.31769,2.11957,1,47.3039,5,0.5,87.63
6,5.09091,1,0,56.0,0,56.0,0.0,12.0,5,0.13,1.11111,55.0,21.13909,2.27717,1,48.1373,5,0.5,98.63
6,5.09091,1,0,56.0,0,56.0,0.0,18.0,5,0.13,1.11111,55.0,20.40002,2.42935,1,49.5588,5,0.5,125.3
8,8.75,1,0,35.0,0,35.0,0.0,0.0,5,0.06,0.3,69.2,18.4,2.04,0,37.48,5,0.62048,103.463
8,8.75,1,0,35.0,0,35.0,0.0,2.124,5,0.06,0.3,69.2,18.4,2.04,0,37.48,12,0.61727,108.116
8,8.75,1,0,35.0,0,35.0,0.0,2.124,5,0.06,0.3,69.2,18.4,2.04,0,37.48,13,0.61727,93.0356
8,8.75,1,0,35.0,0,35.0,0.0,2.124,5,0.06,0.3,69.2,18.4,2.04,0,37.48,6,0.61727,100.415
8,8.75,1,0,35.0,0,35.0,0.0,2.124,5,0.06,0.3,69.2,18.4,2.04,0,37.48,12,0.61727,72.9821
8,6.25,1,0,50.0,9,50.0,10.0,2.38663,2,0.18,5.96659,58.1,25.76524,1.55,1,45.15829,23,0.22222,69.2
8,7.14286,1,0,50.0,9,50.0,10.0,2.5,2,0.18,6.25,60.0,17.6,2.66347,1,46.87707,23,0.22222,46.8
8,7.14286,1,0,50.0,9,50.0,10.0,2.5,2,0.18,6.25,60.0,24.0,1.99045,1,47.7708,23,0.22222,52.5
8,7.14286,1,0,50.0,9,50.0,10.0,2.5,2,0.18,6.25,60.0,32.4,1.55129,1,50.2618,23,0.22222,60.0
8,7.14286,1,0,50.0,9,50.0,10.0,2.5,2,0.18,6.25,60.0,40.3,1.24328,1,50.10418,23,0.22222,59.0
8,7.14286,1,0,50.0,9,50.0,10.0,2.5,2,0.18,6.25,60.0,24.0,1.94444,1,47.51757,33,0.22222,52.5
8,7.14286,1,0,50.0,9,50.0,10.0,5.0,2,0.18,6.25,60.0,24.4,1.95144,1,47.51757,33,0.22222,50.2
8,7.14286,1,0,50.0,9,50.0,10.0,7.5,2,0.18,6.25,60.0,24.1,1.87774,1,47.99453,33,0.22222,51.8
8,7.14286,1,0,50.0,9,50.0,10.0,10.0,2,0.18,6.25,60.0,24.1,1.84651,1,47.99453,33,0.22222,51.5
8,7.0,1,0,35.0,9,35.0,10.0,2.5,2,0.18,6.25,60.0,27.0,1.8811,1,50.7897,35,0.22222,57.7
8,7.0,1,0,35.0,9,35.0,10.0,9.23077,2,0.18,6.25,60.0,26.0,1.76278,1,45.83228,35,0.22222,63.6
8,7.0,1,0,35.0,9,35.0,10.0,16.92308,2,0.18,6.25,60.0,26.3,1.55575,1,40.91622,35,0.22222,60.5
8,7.0,1,0,35.0,9,35.0,10.0,24.61538,2,0.18,6.25,60.0,25.3,1.48814,1,37.64994,35,0.22222,74.6
8,1.30645,0,1,81.0,0,0.0,0.0,0.0,3,16.0,0.0,65.0,14.42029,2.76,0,39.8,5,1.17979,103.982
