Aeration method,Material_2,M1_is Enclosed, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final TN (%)
1,22,1.0,0,3,6,56.0,56.0,1,0.0,0.0,11.0,0.0,0.13,55.0,30,1.11,12,25.02,1.34
1,22,1.0,0,4,6,56.0,56.0,1,0.0,0.0,11.0,2.0,0.13,55.0,3,1.11,12,25.09,2.33
1,22,1.0,0,4,6,56.0,56.0,1,0.0,0.0,11.0,4.0,0.13,55.0,3,1.11,12,25.0,2.57
1,22,1.0,0,4,6,56.0,56.0,1,0.0,0.0,11.0,6.0,0.13,55.0,3,1.11,12,23.99,2.6
1,22,1.0,0,4,6,56.0,56.0,1,0.0,0.0,11.0,8.0,0.13,55.0,3,1.11,12,22.32,2.64
1,22,1.0,0,4,6,56.0,56.0,1,0.0,0.0,11.0,12.0,0.13,55.0,3,1.11,12,21.14,2.79
1,22,1.0,0,4,6,56.0,56.0,1,0.0,0.0,11.0,18.0,0.13,55.0,3,1.11,12,20.4,2.6
3,4,0.0,1,4,4,69.0,0.0,2,0.0,0.0,37.0,3.0,0.08,80.7,3,0.0,12,22.77,0.93
3,4,0.0,1,1,4,69.0,0.0,2,0.0,0.0,37.0,4.0,0.08,80.7,40,0.0,12,19.47,1.03
1,1,1.0,0,3,7,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,69.2,30,0.3,12,18.4,2.58
1,1,1.0,0,1,7,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,16,0.3,7,18.4,3.26
1,1,1.0,0,1,7,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,17,0.3,9,18.4,3.06
1,1,1.0,0,1,7,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,4,0.3,9,18.4,2.91
1,1,1.0,0,1,7,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,16,0.3,9,18.4,2.59
1,16,1.0,0,3,6,50.0,50.0,1,20.0,60.0,7.0,0.0,0.29,67.71,30,0.18,12,21.24,2.1
1,16,1.0,0,4,6,50.0,50.0,1,20.0,60.0,7.0,12.0,0.29,66.08,3,0.25,12,21.21,2.25
3,14,0.0,2,0,7,82.0,0.0,2,0.0,0.0,15.0,1.38,5.46,63.7,25,0.0,12,15.4,2.63
3,14,0.0,2,2,7,82.0,0.0,2,0.0,0.0,15.0,9.64,5.46,63.7,3,0.0,10,17.51,2.44
1,12,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,25,0.44,12,20.54,1.63
1,12,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,25,0.44,12,20.54,3.08
1,12,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,25,0.44,12,20.54,2.26
1,12,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,25,0.44,12,20.54,1.76
1,12,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,25,0.44,12,20.54,1.34
1,12,0.75,0,2,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,43,0.44,10,20.54,1.86
1,12,0.75,0,2,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,43,0.44,10,20.54,1.67
1,12,0.75,0,2,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,43,0.44,10,20.54,1.47
1,12,0.75,0,2,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,43,0.44,10,20.54,1.34
3,19,0.0,1,3,0,50.0,0.0,2,0.0,0.0,9.0,0.0,0.06,60.6,30,0.0,12,22.5,1.56
3,19,0.0,1,1,0,50.0,0.0,2,0.0,0.0,9.0,25.49,0.06,60.1,14,0.0,12,23.4,1.54
1,22,1.0,0,3,7,30.0,30.0,0,0.0,0.0,6.0,0.0,0.12,66.11,30,2.57,12,17.58,2.49
1,22,1.0,0,0,7,30.0,30.0,0,0.0,0.0,6.0,5.0,0.12,60.76,0,2.57,12,27.17,2.63
1,22,1.0,0,0,7,30.0,30.0,0,0.0,0.0,6.0,10.0,0.12,61.18,0,2.57,12,14.51,2.86
1,22,1.0,0,0,7,30.0,30.0,0,0.0,0.0,6.0,20.0,0.12,58.78,0,2.57,12,16.71,2.96
1,22,1.0,0,1,7,30.0,30.0,0,0.0,0.0,6.0,1.0,0.12,61.96,7,2.57,12,26.72,2.62
1,23,1.0,0,3,7,28.0,28.0,0,0.0,0.0,4.0,0.0,0.06,62.06,30,0.36,12,17.91,2.01
1,23,1.0,0,1,7,28.0,28.0,0,0.0,0.0,4.0,10.0,0.06,58.69,38,0.36,12,18.23,2.1
3,13,0.0,2,3,7,26.0,0.0,2,0.0,0.0,7.0,0.0,1.2,65.0,30,0.0,12,22.46,1.46
3,13,0.0,2,4,7,26.0,0.0,2,0.0,0.0,7.0,15.68,1.2,65.0,3,0.0,12,24.97,1.32
3,13,0.0,2,4,7,26.0,0.0,2,0.0,0.0,7.0,31.36,1.2,65.0,3,0.0,12,26.48,1.28
3,13,0.75,2,4,7,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,3,0.44,12,20.54,1.17
1,1,1.0,0,3,7,35.0,35.0,1,30.0,30.0,2.0,0.0,0.06,67.6,30,0.38,12,17.43,2.4
1,1,1.0,0,1,7,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,65.79,32,0.38,12,14.84,2.58
1,1,1.0,0,1,7,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,67.3,5,0.38,12,16.2,2.28
1,1,1.0,0,1,7,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,66.1,32,0.38,1,13.98,2.6
1,1,1.0,0,3,7,28.0,28.0,0,0.0,0.0,5.0,0.0,0.06,57.54,30,0.48,12,19.25,2.54
1,1,1.0,0,1,7,28.0,28.0,0,0.0,0.0,5.0,2.45,0.06,59.41,16,0.48,12,18.57,2.62
1,1,1.0,0,1,7,28.0,28.0,0,0.0,0.0,5.0,2.45,0.06,59.41,15,0.48,12,18.57,2.58
1,1,1.0,0,1,7,28.0,28.0,0,0.0,0.0,5.0,4.35,0.06,60.3,18,0.48,12,18.97,2.16
0,6,0.75,0,3,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,12,20.54,2.35
0,6,0.75,0,1,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,37,0.44,12,20.54,2.74
0,6,0.75,0,2,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,37,0.44,12,20.54,2.79
0,6,0.75,0,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,25,0.44,12,20.54,2.43
1,22,1.0,0,3,5,42.0,42.0,0,0.0,0.0,2.0,0.0,0.17,53.8,30,0.07,12,16.6,1.03
1,22,1.0,0,4,5,42.0,42.0,0,0.0,0.0,2.0,10.8,0.17,49.3,3,0.07,12,18.6,0.99
1,1,1.0,0,3,7,35.0,0.0,0,0.0,0.0,6.0,0.0,0.06,69.2,30,0.25,12,18.43,2.58
1,1,1.0,0,1,7,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,16,0.25,8,18.43,3.26
1,1,1.0,0,4,7,35.0,0.0,0,0.0,0.0,6.0,4.0,0.06,68.85,38,0.25,12,18.43,2.65
1,1,1.0,0,1,7,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,16,0.25,12,18.43,2.58
0,14,0.75,0,3,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,12,20.54,1.27
0,7,0.75,0,4,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,3,0.44,12,20.54,1.74
