Aeration method,Material_2,M1_is Enclosed, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NH3-N (g_kg)
3,21,1.0,0,1,4,19.0,0.0,2,0.0,0.0,2.7,12.4,0.08,65.67,24,0.0,2,13.42,14.9
1,1,1.0,0,3,7,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,70.4,34,0.38,11,20.3,2.24
1,1,1.0,0,1,7,35.0,35.0,0,0.0,0.0,4.0,4.56,0.06,66.0,24,0.38,2,20.36,1.53
1,13,0.0,1,3,7,56.0,21.0,0,0.0,0.0,5.0,0.0,0.4,66.4,34,0.33,11,21.6,0.68
1,13,0.0,1,4,7,56.0,21.0,0,0.0,0.0,5.0,16.53,0.4,63.7,5,0.33,11,20.92,1.09
1,13,0.0,1,4,7,56.0,21.0,0,0.0,0.0,5.0,23.94,0.4,62.4,5,0.33,11,19.26,0.93
1,15,0.75,1,3,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,11,20.54,0.17
1,15,0.75,1,1,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,44,0.44,11,20.54,0.5
1,15,0.75,1,1,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,44,0.44,11,20.54,0.24
1,13,0.75,0,3,7,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,11,20.54,0.1
1,13,0.75,0,0,7,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,11,20.54,0.1
1,13,1.0,0,4,7,51.0,51.0,1,0.25,10.0,1.0,15.85,0.03,60.63,39,0.41,11,29.6,2.45
1,13,1.0,0,4,7,51.0,51.0,1,0.25,10.0,1.0,10.25,0.03,64.91,13,0.3,11,20.08,3.59
1,13,1.0,0,3,7,51.0,51.0,1,0.25,10.0,1.0,0.0,0.03,61.89,34,0.31,11,27.86,2.65
3,13,0.0,2,3,7,82.0,0.0,2,0.0,0.0,13.1,0.0,13.11,65.0,34,0.0,11,15.4,1.61
3,13,0.0,2,4,7,82.0,0.0,2,0.0,0.0,14.7,8.32,5.66,65.0,5,0.0,11,17.5,1.32
1,6,0.75,0,4,4,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,49,0.44,11,20.54,0.53
1,6,0.75,0,4,4,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,35,0.44,11,20.54,0.04
1,6,0.75,0,4,4,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,37,0.44,11,20.54,0.24
1,6,0.75,0,4,4,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,47,0.44,11,20.54,0.08
1,6,0.75,0,3,4,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,11,20.54,0.09
3,6,0.75,2,3,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,11,20.54,0.35
3,6,0.75,2,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,11,20.54,0.24
3,6,0.75,2,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,11,20.54,0.33
3,6,0.75,2,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,11,20.54,0.13
3,6,0.75,2,4,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,11,20.54,0.21
3,6,0.75,2,4,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,11,20.54,0.11
3,6,0.75,2,4,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,11,20.54,0.22
0,13,1.0,0,3,6,16.0,16.0,0,0.0,0.0,0.0,0.0,0.1,61.7,34,0.23,11,16.64,8.89
0,13,1.0,0,1,6,14.0,14.0,0,0.0,0.0,0.0,10.0,0.1,64.2,11,0.23,11,18.2,0.13
1,13,1.0,0,3,7,18.0,18.0,0,0.0,0.0,2.0,0.0,0.01,63.74,34,0.31,11,12.3,0.3
1,13,1.0,0,0,7,18.0,18.0,0,0.0,0.0,2.0,1.0,0.01,63.74,45,0.31,11,12.92,0.5
3,0,0.75,2,3,4,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,11,20.54,2.53
3,0,0.75,2,4,4,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,11,20.54,1.39
1,13,1.0,0,1,6,22.0,22.0,0,0.0,0.0,11.0,2.93,0.0,57.9,15,0.49,11,14.97,2.47
1,13,1.0,0,1,6,22.0,22.0,0,0.0,0.0,11.0,3.44,0.0,58.2,15,0.49,11,14.97,2.49
1,13,1.0,0,1,6,22.0,22.0,0,0.0,0.0,11.0,2.0,0.0,59.4,15,0.46,11,13.18,4.16
1,13,1.0,0,1,6,22.0,22.0,0,0.0,0.0,11.0,5.18,0.0,57.5,15,1.21,11,18.0,4.15
1,13,1.0,0,3,6,22.0,22.0,0,0.0,0.0,11.0,0.0,0.0,58.2,34,0.39,11,15.36,3.27
3,20,1.0,0,3,6,56.0,0.0,2,0.0,0.0,6.8,0.0,0.13,65.16,34,0.0,11,29.9,2.38
3,20,1.0,0,4,6,56.0,0.0,2,0.0,0.0,6.8,2.0,0.13,62.13,4,0.0,11,29.83,1.85
3,20,1.0,0,4,6,56.0,0.0,2,0.0,0.0,6.0,4.0,0.13,60.48,4,0.0,11,28.77,0.89
3,20,1.0,0,4,6,56.0,0.0,2,0.0,0.0,5.5,6.0,0.13,60.98,4,0.0,11,28.99,0.5
3,20,1.0,0,4,6,56.0,0.0,2,0.0,0.0,6.4,10.0,0.13,61.75,4,0.0,11,27.55,0.45
1,11,0.75,0,3,4,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,11,20.54,3.26
1,11,0.75,0,4,4,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,3,0.44,11,20.54,2.33
1,11,0.75,0,4,4,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,38,0.44,11,20.54,2.42
1,13,1.0,0,3,2,19.0,19.0,0,0.0,0.0,9.0,0.0,0.19,70.0,34,10.0,11,26.39,1.3
1,13,1.0,0,0,2,19.0,19.0,0,0.0,0.0,9.0,3.0,0.2,70.0,28,10.0,11,26.39,1.12
1,13,1.0,0,1,2,19.0,19.0,0,0.0,0.0,9.0,6.9,0.2,70.0,26,10.0,2,26.35,0.19
1,13,1.0,0,2,2,19.0,19.0,0,0.0,0.0,9.0,9.9,0.2,70.0,28,10.0,8,26.35,0.17
1,11,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,28,0.44,11,20.54,0.04
1,11,0.75,0,2,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,49,0.44,10,20.54,0.04
1,11,0.75,0,2,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,49,0.44,10,20.54,0.04
1,11,0.75,0,2,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,49,0.44,10,20.54,0.04
3,6,0.0,1,0,8,35.0,0.0,2,0.0,0.0,7.0,3.02,1.0,66.85,28,0.0,11,18.98,0.49
3,6,0.0,1,2,8,35.0,0.0,2,0.0,0.0,7.0,6.06,1.0,67.02,12,0.0,12,17.48,1.04
3,6,0.0,1,2,8,35.0,0.0,2,0.0,0.0,7.0,8.87,1.0,66.18,12,0.0,12,17.48,1.13
