Aeration method,Material_2,M1_is Enclosed, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final pH
1,1,1.0,0,1,9,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,20,0.3,10,18.4,8.05
1,1,1.0,0,1,9,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,21,0.3,12,18.4,7.78
1,1,1.0,0,1,9,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,8,0.3,12,18.4,8.13
1,1,1.0,0,1,9,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,20,0.3,12,18.4,7.23
3,14,0.0,2,0,9,82.0,0.0,2,0.0,0.0,15.0,1.38,5.46,63.7,32,0.0,15,15.4,7.93
3,14,0.0,2,2,9,82.0,0.0,2,0.0,0.0,15.0,9.64,5.46,63.7,6,0.0,13,17.51,8.11
1,12,0.75,0,0,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,32,0.44,15,20.54,7.35
1,12,0.75,0,2,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,56,0.44,13,20.54,7.97
1,12,0.75,0,2,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,56,0.44,13,20.54,7.78
1,12,0.75,0,2,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,56,0.44,13,20.54,7.71
1,12,0.75,0,2,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,56,0.44,13,20.54,7.62
3,14,0.75,1,3,9,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,8.62
3,14,0.75,1,4,9,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,6,0.44,15,20.54,8.6
3,20,0.0,1,3,0,50.0,0.0,2,0.0,0.0,9.0,0.0,0.06,60.6,41,0.0,15,22.5,7.1
3,20,0.0,1,1,0,50.0,0.0,2,0.0,0.0,9.0,25.49,0.06,60.1,18,0.0,15,23.4,7.24
1,25,1.0,0,3,9,30.0,30.0,0,0.0,0.0,6.0,0.0,0.12,66.11,41,2.57,15,17.58,8.34
1,25,1.0,0,0,9,30.0,30.0,0,0.0,0.0,6.0,5.0,0.12,60.76,2,2.57,15,27.17,8.27
1,25,1.0,0,0,9,30.0,30.0,0,0.0,0.0,6.0,10.0,0.12,61.18,2,2.57,15,14.51,8.14
1,25,1.0,0,0,9,30.0,30.0,0,0.0,0.0,6.0,20.0,0.12,58.78,2,2.57,15,16.71,7.71
1,25,1.0,0,1,9,30.0,30.0,0,0.0,0.0,6.0,1.0,0.12,61.96,11,2.57,15,26.72,8.16
1,26,1.0,0,3,9,28.0,28.0,0,0.0,0.0,4.0,0.0,0.06,62.06,41,0.36,15,17.91,8.3
1,26,1.0,0,1,9,28.0,28.0,0,0.0,0.0,4.0,10.0,0.06,58.69,51,0.36,15,18.23,8.3
1,25,1.0,0,4,8,56.0,56.0,0,0.0,0.0,11.0,10.0,0.1,55.0,56,0.79,15,25.18,7.53
1,25,1.0,0,4,8,56.0,56.0,0,0.0,0.0,11.0,10.0,0.1,55.0,26,0.79,15,25.67,7.73
1,25,1.0,0,1,8,56.0,56.0,0,0.0,0.0,11.0,10.0,0.1,55.0,4,0.79,15,25.44,7.71
3,12,0.0,2,3,6,46.0,0.0,2,0.0,0.0,23.0,0.0,8.09,60.0,41,0.0,15,25.42,8.71
3,12,0.0,2,4,6,46.0,0.0,2,0.0,0.0,23.0,19.3,8.09,60.0,56,0.0,15,23.95,8.69
3,12,0.0,2,1,6,46.0,0.0,2,0.0,0.0,23.0,19.3,8.09,60.0,51,0.0,15,23.95,7.31
1,1,1.0,0,3,9,35.0,35.0,1,30.0,30.0,2.0,0.0,0.06,67.6,41,0.38,15,17.43,7.44
