Period (d),Initial GI (%),Initial pH, Composting Method,Compost volume (m3),Application Rate (%DW),Additive_2,V2_Ventilation Interval (min),Material_3,Initial Moisture Content (%),M1_is Enclosed,V5_Ventilation rate (L/min/kg iniDW),Turning times,Material_Main,Initial C/N (%),Additive_4,V1_Ventilation Type,V3_Ventilation Duration (min),V4_Ventilation Day,Additive_3,Material_2,Additive_1,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
98.0,27.32884658064516,6.338647990801741,0.0,4.210797122302158,1.2191806673914385,3.0,1154.0,0.0,62.056366208705676,1.0,2.059223777782454,18.0,8,7.051871115529176,1.0,1.0,1.543064533817868,63.0,4.0,13.0,16.0,2.1457865217391303,15.13180999274399,98.22358100000005,6.75649318477792,0.1958848237991333,0.17139404745414427,30.08234017669919
38.0,27.32884658064516,4.720447854022876,0.0,4.210797122302158,1.2801884392117235,10.0,0.0,3.0,79.34637486912332,1.0,0.0,26.0,8,13.517865884265028,1.0,2.0,0.0,0.0,4.0,4.0,19.0,2.1457865217391303,29.006454417133106,96.21768399999999,3.587221798402278,0.6973405480384827,0.2232182881497497,26.955402520474493
83.0,27.32884658064516,11.34228583210034,1.0,4.210797122302158,9.343870607260808,2.0,0.0,4.0,68.46424517807813,1.0,6.819392512712014,25.0,8,21.233876913535205,1.0,0.0,3.940705887317011,60.0,4.0,14.0,36.0,2.1457865217391303,45.563366885331526,97.69673200000001,6.045917037006005,1.0820616483688354,0.18753212943527042,31.03999721430382
26.0,27.32884658064516,6.533010214349346,0.0,4.210797122302158,0.5448641195299109,13.0,0.0,2.0,51.273514376405785,1.0,0.0,17.0,8,21.24495816912712,1.0,2.0,0.0,0.0,4.0,6.0,25.0,2.1457865217391303,45.58714489422461,96.566739,4.162484442241129,0.1109076738357544,0.27227949579100835,31.035313292035887
105.0,27.32884658064516,8.657727795228267,2.0,4.210797122302158,4.081392287539228,15.0,0.0,2.0,66.63727498403492,0.0,8.308383703932813,26.0,8,10.07254242326924,1.0,0.0,35.6789738117505,84.0,4.0,12.0,4.0,2.1457865217391303,21.613525771496736,96.475891,6.648935647715653,1.1032603979110718,0.17253192479594465,29.761542399528153
108.0,27.328846580645163,5.644126660942284,2.0,4.210797122302158,1.034542392255366,10.0,0.0,0.0,67.74138373372551,1.0,0.0,6.0,8,7.647192948537287,1.0,2.0,0.08887294741621911,0.0,4.0,8.0,13.0,2.1457865217391303,16.409243558109832,96.67464899999999,0.34228696190126473,0.06646313518285751,0.19438925827051606,1000000.0
68.0,27.32884658064516,5.466702536126091,2.0,4.210797122302158,6.702649076744043,6.0,0.0,9.0,76.15956496774672,0.0,2.2423476474371737,7.0,8,12.649526963356715,1.0,0.0,2.058661419932497,54.0,4.0,12.0,2.0,2.1457865217391303,27.14318446434655,96.530597,5.508566052385064,0.1688232421875,0.15313263153938383,24.004322792867818
133.0,27.32884658064516,11.288089755853516,0.0,4.210797122302158,1.7661057875107022,0.0,1139.0,3.0,83.18328202044395,1.0,0.33578576338990973,22.0,8,12.86173680558355,1.0,1.0,4.821797174931688,75.0,4.0,0.0,31.0,2.1457865217391303,27.59854148357728,96.87401500000001,9.132973550527145,0.8629145622253418,0.16480854942684106,25.52592178089444
28.0,27.32884658064516,10.842703046786632,2.0,4.210797122302158,1.1409034355796086,3.0,0.0,3.0,71.91755842282222,0.0,0.0,10.0,8,7.021313338677325,1.0,2.0,0.0,0.0,4.0,2.0,4.0,2.1457865217391303,15.06623952704098,96.67464899999999,0.23103700919031314,1.0080902576446533,0.21540593329249322,27.44684715250525
79.0,27.32884658064516,10.501180072036036,0.0,4.210797122302158,3.3735418267531134,7.0,0.0,0.0,52.30035731940972,1.0,7.244173118440573,29.0,8,14.27354703260118,1.0,0.0,0.3940239551883029,71.0,4.0,2.0,15.0,2.1457865217391303,30.981660006391596,98.66216200000002,0.8863203214156034,0.9413947463035583,0.2025610655820272,1000000.0
41.0,27.32884658064516,7.602658089968343,0.0,4.210797122302158,0.7051700733354426,12.0,0.0,3.0,58.94359501635373,1.0,0.1575607568952829,10.0,8,17.726625803659893,1.0,2.0,0.0935473215272837,0.0,4.0,14.0,16.0,2.1457865217391303,38.03755472540648,96.51704399999998,1.2825751475096325,0.32228508591651917,0.2087679704806442,33.465513259202815
35.0,27.32884658064516,11.854317487562342,1.0,4.210797122302158,0.007110551946628574,8.0,0.0,0.0,75.96697295625681,0.0,0.0,15.0,8,13.209370146062714,1.0,2.0,0.0,0.0,4.0,0.0,19.0,2.1457865217391303,28.34448842008462,96.640953,3.6985877659087696,1.0095195770263672,0.24221727569885165,27.032846923094127
122.0,27.32884658064516,9.808525976853893,0.0,4.210797122302158,0.9931927154952891,6.0,0.0,0.0,62.477444927055416,1.0,0.0,19.0,8,10.062227692340322,1.0,2.0,0.0,0.0,4.0,8.0,7.0,2.1457865217391303,21.591392560894096,96.67464899999999,1.9410377334162614,0.23910287022590637,0.1922882661777306,28.109517641979714
97.0,27.328846580645166,6.7895871350846715,1.0,4.210797122302158,5.058818157486752,15.0,0.0,5.0,69.25970355273802,0.0,3.4025568831061426,22.0,8,39.00455545969797,1.0,0.0,3.670621555225766,81.0,4.0,5.0,36.0,2.1457865217391303,83.69544939184632,96.54729800000003,4.997186689854982,0.5170568227767944,0.19425575834436173,1000000.0
112.0,27.32884658064516,7.316894593836759,2.0,4.210797122302158,4.633748006242152,15.0,0.0,4.0,76.05728180935898,1.0,2.589584211513217,9.0,8,6.798687481631967,1.0,0.0,2.5267873520592388,84.0,4.0,3.0,30.0,2.1457865217391303,14.588531963602426,98.08917900000002,7.527209057558189,0.5421826243400574,0.20563145498125385,24.531129293682863
