Material_2,M1_is Enclosed,Initial C/N (%),V1_Ventilation Type, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Turning times,V4_Ventilation Day,Material_3,Initial pH,Period (d),Additive_1,Compost volume (m3),V2_Ventilation Interval (min),Additive_3,Initial Moisture Content (%),Initial GI (%),Additive_4,Additive_2,Material_Main,V3_Ventilation Duration (min),Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
12.0,0.0,35.902640115782205,0.0,2.0,7.352039077149155,26.0,5.0,0.0,8.847608978178249,16.0,24.0,0.08,0.0,4.0,69.66275161090861,27.32884658064516,1.0,13.0,4,34.04725449538777,0.3365980492418197,0.875,31.414810101309428,115.70910800000006,6.93186639246959,0.7577652335166931,0.1859676544426911,30.66408025111253
3.0,0.0,36.2608333449308,0.0,2.0,0.8851132302677589,10.0,23.0,2.0,6.37886914601318,84.0,15.0,0.08,0.0,4.0,45.78666896966148,27.32884658064516,1.0,3.0,4,43.041053721353,4.481095825439958,0.875,31.72822917681445,113.55546000000002,6.698224775657154,0.8860206604003906,0.19315473395177613,21.592364449902906
4.0,0.0,34.57955573217547,0.0,2.0,1.1454750153360815,4.0,3.0,2.0,9.432677085349258,19.0,11.0,0.08,0.0,4.0,71.72726334663535,27.32884658064516,1.0,7.0,4,41.746332174955484,0.9673518836860007,0.875,30.25711126565354,117.21237300000004,5.985743138809169,0.7972974181175232,0.18796698466167622,24.173412860949817
0.0,0.0,37.58163835720532,0.0,1.0,7.592649555169931,19.0,4.0,5.0,8.644391062567855,129.0,23.0,0.08,0.0,4.0,47.645338671301786,27.32884658064516,1.0,8.0,4,59.266692715699804,8.127213977516348,0.875,32.88393356255466,115.63637800000006,6.881994911751215,0.5798310041427612,0.18159246285512332,22.250775998218035
8.0,1.0,42.11323084123115,0.0,1.0,1.1952170175764543,13.0,16.0,2.0,7.983768334878537,48.0,25.0,0.08,0.0,4.0,81.03208289891538,27.32884658064516,1.0,15.0,4,56.72068252830448,7.471382154270934,0.875,36.84907698607726,114.70417900000002,10.319287740596932,0.7472102642059326,0.23760352822157738,23.245347144742865
5.0,0.0,33.974989998401696,0.0,1.0,7.389525635988903,23.0,1.0,4.0,11.23707186960337,42.0,12.0,0.08,0.0,4.0,58.27305009620877,27.328846580645163,1.0,9.0,4,51.98982934232934,4.051621092032055,0.875,29.728116248601484,116.03821600000009,6.042448312713963,0.6280868053436279,0.19063432652155698,22.983301057076677
6.0,1.0,24.06290023807269,0.0,2.0,5.436136623081987,27.0,6.0,3.0,7.648259934132132,64.0,4.0,0.08,0.0,4.0,60.79658803050293,27.32884658064516,1.0,3.0,4,55.45791340142324,9.862236696268772,0.875,21.055037708313602,114.66488300000006,8.33325755949097,0.9622284173965454,0.20799374657568576,21.522485304452328
5.0,1.0,43.67172070199564,0.0,2.0,6.6131521354118625,30.0,6.0,3.0,11.670162493613551,33.0,14.0,0.08,0.0,4.0,80.12464829568042,27.32884658064516,1.0,10.0,4,30.99344999348078,0.03963792017551239,0.875,38.212755614246184,115.26655500000004,8.33325755949097,0.8061469197273254,0.20970120200552234,25.046672415291624
4.0,1.0,43.7313941753929,0.0,2.0,4.009752774081702,31.0,7.0,0.0,11.863075900327559,22.0,25.0,0.08,0.0,4.0,77.2609456331313,27.32884658064516,1.0,3.0,4,38.33715294989808,5.799226209958313,0.875,38.26496990346879,115.60164100000001,9.529957272872773,0.8964440822601318,0.19597103467593763,25.65322118507028
13.0,0.0,34.421143937493255,0.0,1.0,7.732301860402307,24.0,6.0,0.0,10.156569478643938,74.0,15.0,0.08,0.0,4.0,65.17409847750946,27.32884658064516,1.0,11.0,4,44.94537804568931,5.324430426067263,0.875,29.554012010552547,114.83195300000007,5.681904058773711,0.7211239337921143,0.17591993916173648,1000000.0
6.0,0.0,11.30563533725119,0.0,2.0,4.278827123770479,3.0,24.0,3.0,4.780296083167427,30.0,27.0,0.08,0.0,4.0,83.88216371161766,27.32884658064516,1.0,11.0,4,59.151491440324655,9.701416380140401,0.875,9.89243092009479,112.61180600000007,8.145004263500294,1.0164974927902222,0.12654693706761388,21.92785877968217
12.0,1.0,15.151515286016938,0.0,2.0,0.4885612605263623,27.0,21.0,2.0,10.057897642600398,33.0,34.0,0.08,0.0,4.0,84.05537199462881,27.32884658064516,1.0,9.0,4,56.33901532647081,9.385105033567644,0.875,13.25757587526482,113.21555900000003,10.582045930104217,0.7427985072135925,0.16887875151032267,25.64616101155373
0.0,1.0,27.814427548010272,1.0,1.0,1.1728250851229982,7.0,8.0,0.0,4.514791459046633,13.0,12.0,0.08,557.0,4.0,80.60351021863957,27.32884658064516,1.0,5.0,4,58.276774721931346,0.05966235480117432,0.875,24.33762410450899,113.32891100000005,10.698613880441174,0.5693740248680115,0.2015716922837309,23.430980896691988
3.0,1.0,29.02258241821004,0.0,1.0,1.49729211958874,27.0,5.0,5.0,5.034863147799346,65.0,37.0,0.08,0.0,4.0,65.96649333613166,27.32884658064516,1.0,7.0,4,30.821998011433372,0.7196703218013194,0.875,25.053607533021705,116.49312000000008,10.650002075286245,1.0305862426757812,0.2198487815365865,1000000.0
5.0,1.0,38.3922319796911,0.0,1.0,9.958898347671724,3.0,8.0,0.0,9.909527399099694,92.0,31.0,0.08,0.0,4.0,47.31827036122613,27.32884658064516,1.0,2.0,4,43.980875319111036,5.4133912296174715,0.875,33.59320298222971,115.45890100000004,8.637426443181662,0.8803540468215942,0.21050438901040527,18.426903554597768
8.0,1.0,31.476604532249763,1.0,1.0,0.7475014291727907,16.0,5.0,5.0,4.440160980740576,37.0,31.0,0.08,1076.0,4.0,65.54946897572147,27.32884658064516,1.0,12.0,4,36.98665942380216,6.1005514410784345,0.875,27.542028965718544,114.73749800000003,10.20955038613242,0.8942662477493286,0.1470815794522615,25.011913121220555
6.0,1.0,18.466515496034894,0.0,2.0,1.1105306740471754,27.0,1.0,9.0,8.638976475872497,91.0,18.0,0.08,0.0,4.0,63.18729757534685,27.32884658064516,1.0,8.0,4,42.75875635357334,1.2036352648126274,0.875,17.16888590948553,115.0276940000001,8.523280430697348,0.6240331530570984,0.19990567192766648,1000000.0
5.0,0.0,41.18787632628616,0.0,2.0,1.9342756268888528,15.0,13.0,0.0,8.899009577095391,74.0,7.0,0.08,0.0,4.0,51.353041827168774,27.32884658064516,1.0,7.0,4,43.05731118957904,6.319020628817946,0.875,36.039391785500385,113.26735700000003,5.979633860074437,0.7531267404556274,0.17598724318554176,20.487854184891656
8.0,1.0,31.676694702622854,0.0,1.0,1.106970694965872,2.0,77.0,2.0,8.666664103773757,110.0,27.0,0.08,0.0,4.0,64.01810308599562,27.32884658064516,1.0,11.0,4,56.077411756869324,8.139747121414462,0.875,27.65272445851167,114.04237900000004,12.469118939312652,0.8604689240455627,0.1954189648535657,1000000.0
5.0,0.0,8.026315548989269,0.0,1.0,1.2167516869833328,11.0,44.0,2.0,5.3301894528880425,92.0,18.0,0.08,0.0,4.0,44.512264288515745,27.328846580645163,1.0,8.0,4,49.446321007760346,8.295614485429839,0.875,6.998099032725255,113.65729500000006,8.992232809467021,1.1171008348464966,0.1560616533039631,1000000.0
2.0,1.0,9.141741417195242,0.0,1.0,7.110031330374439,21.0,1.0,3.0,11.104560148517614,120.0,6.0,0.08,0.0,4.0,77.74292875674084,27.32884658064516,1.0,7.0,4,35.087264225263425,7.811003213059324,0.875,7.999023740045836,115.06594900000007,8.29999159861914,0.6351137757301331,0.19378763194367854,20.245186804703888
0.0,0.0,42.70647015160908,0.0,2.0,4.346136591132788,1.0,2.0,2.0,10.03460897565419,98.0,22.0,0.08,0.0,4.0,71.532391900214,27.32884658064516,1.0,5.0,4,41.42035126823634,4.7187927094679445,0.875,38.61573059318647,115.76189000000002,5.9810526268479896,0.5070942640304565,0.16659915971893619,1000000.0
3.0,1.0,36.39530932568239,0.0,2.0,8.608485441189103,29.0,1.0,3.0,9.391783073545328,122.0,15.0,0.08,0.0,4.0,46.78396320062119,27.32884658064516,1.0,0.0,4,52.72368158229044,2.7311272272296403,0.875,31.845895659972093,116.29972100000005,6.565735466042444,0.673143208026886,0.1964326663414964,21.663463953557233
3.0,0.0,14.98617249321212,0.0,2.0,3.7511089976808387,2.0,2.0,2.0,6.507781525912836,91.0,12.0,0.08,0.0,4.0,70.00753296853598,27.32884658064516,1.0,2.0,4,32.74379358287257,5.512203574886648,0.875,13.13695244955694,114.37457700000006,5.985743138809169,0.7626259922981262,0.14803302052058834,1000000.0
8.0,1.0,44.38665080892425,0.0,2.0,1.2645002127846288,20.0,6.0,0.0,9.541937707432139,29.0,12.0,0.08,0.0,4.0,45.95350656637271,27.32884658064516,1.0,7.0,4,32.56796367980403,2.0775070903133437,0.875,38.83831945780872,117.140961,8.162736176757097,0.808592677116394,0.2085106958906609,27.231739923510847
4.0,0.0,40.05584054499377,0.0,2.0,2.8241471788268684,3.0,2.0,3.0,7.88980642502303,109.0,23.0,0.08,0.0,4.0,67.0377882565764,27.328846580645166,1.0,2.0,4,43.14084724452077,4.3417426980362706,0.875,33.49678001268239,116.45454800000002,6.304206541871844,0.7714200615882874,0.19386029337738792,1000000.0
8.0,1.0,34.64586544990592,0.0,2.0,4.714970500794821,17.0,0.0,5.0,6.865373316746399,16.0,35.0,0.08,0.0,4.0,62.59390959005424,27.32884658064516,1.0,0.0,4,41.63108236903878,5.1630699985720945,0.875,30.31513226866768,115.58078300000007,6.491805968153635,0.6732844114303589,0.19648026852915595,27.10304298461594
2.0,0.0,39.482008359651,0.0,2.0,1.0951896725943377,31.0,2.0,2.0,7.964087962712788,86.0,7.0,0.08,0.0,4.0,54.66607800189827,27.32884658064516,1.0,15.0,4,30.527501270312456,7.1725260730348985,0.875,34.546757314694624,116.13391400000005,5.509975861078292,0.654232382774353,0.1917197035168868,20.95204144370018
4.0,0.0,35.93448260691127,0.0,1.0,5.611384653857289,0.0,4.0,3.0,10.395151410410737,37.0,24.0,0.08,0.0,4.0,61.42197198810004,27.32884658064516,1.0,11.0,4,36.036733759970815,8.22489481261572,0.875,31.442672281047358,115.89303100000006,6.609821197325279,0.7909579873085022,0.1936892530066615,21.06227142519013
