ID,Title,Author,Location,Journal,Material_Main,Material_2,Material_3,Additive Species,Additive_1,Additive_2,Additive_3,Additive_4,Application Rate (%DW),Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Initial C/N (%),Initial EC (ms/cm),Initial GI (%),Initial FW (kg),Initial DW (kg),Initial NH3-N (g/kg),Initial NO2-N (g/kg),Final Moisture Content (%),Final pH,Final TN (%),Final TC (%),Final C/N (%),Final EC (ms/cm),Final GI (%),Final FW (kg),Final DW (kg),Final NH3-N (g/kg),Final NO2-N (g/kg),TN loss (%),NH3-N (g),N2O-N (g),NH3-N loss (%),N2O-N loss (%),TC loss (%),CH4-C (g),CO2-C (g),CH4-C loss (%),CO2-C loss (%),Method,M1_isEnclosed,M2_isTurning,M3_isForce aeration,M4_isVessel,M5_isReactor,Period (d),Compost volume (m3),Initial density (kg/L),V1_Ventilation Type,V2_Ventilation Interval (min),V3_Ventilation Duration (min),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),V6_Extra,Turning times
31,Nitrogen availability in composted poultry litter using natural amendments,"N. Gamze Turan et al.,2009",Turkey,Waste Management & Research,Poultry manure,-,-,Physical,Pumice,-,-,-,,58,7.3,2.33,21.902,9.4,4.54,,,,0.164889,54.4928,,7.53145,,,,,,,,0.239556,84.058,26,,,,,,,,,,Reactor,1,1,1,1,1,100,0.03125,,Continuous,0,-,100,,-,14
31,Nitrogen availability in composted poultry litter using natural amendments,"N. Gamze Turan et al.,2009",Turkey,Waste Management & Research,Poultry manure,-,-,Physical,Vermiculite,-,-,-,,56.4,7.1,1.83,23.4057,12.79,8.48,,,,0.143111,55.6522,,7.31132,,,,,,,,0.0777778,108.406,42,,,,,,,,,,Reactor,1,1,1,1,1,100,0.03125,,Continuous,0,-,100,,-,14
31,Nitrogen availability in composted poultry litter using natural amendments,"N. Gamze Turan et al.,2009",Turkey,Waste Management & Research,Poultry manure,-,-,None,-,-,-,-,0,65.5,9.7,0.87,29.1015,33.45,15.71,,,,0.155556,56.8116,,7.13522,,,,,,,,0.0902222,126.957,72,,,,,,,,,,Reactor,1,1,1,1,1,100,0.03125,,Continuous,0,-,100,,-,14
32,The effect of phosphogypsum on greenhouse gas emissions during cattle manure composting,"Xiying Hao et al.,2005",Canada,Journal of Environmental Quality,Cow manure,-,-,None,-,-,-,-,0,62.63,8.3,1.4,25.06,17.9,11.7,,2675.94327,1000,2.457,0.01,29.92,7.8,1.37,15.481,11.3,10.9,,1131.563927,793,0.349,0.488,22.39928571,,12.06,,0.086142857,,15360,93700,6.134185304,,Windrow,0,1,0,0,0,134,1.924220107,0.519691067,None,-,-,-,-,-,5
32,The effect of phosphogypsum on greenhouse gas emissions during cattle manure composting,"Xiying Hao et al.,2005",Canada,Journal of Environmental Quality,Cow manure,-,-,Chemical,Gypsum,-,-,-,10,65.46,7.6,1.33,23.674,17.8,14.1,,2895.193978,1000,2.755,0.009,32.9,7.4,1.33,14.763,11.1,15,,1153.502235,774,0.239,0.58,20.7,,28.29,,0.202071429,,2830,109300,1.130191693,,Windrow,0,1,0,0,0,134,2.194092057,0.455769391,None,-,-,-,-,-,5
32,The effect of phosphogypsum on greenhouse gas emissions during cattle manure composting,"Xiying Hao et al.,2005",Canada,Journal of Environmental Quality,Cow manure,-,-,Chemical,Gypsum,-,-,-,17.8,64.61,7.6,1.32,24.948,18.9,15.5,,2825.656965,1000,2.311,0.006,34.3,7.4,1.38,15.042,10.9,16.3,,1109.589041,729,0.327,0.683,17.09545455,,21.5,,0.153571429,,510,109500,0.203674121,,Windrow,0,1,0,0,0,134,2.210162561,0.452455406,None,-,-,-,-,-,5
32,The effect of phosphogypsum on greenhouse gas emissions during cattle manure composting,"Xiying Hao et al.,2005",Canada,Journal of Environmental Quality,Cow manure,-,-,Chemical,Gypsum,-,-,-,26.9,65.46,7.4,1.29,23.865,18.5,15.8,,2895.193978,1000,2.893,0.011,35.89,7.3,1.23,13.53,11,15.6,,1101.232257,706,0.126,0.579,24.38837209,,30.95,,0.221071429,,440,132000,0.17571885,,Windrow,0,1,0,0,0,134,2.507596353,0.398788265,None,-,-,-,-,-,5
32,The effect of phosphogypsum on greenhouse gas emissions during cattle manure composting,"Xiying Hao et al.,2005",Canada,Journal of Environmental Quality,Cow manure,-,-,Physical,Sand,-,-,-,9.9,64.12,8.4,1.29,25.929,20.1,12.2,,2787.068004,1000,2.858,0.005,30.41,7.9,1.42,15.904,11.2,12.5,,1094.984912,762,0.213,0.719,12.70852713,,7.85,,0.056071429,,8280,112400,3.306709265,,Windrow,0,1,0,0,0,134,1.934642071,0.516891478,None,-,-,-,-,-,5
32,The effect of phosphogypsum on greenhouse gas emissions during cattle manure composting,"Xiying Hao et al.,2005",Canada,Journal of Environmental Quality,Cow manure,-,-,Physical,Sand,-,-,-,20.7,61.07,8.6,1.12,19.152,17.1,9.8,,2568.713075,1000,2.265,0.008,31.84,7.7,1.2,12.96,10.8,10.7,,1233.861502,841,0.107,0.388,15.03571429,,20.83,,0.148785714,,11230,94000,4.484824281,,Windrow,0,1,0,0,0,134,2.242778039,0.445875598,None,-,-,-,-,-,5
32,The effect of phosphogypsum on greenhouse gas emissions during cattle manure composting,"Xiying Hao et al.,2005",Canada,Journal of Environmental Quality,Cow manure,-,-,Physical,Sand,-,-,-,30.6,63.73,8.7,1.23,23.247,18.9,10.7,,2757.099531,1000,2.144,0.008,31.23,7.8,1.22,2.196,1.8,11,,1156.027338,795,0.217,0.519,21.34471545,,14.66,,0.104714286,,13280,100300,5.303514377,,Windrow,0,1,0,0,0,134,2.51122902,0.398211391,None,-,-,-,-,-,5
33,Reducing ammonia losses by adding FeCl3 during composting of sewage sludge,"V. DAREES BOUCHER et al.,1999",Netherland,"Water, Air, & Soil Pollution",Sewage sludge,Sawdust,-,None,-,-,-,-,0,61.7,5.7,2.8,46.6,16.64285714,,,27.8,10.7,6.74,0.67,62.5,8.8,2.7,46.2,17.11111111,,,23,8.6,8.89,13.52,22.49666222,,,,,,,,,,Reactor,1,0,1,1,1,16,0.1,0.278,Continuous,0,-,16,0.233,The air flow was adjusted periodically and varied from 0.133 of the DM at the beginning of composting to 0.333 of the DM during the most intense phase.,0
33,Reducing ammonia losses by adding FeCl3 during composting of sewage sludge,"V. DAREES BOUCHER et al.,1999",Netherland,"Water, Air, & Soil Pollution",Sewage sludge,Sawdust,-,Chemical,FeCl?,-,-,-,10,64.2,4.8,2.5,45.5,18.2,,,30.5,10.9,5.2,0.52,64.5,8,2.6,44.9,17.26923077,,,26.5,9.4,0.13,0.07,10.31192661,,,,,,,,,,Reactor,1,0,1,1,1,14,0.1,0.305,Continuous,0,-,14,0.233,The air flow was adjusted periodically and varied from 0.133 of the DM at the beginning of composting to 0.333 of the DM during the most intense phase.,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,None,-,-,-,-,0,45,,2.62,,,,,0.072727273,0.04,0.7,,,,,,,,,,,,,,1.383529412,,,,,,,,,Reactor,1,0,1,1,1,56,0.00025,0.290909091,Continuous,0,-,56,27.5,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Physical,Zeolite,-,-,-,28,45,,1.73,,,,,0.093090909,0.0512,5.7,,,,,,,,,,,,,,1.517929412,,,,,,,,,Reactor,1,0,1,1,1,56,0.00025,0.372363636,Continuous,0,-,56,21.484375,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Physical,Zeolite,-,-,-,38,45,,1.7,,,,,0.100363636,0.0552,9,,,,,,,,,,,,,,1.091011765,,,,,,,,,Reactor,1,0,1,1,1,56,0.00025,0.401454545,Continuous,0,-,56,19.92753623,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Physical,Zeolite,-,-,-,28,45,,1.78,,,,,0.093090909,0.0512,5.7,,,,,,,,,,,,,,1.560094118,,,,,,,,,Reactor,1,0,1,1,1,56,0.00025,0.372363636,Continuous,0,-,56,21.484375,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Physical,Zeolite,-,-,-,38,45,,1.67,,,,,0.100363636,0.0552,9.2,,,,,,,,,,,,,,1.272847059,,,,,,,,,Reactor,1,0,1,1,1,56,0.00025,0.401454545,Continuous,0,-,56,19.92753623,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Chemical,CaCl?,-,-,-,9,45,,3.34,,,,,0.079272727,0.0436,9.7,,,,,,,,,,,,,,1.256705882,,,,,,,,,Reactor,1,0,1,1,1,56,0.00025,0.317090909,Continuous,0,-,56,25.2293578,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Chemical,CaCl?,-,-,-,20,45,,5.04,,,,,0.087272727,0.048,4.1,,,,,,,,,,,,,,0.158117647,,,,,,,,,Reactor,1,0,1,1,1,56,0.00025,0.349090909,Continuous,0,-,56,22.91666667,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Chemical,Al?(SO?)?,-,-,-,20,45,,3.84,,,,,0.087272727,0.048,10.1,,,,,,,,,,,,,,1.225411765,,,,,,,,,Reactor,1,0,1,1,1,56,0.00025,0.349090909,Continuous,0,-,56,22.91666667,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,None,-,-,-,-,0,45,,2.68,,,,,0.054545455,0.03,0.6,,,,,,,,,,,,,,0.938823529,,,,,,,,,Reactor,1,0,1,1,1,49,0.00025,0.218181818,Continuous,0,-,49,36.66666667,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Physical,Zeolite,-,-,-,28,45,,1.58,,,,,0.069818182,0.0384,2.4,,,,,,,,,,,,,,1.296564706,,,,,,,,,Reactor,1,0,1,1,1,49,0.00025,0.279272727,Continuous,0,-,49,28.64583333,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Physical,Zeolite,-,-,-,38,45,,1.24,,,,,0.075272727,0.0414,3.9,,,,,,,,,,,,,,1.1592,,,,,,,,,Reactor,1,0,1,1,1,49,0.00025,0.301090909,Continuous,0,-,49,26.57004831,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Physical,Clay,-,-,-,28,45,,1.55,,,,,0.069818182,0.0384,1.1,,,,,,,,,,,,,,1.517929412,,,,,,,,,Reactor,1,0,1,1,1,49,0.00025,0.279272727,Continuous,0,-,49,28.64583333,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Physical,Clay,-,-,-,38,45,,1.14,,,,,0.075272727,0.0414,1.7,,,,,,,,,,,,,,1.466047059,,,,,,,,,Reactor,1,0,1,1,1,49,0.00025,0.301090909,Continuous,0,-,49,26.57004831,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Physical,Coir,-,-,-,20,45,,2.92,,,,,0.065454545,0.036,3,,,,,,,,,,,,,,1.215529412,,,,,,,,,Reactor,1,0,1,1,1,49,0.00025,0.261818182,Continuous,0,-,49,30.55555556,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Physical,Coir,-,-,-,33,45,,3.1,,,,,0.072545455,0.0399,5.2,,,,,,,,,,,,,,0.657176471,,,,,,,,,Reactor,1,0,1,1,1,49,0.00025,0.290181818,Continuous,0,-,49,27.56892231,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Chemical,MgSO?,-,-,-,20,45,,2.21,,,,,0.065454545,0.036,0.8,,,,,,,,,,,,,,1.215529412,,,,,,,,,Reactor,1,0,1,1,1,49,0.00025,0.261818182,Continuous,0,-,49,30.55555556,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,None,-,-,-,-,0,45,,2.77,,,,,0.054545455,0.03,1.6,,,,,,,,,,,,,,0.790588235,,,,,,,,,Reactor,1,0,1,1,1,49,0.00025,0.218181818,Continuous,0,-,49,36.66666667,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Physical,Clay,-,-,-,28,45,,1.48,,,,,0.069818182,0.0384,1.4,,,,,,,,,,,,,,1.106823529,,,,,,,,,Reactor,1,0,1,1,1,49,0.00025,0.279272727,Continuous,0,-,49,28.64583333,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Chemical,CaCl?,-,-,-,20,45,,4.68,,,,,0.065454545,0.036,3.1,,,,,,,,,,,,,,0.059294118,,,,,,,,,Reactor,1,0,1,1,1,49,0.00025,0.261818182,Continuous,0,-,49,30.55555556,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Chemical,CaSO?,-,-,-,20,45,,2.31,,,,,0.065454545,0.036,3,,,,,,,,,,,,,,0.978352941,,,,,,,,,Reactor,1,0,1,1,1,49,0.00025,0.261818182,Continuous,0,-,49,30.55555556,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Chemical,MgCl?,-,-,-,20,45,,5.1,,,,,0.065454545,0.036,4.6,,,,,,,,,,,,,,0.266823529,,,,,,,,,Reactor,1,0,1,1,1,49,0.00025,0.261818182,Continuous,0,-,49,30.55555556,-,0
34,Reducing Nitrogen Losses during Simulated Composting of Poultry Manure using Adsorbents or Chemical Amendments,"M. Kithome, J. W. Paul et al.,1999",Canada,Journal of Environmental Quality,Poultry manure,-,-,Chemical,MgSO?,-,-,-,20,45,,3.25,,,,,0.065454545,0.036,1.4,,,,,,,,,,,,,,0.681882353,,,,,,,,,Reactor,1,0,1,1,1,49,0.00025,0.261818182,Continuous,0,-,49,30.55555556,-,0
35,Isolation of thermophilic ammonium-tolerant bacterium and its application to reduce ammonia emission during composting of animal wastes,"Kazutaka Kuroda et al.,2004",Japan,"Bioscience, Biotechnology, and Biochemistry",Swine manure,Sawdust,-,None,-,-,-,-,0,63.74,7.035,2.52,,,,,4,1.4504,2,,59.75,7.64,2.93,,,,,2.4,0.966,0.3,,22.8,,,,,,,,,,Reactor,1,1,1,1,1,18,0.012,0.333333333,Continuous,0,-,18,0.31,-,2
35,Isolation of thermophilic ammonium-tolerant bacterium and its application to reduce ammonia emission during composting of animal wastes,"Kazutaka Kuroda et al.,2004",Japan,"Bioscience, Biotechnology, and Biochemistry",Swine manure,Sawdust,-,Biological,TAT,-,-,-,,63.74,7.055,2.54,,,,,4,1.4504,2.1,,58.74,7.845,3.06,,,,,2.4,0.99024,0.5,,17.6,,,,,,,,,,Reactor,1,1,1,1,1,18,0.012,0.333333333,Continuous,0,-,18,0.31,-,2
36,Influence of carbon and buffer amendment on ammonia volatilization in composting,"Y. Liang et al.,2006",Canada,Bioresource Technology,Cow manure,Wheat straw,-,None,-,-,-,-,0,70.5,8.8,1.59,41.34,26,,,47,13.865,,,75.8,8.6,1.95,,,,,35.23543388,8.526975,,,24.5754717,43.67475,,19.81132075,,,,2157.394,,,Reactor,1,0,1,1,1,15,0.17,0.276470588,Continuous,0,-,15,0.288496213,-,0
36,Influence of carbon and buffer amendment on ammonia volatilization in composting,"Y. Liang et al.,2006",Canada,Bioresource Technology,Cow manure,Wheat straw,-,Physical,Molasses,-,-,-,3.629764065,71,8.8,1.44,,,,,47.5,13.775,,,76.2,8.7,1.95,,,,,36.28960084,8.636925,,,15.09375,26.86125,,13.54166667,,,,1987.04375,,,Reactor,1,0,1,1,1,15,0.17,0.279411765,Continuous,0,-,15,0.290381125,-,0
36,Influence of carbon and buffer amendment on ammonia volatilization in composting,"Y. Liang et al.,2006",Canada,Bioresource Technology,Cow manure,Wheat straw,-,Physical,Molasses,-,-,-,7.30994152,71.5,8.6,1.55,,,,,48,13.68,,,76.1,8.7,2.05,,,,,36.57539749,8.74152,,,15.48709677,24.624,,11.61290323,,,,1906.308,,,Reactor,1,0,1,1,1,15,0.17,0.282352941,Continuous,0,-,15,0.292397661,-,0
36,Influence of carbon and buffer amendment on ammonia volatilization in composting,"Y. Liang et al.,2006",Canada,Bioresource Technology,Cow manure,Wheat straw,-,Physical,Molasses,-,-,-,9.976720984,69,8.7,1.36,40.8,30,,,48.5,15.035,,,73.1,8.7,1.85,,,,,36.38581784,9.787785,,,12.09124088,18.79375,,9.124087591,,,,1783.90275,,,Reactor,1,0,1,1,1,15,0.17,0.285294118,Continuous,0,-,15,0.266045893,-,0
36,Influence of carbon and buffer amendment on ammonia volatilization in composting,"Y. Liang et al.,2006",Canada,Bioresource Technology,Cow manure,Wheat straw,-,None,-,-,-,-,0,70,8.4,1.72,,,,,50.55,15.165,,,76,8.8,2.62,,,,,34.8795,8.37108,,,15.91627907,28.05525,,10.75581395,,,,1499.8185,,,Reactor,1,0,1,1,1,15,0.17,0.297352941,Continuous,0,-,15,0.263765249,-,0
36,Influence of carbon and buffer amendment on ammonia volatilization in composting,"Y. Liang et al.,2006",Canada,Bioresource Technology,Cow manure,Wheat straw,-,Physical,Office paper,-,-,-,13.0971896,71.8,8.2,1.66,,,,,50.36,14.20152,,,73.5,8.8,2.28,,,,,32.74388196,8.67712872,,,16.07951807,25.562736,,10.84337349,,,,1332.812652,,,Reactor,1,0,1,1,1,15,0.17,0.296235294,Continuous,0,-,15,0.281659991,-,0
36,Influence of carbon and buffer amendment on ammonia volatilization in composting,"Y. Liang et al.,2006",Canada,Bioresource Technology,Cow manure,Wheat straw,-,Physical,Office paper,-,-,-,24.36647173,69.6,8.3,1.58,,,,,50.22,15.26688,,,76,8.8,2.52,,,,,32.951016,7.90824384,,,17.38227848,37.403856,,15.50632911,,,,1997.671248,,,Reactor,1,0,1,1,1,15,0.17,0.295411765,Continuous,0,-,15,0.262005072,-,0
36,Influence of carbon and buffer amendment on ammonia volatilization in composting,"Y. Liang et al.,2006",Canada,Bioresource Technology,Cow manure,Wheat straw,-,Physical,Office paper,-,-,-,37.59079389,70.3,8.3,1.47,,,,,49.98,14.84406,,,73.5,8.7,2.1,,,,,30.80842642,8.164233,,,21.42857143,36.367947,,16.66666667,,,,1848.827673,,,Reactor,1,0,1,1,1,15,0.17,0.294,Continuous,0,-,15,0.269468057,-,0
36,Influence of carbon and buffer amendment on ammonia volatilization in composting,"Y. Liang et al.,2006",Canada,Bioresource Technology,Cow manure,Wheat straw,-,None,-,-,-,-,0,70.6,8.6,1.59,,,,,47,13.818,,,75.8,8.5,2.03,,,,,35.34438843,8.553342,,,20.97044025,35.2359,,16.03773585,,,,1251.9108,,,Reactor,1,0,1,1,1,15,0.17,0.276470588,Continuous,0,-,6,0.289477493,-,0
36,Influence of carbon and buffer amendment on ammonia volatilization in composting,"Y. Liang et al.,2006",Canada,Bioresource Technology,Cow manure,Wheat straw,-,Chemical,NaH?PO?·H?O,Na?HPO?·2H?O,-,-,3.104791777,70.8,8.6,1.57,,,,,47.43,13.84956,,,74.7,8,2.06,,,,,35.25342545,8.91911664,,,15.50063694,32.546466,,14.96815287,,,,1205.604198,,,Reactor,1,0,1,1,1,15,0.17,0.279,Continuous,0,-,6,0.28881784,-,0
36,Influence of carbon and buffer amendment on ammonia volatilization in composting,"Y. Liang et al.,2006",Canada,Bioresource Technology,Cow manure,Wheat straw,-,Chemical,NaH?PO?·H?O,Na?HPO?·2H?O,-,-,3.436883051,70.1,8.6,1.55,,,,,47.488,14.198912,,,74.8,8.5,2.16,,,,,36.004384,9.073104768,,,16.72387097,29.8177152,,13.5483871,,,,1080.537203,,,Reactor,1,0,1,1,1,15,0.17,0.279341176,Continuous,0,-,6,0.281711726,-,0
36,Influence of carbon and buffer amendment on ammonia volatilization in composting,"Y. Liang et al.,2006",Canada,Bioresource Technology,Cow manure,Wheat straw,-,Chemical,NaH?PO?·H?O,Na?HPO?·2H?O,-,-,3.685446,69.8,8.9,1.55,,,,,47.529,14.353758,,,75.2,8.8,2.07,,,,,36.63680973,9.085928814,,,15.46387097,33.7313313,,15.16129032,,,,1304.756602,,,Reactor,1,0,1,1,1,15,0.17,0.279582353,Continuous,0,-,6,0.278672665,-,0
36,Influence of carbon and buffer amendment on ammonia volatilization in composting,"Y. Liang et al.,2006",Canada,Bioresource Technology,Cow manure,Wheat straw,-,None,-,-,-,-,0,71.5,9.1,1.62,,,,,50.55,14.40675,,,75.8,8.8,2.3,,,,,33.45699793,8.0965935,,,20.20987654,34.5762,,14.81481481,,,,1911.775725,,,Reactor,1,0,1,1,1,15,0.17,0.297352941,Continuous,0,-,15,0.27764763,-,0
36,Influence of carbon and buffer amendment on ammonia volatilization in composting,"Y. Liang et al.,2006",Canada,Bioresource Technology,Cow manure,Wheat straw,-,Chemical,NaH?PO?·H?O,Na?HPO?·2H?O,-,-,3.668852355,72.3,9,1.35,,,,,51.069,14.146113,,,76.6,8.4,1.98,,,,,34.15621301,7.992553845,,,17.13333333,31.82875425,,16.66666667,,,,1823.433966,,,Reactor,1,0,1,1,1,15,0.17,0.300405882,Continuous,0,-,15,0.282763187,-,0
36,Influence of carbon and buffer amendment on ammonia volatilization in composting,"Y. Liang et al.,2006",Canada,Bioresource Technology,Cow manure,Wheat straw,-,Chemical,NaH?PO?·H?O,Na?HPO?·2H?O,-,-,7.017404988,71.3,8.7,1.31,,,,,51.589,14.806043,,,73.8,8.8,1.7,,,,,37.12813073,9.727570251,,,14.74045802,25.1702731,,12.97709924,,,,1673.082859,,,Reactor,1,0,1,1,1,15,0.17,0.303464706,Continuous,0,-,15,0.270159961,-,0
36,Influence of carbon and buffer amendment on ammonia volatilization in composting,"Y. Liang et al.,2006",Canada,Bioresource Technology,Cow manure,Wheat straw,-,Chemical,NaH?PO?·H?O,Na?HPO?·2H?O,-,-,10.35226864,71.1,8.7,1.25,,,,,52.109,15.059501,,,74.4,8.7,1.5,,,,,41.17832305,10.5416507,,,16,24.84817665,,13.2,,,,1335.777739,,,Reactor,1,0,1,1,1,15,0.17,0.306523529,Continuous,0,-,15,0.265613051,-,0
37,Effect of superphosphate as additive on nitrogen and carbon losses during pig manure composting,"Yiming Luo et al.,2013",China,Applied Mechanics and Materials,Swine manure,Corn stalk,-,None,-,-,-,-,0,,,,,18.89189189,,,,,,,,,,,9.778761062,,,,,,,40.1,,,35.3,1,68.4,,,0.21,,Windrow,0,1,0,1,0,70,1.2,,None,-,-,-,-,-,10
37,Effect of superphosphate as additive on nitrogen and carbon losses during pig manure composting,"Yiming Luo et al.,2013",China,Applied Mechanics and Materials,Swine manure,Corn stalk,-,Chemical,Superphosphate,-,-,-,3.3,,,,,18.89189189,,,,,,,,,,,10.45833333,,,,,,,36.4,,,28,0.9,64.1,,,0.03,,Windrow,0,1,0,1,0,70,1.2,,None,-,-,-,-,-,10
37,Effect of superphosphate as additive on nitrogen and carbon losses during pig manure composting,"Yiming Luo et al.,2013",China,Applied Mechanics and Materials,Swine manure,Corn stalk,-,Chemical,Superphosphate,-,-,-,6.6,,,,,18.89189189,,,,,,,,,,,9.435483871,,,,,,,34.3,,,21.2,0.8,66.5,,,0.16,,Windrow,0,1,0,1,0,70,1.2,,None,-,-,-,-,-,10
37,Effect of superphosphate as additive on nitrogen and carbon losses during pig manure composting,"Yiming Luo et al.,2013",China,Applied Mechanics and Materials,Swine manure,Corn stalk,-,Chemical,Superphosphate,-,-,-,9.9,,,,,18.89189189,,,,,,,,,,,10.18450185,,,,,,,28.1,,,16.8,0.8,60.6,,,0.24,,Windrow,0,1,0,1,0,70,1.2,,None,-,-,-,-,-,10
37,Effect of superphosphate as additive on nitrogen and carbon losses during pig manure composting,"Yiming Luo et al.,2013",China,Applied Mechanics and Materials,Swine manure,Corn stalk,-,Chemical,Superphosphate,-,-,-,13.2,,,,,18.89189189,,,,,,,,,,,10.6440678,,,,,,,21.7,,,14.8,0.9,55.1,,,0.22,,Windrow,0,1,0,1,0,70,1.2,,None,-,-,-,-,-,10
37,Effect of superphosphate as additive on nitrogen and carbon losses during pig manure composting,"Yiming Luo et al.,2013",China,Applied Mechanics and Materials,Swine manure,Corn stalk,-,Chemical,Superphosphate,-,-,-,16.5,,,,,18.89189189,,,,,,,,,,,12.09580838,,,,,,,11.5,,,8.3,1.2,42.2,,,0.08,,Windrow,0,1,0,1,0,70,1.2,,None,-,-,-,-,-,10
38,Reduction of nitrogen loss and Cu and Zn mobility during sludge composting with bamboo charcoal amendment,"Hua Li et al.,2009",China,Environ Sci Pollut Res,Sewage sludge,Rapeseed marc,-,None,-,-,-,-,0,71.68,,0.83,27.3,32.89156627,,,,200,,,,,0.93,,,,,,105,,,40.7,,,,,,,,,,Reactor,1,1,1,1,1,42,0.4,0.5,Continuous,0,-,21,,-,
38,Reduction of nitrogen loss and Cu and Zn mobility during sludge composting with bamboo charcoal amendment,"Hua Li et al.,2009",China,Environ Sci Pollut Res,Sewage sludge,Rapeseed marc,-,Physical,Biochar,-,-,-,3.5,,,0.821,27.8,33.86114495,,,,202,,,,,0.963,,,,,,106,,,38.3,,,,,,,,,,Reactor,1,1,1,1,1,42,0.4,0.505,Continuous,0,-,21,,-,
