material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,NH3-N loss (%)
Manure,23.936170212766,58.1,8.18689,Swine manure,,1.88,45.0,,20.3
Manure,,,8.07761,Swine manure,,,,Physical,13.82
Manure,,,8.02036,Swine manure,,,,Physical,10.57
Manure,,,7.92272,Swine manure,,,,Physical,9.8
Manure,17.5789473684211,65.0,7.28,Swine manure,,1.9,33.4,,1.6
Manure,,,6.6,Swine manure,,,,Physical,1.184
Manure,,,6.58,Swine manure,,,,Physical,0.864
Manure,,,6.35,Swine manure,,,,Physical,0.688
Manure,,,7.05,Swine manure,,,,Chemical,0.848
Manure,19.91,62.06,7.5,Swine manure,,1.96,38.8245,,13.18
Manure,18.23,58.69,7.75,Swine manure,,1.29,35.68,Physical,11.36
Food waste,32.46,53.59,,,,1.1,35.52,,32.7
Food waste,,,,,,,,Biological,20.3721
Food waste,,,,,,,,Biological,30.0186
Manure,22.4615384615385,65.0,7.56,Swine manure,,1.69,37.96,,26.82
Manure,,,8.03,Swine manure,,1.51,37.7,Physical,21.65
Manure,,,8.17,Swine manure,,1.41,37.34,Physical,7.31
Manure,,,8.33,Swine manure,,1.35,40.35,Physical,5.47
Manure,18.9754901960784,67.6,7.8,Swine manure,,2.04,38.71,,29.26
Manure,,,6.7,Swine manure,,,,Physical,16.11
Manure,,,8.0,Swine manure,,,,Physical,30.93
Manure,,,7.2,Swine manure,,,,Chemical,16.12
Manure,19.25,60.0,7.1,Swine manure,,2.0,38.5,,24.95
Manure,,,6.6,Swine manure,,,,Chemical,11.23
Manure,,,6.7,Swine manure,,,,Chemical,22.85
Manure,,,8.35,Swine manure,,,,Chemical,26.71
Sewage sludge,,,7.78,,,,,,31.52
Sewage sludge,,,,,,,,Physical,21.26
Manure,18.3725490196078,69.2,8.2,Swine manure,,2.04,37.48,,32.5
Manure,,,8.0,Swine manure,,,,Chemical,14.5
Manure,,,7.25,Swine manure,,,,Physical,20.3
Manure,,,6.75,Swine manure,,,,Chemical,12.4
Manure,16.45,65.0,,Swine manure,,2.356,38.7562,,13.8
Manure,,,,Swine manure,,,,Physical,4.8
Manure,,,,Swine manure,,,,Physical,10.0
Manure,30.0,60.0,6.53,Poultry manure,,,,,36.3
Manure,,,6.85,Poultry manure,,,,Physical,33.2
Manure,,,6.46,Poultry manure,,,,Physical,26.6
Manure,,,6.52,Poultry manure,,,,Physical,20.4
Manure,,,6.5,Poultry manure,,,,Physical,14.9
Manure,,,6.55,Poultry manure,,,,Physical,10.7
Manure,25.0,55.0,7.75,Swine manure,,2.084,52.1,,2.5
Manure,,,8.2,Swine manure,,,,Physical,1.55
Manure,,,,Swine manure,,,,Physical,0.87
Sewage sludge,33.5,67.6,6.1,,,1.46,42.91,,8.7
Sewage sludge,33.5245901639344,67.3,7.65,,,1.22,40.9,Chemical,7.87
Sewage sludge,33.1129032258065,66.8,6.7,,,1.24,41.06,Chemical,6.6
Sewage sludge,31.530303030303,66.0,6.43,,,1.32,41.62,Chemical,3.5
Food waste,20.22,,5.34,,,,,,13.5
Food waste,21.53,,5.47,,,,,Chemical,8.8
Food waste,25.18,,5.14,,,,,Chemical,7.9
Food waste,24.82,,5.22,,,,,,12.7
Manure,26.7620561738209,60.0,7.8,Poultry manure,Cereal chaff,1.2,32.1144674085851,,8.8
Manure,2.90159278923324,60.0,7.8,Poultry manure,Cereal chaff,10.4,30.1765650080257,Physical,8.6
Manure,2.53674592815391,60.0,7.8,Poultry manure,Cereal chaff,13.4,33.9923954372624,Physical,6.4
Manure,,,7.6,Cow manure,Corn straw,,,,44.47
Manure,,,7.6,Cow manure,Corn straw,,,Physical,16.74
Manure,,,7.6,Cow manure,Corn straw,,,Physical,10.03
Manure,,,,Swine manure,Wheat straw,,,,20.65
Manure,,,,Swine manure,Wheat straw,,,Biological,28.11
Manure,,,,Swine manure,Wheat straw,,,Physical,13.86
Manure,,,,Swine manure,Wheat straw,,,Mixture,19.21
Sewage sludge,11.3619402985075,72.1,7.72,,Corn straw,2.68,30.45,,29.52
Sewage sludge,11.3619402985075,72.1,7.72,,Corn straw,2.68,30.45,Chemical,24.68
Sewage sludge,11.3619402985075,72.1,7.72,,Corn straw,2.68,30.45,Chemical,21.16
Sewage sludge,11.3619402985075,72.1,7.72,,Corn straw,2.68,30.45,Mixture,32.03
Sewage sludge,11.3619402985075,72.1,7.72,,Corn straw,2.68,30.45,Mixture,22.91
Manure,19.9,59.81,7.3,Swine manure,Corn straw,1.91,38.1,,17.13
Manure,19.9,60.21,7.89,Swine manure,Spent mushroom substrate,1.79,35.6,,11.11
Sewage sludge,,,,,Sawdust ,,,,13.6
Sewage sludge,,,,,Sawdust ,,,Biological,18.06
Sewage sludge,,,,,Sawdust ,,,Biological,13.51
Sewage sludge,,,,,Sawdust ,,,Biological,14.29
Manure,30.0,60.0,6.53,Poultry manure,Wheat straw,,,,36.3
Manure,30.0,60.0,6.85,Poultry manure,Wheat straw,,,Physical,33.2
Manure,30.0,60.0,6.46,Poultry manure,Wheat straw,,,Physical,26.6
Manure,30.0,60.0,6.52,Poultry manure,Wheat straw,,,Physical,20.4
Manure,30.0,60.0,6.5,Poultry manure,Wheat straw,,,Physical,14.9
Manure,30.0,60.0,6.55,Poultry manure,Wheat straw,,,Physical,10.7
Lignin,23.8,,8.2,,Straw,1.79,42.59,,29.8
Lignin,30.6,,8.4,,Straw,4.45,44.38,,22.8
Food waste,22.1,60.0,5.01,,Corn stalks ,1.79,39.6,,13.3
Food waste,18.2,60.0,4.43,,Corn stalks ,1.98,36.0,Chemical,8.4
Food waste,19.1,60.0,4.28,,Corn stalks ,1.89,36.0,Chemical,10.5
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,18.5
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,20.0
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,31.5
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,40.1
