Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,TC loss (%)
21.5660377358491,6,0.0,0,8.19,42,0.0,1.06,22.86,55,4,75.43
17.0772357723577,6,0.0,0,8.82,23,0.0,2.46,42.01,55,4,67.56
17.7269230769231,6,0.0,0,8.08,4,0.0,2.6,46.09,55,4,60.2
19.8385416666667,6,0.0,0,8.66,38,0.0,1.92,38.09,55,4,60.06
11.3619402985075,6,72.1,0,7.72,9,35.0,2.68,30.45,55,4,52.59
11.3619402985075,6,72.1,0,7.72,9,35.0,2.68,30.45,46,1,50.31
11.3619402985075,6,72.1,0,7.72,9,35.0,2.68,30.45,50,1,48.7
11.3619402985075,6,72.1,0,7.72,9,35.0,2.68,30.45,46,2,49.24
11.3619402985075,6,72.1,0,7.72,9,35.0,2.68,30.45,50,2,47.73
12.13,6,67.86,0,5.86,12,32.0,3.57017844197528,43.3062645011601,55,4,32.63
17.96,6,75.32,0,6.28,12,32.0,1.58511567339641,28.4686774941995,55,4,22.82
17.83,6,69.37,0,8.05,12,32.0,2.56059744454262,45.6554524361949,55,4,43.09
19.19,6,66.06,0,8.33,12,32.0,2.43655761350955,46.7575406032483,55,4,49.76
21.77,6,76.28,0,8.74,12,32.0,2.20934532824179,48.0974477958237,55,4,23.45
21.05,6,72.85,0,8.65,12,32.0,2.27251434271511,47.8364269141531,55,4,37.55
22.43,6,63.45,0,8.79,12,32.0,2.11821671547366,47.5116009280742,55,4,57.58
22.24,6,76.28,0,8.73,12,32.0,2.20621066951543,49.0661252900232,55,4,31.16
19.9,5,59.81,0,7.3,9,21.0,1.91,38.1,55,4,49.2
19.9,5,60.21,0,7.89,44,21.0,1.79,35.6,55,4,44.46
0.0,6,0.0,0,0.0,35,22.0,0.0,0.0,55,4,33.0
0.0,6,0.0,0,0.0,35,22.0,0.0,0.0,41,0,32.0
0.0,6,0.0,0,0.0,35,22.0,0.0,0.0,41,0,31.7
0.0,6,0.0,0,0.0,35,22.0,0.0,0.0,41,0,29.5
