Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,N2O-N loss (%)
11.3619402985075,9,72.1,0,7.72,3,35.0,2.68,30.45,28,1,1.11
11.3619402985075,9,72.1,0,7.72,3,35.0,2.68,30.45,31,1,0.6
11.3619402985075,9,72.1,0,7.72,3,35.0,2.68,30.45,28,2,0.24
11.3619402985075,9,72.1,0,7.72,3,35.0,2.68,30.45,31,2,0.23
19.9,7,59.81,0,7.3,3,21.0,1.91,38.1,34,4,2.3
19.9,7,60.21,0,7.89,14,21.0,1.79,35.6,34,4,1.24
0.0,9,0.0,0,0.0,12,22.0,0.0,0.0,34,4,1.14
0.0,9,0.0,0,0.0,12,22.0,0.0,0.0,24,0,0.74
0.0,9,0.0,0,0.0,12,22.0,0.0,0.0,24,0,0.94
0.0,9,0.0,0,0.0,12,22.0,0.0,0.0,24,0,0.43
23.8,9,0.0,0,8.2,15,45.0,1.79,42.59,34,4,0.41
30.6,9,0.0,0,8.4,15,45.0,4.45,44.38,34,4,0.09
12.2,3,81.0,0,7.0,24,84.0,3.86,46.9,34,4,0.55
15.3,3,75.8,0,7.1,9,84.0,3.18,48.8,34,4,0.57
22.3,9,77.3,0,8.7,9,84.0,2.16,48.2,34,4,0.06
20.1,9,77.0,0,8.8,9,84.0,2.25,45.3,34,4,0.03
29.9,9,80.0,0,6.7,18,84.0,1.82,54.5,34,4,0.01
16.9,9,84.1,0,10.7,24,84.0,2.26,38.3,3,3,0.12
20.5,9,80.7,0,9.8,9,84.0,2.21,45.3,3,3,0.02
21.3,9,81.5,0,10.0,9,84.0,2.03,42.5,3,3,0.07
17.3,7,0.0,0,0.0,3,51.0,2.12,36.7,34,4,1.4
17.3,7,0.0,0,0.0,3,51.0,2.12,36.7,34,4,1.2
17.3,7,0.0,0,0.0,3,51.0,2.12,36.7,34,4,1.7
17.3,7,0.0,0,0.0,3,51.0,2.12,36.7,34,4,2.7
17.3,7,0.0,0,0.0,3,51.0,2.12,36.7,34,4,2.7
17.3,7,0.0,0,0.0,3,51.0,2.12,36.7,34,4,2.5
21.0526315789474,0,61.0,1,0.0,12,45.0,1.9,40.0,34,4,0.169230769230769
21.0526315789474,0,61.0,1,0.0,12,45.0,1.9,40.0,34,4,0.415384615384615
21.0526315789474,0,61.0,1,0.0,12,45.0,1.9,40.0,34,4,0.476923076923077
21.0526315789474,0,61.0,1,0.0,12,45.0,1.9,40.0,34,4,0.261538461538462
21.0526315789474,0,61.0,1,0.0,12,45.0,1.9,40.0,34,4,0.384615384615385
16.5,0,83.0,0,8.45,1,30.0,1.65,43.0,34,4,0.0134
16.5,0,83.0,0,8.45,1,30.0,1.65,43.0,34,4,0.0139
