material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,N2O-N loss (%)
Food waste,32.5,57.78,6.5,,锯末,,,,1.0
Food waste,22.5,58.6,6.2,,蘑菇渣,,,,2.0
Manure,23.6,66.6,,Cow manure,,,,,1.2
Manure,23.1,66.9,,Cow manure,,,,,1.9
Manure,8.4,45.0,,Poultry manure,,,,,0.4
Manure,7.7,66.7,,Poultry manure,,,,,0.2
Manure,9.3,44.0,,Poultry manure,,,,,0.2
Manure,7.8,65.8,,Poultry manure,,,,,0.2
Manure,13.0,62.0,8.4,Swine manure,稻草,,,,2.5
Manure,7.0,62.0,8.4,Swine manure,稻草,,,,9.9
Manure,26.85,85.5,,Cow manure,稻草,,,,0.36
Manure,19.22,84.3,,Cow manure,稻草,,,,1.55
Manure,26.91,81.2,,Cow manure,稻草,,,,1.98
Manure,22.18,83.1,,Cow manure,稻草,,,,2.36
Manure,19.6,84.7,,Cow manure,稻草,,,,3.08
Manure,29.0,69.4,8.8,Swine manure,小麦秸秆,,,,1.13
Manure,24.7,71.1,9.1,Swine manure,小麦秸秆+尿素,,,,1.06
Manure,17.6,71.2,8.8,Swine manure,小麦秸秆+尿素,,,,1.02
Manure,19.0,67.6,9.0,Swine manure,小麦秸秆+尿素,,,,0.71
Manure,19.5,69.2,8.6,Swine manure,小麦秸秆+尿素,,,,0.81
Manure,21.2,71.0,9.2,Swine manure,小麦秸秆+尿素+锯末,,,,0.77
Manure,19.6,70.3,7.5,Swine manure,小麦秸秆+尿素+甜菜渣,,,,1.2
Manure,19.5,71.8,8.4,Swine manure,小麦秸秆+甜菜渣+尿素+锯末,,,,1.03
Manure,18.9,61.9,8.0,Cow manure,稻草,,,,0.26
Manure,19.1,59.3,8.2,Cow manure,稻草,,,,0.48
Manure,16.3,66.0,8.6,Cow manure,,,,,0.28
Manure,14.5,70.0,8.6,Cow manure,,,,,0.7
Manure,,68.0,8.1,Swine manure,锯末,,,,3.72
Manure,,68.0,8.1,Swine manure,锯末,,,,4.65
Manure,,60.0,7.71,Cow manure,锯末,,,,2.02
Manure,26.67,76.0,,Cow manure,稻草,,,,0.37
Manure,18.28,65.8,7.17,Swine manure,木屑,,,,6.53
Manure,24.03,67.3,7.94,Swine manure,木屑,,,,5.62
Manure,15.0,65.0,8.6,Swine manure,玉米秸秆,,,,1.6
Manure,18.0,65.0,8.5,Swine manure,玉米秸秆,,,,4.2
Manure,21.0,65.0,8.3,Swine manure,玉米秸秆,,,,5.3
Manure,18.0,70.0,8.5,Swine manure,玉米秸秆,,,,1.5
Manure,21.0,70.0,8.3,Swine manure,玉米秸秆,,,,5.0
Manure,15.0,70.0,8.7,Swine manure,玉米秸秆,,,,7.3
Manure,21.0,75.0,8.4,Swine manure,玉米秸秆,,,,2.1
Manure,15.0,75.0,8.6,Swine manure,玉米秸秆,,,,3.8
Manure,18.0,75.0,8.6,Swine manure,玉米秸秆,,,,5.2
Manure,11.0,63.8,8.6,Swine manure,稻草,,,,1.9
Manure,18.18,62.3,,Cow manure,稻草,,,,0.3
Manure,21.59,64.2,,Cow manure,稻草,,,,0.1
Manure,17.59,64.0,,Cow manure,稻草,,,,0.1
Manure,,61.9,7.5,Swine manure,锯末,,,,8.85
Manure,,64.6,7.4,Swine manure,锯末,,,,9.27
Manure,20.3,70.4,8.25,Swine manure,玉米秸秆,,,,0.73
Manure,17.8,63.0,8.6,Swine manure,玉米秸秆,,,,0.1884
Manure,17.8,63.0,8.6,Swine manure,玉米秸秆,,,,0.1836
Manure,17.8,63.0,8.6,Swine manure,玉米秸秆,,,,1.405
Manure,,65.0,6.79,Swine manure,木屑,,,,0.1
Manure,16.0,60.1,8.35,Cow manure,稻草,,,,0.387
Manure,36.0,59.6,6.99,Cow manure,木屑,,,,0.679
Manure,18.4,70.0,7.4,Swine manure,玉米秸秆,,,,1.7
Manure,,,7.8,Cow manure,,,,,0.003
Food waste,17.1,72.7,6.1,,庭院垃圾,,,,3.3
Manure,17.86,65.9,7.8,Swine manure,玉米秸秆,,,,3.1
Manure,18.4,69.2,8.3,Swine manure,玉米秸秆,,,,1.5
Manure,18.0,65.0,8.5,Swine manure,玉米秸秆,,,,0.9228
Manure,18.0,65.0,6.6,Swine manure,蘑菇渣,,,,0.349
Manure,18.0,65.0,8.6,Swine manure,锯末,,,,0.6148
Manure,19.3,70.5,7.6,Cow manure,小麦秸秆,,,,1.07344
Manure,19.3,70.5,7.6,Cow manure,小麦秸秆,,,,0.62146
Manure,21.18,57.8,,Cow manure,,,,,0.0005
Manure,14.2,65.4,9.1,Cow manure,小麦秸秆,,,,0.74
Manure,14.2,65.4,9.1,Cow manure,小麦秸秆,,,,0.83
Manure,14.2,65.4,9.1,Cow manure,小麦秸秆,,,,0.93
Manure,33.85,45.0,7.75,Swine manure,玉米芯,,,,0.00068
Manure,33.85,55.0,7.75,Swine manure,玉米芯,,,,0.000756
Manure,33.85,65.0,7.75,Swine manure,玉米芯,,,,0.00234
Manure,33.85,75.0,7.6,Swine manure,玉米芯,,,,0.0006
Manure,33.85,85.0,6.9,Swine manure,玉米芯,,,,0.00189
Manure,19.0,67.6,7.8,Swine manure,玉米秸秆,,,,0.57
Manure,30.0,60.0,6.9,Cow manure,玉米秸秆,,,,1.0
Manure,30.0,60.0,6.9,Cow manure,玉米秸秆,,,,0.4
Manure,30.0,60.0,6.9,Cow manure,玉米秸秆,,,,0.2
Manure,30.0,60.0,5.0,Cow manure,玉米秸秆,,,,0.3
Sewage sludge,11.37,72.1,7.72,,玉米秸秆,,,,0.88
Manure,14.57,66.16,,Swine manure,小麦秸秆,,,,0.0264
Manure,13.95,66.77,,Swine manure,小麦秸秆,,,,0.0231
Manure,14.26,64.71,,Swine manure,小麦秸秆,,,,0.0161
Manure,13.74,64.71,,Swine manure,小麦秸秆,,,,0.0125
Manure,17.9,62.63,8.3,Cow manure,稻草,,,,0.0861
Manure,,65.45,6.79,Swine manure,纸屑,,,,0.1
Manure,6.975,63.1,,Poultry manure,玉米秸秆,,,,0.0246
Manure,6.975,63.1,,Poultry manure,玉米秸秆,,,,0.0239
Manure,6.975,63.1,,Poultry manure,玉米秸秆,,,,0.01966
Manure,14.5,65.0,7.5,Poultry manure,甘蔗秸秆,,,,1.4
Food waste,22.0,60.0,5.0,,玉米秸秆,,,,2.0
Manure,12.76,76.4,,Swine manure,稻草,,,,0.8
Manure,16.27,65.27696066324229,,Swine manure,稻草,,,,0.1
Sewage sludge,25.0,66.0,7.5,,锯末,,,,1.0
Food waste,40.0,60.0,8.1,,小麦秸秆,,,,2.88
Manure,27.0,60.0,,Cow manure,小麦秸秆,,,,0.1
Manure,31.0,55.0,7.7,Poultry manure,米糠+蘑菇渣 ,,,,8.6
Manure,,65.4,7.1,Swine manure,锯末,,,,2.3
Manure,,64.9,6.9,Swine manure,锯末,,,,4.1
Sewage sludge,25.0,55.0,7.4,,小麦秸秆,,,,1.0
Manure,13.67,61.0,7.8,Swine manure,玉米秸秆,,,,1.32
Manure,17.23,62.14,8.1,Swine manure,玉米秸秆,,,,0.09
Manure,19.0,60.0,7.1,Swine manure,玉米秸秆,,,,0.34
,14.0,71.7,7.55,,,6.6,92.4,,0.230363636363636
,14.0,79.6,7.43,,,6.39,89.46,,0.363363636363636
,16.0,77.9,8.7,,,6.69,107.04,,0.285090909090909
,15.0,78.8,8.2,,,6.31,94.65,,0.560636363636364
,13.5008665511265,82.16,9.4,,,5.77,77.9,,0.135545454545455
,16.2844036697248,82.36,9.8,,,4.36,71.0,,0.365909090909091
,9.89637305699482,69.94,9.6,,,11.58,114.6,,0.168
,18.5903083700441,65.0,,,,3.103822807137219,61.57221741851782,,1.61
,18.2159090909091,62.3,,,,8.8,160.3,,0.190909090909091
,21.6666666666667,64.2,,,,6.9,149.5,,0.0636363636363636
,19.6794871794872,64.17,,,,7.8,153.5,,0.127272727272727
,17.6781609195402,63.96,,,,8.7,153.8,,0.0636363636363636
,26.6666666666667,76.0,,,,4.32,115.2,,0.578454545454545
,26.6898148148148,76.0,,,,4.32,115.3,,0.154636363636364
,16.608040201005,60.0,8.35,,,7.96,132.2,,0.246272727272727
,36.134,59.6,6.99,,,5.0,180.67,,0.432090909090909
,21.1785714285714,57.8,,,,8.4,177.9,,0.00254545454545455
,21.3733333333333,62.1,,,,7.5,160.3,,0.00146363636363636
,20.7710843373494,59.1,,,,8.3,172.4,,0.000318181818181818
,21.04,60.55,,,,7.5,157.8,,0.107545454545455
