Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,TN loss (%)
0.0,4,0.0,0,6.6,4,0.0,0.0,0.0,16,1,15.82
0.0,4,0.0,0,6.7,4,0.0,0.0,0.0,15,1,27.47
0.0,4,0.0,0,8.35,4,0.0,0.0,0.0,20,1,32.42
17.9230769230769,2,50.0,4,5.7,36,0.0,2.6,46.6,77,4,23.4
0.0,2,0.0,4,5.6,36,0.0,0.0,0.0,42,0,13.05
0.0,2,0.0,4,0.0,36,0.0,0.0,0.0,44,0,16.78
11.37,5,65.0,0,7.78,4,0.0,0.0,0.0,77,4,37.08
0.0,5,65.0,4,0.0,4,0.0,0.0,0.0,72,3,28.22
18.3725490196078,4,69.2,4,8.2,36,0.0,2.04,37.48,77,4,37.5
0.0,4,0.0,4,8.0,36,0.0,0.0,0.0,18,1,18.8
0.0,4,0.0,4,7.25,36,0.0,0.0,0.0,72,3,24.8
0.0,4,0.0,4,6.75,36,0.0,0.0,0.0,16,1,15.5
30.0,2,60.0,0,6.53,31,50.0,0.0,0.0,77,4,41.19
30.0,2,60.0,0,6.85,31,50.0,0.0,0.0,8,3,38.64
30.0,2,60.0,0,6.46,31,50.0,0.0,0.0,8,3,31.45
30.0,2,60.0,0,6.52,31,50.0,0.0,0.0,8,3,25.78
30.0,2,60.0,0,6.5,31,50.0,0.0,0.0,8,3,18.48
30.0,2,60.0,0,6.55,31,50.0,0.0,0.0,8,3,12.39
25.0,4,55.0,4,7.75,36,0.0,2.084,52.1,77,4,3.28
0.0,4,0.0,4,8.2,36,0.0,0.0,0.0,52,3,1.87
0.0,4,0.0,4,0.0,36,0.0,0.0,0.0,54,3,1.06
33.5,5,67.6,4,6.1,19,0.0,1.46,42.91,77,4,20.9
33.5245901639344,5,67.3,4,7.65,19,0.0,1.22,40.9,31,1,14.7
33.1129032258065,5,66.8,4,6.7,19,0.0,1.24,41.06,21,1,17.3
31.530303030303,5,66.0,4,6.43,19,0.0,1.32,41.62,32,1,5.7
20.0,5,60.0,0,8.0,4,42.0,1.79,30.63,77,4,17.0
20.0,5,60.0,0,8.0,4,42.0,1.79,30.63,4,3,10.5
20.0,5,60.0,0,8.0,4,42.0,1.79,30.63,29,1,13.3
20.0,5,60.0,0,8.0,4,42.0,1.79,30.63,4,2,9.71
26.7620561738209,2,60.0,0,7.8,1,30.0,1.2,32.1144674085851,77,4,18.8
2.90159278923324,2,60.0,0,7.8,1,30.0,10.4,30.1765650080257,7,3,17.5
2.53674592815391,2,60.0,0,7.8,1,30.0,13.4,33.9923954372624,4,3,15.8
25.0,4,66.0,0,0.0,26,20.0,0.0,6.0,77,4,31.27
25.0,4,66.0,0,0.0,26,20.0,0.0,6.35,4,3,7.06
25.0,4,66.0,0,0.0,26,20.0,0.0,5.8,13,1,18.58
25.0,4,66.0,0,0.0,26,20.0,0.0,5.85,4,2,17.78
0.0,0,0.0,0,7.6,4,50.0,0.0,0.0,77,4,17.42
0.0,0,0.0,0,7.6,4,50.0,0.0,0.0,38,3,11.14
0.0,0,0.0,0,7.6,4,50.0,0.0,0.0,0,3,9.5
20.0,2,0.0,0,7.49,4,30.0,0.0,0.0,77,4,26.06
25.0,2,0.0,0,7.45,4,30.0,0.0,0.0,77,4,21.99
30.0,2,0.0,0,7.42,4,30.0,0.0,0.0,77,4,13.04
0.0,4,0.0,0,0.0,31,56.0,0.0,0.0,77,4,23.89
0.0,4,0.0,0,0.0,31,56.0,0.0,0.0,2,0,30.01
0.0,4,0.0,0,0.0,31,56.0,0.0,0.0,4,3,16.59
0.0,4,0.0,0,0.0,31,56.0,0.0,0.0,3,2,22.73
20.0,2,60.0,0,7.96,14,91.0,1.99,39.8,77,4,37.37
20.0,2,60.0,0,7.9,14,91.0,2.02,40.4,4,3,28.54
20.0,2,60.0,0,7.54,14,91.0,1.93,38.6,14,1,25.82
20.0,2,60.0,0,7.45,14,91.0,1.96,39.2,4,2,16.99
25.0,2,60.0,0,7.6,14,91.0,7.87,196.75,77,4,29.9
25.0,2,60.0,0,7.69,14,91.0,1.78,44.5,4,3,18.35
25.0,2,60.0,0,7.16,14,91.0,1.82,45.5,14,3,16.31
25.0,2,60.0,0,7.27,14,91.0,1.76,44.0,4,3,3.4
30.0,2,60.0,0,7.53,14,91.0,1.67,50.1,77,4,23.1
30.0,2,60.0,0,7.48,14,91.0,1.63,48.9,4,3,16.99
30.0,2,60.0,0,7.13,14,91.0,1.7,51.0,14,3,8.15
30.0,2,60.0,0,7.1,14,91.0,1.52,45.6,4,3,5.43
20.0,2,60.0,0,7.96,14,91.0,1.99,39.8,77,4,37.37
25.0,2,60.0,0,7.6,14,91.0,7.87,196.75,77,4,29.9
30.0,2,60.0,0,7.53,14,91.0,1.67,50.1,77,4,23.1
20.0,2,60.0,0,7.9,14,91.0,2.02,40.4,4,3,28.54
25.0,2,60.0,0,7.69,14,91.0,1.78,44.5,4,3,18.35
30.0,2,60.0,0,7.48,14,91.0,1.63,48.9,4,3,16.99
20.0,2,60.0,0,7.54,14,91.0,1.93,38.6,14,3,25.82
25.0,2,60.0,0,7.16,14,91.0,1.82,45.5,14,3,16.31
30.0,2,60.0,0,7.13,14,91.0,1.7,51.0,14,3,8.15
20.0,2,60.0,0,7.45,14,91.0,1.96,39.2,4,3,16.99
25.0,2,60.0,0,7.27,14,91.0,1.76,44.0,4,3,3.4
30.0,2,60.0,0,7.1,14,91.0,1.52,45.6,4,3,5.43
14.0,0,0.0,0,7.21,36,21.0,2.52,35.3,77,4,16.77
11.5,0,0.0,0,7.26,36,21.0,2.34,26.8,27,3,14.92
14.7,0,0.0,0,7.36,36,21.0,2.52,36.1,28,3,7.94
14.2,0,65.4,0,9.1,31,31.0,2.1,29.7,77,4,29.8
14.2,0,65.4,0,9.1,31,31.0,2.1,29.7,77,4,31.0
14.2,0,65.4,0,9.1,31,31.0,2.1,29.7,77,4,35.9
21.5660377358491,5,0.0,0,8.19,23,0.0,1.06,22.86,77,4,55.2
17.0772357723577,5,0.0,0,8.82,12,0.0,2.46,42.01,77,4,35.9
17.7269230769231,5,0.0,0,8.08,2,0.0,2.6,46.09,77,4,29.9
19.8385416666667,5,0.0,0,8.66,22,0.0,1.92,38.09,77,4,30.51
11.3619402985075,5,72.1,0,7.72,4,35.0,2.68,30.45,77,4,38.08
11.3619402985075,5,72.1,0,7.72,4,35.0,2.68,30.45,67,1,30.24
11.3619402985075,5,72.1,0,7.72,4,35.0,2.68,30.45,72,1,28.22
11.3619402985075,5,72.1,0,7.72,4,35.0,2.68,30.45,67,2,35.14
11.3619402985075,5,72.1,0,7.72,4,35.0,2.68,30.45,72,2,26.16
12.13,5,67.86,0,5.86,7,32.0,3.57017844197528,43.3062645011601,77,4,52.0
17.96,5,75.32,0,6.28,7,32.0,1.58511567339641,28.4686774941995,77,4,17.06
17.83,5,69.37,0,8.05,7,32.0,2.56059744454262,45.6554524361949,77,4,37.71
19.19,5,66.06,0,8.33,7,32.0,2.43655761350955,46.7575406032483,77,4,33.42
21.77,5,76.28,0,8.74,7,32.0,2.20934532824179,48.0974477958237,77,4,23.26
21.05,5,72.85,0,8.65,7,32.0,2.27251434271511,47.8364269141531,77,4,31.6
22.43,5,63.45,0,8.79,7,32.0,2.11821671547366,47.5116009280742,77,4,34.13
22.24,5,76.28,0,8.73,7,32.0,2.20621066951543,49.0661252900232,77,4,26.68
19.9,4,59.81,0,7.3,4,21.0,1.91,38.1,77,4,32.32
19.9,4,60.21,0,7.89,25,21.0,1.79,35.6,77,4,29.84
0.0,5,0.0,0,0.0,19,22.0,0.0,0.0,77,4,14.75
0.0,5,0.0,0,0.0,19,22.0,0.0,0.0,57,0,18.6
0.0,5,0.0,0,0.0,19,22.0,0.0,0.0,57,0,14.45
0.0,5,0.0,0,0.0,19,22.0,0.0,0.0,57,0,14.85
25.21,5,56.23,0,8.12,31,42.0,1.78,44.89,77,4,23.5
25.21,5,56.23,0,8.12,31,42.0,1.78,44.89,4,3,0.5
25.21,5,56.23,0,8.12,31,42.0,1.78,44.89,4,2,0.5
25.21,5,56.23,0,8.12,31,42.0,1.78,44.89,4,2,0.5
25.21,5,56.23,0,8.12,31,42.0,1.78,44.89,4,2,0.5
11.7,5,65.3,1,6.92,16,26.0,3.51498205326512,41.1252900232019,77,4,55.92
25.0,5,61.9,1,6.0,16,26.0,1.98236658932715,49.5591647331787,77,4,32.02
45.0,5,58.4,1,5.6,16,26.0,1.18316576437226,53.2424593967517,77,4,23.29
40.0,5,56.2,1,5.8,16,26.0,1.31206496519722,52.4825986078886,77,4,28.36
35.0,5,58.8,1,5.7,16,26.0,1.48442161087173,51.9547563805104,77,4,25.55
30.0,5,60.9,1,5.7,16,26.0,1.69276875483372,50.7830626450116,77,4,27.35
20.0,5,61.9,1,6.7,16,26.0,2.38950116009281,47.7900232018562,77,4,42.17
15.0,5,64.5,1,6.82,16,26.0,2.99729311678268,44.9593967517401,77,4,44.85
23.5,0,0.0,0,8.3,36,100.0,1.52,35.65,77,4,63.0
22.9,0,0.0,0,7.2,36,100.0,1.04,23.81,67,1,47.11
22.3,0,0.0,0,8.3,36,100.0,1.02,23.61,76,3,49.81
23.1,0,0.0,0,7.5,36,100.0,1.03,23.81,67,2,46.85
37.2,0,0.0,0,8.2,18,100.0,1.0,37.16,77,4,58.15
36.1,0,0.0,0,7.0,18,100.0,0.82,29.73,67,1,49.0
37.1,0,0.0,0,8.0,18,100.0,0.8,29.73,76,3,46.31
36.6,0,0.0,0,7.3,18,100.0,0.81,29.73,67,2,48.46
47.5,0,0.0,0,7.7,13,100.0,0.85,40.41,77,4,44.15
45.9,0,0.0,0,6.7,13,100.0,0.7,32.33,67,1,26.65
47.5,0,0.0,0,7.6,13,100.0,0.68,32.33,76,3,28.27
46.7,0,0.0,0,6.9,13,100.0,0.69,32.33,67,2,31.19
23.5,0,0.0,0,8.3,36,100.0,1.52,35.65,77,4,63.0
37.2,0,0.0,0,8.2,18,100.0,1.0,37.16,77,4,58.15
47.5,0,0.0,0,7.7,13,100.0,0.85,40.41,77,4,44.15
22.9,0,0.0,0,7.2,36,100.0,1.04,23.81,67,3,47.11
36.1,0,0.0,0,7.0,18,100.0,0.82,29.73,67,3,49.0
45.9,0,0.0,0,6.7,13,100.0,0.7,32.33,67,3,26.65
22.3,0,0.0,0,8.3,36,100.0,1.02,23.61,76,3,49.81
37.1,0,0.0,0,8.0,18,100.0,0.8,29.73,76,3,46.31
47.5,0,0.0,0,7.6,13,100.0,0.68,32.33,76,3,28.27
23.1,0,0.0,0,7.5,36,100.0,1.03,23.81,67,3,46.85
36.6,0,0.0,0,7.3,18,100.0,0.81,29.73,67,3,48.46
46.7,0,0.0,0,6.9,13,100.0,0.69,32.33,67,3,31.19
52.8865979381443,5,0.0,0,6.7,36,105.0,0.97,51.3,77,4,36.66
55.0,5,0.0,0,8.76,36,105.0,0.92,50.6,37,1,55.1
53.695652173913,5,0.0,0,9.33,36,105.0,0.92,49.4,37,1,53.61
52.0212765957447,5,0.0,0,9.35,36,105.0,0.94,48.9,37,1,55.32
51.2087912087912,5,0.0,0,8.13,36,105.0,0.91,46.6,5,1,43.57
53.7349397590362,5,0.0,0,8.86,36,105.0,0.83,44.6,5,1,47.78
53.3766233766234,5,0.0,0,8.77,36,105.0,0.77,41.1,5,1,52.76
12.88,1,65.03,0,7.88,19,15.0,2.18,28.0,77,4,56.79
24.41,1,63.17,0,7.88,19,15.0,1.9,0.0,10,3,40.09374
27.43,1,62.39,0,7.7,19,15.0,1.8,0.0,1,3,46.62459
28.06,1,62.6,0,7.88,19,15.0,1.8,0.0,47,3,42.36534
16.31,1,61.97,0,7.88,19,15.0,2.05,0.0,26,3,52.36038
39.93,1,63.43,0,7.88,19,15.0,1.8,0.0,9,3,48.89619
20.0,5,61.1,0,6.0,21,32.0,2.47389791183295,49.4779582366589,77,4,9.58
30.0,5,53.5,0,6.1,21,32.0,1.72273781902552,51.6821345707657,77,4,6.85
40.0,5,48.5,0,6.5,21,32.0,1.3631090487239,54.5243619489559,77,4,1.18
23.0,5,74.7,0,8.9,7,32.0,2.10582063956421,48.4338747099768,77,4,19.02
30.0,5,65.6,0,8.9,7,32.0,1.66279969064192,49.8839907192575,77,4,4.98
40.0,5,53.0,0,8.2,7,32.0,1.35730858468677,54.292343387471,77,4,3.97
42.0,5,47.5,0,6.9,29,32.0,1.28300740249696,53.8863109048724,77,4,2.67
23.8,5,0.0,0,8.2,26,45.0,1.79,42.59,77,4,30.4
30.6,5,0.0,0,8.4,26,45.0,4.45,44.38,77,4,23.0
12.2,1,81.0,0,7.0,36,84.0,3.86,46.9,77,4,39.9
15.3,1,75.8,0,7.1,17,84.0,3.18,48.8,77,4,30.9
22.3,5,77.3,0,8.7,17,84.0,2.16,48.2,77,4,27.1
20.1,5,77.0,0,8.8,17,84.0,2.25,45.3,77,4,30.3
29.9,5,80.0,0,6.7,28,84.0,1.82,54.5,77,4,31.8
16.9,5,84.1,0,10.7,36,84.0,2.26,38.3,4,3,39.3
20.5,5,80.7,0,9.8,17,84.0,2.21,45.3,4,3,31.2
21.3,5,81.5,0,10.0,17,84.0,2.03,42.5,4,3,29.4
16.0,0,60.0,0,0.0,9,60.0,0.0,0.0,77,4,22.0
19.0,0,65.0,0,0.0,9,60.0,0.0,0.0,77,4,23.0
22.0,0,70.0,0,0.0,9,60.0,0.0,0.0,77,4,19.0
