Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,NH3-N loss (%)
0.0,11,0.0,0,5.2108,40,0.0,0.0,0.0,35,1,3.5
0.0,11,80.7,4,0.0,40,0.0,0.82,0.0,69,4,11.4
0.0,11,0.0,4,0.0,40,0.0,0.9,0.0,37,3,8.13793103448276
0.0,11,0.0,4,0.0,40,0.0,0.95,0.0,60,1,4.22508196721311
0.0,11,0.0,4,0.0,40,0.0,0.83,0.0,60,2,7.9278
18.4,9,69.2,0,0.0,5,35.0,2.04,37.48,69,4,32.5
18.4,9,69.2,0,0.0,5,35.0,2.04,37.48,15,1,14.5
18.4,9,69.2,0,0.0,5,35.0,2.04,37.48,18,1,16.0
18.4,9,69.2,0,0.0,5,35.0,2.04,37.48,5,1,13.3
18.4,9,69.2,0,0.0,5,35.0,2.04,37.48,13,1,5.9
23.936170212766,9,58.1,4,8.18689,40,0.0,1.88,45.0,69,4,20.3
0.0,9,0.0,4,8.07761,40,0.0,0.0,0.0,59,3,13.82
0.0,9,0.0,4,8.02036,40,0.0,0.0,0.0,59,3,10.57
0.0,9,0.0,4,7.92272,40,0.0,0.0,0.0,59,3,9.8
17.5789473684211,9,65.0,4,7.28,40,0.0,1.9,33.4,69,4,1.6
0.0,9,0.0,4,6.6,40,0.0,0.0,0.0,38,3,1.184
0.0,9,0.0,4,6.58,40,0.0,0.0,0.0,38,3,0.864
0.0,9,0.0,4,6.35,40,0.0,0.0,0.0,38,3,0.688
0.0,9,0.0,4,7.05,40,0.0,0.0,0.0,45,1,0.848
19.91,9,62.06,0,7.5,39,28.0,1.96,38.8245,69,4,13.18
18.23,9,58.69,0,7.75,39,28.0,1.29,35.68,59,3,11.36
32.46,11,53.59,4,0.0,40,0.0,1.1,35.52,69,4,32.7
0.0,11,0.0,4,0.0,40,0.0,0.0,0.0,49,0,20.3721
0.0,11,0.0,4,0.0,40,0.0,0.0,0.0,49,0,30.0186
22.4615384615385,9,65.0,1,7.56,40,0.0,1.69,37.96,69,4,26.82
0.0,9,0.0,4,8.03,40,0.0,1.51,37.7,40,3,21.65
0.0,9,0.0,4,8.17,40,0.0,1.41,37.34,40,3,7.31
0.0,9,0.0,4,8.33,40,0.0,1.35,40.35,40,3,5.47
18.9754901960784,9,67.6,0,7.8,4,0.0,2.04,38.71,69,4,29.26
0.0,9,0.0,0,6.7,4,0.0,0.0,0.0,48,3,16.11
0.0,9,0.0,0,8.0,4,0.0,0.0,0.0,42,3,30.93
0.0,9,0.0,4,7.2,4,0.0,0.0,0.0,35,1,16.12
19.25,9,60.0,0,7.1,4,0.0,2.0,38.5,69,4,24.95
0.0,9,0.0,0,6.6,4,0.0,0.0,0.0,12,1,11.23
0.0,9,0.0,0,6.7,4,0.0,0.0,0.0,11,1,22.85
0.0,9,0.0,0,8.35,4,0.0,0.0,0.0,16,1,26.71
16.6,6,53.8,0,7.9,30,0.0,2.89,47.9,69,4,15.67
11.37,11,65.0,0,7.78,4,0.0,0.0,0.0,69,4,31.52
