Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,CH4-C loss (%)
6.1,5,71.0,0,6.8,1,30.0,4.6,35.2,27,4,0.0507
6.1,5,71.0,0,6.8,1,30.0,4.61,35.2,27,4,0.0495
12.2,5,65.0,0,6.95,1,30.0,3.42,48.7,4,3,0.0135
12.2,5,65.0,0,6.95,1,30.0,3.42,48.7,4,3,0.0098
31.8,9,66.9,0,5.6,26,28.0,0.0,0.0,27,4,10.0
31.5,9,57.58,0,6.6,3,28.0,0.0,0.0,27,4,0.4
32.5,9,57.78,0,6.5,14,28.0,0.0,0.0,27,4,0.1
22.5,9,58.6,0,6.2,15,28.0,0.0,0.0,27,4,0.2
17.86,7,65.9,0,7.8,3,30.0,2.17,38.76,27,4,1.6
0.0,7,0.0,0,0.0,3,30.0,1.96,36.72,23,1,0.6
0.0,7,0.0,0,0.0,3,30.0,2.06,36.53,23,2,0.6
0.0,7,0.0,0,0.0,3,30.0,2.1,37.4,23,2,0.7
17.8,7,63.0,1,8.6,3,70.0,2.07,36.9,27,4,0.01869
17.8,7,63.0,1,8.6,3,70.0,2.07,36.9,27,4,0.0398
17.8,7,63.0,1,8.6,3,70.0,2.07,36.9,27,4,0.2563
14.7,7,64.1,0,0.0,4,37.0,2.36,34.8,27,4,7.5
18.4,7,71.3,0,0.0,4,37.0,2.06,38.0,27,4,7.2
21.2,7,75.7,0,0.0,4,37.0,1.93,40.9,27,4,6.4
18.3,7,65.2,0,0.0,4,37.0,2.08,38.0,27,4,3.7
21.1,7,70.6,0,0.0,4,37.0,1.9,40.1,27,4,1.7
14.9,7,76.8,0,0.0,4,37.0,2.37,35.3,27,4,5.7
20.7,7,63.7,0,0.0,4,37.0,1.9,39.4,27,4,0.8
15.0,7,70.8,0,0.0,4,37.0,2.35,35.2,27,4,4.2
18.0,7,74.0,0,0.0,4,37.0,2.09,37.6,27,4,3.8
14.7,7,64.1,0,0.0,4,37.0,2.36,34.8,27,4,7.5
18.4,7,71.3,0,0.0,4,37.0,2.06,38.0,27,4,7.2
21.2,7,75.7,0,0.0,4,37.0,1.93,40.9,27,4,6.4
18.3,7,65.2,0,0.0,4,37.0,2.08,38.0,27,4,3.7
21.1,7,70.6,0,0.0,4,37.0,1.9,40.1,27,4,1.7
14.9,7,76.8,0,0.0,4,37.0,2.37,35.3,27,4,5.7
20.7,7,63.7,0,0.0,4,37.0,1.9,39.4,27,4,0.8
15.0,7,70.8,0,0.0,4,37.0,2.35,35.2,27,4,4.2
18.0,7,74.0,0,0.0,4,37.0,2.09,37.6,27,4,3.8
13.16,7,69.47,0,7.13,3,0.0,0.0,0.0,27,4,0.17
21.9,0,66.0,1,0.0,14,0.0,0.0,0.0,27,4,0.31
21.9,0,66.0,1,0.0,14,0.0,0.0,0.0,27,4,0.34
21.9,0,66.0,1,0.0,14,0.0,0.0,0.0,27,4,0.41
17.4,7,64.0,1,7.4,3,0.0,0.0,0.0,27,4,0.14
17.4,7,64.0,1,7.4,3,0.0,0.0,0.0,27,4,0.25
17.4,7,64.0,1,7.4,3,0.0,0.0,0.0,27,4,0.5
25.38,9,68.07,0,7.57,3,0.0,0.0,0.0,27,4,0.147
24.32,9,68.53,0,6.95,14,0.0,0.0,0.0,27,4,0.135
15.39,7,60.0,1,6.54,7,0.0,0.0,0.0,27,4,2.135
15.39,7,60.0,1,6.54,7,0.0,0.0,0.0,27,4,0.849
7.73,9,64.83,1,8.25,7,0.0,0.0,0.0,27,4,0.32
8.54,9,57.48,1,8.22,7,0.0,0.0,0.0,27,4,0.064
11.37,9,72.1,0,7.78,3,0.0,0.0,0.0,27,4,0.64
18.99,7,67.7,1,0.0,3,0.0,0.0,0.0,27,4,0.27
25.0,5,60.0,0,6.5,21,0.0,0.0,0.0,27,4,0.34
47.48,9,65.0,0,7.2,21,0.0,0.0,0.0,27,4,0.14
25.0,7,60.0,0,7.7,21,0.0,0.0,0.0,27,4,4.73
6.53,7,77.53,1,6.2,26,0.0,0.0,0.0,27,4,0.13
6.81,7,66.71,1,7.01,7,0.0,0.0,0.0,27,4,0.9
9.22,7,66.36,1,7.41,7,0.0,0.0,0.0,27,4,0.4
7.35,7,67.68,1,7.59,8,0.0,0.0,0.0,27,4,0.9
7.24,7,66.26,1,8.04,9,0.0,0.0,0.0,27,4,1.2
19.11,9,72.13,0,5.67,14,0.0,0.0,0.0,27,4,0.0188
13.27,9,69.74,0,7.56,21,0.0,0.0,0.0,27,4,0.2047
13.56,9,71.05,0,8.08,12,0.0,0.0,0.0,27,4,0.1477
13.9,9,72.0,0,7.4,12,0.0,0.0,0.0,27,4,1.058
13.56,9,71.05,0,8.08,12,0.0,0.0,0.0,27,4,0.158
4.43,9,50.0,0,7.6,26,0.0,0.0,0.0,27,4,0.082
4.43,9,60.0,0,7.9,26,0.0,0.0,0.0,27,4,0.0435
4.43,9,70.0,0,5.1,26,0.0,0.0,0.0,27,4,0.052
14.0,7,61.43,1,6.62,13,0.0,0.0,0.0,27,4,0.09
14.0,7,65.75,1,7.06,13,0.0,0.0,0.0,27,4,3.49
14.93,0,65.59,1,8.48,13,0.0,0.0,0.0,27,4,0.08
14.43,0,76.09,1,7.74,13,0.0,0.0,0.0,27,4,0.04
15.0,7,40.0,0,6.72,3,0.0,0.0,0.0,27,4,0.05
15.0,7,60.0,0,6.76,3,0.0,0.0,0.0,27,4,0.04
15.0,7,80.0,0,6.63,3,0.0,0.0,0.0,27,4,0.08
15.0,7,60.0,1,6.82,3,0.0,0.0,0.0,27,4,0.03
