material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,TN loss (%)
Manure,18.54,,,Swine manure,,2.1,38.934,,40.1
Manure,,,,Swine manure,,,,Physical,36.4
Manure,,,,Swine manure,,,,Physical,34.3
Manure,,,,Swine manure,,,,Physical,28.1
Manure,,,,Swine manure,,,,Physical,21.7
Manure,,,,Swine manure,,,,Physical,11.5
Sewage sludge,32.8915662650602,71.68,,,,0.83,27.3,,40.7
Sewage sludge,33.8611449451888,,,,,0.821,27.8,Physical,38.3
Sewage sludge,35.5638166047088,,,,,0.807,28.7,Physical,32.2
Sewage sludge,37.1536523929471,,,,,0.794,29.5,Physical,26.7
Sewage sludge,38.618925831202,,,,,0.782,30.2,Physical,20.4
Sewage sludge,42.4619640387275,,,,,0.723,30.7,Physical,14.6
Manure,6.1,71.0,6.8,Poultry manure,,5.77049180327869,35.2,,58.0
Manure,12.2,65.0,6.95,Poultry manure,,3.99180327868852,48.7,Physical,48.0
Manure,,,,Poultry manure,,,,,48.0
Manure,,,,Poultry manure,,,,Physical,42.0
Sewage sludge,26.6666666666667,,8.0,,,1.8,48.0,,23.4
Sewage sludge,,,,,,,,Physical,0.9
Sewage sludge,,,,,,,,Physical,0.414
Sewage sludge,,,,,,,,Physical,0.55
Sewage sludge,,,,,,,,Physical,0.4
Sewage sludge,,58.2,7.7,,,,,,44.7
Sewage sludge,,,5.52688,,,,,Chemical,24.8
Sewage sludge,,,6.33333,,,,,Chemical,28.1
Sewage sludge,20.0,70.9,7.04,,,2.1,42.0,,24.4
Sewage sludge,21.0,71.7,7.28,,,2.0,42.0,Physical,9.2
Sewage sludge,25.0,68.3,7.25,,,1.7,42.5,Physical,8.5
Food waste,26.4,70.0,6.3,,,1.73,45.6,,49.1
Food waste,,,,,,1.73,,Biological,40.5
Food waste,,,6.2,,,1.61,,Chemical,18.9
Lignin,27.7,66.5,7.85,,,1.45,40.1,,15.2
Lignin,,,,,,1.45,,Physical,10.5
Lignin,,,,,,1.45,,Physical,9.0
Lignin,,,,,,1.45,,Physical,4.2
Manure,,65.4,7.1,Swine manure,,1.4,,,42.8
Manure,,,,Swine manure,,,,Biological,41.4
Manure,,64.9,6.9,Swine manure,,3.4,,,46.5483787203244
Manure,,,,Swine manure,,,,Biological,34.8142452731276
Manure,,65.0,7.9,Swine manure,,2.8,,,36.6851
Manure,,,,Swine manure,,,,Physical,26.2983
Manure,,,,Swine manure,,,,Physical,16.5746
Manure,,,,Swine manure,,,,Physical,12.5967
Manure,15.4166666666667,65.0,6.82846,Swine manure,,2.4,37.0,,53.1
Manure,,,6.00631,Swine manure,,,,Physical,36.2
Manure,,,6.2,Swine manure,,,,Physical,46.5
Manure,,,6.1,Swine manure,,,,Physical,41.5
Lignin,26.7142857142857,65.0,,,,1.4,37.4,,19.53
Lignin,,,,,,1.4,,Physical,22.53
Lignin,,,,,,1.4,,Physical,20.85
Lignin,,,,,,1.4,,Physical,19.4
Lignin,,,,,,1.4,,Physical,16.26
Lignin,,,,,,1.4,,Physical,14.85
Manure,,,,Swine manure,,,,,19.5
Manure,,,,Swine manure,,,,Biological,18.5
Manure,,,,Swine manure,,,,Biological,17.6
Manure,,,,Swine manure,,,,Biological,16.3
Manure,,,,Swine manure,,,,Biological,18.3
Manure,,,,Swine manure,,,,Biological,14.9
Manure,,,,Swine manure,,,,Biological,15.5
Manure,,,,Swine manure,,,,Biological,15.3
Sewage sludge,25.0,55.0,7.4,,,2.32,45.81,,6.03
Sewage sludge,,,7.8,,,,,Physical,4.15
Sewage sludge,,,7.8,,,,,Physical,2.7
Sewage sludge,,,8.0,,,,,Physical,3.16
Sewage sludge,,,8.0,,,,,Physical,2.44
Sewage sludge,,,8.1,,,,,Physical,2.21
Sewage sludge,,,8.2,,,,,Physical,2.08
,,80.7,,,,0.82,,,24.0506329113924
,,,,,,0.9,,Physical,17.2413793103448
,,,,,,0.95,,Chemical,11.6393442622951
,,,,,,0.83,,Mixture,18.1
Manure,,50.0,8.3,Cow manure,,1.52,,,62.7906976744186
Manure,,,7.2,Cow manure,,,,Physical,48.8372093023256
Manure,,,,Cow manure,,,,Physical,51.1627906976744
Manure,,,8.2,Cow manure,,1.0,,,58.9285714285714
Manure,,,7.0,Cow manure,,,,Physical,50.0
Manure,,,,Cow manure,,,,Physical,46.4285714285714
Manure,,,7.7,Cow manure,,0.85,,,43.75
Manure,,,6.7,Cow manure,,,,Physical,26.530612244898
Manure,,,,Cow manure,,,,Physical,29.1666666666667
Manure,18.4,69.2,8.25,Swine manure,,2.0,37.48,,37.5
Manure,,,8.03437,Swine manure,,,,Chemical,18.8
Manure,,,7.9795,Swine manure,,,,Chemical,20.8
Manure,,,8.11649,Swine manure,,,,Chemical,17.6
Manure,,,6.85618,Swine manure,,,,Chemical,9.8
Manure,12.8440366972477,65.03,7.88,Poultry manure,,2.18,28.0,,56.79
Manure,,63.17,7.88,Poultry manure,,1.9,,Physical,40.09374
Manure,,62.39,7.7,Poultry manure,,1.8,,Physical,46.62459
Manure,,62.6,7.88,Poultry manure,,1.8,,Physical,42.36534
Manure,,61.97,7.88,Poultry manure,,2.05,,Physical,52.36038
Manure,,63.43,7.88,Poultry manure,,1.8,,Physical,48.89619
Manure,,63.7,6.5,Swine manure,,2.6,40.0,,30.73
Manure,,,6.5,Swine manure,,,,Physical,20.73
Manure,14.4202898550725,65.0,,Swine manure,,2.76,39.8,,34.15
Manure,15.1481481481481,,,Swine manure,,2.7,40.9,Physical,29.07
Manure,22.5,89.8,7.84,Cow manure,,1.3,29.25,,15.0
Manure,,,7.68,Cow manure,,,,Physical,10.8
Manure,19.91,62.06,7.5,Swine manure,,1.96,38.8245,,20.29
Manure,18.23,58.69,7.75,Swine manure,,1.29,35.68,Physical,13.03
Manure,18.9754901960784,67.6,7.8,Swine manure,,2.04,38.71,,32.01
Manure,,,6.7,Swine manure,,,,Physical,20.32
Manure,,,8.0,Swine manure,,,,Physical,33.29
Manure,,,7.2,Swine manure,,,,Chemical,19.58
Manure,19.25,60.0,7.1,Swine manure,,2.0,38.5,,31.5
Manure,,,6.6,Swine manure,,,,Chemical,15.82
Manure,,,6.7,Swine manure,,,,Chemical,27.47
Manure,,,8.35,Swine manure,,,,Chemical,32.42
Manure,17.9230769230769,50.0,5.7,Poultry manure,,2.6,46.6,,23.4
Manure,,,5.6,Poultry manure,,,,Biological,13.05
Manure,,,,Poultry manure,,,,Biological,16.78
Sewage sludge,,,7.78,,,,,,37.08
Sewage sludge,,,,,,,,Physical,28.22
Manure,18.3725490196078,69.2,8.2,Swine manure,,2.04,37.48,,37.5
Manure,,,8.0,Swine manure,,,,Chemical,18.8
Manure,,,7.25,Swine manure,,,,Physical,24.8
Manure,,,6.75,Swine manure,,,,Chemical,15.5
Manure,16.45,65.0,,Swine manure,,2.356,38.7562,,53.1
Manure,,,,Swine manure,,,,Physical,36.2
Manure,,,,Swine manure,,,,Physical,46.5
Manure,30.0,60.0,6.53,Poultry manure,,,,,41.19
Manure,,,6.85,Poultry manure,,,,Physical,38.64
Manure,,,6.46,Poultry manure,,,,Physical,31.45
Manure,,,6.52,Poultry manure,,,,Physical,25.78
Manure,,,6.5,Poultry manure,,,,Physical,18.48
Manure,,,6.55,Poultry manure,,,,Physical,12.39
Manure,25.0,55.0,7.75,Swine manure,,2.084,52.1,,3.28
Manure,,,8.2,Swine manure,,,,Physical,1.87
Manure,,,,Swine manure,,,,Physical,1.06
Sewage sludge,33.5,67.6,6.1,,,1.46,42.91,,20.9
Sewage sludge,33.5245901639344,67.3,7.65,,,1.22,40.9,Chemical,14.7
Sewage sludge,33.1129032258065,66.8,6.7,,,1.24,41.06,Chemical,17.3
Sewage sludge,31.530303030303,66.0,6.43,,,1.32,41.62,Chemical,5.7
Food waste,20.22,,5.34,,,,,,27.3
Food waste,21.53,,5.47,,,,,Chemical,24.6
Food waste,25.18,,5.14,,,,,Chemical,11.2
Food waste,24.82,,5.22,,,,,,17.2
Sewage sludge,20.0,60.0,8.0,,Corn straw,1.79,30.63,,17.0
Sewage sludge,20.0,60.0,8.0,,Corn straw,1.79,30.63,Physical,10.5
Sewage sludge,20.0,60.0,8.0,,Corn straw,1.79,30.63,Chemical,13.3
Sewage sludge,20.0,60.0,8.0,,Corn straw,1.79,30.63,Mixture,9.71
Manure,26.7620561738209,60.0,7.8,Poultry manure,Cereal chaff,1.2,32.1144674085851,,18.8
Manure,2.90159278923324,60.0,7.8,Poultry manure,Cereal chaff,10.4,30.1765650080257,Physical,17.5
Manure,2.53674592815391,60.0,7.8,Poultry manure,Cereal chaff,13.4,33.9923954372624,Physical,15.8
Manure,25.0,66.0,,Swine manure,Straw,,6.0,,31.27
Manure,25.0,66.0,,Swine manure,Straw,,6.35,Physical,7.06
Manure,25.0,66.0,,Swine manure,Straw,,5.8,Chemical,18.58
Manure,25.0,66.0,,Swine manure,Straw,,5.85,Mixture,17.78
Manure,,,7.6,Cow manure,Corn straw,,,,17.42
Manure,,,7.6,Cow manure,Corn straw,,,Physical,11.14
Manure,,,7.6,Cow manure,Corn straw,,,Physical,9.5
Manure,20.0,,7.49,Poultry manure,Corn straw,,,,26.06
Manure,25.0,,7.45,Poultry manure,Corn straw,,,,21.99
Manure,30.0,,7.42,Poultry manure,Corn straw,,,,13.04
Manure,,,,Swine manure,Wheat straw,,,,23.89
Manure,,,,Swine manure,Wheat straw,,,Biological,30.01
Manure,,,,Swine manure,Wheat straw,,,Physical,16.59
Manure,,,,Swine manure,Wheat straw,,,Mixture,22.73
Manure,20.0,60.0,7.96,Poultry manure,Plant straw,1.99,39.8,,37.37
Manure,20.0,60.0,7.9,Poultry manure,Plant straw,2.02,40.4,Physical,28.54
Manure,20.0,60.0,7.54,Poultry manure,Plant straw,1.93,38.6,Chemical,25.82
Manure,20.0,60.0,7.45,Poultry manure,Plant straw,1.96,39.2,Mixture,16.99
Manure,25.0,60.0,7.6,Poultry manure,Plant straw,7.87,196.75,,29.9
Manure,25.0,60.0,7.69,Poultry manure,Plant straw,1.78,44.5,Physical,18.35
Manure,25.0,60.0,7.16,Poultry manure,Plant straw,1.82,45.5,Physical,16.31
Manure,25.0,60.0,7.27,Poultry manure,Plant straw,1.76,44.0,Physical,3.4
Manure,30.0,60.0,7.53,Poultry manure,Plant straw,1.67,50.1,,23.1
Manure,30.0,60.0,7.48,Poultry manure,Plant straw,1.63,48.9,Physical,16.99
Manure,30.0,60.0,7.13,Poultry manure,Plant straw,1.7,51.0,Physical,8.15
Manure,30.0,60.0,7.1,Poultry manure,Plant straw,1.52,45.6,Physical,5.43
Manure,20.0,60.0,7.96,Poultry manure,Plant straw,1.99,39.8,,37.37
Manure,25.0,60.0,7.6,Poultry manure,Plant straw,7.87,196.75,,29.9
Manure,30.0,60.0,7.53,Poultry manure,Plant straw,1.67,50.1,,23.1
Manure,20.0,60.0,7.9,Poultry manure,Plant straw,2.02,40.4,Physical,28.54
Manure,25.0,60.0,7.69,Poultry manure,Plant straw,1.78,44.5,Physical,18.35
Manure,30.0,60.0,7.48,Poultry manure,Plant straw,1.63,48.9,Physical,16.99
Manure,20.0,60.0,7.54,Poultry manure,Plant straw,1.93,38.6,Physical,25.82
Manure,25.0,60.0,7.16,Poultry manure,Plant straw,1.82,45.5,Physical,16.31
Manure,30.0,60.0,7.13,Poultry manure,Plant straw,1.7,51.0,Physical,8.15
Manure,20.0,60.0,7.45,Poultry manure,Plant straw,1.96,39.2,Physical,16.99
Manure,25.0,60.0,7.27,Poultry manure,Plant straw,1.76,44.0,Physical,3.4
Manure,30.0,60.0,7.1,Poultry manure,Plant straw,1.52,45.6,Physical,5.43
Manure,14.0,,7.21,Cow manure,,2.52,35.3,,16.77
Manure,11.5,,7.26,Cow manure,,2.34,26.8,Physical,14.92
Manure,14.7,,7.36,Cow manure,,2.52,36.1,Physical,7.94
Manure,14.2,65.4,9.1,Cow manure,Wheat straw,2.1,29.7,,29.8
Manure,14.2,65.4,9.1,Cow manure,Wheat straw,2.1,29.7,,31.0
Manure,14.2,65.4,9.1,Cow manure,Wheat straw,2.1,29.7,,35.9
Lignin,21.5660377358491,,8.19,,Soil,1.06,22.86,,55.2
Lignin,17.0772357723577,,8.82,,Pig manure,2.46,42.01,,35.9
Lignin,17.7269230769231,,8.08,,Chicken manure,2.6,46.09,,29.9
Lignin,19.8385416666667,,8.66,,Sheep manure,1.92,38.09,,30.51
Sewage sludge,11.3619402985075,72.1,7.72,,Corn straw,2.68,30.45,,38.08
Sewage sludge,11.3619402985075,72.1,7.72,,Corn straw,2.68,30.45,Chemical,30.24
Sewage sludge,11.3619402985075,72.1,7.72,,Corn straw,2.68,30.45,Chemical,28.22
Sewage sludge,11.3619402985075,72.1,7.72,,Corn straw,2.68,30.45,Mixture,35.14
Sewage sludge,11.3619402985075,72.1,7.72,,Corn straw,2.68,30.45,Mixture,26.16
Sewage sludge,12.13,67.86,5.86,,Dairy manure+ tomato stalk,3.57017844197528,43.3062645011601,,52.0
Sewage sludge,17.96,75.32,6.28,,Dairy manure+ tomato stalk,1.58511567339641,28.4686774941995,,17.06
Sewage sludge,17.83,69.37,8.05,,Dairy manure+ tomato stalk,2.56059744454262,45.6554524361949,,37.71
Sewage sludge,19.19,66.06,8.33,,Dairy manure+ tomato stalk,2.43655761350955,46.7575406032483,,33.42
Sewage sludge,21.77,76.28,8.74,,Dairy manure+ tomato stalk,2.20934532824179,48.0974477958237,,23.26
Sewage sludge,21.05,72.85,8.65,,Dairy manure+ tomato stalk,2.27251434271511,47.8364269141531,,31.6
Sewage sludge,22.43,63.45,8.79,,Dairy manure+ tomato stalk,2.11821671547366,47.5116009280742,,34.13
Sewage sludge,22.24,76.28,8.73,,Dairy manure+ tomato stalk,2.20621066951543,49.0661252900232,,26.68
Manure,19.9,59.81,7.3,Swine manure,Corn straw,1.91,38.1,,32.32
Manure,19.9,60.21,7.89,Swine manure,Spent mushroom substrate,1.79,35.6,,29.84
Sewage sludge,,,,,Sawdust ,,,,14.75
Sewage sludge,,,,,Sawdust ,,,Biological,18.6
Sewage sludge,,,,,Sawdust ,,,Biological,14.45
Sewage sludge,,,,,Sawdust ,,,Biological,14.85
Manure,30.0,60.0,6.53,Poultry manure,Wheat straw,,,,41.19
Manure,30.0,60.0,6.85,Poultry manure,Wheat straw,,,Physical,38.64
Manure,30.0,60.0,6.46,Poultry manure,Wheat straw,,,Physical,31.45
Manure,30.0,60.0,6.52,Poultry manure,Wheat straw,,,Physical,25.78
Manure,30.0,60.0,6.5,Poultry manure,Wheat straw,,,Physical,18.48
Manure,30.0,60.0,6.55,Poultry manure,Wheat straw,,,Physical,12.39
Sewage sludge,25.21,56.23,8.12,,Wheat straw,1.78,44.89,,23.5
Sewage sludge,25.21,56.23,8.12,,Wheat straw,1.78,44.89,Physical,0.5
Sewage sludge,25.21,56.23,8.12,,Wheat straw,1.78,44.89,Mixture,0.5
Sewage sludge,25.21,56.23,8.12,,Wheat straw,1.78,44.89,Mixture,0.5
Sewage sludge,25.21,56.23,8.12,,Wheat straw,1.78,44.89,Mixture,0.5
Lignin,11.7,65.3,6.92,,Poultury manure,3.51498205326512,41.1252900232019,,55.92
Lignin,25.0,61.9,6.0,,Poultury manure,1.98236658932715,49.5591647331787,,32.02
Lignin,45.0,58.4,5.6,,Poultury manure,1.18316576437226,53.2424593967517,,23.29
Lignin,40.0,56.2,5.8,,Poultury manure,1.31206496519722,52.4825986078886,,28.36
Lignin,35.0,58.8,5.7,,Poultury manure,1.48442161087173,51.9547563805104,,25.55
Lignin,30.0,60.9,5.7,,Poultury manure,1.69276875483372,50.7830626450116,,27.35
Lignin,20.0,61.9,6.7,,Poultury manure,2.38950116009281,47.7900232018562,,42.17
Lignin,15.0,64.5,6.82,,Poultury manure,2.99729311678268,44.9593967517401,,44.85
Manure,23.5,,8.3,Cow manure,,1.52,35.65,,63.0
Manure,22.9,,7.2,Cow manure,,1.04,23.81,Chemical,47.11
Manure,22.3,,8.3,Cow manure,,1.02,23.61,Physical,49.81
Manure,23.1,,7.5,Cow manure,,1.03,23.81,Mixture,46.85
Manure,37.2,,8.2,Cow manure,Rice straw,1.0,37.16,,58.15
Manure,36.1,,7.0,Cow manure,Rice straw,0.82,29.73,Chemical,49.0
Manure,37.1,,8.0,Cow manure,Rice straw,0.8,29.73,Physical,46.31
Manure,36.6,,7.3,Cow manure,Rice straw,0.81,29.73,Mixture,48.46
Manure,47.5,,7.7,Cow manure,Pine sawdust,0.85,40.41,,44.15
Manure,45.9,,6.7,Cow manure,Pine sawdust,0.7,32.33,Chemical,26.65
Manure,47.5,,7.6,Cow manure,Pine sawdust,0.68,32.33,Physical,28.27
Manure,46.7,,6.9,Cow manure,Pine sawdust,0.69,32.33,Mixture,31.19
Manure,23.5,,8.3,Cow manure,,1.52,35.65,,63.0
Manure,37.2,,8.2,Cow manure,Rice straw,1.0,37.16,,58.15
Manure,47.5,,7.7,Cow manure,Pine sawdust,0.85,40.41,,44.15
Manure,22.9,,7.2,Cow manure,,1.04,23.81,Physical,47.11
Manure,36.1,,7.0,Cow manure,Rice straw,0.82,29.73,Physical,49.0
Manure,45.9,,6.7,Cow manure,Pine sawdust,0.7,32.33,Physical,26.65
Manure,22.3,,8.3,Cow manure,,1.02,23.61,Physical,49.81
Manure,37.1,,8.0,Cow manure,Rice straw,0.8,29.73,Physical,46.31
Manure,47.5,,7.6,Cow manure,Pine sawdust,0.68,32.33,Physical,28.27
Manure,23.1,,7.5,Cow manure,,1.03,23.81,Physical,46.85
Manure,36.6,,7.3,Cow manure,Rice straw,0.81,29.73,Physical,48.46
Manure,46.7,,6.9,Cow manure,Pine sawdust,0.69,32.33,Physical,31.19
Lignin,52.8865979381443,,6.7,,,0.97,51.3,,36.66
Lignin,22.0062680470267,,8.76,,,0.92,50.6,Chemical,55.1
Lignin,53.695652173913,,9.33,,,0.92,49.4,Chemical,53.61
Lignin,52.0212765957447,,9.35,,,0.94,48.9,Chemical,55.32
Lignin,51.2087912087912,,8.13,,,0.91,46.6,Chemical,43.57
Lignin,53.7349397590362,,8.86,,,0.83,44.6,Chemical,47.78
Lignin,53.3766233766234,,8.77,,,0.77,41.1,Chemical,52.76
Manure,12.88,65.03,,Manure,Sawdust,,,,56.97
Manure,24.41,63.17,,Manure,Sawdust,,,Physical,29.4
Manure,27.43,62.39,,Manure,Sawdust,,,Physical,17.9
Manure,28.06,62.6,,Manure,Sawdust,,,Physical,25.4
Manure,16.31,61.97,,Manure,Sawdust,,,Physical,7.8
Manure,39.93,63.43,,Manure,Sawdust,,,Physical,13.9
Lignin,20.0,61.1,6.0,,Sewage sludge + Tomato stalks,2.47389791183295,49.4779582366589,,9.58
Lignin,30.0,53.5,6.1,,Sewage sludge + Tomato stalks,1.72273781902552,51.6821345707657,,6.85
Lignin,40.0,48.5,6.5,,Sewage sludge + Tomato stalks,1.3631090487239,54.5243619489559,,1.18
Lignin,23.0,74.7,8.9,,Dariy manure + Tomato stalks,2.10582063956421,48.4338747099768,,19.02
Lignin,30.0,65.6,8.9,,Dariy manure + Tomato stalks,1.66279969064192,49.8839907192575,,4.98
Lignin,40.0,53.0,8.2,,Dariy manure + Tomato stalks,1.35730858468677,54.292343387471,,3.97
Lignin,42.0,47.5,6.9,,Tomato stalks,1.28300740249696,53.8863109048724,,2.67
Lignin,23.8,,8.2,,Straw,1.79,42.59,,30.4
Lignin,30.6,,8.4,,Straw,4.45,44.38,,23.0
Food waste,22.1,60.0,5.01,,Corn stalks ,1.79,39.6,,47.4
Food waste,18.2,60.0,4.43,,Corn stalks ,1.98,36.0,Chemical,30.7
Food waste,19.1,60.0,4.28,,Corn stalks ,1.89,36.0,Chemical,37.5
Manure,12.2,81.0,7.0,Manure,,3.86,46.9,,39.9
Manure,15.3,75.8,7.1,Manure ,Rice Straw,3.18,48.8,,30.9
Digestate,22.3,77.3,8.7,,Rice Straw,2.16,48.2,,27.1
Digestate,20.1,77.0,8.8,,Rice Straw,2.25,45.3,,30.3
Digestate,29.9,80.0,6.7,,Sugarcane,1.82,54.5,,31.8
Digestate,16.9,84.1,10.7,,,2.26,38.3,Physical,39.3
Digestate,20.5,80.7,9.8,,Rice Straw,2.21,45.3,Physical,31.2
Digestate,21.3,81.5,10.0,,Rice Straw,2.03,42.5,Physical,29.4
Manure,16.0,60.0,,Cow manure,Maize stalks,,,,22.0
Manure,19.0,65.0,,Cow manure,Maize stalks,,,,23.0
Manure,22.0,70.0,,Cow manure,Maize stalks,,,,19.0
Manure,16.0,70.0,,Cow manure,Maize stalks,,,,40.0
Manure,19.0,60.0,,Cow manure,Maize stalks,,,,28.0
Manure,22.0,65.0,,Cow manure,Maize stalks,,,,29.0
Manure,16.0,65.0,,Cow manure,Maize stalks,,,,45.0
Manure,19.0,70.0,,Cow manure,Maize stalks,,,,36.0
Manure,22.0,60.0,,Cow manure,Maize stalks,,,,32.0
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,21.3
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,23.0
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,36.6
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,44.1
