Initial Moisture Content (%),Material_Main,Initial GI (%),V3_Ventilation Duration (min),Additive_3,Initial pH,Material_2,Application Rate (%DW),V1_Ventilation Type,V4_Ventilation Day,M1_is Enclosed,Additive_1,Initial C/N (%),Material_3,Turning times,V5_Ventilation rate (L/min/kg iniDW),Period (d),Additive_2, Composting Method,Compost volume (m3),V2_Ventilation Interval (min),Additive_4,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
65.0,OFMSW,27.32884658064516,32.59890745029038,None,7.0,Green waste,5.676212222144407,Intermittent ,13.0,1.0,MgSO₄,28.0,Byproduct,23.0,1.4364847388059534,41.0,Calcium magnesium phosphate fertilizer,Trough,0.15181,818.0,None,1.411,56.44,119.29179400000008,5.340945414277388,0.7512161731719971,0.1648608690887863,1000000.0
62.0,OFMSW,27.32884658064516,53.60770948773025,None,8.0,Woody peat,6.296011374387133,Intermittent ,73.0,1.0,Sodium salt,26.0,Straw,18.0,1.33557959319632,107.0,Biochar,Reactor,0.15181,165.0,None,1.411,36.686,113.66918500000004,0.1447624579055698,1.089523434638977,0.1691692694035032,1000000.0
68.0,OFMSW,27.32884658064516,37.63077996913872,None,6.101284728621327,Green Waste,5.028587922792732,Intermittent ,13.0,1.0,Inorganic acid,21.600946433932823,Byproduct,6.0,0.4674744684368443,25.0,DCD,Reactor,0.15181,1031.0,None,1.411,30.47893541827921,118.47978500000004,3.3343029895976968,1.0487247705459597,0.1734879392413243,22.754690379267664
69.0,OFMSW,27.32884658064516,23.717488971919668,None,5.131281452101379,None,2.950263313589038,Intermittent ,17.0,0.0,Gypsum,15.880516317669862,Poultry manure,0.0,0.5809728496895992,19.0,Biochar,Trough,0.15181,33.0,None,1.411,22.40740852423217,116.34682200000006,2.8781701732317235,1.1283832788467407,0.146696024234849,23.79504426558904
58.75498931412274,OFMSW,27.32884658064516,25.079044233983197,None,5.526509206696701,None,5.515386916516498,Intermittent ,60.0,1.0,MgSO₄,38.984144321729055,Poultry manure,13.0,0.7955021370088047,125.0,Calcium magnesium phosphate fertilizer,Windrow,0.15181,494.0,None,1.411,55.006627637959696,115.50212400000008,5.177162475147,0.8529608249664307,0.1461854261493415,23.8094993409702
58.83152738523851,OFMSW,27.32884658064516,24.34922028075992,None,7.0,Sawdust,3.701929768313637,Intermittent ,84.0,0.0,Labile carbon source,24.0,Byproduct,13.0,0.6313079775695172,117.0,Biochar,Trough,0.15181,1267.0,None,1.411,33.864000000000004,117.31716500000006,3.686725953757647,1.1021028757095337,0.1446223645900062,1000000.0
67.13817522924762,OFMSW,27.32884658064516,54.84649133803244,None,5.0,Green Waste,5.311486973611857,Intermittent ,33.0,1.0,Inorganic acid,19.17458899106246,Poultry manure,24.0,1.6530100892475343,34.0,Calcium magnesium phosphate fertilizer,Reactor,0.15181,943.0,None,1.411,27.055345066389133,112.74869400000006,2.270541675087077,0.7448238134384155,0.182321517646665,26.94749221287043
69.78867715782674,OFMSW,27.32884658064516,3.100425419884172,None,6.961409154722951,Husk,3.561712386962072,Intermittent ,43.0,1.0,Sand,30.334925961115367,Byproduct,0.0,1.858763961942336,43.0,Calcium magnesium phosphate fertilizer,Reactor,0.15181,785.0,None,1.411,42.802580531133785,118.88438200000006,3.182487157998044,0.7282267808914185,0.1620230941364651,22.935718767101097
63.0,OFMSW,27.32884658064516,26.1018344144928,None,6.085141819155192,Plastic tube pieces,5.707075385355059,Intermittent ,22.0,0.0,Lime,17.841698370650203,Green waste,2.0,0.9291649804282334,23.0,DCD,Windrow,0.15181,1234.0,None,1.411,25.17463640098744,115.25447700000008,5.2794873039519645,1.1973350048065186,0.1755930954423393,23.881625636145067
54.70177896164593,OFMSW,27.32884658064516,41.09971526512943,None,5.17998484108668,Soil,8.030949292105802,Intermittent ,40.0,1.0,Gypsum,13.545534425868407,Byproduct,8.0,0.2093111149244813,58.0,Calcium magnesium phosphate fertilizer,Trough,0.15181,878.0,None,1.411,19.11274907490032,118.95361600000004,5.312141265706627,0.826614499092102,0.0730389280221797,27.10264876906402
57.62030564838067,OFMSW,27.32884658064516,33.55905288030612,None,8.0,Soil,3.2061624862953506,Intermittent ,29.0,0.0,Sodium salt,28.20112489931237,Green waste,26.0,1.0121402274546654,32.0,DCD,Windrow,0.15181,790.0,None,1.411,39.79178723292976,114.69492600000008,5.496126282434281,1.1774799823760986,0.1557541306650202,26.24334423533322
61.0,OFMSW,27.32884658064516,9.796367105822927,None,6.0,Plastic tube pieces,7.777949728344045,Intermittent ,59.0,0.0,Forsterite,24.970799539920264,Byproduct,23.0,0.981707286651658,67.0,DCD,Windrow,0.15181,347.0,None,1.411,35.233798150827496,118.95619900000004,5.528780244188943,1.0969444513320925,0.1545636052061547,26.19013777222572
56.37292920231034,OFMSW,27.32884658064516,8.07754183009554,None,6.764618530791516,Husk,4.792289146998946,Intermittent ,76.0,1.0,MgCl₂,22.146270864314086,Byproduct,14.0,1.6803977347770185,122.0,Gypsum,Reactor,0.15181,139.0,None,1.411,31.24838818954718,115.97177300000004,3.024354320700547,1.0185202360153198,0.2099923075911846,25.547958215973345
54.0,OFMSW,27.32884658064516,47.54014942788896,None,6.0,Soil,5.489418520007934,Intermittent ,19.0,1.0,LB Culture,23.59546770574181,Green waste,14.0,0.11149381568756,19.0,DCD,Reactor,0.15181,842.0,None,1.411,33.2932049328017,113.71884100000008,2.213395696760136,1.091842532157898,0.1112207610796335,25.19740470020849
69.0,OFMSW,28.77926714493776,22.104338297521277,None,6.718793699168025,Straw,4.150321967501925,Intermittent ,48.0,1.0,Sulfur,39.728424298280096,Straw,20.0,0.5217621595935005,49.0,Biochar,Reactor,0.15181,387.0,None,1.411,56.056806684873216,116.34834600000003,0.2168729537246153,0.1790151447057724,0.174906398713995,25.584016247945826
63.0,OFMSW,27.32884658064516,50.30747308972071,None,5.173430792536181,Husk,8.352532434242924,Intermittent ,13.0,1.0,MgCl₂,11.986932609100752,Byproduct,13.0,1.773988560611825,15.0,Calcium magnesium phosphate fertilizer,Trough,0.15181,505.0,None,1.411,16.91356191144116,116.87958000000006,5.594145407191838,0.7527711987495422,0.1402855307720628,27.237938150004297
