Additive_3,Additive_4,Initial Moisture Content (%),Initial GI (%),Application Rate (%DW),Material_2,V3_Ventilation Duration (min),V1_Ventilation Type,Compost volume (m3),Initial C/N (%),Period (d),V4_Ventilation Day,Material_Main,Additive_2,Additive_1,M1_is Enclosed,Turning times,V2_Ventilation Interval (min),Material_3,Initial pH, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,None,63.0,27.32884658064516,2.553107964351515,Plastic tube pieces,0.0,None,0.08,22.70881645609182,129.0,0.0,Goat manure,Biochar,Lignite,1.0,30.0,0,Mature compost,5.634332452373845,Windrow,0.0,0.875,19.870214399080343,108.28879700000005,5.387830902274388,0.9032484889030457,0.1892709049671175,18.388239473317437
None,None,61.58199399753719,27.32884658064516,2.1951560095482545,Sawdust,0.0,None,0.08,16.202643857212664,15.0,0.0,Goat manure,Biochar,Biochar,1.0,16.0,0,Straw,5.552055127206205,Reactor,0.0,0.875,14.17731337506108,107.348478,6.414803909129388,0.8157075643539429,0.1874992609980832,24.30412872125793
None,None,55.0,27.32884658064516,4.9315564426658165,Byproduct,0.0,None,0.08,25.0,116.0,0.0,Goat manure,Biochar,Microbiological agent,1.0,18.0,0,Green waste,6.0,Windrow,0.0,0.875,21.875,108.890719,4.714765688381723,0.936423122882843,0.1839544984946641,1000000.0
None,None,62.0,27.32884658064516,3.408141142696982,Straw,0.0,None,0.08,17.144889976821048,67.0,0.0,Goat manure,Biochar,Potassium phosphate,0.0,31.0,0,Poultry manure,7.0,Trough,0.0,0.875,15.001778729718415,107.34555300000002,5.392232129045145,0.7442461848258972,0.1337980169758654,20.944813137589573
None,None,51.96415476980398,27.32884658064516,4.942294617940277,Byproduct,0.0,Continuous,0.08,22.0,39.0,28.0,Goat manure,None,None,1.0,14.0,0,Poultry manure,6.10889240890371,Reactor,0.8607367327009479,0.875,19.25,106.24721300000004,5.63921750868215,0.893776535987854,0.231671083790129,1000000.0
None,None,58.0,27.32884658064516,3.3131021882659253,None,0.0,None,0.08,31.12764690118282,69.0,0.0,Goat manure,Biochar,Microbiological agent,1.0,23.0,0,Green waste,6.152212187846255,Windrow,0.0,0.875,27.236691038534968,106.743125,4.535119873282362,0.9361577033996582,0.186323659824531,18.29581792389651
None,None,53.0,27.32884658064516,3.0076766667198456,Byproduct,0.0,None,0.08,38.22015769584476,107.0,0.0,Goat manure,Calcium magnesium phosphate fertilizer,Clay,1.0,25.0,0,Byproduct,6.0,Reactor,0.0,0.875,33.44263798386417,106.77687900000002,3.422001240454418,0.9719250798225404,0.1946374973683521,18.867785616986318
None,None,60.0,27.32884658064516,4.784824487601327,Byproduct,0.0,Continuous,0.08,28.703468256437134,35.0,31.0,Goat manure,MgO,MgO,1.0,29.0,0,Byproduct,6.0,Reactor,0.399775974997439,0.875,25.11553472438249,107.43060800000003,2.117986494929509,1.0024616718292236,0.2315213261625059,27.00314400533796
None,None,52.65408827012614,27.32884658064516,4.960985802901002,Byproduct,0.0,Continuous,0.08,19.243434799931077,73.0,26.0,Goat manure,Biochar,Organic acid,1.0,22.0,0,Mature compost,8.0,Trough,1.6593176499356843,0.875,16.83800544993969,108.610417,5.710902716654952,0.9345718622207642,0.2177656490718984,23.444535868060058
None,None,64.0,27.32884658064516,7.055510482997998,Byproduct,0.0,Continuous,0.08,19.0,88.0,76.0,Goat manure,MgO,Biochar,1.0,31.0,0,Poultry manure,6.0,Windrow,0.3031986827643982,0.875,16.625,106.59827500000004,5.213787367915736,0.893776535987854,0.1924285481715451,1000000.0
None,None,54.95045913711776,27.32884658064516,7.899940438203781,Byproduct,0.0,Continuous,0.08,39.3506583801351,99.0,43.0,Goat manure,Biochar,Organic acid,1.0,27.0,0,Mature compost,7.0,Windrow,0.606217594740849,0.875,34.431826082618215,109.01360900000002,4.647412828190507,0.9345718622207642,0.171271616895731,25.236120384577884
None,None,51.0,27.32884658064516,2.899073415953118,Byproduct,0.0,None,0.08,20.293080774503725,100.0,0.0,Goat manure,Organic acid,K₂SO₄,0.0,29.0,0,None,5.0,Windrow,0.0,0.875,17.75644567769076,107.33869900000002,5.213787367915736,0.7527443766593933,0.1689501535232568,19.90886082942709
None,None,59.40232561286309,27.32884658064516,7.540739734926023,Sawdust,0.0,Continuous,0.08,14.493698080535909,67.0,25.0,Goat manure,Biochar,Carbonatite,1.0,27.0,0,Mature compost,5.440796400025695,Reactor,0.4223541601041334,0.875,12.68198582046892,107.534721,6.132799767644177,0.9335511922836304,0.16628982483331,21.786427461581507
None,None,69.0,27.32884658064516,2.1072224822934693,Husk,0.0,Continuous,0.08,31.472541259819124,40.0,24.0,Goat manure,Biochar,Urea,0.0,12.0,0,Byproduct,5.133797759801997,Windrow,1.8414876739617363,0.875,27.53847360234173,106.78495500000002,3.1211502397139426,0.846265971660614,0.1935239918134776,26.11848427496055
None,None,58.91075600549856,27.32884658064516,7.858619806600834,Woody peat,0.0,Continuous,0.08,23.91051679904921,16.0,12.0,Goat manure,Biochar,Sodium salt,0.0,28.0,0,Mature compost,6.0,Trough,0.0003138562011302,0.875,20.92170219916806,106.724281,5.482445358644215,0.8403712511062622,0.1408038427247274,26.99707810056229
None,None,66.66526476880028,27.32884658064516,5.338174632288204,None,0.0,Continuous,0.08,22.591844958669643,51.0,48.0,Goat manure,Biochar,Lignite,1.0,13.0,0,None,6.973566485976674,Reactor,0.4009764803715632,0.875,19.76786433883594,105.902265,6.733324932224042,0.8425911068916321,0.2401899748651338,26.18039891878661
None,None,63.0,27.32884658064516,5.159696958459859,Green waste,0.0,None,0.08,25.11768428986033,54.0,0.0,Goat manure,Biochar,Zeolite,1.0,18.0,0,None,6.7992798935130985,Windrow,0.0,0.875,21.97797375362779,106.860668,3.8979103272530473,0.8252925276756287,0.1773587938045871,1000000.0
None,None,61.66721377102786,27.32884658064516,5.391785408391959,Straw,0.0,None,0.08,21.864790623450823,115.0,0.0,Goat manure,Biochar,MgSO₄,1.0,23.0,0,Mature compost,7.0,Reactor,0.0,0.875,19.131691795519476,107.54179400000002,5.598609761746807,0.9032484889030457,0.201147598664064,20.555392116859917
None,None,60.0,27.32884658064516,7.316005699427394,Byproduct,0.0,None,0.08,27.057190247318168,83.0,0.0,Goat manure,Biochar,Zeolite,0.0,29.0,0,Straw,5.540588007222788,Windrow,0.0,0.875,23.6750414664034,108.64369200000002,3.85489561039314,0.7378162145614624,0.1543199054734424,19.84778134075753
