V2_Ventilation Interval (min),Initial GI (%),Material_2,Additive_3,Initial Moisture Content (%),Turning times,V1_Ventilation Type,Additive_1,Compost volume (m3),Period (d),Initial pH,Material_Main,Application Rate (%DW),Additive_4,Material_3,Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),V3_Ventilation Duration (min),M1_is Enclosed,V4_Ventilation Day,Additive_2, Composting Method,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,27.32884658064516,Plastic tube pieces,None,59.0,10.0,None,Ca-superphosphate,0.06,64.0,6.93677696004822,Food Waste,2.115509891132837,None,Mature compost,20.64058753416864,0.0,0.0,0.0,0.0,Mg(OH)₂,Trough,1.775,36.63704287314933,90.80401299999998,3.435941659728774,0.4524793922901153,0.155444183866996,20.54478793015996
0.0,27.68445740033137,Green waste,None,66.0,0.0,Continuous,Clay,0.06,55.0,7.302160344050012,Food Waste,7.571921256950769,None,Straw,30.413258413918605,1.694122009681293,0.0,1.0,55.0,Gypsum,Trough,1.775,53.98353368470552,91.27566399999998,7.557040765735444,0.5722099542617798,0.204945506817651,1000000.0
0.0,27.32884658064516,Husk,None,69.0,1.0,None,Biochar,0.06,22.0,8.0,Food Waste,8.458316623556623,None,Straw,27.43581300101717,0.0,0.0,0.0,0.0,MgO,Trough,1.775,48.69856807680547,92.251558,5.017317163919334,0.5312671065330505,0.1993444658524044,22.53871795497645
0.0,27.32884658064516,Husk,None,52.94193551638135,22.0,None,Biochar,0.06,34.0,8.0,Food Waste,8.651885397290554,None,Byproduct,21.0,0.0,0.0,0.0,0.0,Mg(OH)₂,Trough,1.775,37.275,91.440483,5.646675289406314,0.4608096778392792,0.1757486334749017,1000000.0
0.0,27.32884658064516,None,None,55.28145253829573,1.0,Continuous,Biochar,0.06,118.0,8.0,Food Waste,8.238752414745957,None,Poultry manure,13.0,0.8104457174985176,0.0,1.0,83.0,Gypsum,Reactor,1.775,23.075,91.89887599999996,10.74143172891698,0.6107588410377502,0.203771073874393,1000000.0
0.0,27.32884658064516,Green Waste,None,62.0,25.0,None,Biochar,0.06,67.0,7.0,Food Waste,7.167552633272,None,Straw,19.672577870549485,0.0,0.0,1.0,0.0,MgO,Reactor,1.775,34.918825720225335,91.46777299999998,7.235144302937425,0.6940069794654846,0.2283102263998906,18.69338541003209
0.0,27.32884658064516,Husk,None,51.91232683756302,0.0,Continuous,Ca-superphosphate,0.06,40.0,6.0,Food Waste,8.884755663510727,None,Byproduct,16.42590822409618,0.6424958916644674,0.0,1.0,39.0,MgO,Windrow,1.775,29.15598709777072,91.89887599999996,7.830333678529523,0.6006220579147339,0.1188263129051922,21.838123732006476
0.0,27.32884658064516,Husk,None,51.0,30.0,Continuous,Biochar,0.06,77.0,7.0,Food Waste,8.381092798458424,None,Byproduct,37.0,1.7049059574770955,0.0,0.0,48.0,None,Trough,1.775,65.675,91.37411699999996,5.737995611091377,0.5652265548706055,0.1954853758359215,1000000.0
0.0,27.32884658064516,Soil,None,63.0,30.0,Continuous,Biochar,0.06,35.0,6.0,Food Waste,5.329737181781291,None,None,37.0,0.6123669085810513,0.0,1.0,11.0,Gypsum,Reactor,1.775,65.675,91.26488999999997,6.112416927437414,0.5354570746421814,0.2018356378324214,1000000.0
0.0,27.32884658064516,None,None,69.0,27.0,Continuous,Biochar,0.06,54.0,6.364558562835546,Food Waste,2.9289268638096,None,Green waste,21.0,1.4085171662535516,0.0,1.0,29.0,Ca-superphosphate,Trough,1.775,37.275,90.83868699999998,5.405308053715025,0.5571495294570923,0.2789900125489172,1000000.0
