V3_Ventilation Duration (min),M1_is Enclosed,Period (d),Additive_2,Material_2,Material_Main,V2_Ventilation Interval (min),Initial Moisture Content (%),V4_Ventilation Day,Additive_4,V5_Ventilation rate (L/min/kg iniDW),Additive_1,V1_Ventilation Type,Application Rate (%DW),Material_3,Initial C/N (%), Composting Method,Turning times,Compost volume (m3),Additive_3,Initial GI (%),Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,1.0,22.0,Inorganic acid,Straw,Swine manure,0.0,63.94538185128119,10.0,None,1.488017685227128,Mature compost,Continuous,5.583240929904908,Straw,33.14862297911353,Trough,3.0,0.6277154746460176,None,27.32884658064516,7.0,2.0952942734506244,69.45611990091037,102.268533,8.28928065973645,0.2333394587039947,0.2352943213816544,26.80514538997388
0.0,1.0,36.0,MgO,Plastic tube pieces,Swine manure,0.0,62.96001488231572,0.0,None,0.0,Calcium magnesium phosphate fertilizer,None,5.458894299688848,Mature compost,23.90422084401513,Reactor,22.0,0.6277154746460176,None,27.32884658064516,5.227330631255195,2.0952942734506244,50.08637704576395,98.60941499999998,6.088430350413265,0.1575904339551925,0.2163870710982329,27.735698184497597
0.0,0.0,47.0,Zeolite,Husk,Swine manure,0.0,66.80532101463388,0.0,None,0.0,Ferric salt,None,8.160326058544415,Mature compost,23.28330908671829,Windrow,2.0,0.6277154746460176,None,27.32884658064516,5.613337347949009,2.0952942734506244,48.78538419638173,100.539555,5.496748361123763,0.1979985237121582,0.1907439325718234,17.9909252577588
0.0,1.0,23.0,Biochar,Plastic tube pieces,Swine manure,0.0,67.0,0.0,None,0.0,Clay,None,2.440402618252431,Poultry manure,15.41575276419238,Reactor,5.0,0.6277154746460176,None,27.32884658064516,6.0,2.0952942734506244,32.30053848774293,99.825562,6.389983760666495,0.1360888481140136,0.2346396016369163,22.41686761804553
0.0,1.0,15.0,DCD,Soil,Swine manure,0.0,54.91220536865056,0.0,None,0.0,Inorganic acid,None,4.748440524085158,Straw,19.518001196831403,Windrow,21.0,0.6277154746460176,None,27.32884658064516,6.601977313703646,2.0952942734506244,40.89595613692327,99.091665,7.693423324605311,0.109453484416008,0.2216098558002938,28.79775681303704
16.12616268144388,1.0,17.0,Biochar,Sawdust,Swine manure,898.0,51.34109778286791,6.0,None,0.4894681766860862,Microbiological agent,Intermittent ,5.5520131977424985,Straw,35.43605768575351,Windrow,4.0,0.6277154746460176,None,27.32884658064516,5.0,2.0952942734506244,74.24896874262531,102.023447,10.27649573613988,1.1133397817611694,0.1580700405344539,24.656233984599595
0.0,1.0,35.0,Mg(OH)₂,Woody peat,Swine manure,0.0,58.0,0.0,None,0.0,Sand,None,8.665656398840135,Green waste,32.58484752624409,Reactor,3.0,0.6277154746460176,None,27.32884658064516,6.0,2.0952942734506244,68.27484442300099,100.75226800000002,7.491254063615607,0.2441376000642776,0.1846103325841981,21.561640253600142
0.0,0.0,18.0,Organic acid,Husk,Swine manure,0.0,59.58926592096278,0.0,None,0.0,Sodium phosphates,None,4.3423024522458125,Straw,25.512591331324952,Windrow,3.0,0.6277154746460176,None,27.32884658064516,5.0,2.0952942734506244,53.45638651741121,101.683077,6.919121343094124,0.219137966632843,0.22353836972471,23.61569570698049
0.0,0.0,25.0,Organic acid,Green waste,Swine manure,0.0,70.0,8.0,None,1.3162476672028711,Inorganic acid,Continuous,9.814415105850983,Byproduct,38.76504804163935,Windrow,5.0,0.6277154746460176,None,27.32884658064516,6.665776112244482,2.0952942734506244,81.22418317168528,100.348831,7.108442438426066,0.1654602438211441,0.1982183693855407,22.02302724906772
0.0,1.0,15.0,Mg(OH)₂,Straw,Swine manure,0.0,51.0,0.0,None,0.0,Ferric salt,None,2.942633818795157,Byproduct,19.884002834346543,Windrow,16.0,0.6277154746460176,None,27.32884658064516,7.0,2.0952942734506244,41.6628372720823,99.091665,7.693423324605311,0.0985101535916328,0.2103535881153137,30.87817838154933
0.0,0.0,22.0,Mg(OH)₂,Plastic tube pieces,Swine manure,0.0,62.0,0.0,None,0.0,Mature compost,None,7.63404103077563,Poultry manure,33.0,Windrow,2.0,0.6277154746460176,None,27.32884658064516,5.382178870189082,2.0952942734506244,69.1447110238706,101.47009700000002,5.516297629891782,0.1931854486465454,0.1946525256572791,1000000.0
0.0,1.0,33.0,Gypsum,Plastic tube pieces,Swine manure,0.0,56.109931588911486,0.0,None,0.0,Lignite,None,6.2122231197709095,Straw,27.340456377661656,Windrow,21.0,0.6277154746460176,None,27.32884658064516,8.0,2.0952942734506244,57.28630168164107,99.6925,7.673874055837292,0.1590240448713302,0.2060422521911376,27.38848270116914
0.0,1.0,25.0,Potassium phosphate,Sawdust,Swine manure,0.0,61.05216394405363,0.0,None,0.0,LB Culture,None,5.7983642636719335,Green waste,32.91855570848527,Trough,27.0,0.6277154746460176,None,27.32884658064516,8.0,2.0952942734506244,68.97406126625455,99.19975499999998,8.229112919478673,0.1514005064964294,0.2364316459871614,29.477080772972823
0.0,1.0,28.0,Ca-superphosphate,None,Swine manure,0.0,65.0,0.0,None,0.0,Calcium magnesium phosphate fertilizer,None,2.422205195147191,Straw,29.0,Reactor,25.0,0.6277154746460176,None,27.32884658064516,7.0264179381046095,2.0952942734506244,60.76353393006811,98.55650700000002,6.088430350413265,0.1497677564620971,0.2231735458607758,1000000.0
0.0,1.0,47.0,Inorganic acid,Woody peat,Swine manure,0.0,58.0,0.0,None,0.0,K₂SO₄,None,4.593238656862689,Byproduct,16.684292601672652,Windrow,0.0,0.6277154746460176,None,27.32884658064516,7.0,2.0952942734506244,34.958502744859324,100.994977,4.580570794462318,0.2207792103290558,0.1727372176991125,19.847911882226366
0.0,1.0,32.0,Gypsum,Green Waste,Swine manure,0.0,64.61253546559959,0.0,None,0.0,MgHPO₄,None,6.345369589506483,None,30.0,Trough,17.0,0.6277154746460176,None,27.32884658064516,7.0,2.0952942734506244,62.85882820351873,99.167825,9.612387363912998,0.1587678045034408,0.2765923839557413,1000000.0
