Material_Main,V4_Ventilation Day,V2_Ventilation Interval (min),Material_3,Initial C/N (%),Material_2,Compost volume (m3),V3_Ventilation Duration (min),M1_is Enclosed,Additive_1,Application Rate (%DW),Initial pH, Composting Method,Additive_3,Period (d),Turning times,Additive_4,V1_Ventilation Type,Initial GI (%),Additive_2,Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Sewage sludge,0.0,0.0,Mature compost,19.0,Green waste,4.210797122302158,0.0,1.0,Biochar,9.793136853682263,6.772734413540304,Reactor,None,18.0,0.0,None,None,27.32884658064516,Calcium magnesium phosphate fertilizer,51.83554617909452,0.0,2.1457865217391303,89.85513797571886,110.41758200000004,8.1804366274841,0.994056761264801,0.2154160265692765,1000000.0
Sewage sludge,0.0,0.0,Mature compost,27.66489357691036,Green Waste,4.210797122302158,0.0,1.0,MgO,3.129223539223882,5.22349474968932,Reactor,None,23.0,23.0,None,None,27.32884658064516,Ca-superphosphate,54.71766031242751,0.0,2.1457865217391303,59.362955762681686,110.04922500000004,7.752330277937793,0.5904040336608887,0.2509550393091624,30.888056126020118
Sewage sludge,0.0,0.0,Byproduct,10.586657976098472,Soil,4.210797122302158,0.0,1.0,Urea,3.305028637873134,5.922000251600097,Reactor,None,14.0,24.0,None,None,27.32884658064516,Inorganic acid,64.49303199854322,0.0,2.1457865217391303,22.71670799537416,109.76376800000006,7.32128587836836,0.7845872044563293,0.1921074347754534,32.469669238250454
Sewage sludge,0.0,0.0,None,14.86065596872412,Straw,4.210797122302158,0.0,1.0,Sand,5.959606105918961,5.0,Reactor,None,36.0,1.0,None,None,27.32884658064516,DCD,51.14773851822759,0.0,2.1457865217391303,31.887795281890376,110.80370100000005,9.042064506171307,0.7785613536834717,0.1663812192640909,25.92792031803068
Sewage sludge,0.0,0.0,Green waste,32.0,Byproduct,4.210797122302158,0.0,1.0,Biochar,8.549616262361525,7.0,Reactor,None,43.0,23.0,None,None,27.32884658064516,DCD,55.43025318206818,0.0,2.1457865217391303,92.2848604524025,109.91212800000002,7.683896895415452,0.9230325818061828,0.2612099210612486,1000000.0
Sewage sludge,6.0,0.0,None,27.31481688873421,Plastic tube pieces,4.210797122302158,0.0,0.0,Phosphogypsum,6.742217546775649,8.0,Trough,None,13.0,1.0,None,Continuous,27.32884658064516,DCD,53.0,1.9653208273692964,2.1457865217391303,58.61176592361824,111.29264200000009,7.914456110441957,0.7191475629806519,0.1935386055444963,27.069074963268903
Sewage sludge,0.0,0.0,Straw,19.98490041713429,Soil,4.210797122302158,0.0,1.0,Mg(OH)₂,7.686045247889031,5.0,Trough,None,36.0,16.0,None,None,27.32884658064516,Calcium magnesium phosphate fertilizer,50.11716788937377,0.0,2.1457865217391303,42.88332995338549,109.50642600000003,6.458495837923976,0.5637484192848206,0.2424430538783245,33.47485273429459
Sewage sludge,0.0,0.0,Poultry manure,19.24262036117373,Woody peat,4.210797122302158,0.0,0.0,K₂SO₄,9.361860297115776,7.166345542440601,Trough,None,39.0,4.0,None,None,27.32884658064516,Mg(OH)₂,53.0,0.0,2.1457865217391303,41.29055541394955,108.146587,6.804365778097144,0.7923120856285095,0.1947494505149978,25.169719817364392
Sewage sludge,6.0,0.0,Straw,13.484134447662374,Green waste,4.210797122302158,0.0,1.0,Microbiological agent,3.391963632517576,7.0,Windrow,None,14.0,25.0,None,Continuous,27.32884658064516,DCD,58.0,1.955902146685893,2.1457865217391303,28.93407395511224,110.04983850000004,6.077242815013812,0.7685950398445129,0.2193939370732592,31.721050932892823
Sewage sludge,0.0,0.0,Poultry manure,15.752548550068331,Woody peat,4.210797122302158,0.0,1.0,LB Culture,5.357902634525882,6.756151367173652,Trough,None,18.0,0.0,None,None,27.32884658064516,Ca-superphosphate,53.0,0.0,2.1457865217391303,33.80160636177791,109.00516500000003,7.365504728217853,0.5615344047546387,0.1975028821017023,27.946625957298806
Sewage sludge,6.0,0.0,Straw,21.66416306189394,Woody peat,4.210797122302158,0.0,0.0,Forsterite,8.461989235054252,8.0,Trough,None,19.0,9.0,None,Continuous,27.32884658064516,Ca-superphosphate,56.99333981894667,0.394853493186726,2.1457865217391303,46.48666910297074,110.13390050000004,5.5629876731096495,1.0514055490493774,0.2242925492283544,31.45894362686105
Sewage sludge,12.0,0.0,None,19.49566978281305,Byproduct,4.210797122302158,0.0,1.0,MgSO₄,2.311272870708497,8.0,Reactor,None,14.0,23.0,None,Continuous,27.32884658064516,Ca-superphosphate,65.0,0.936244041922077,2.1457865217391303,41.83354545223708,108.27463050000004,7.271611057044698,0.548729658126831,0.3050637824307102,33.53624935378695
Sewage sludge,0.0,0.0,Straw,32.79084413090812,Byproduct,4.210797122302158,0.0,1.0,Clay,9.467711929555858,5.219032069945524,Windrow,None,41.0,19.0,None,None,27.32884658064516,Biochar,55.0,0.0,2.1457865217391303,70.36215137255131,109.81724900000005,6.733297086218173,1.2059992551803589,0.2038566734563711,26.85875738955165
Sewage sludge,25.0,0.0,Poultry manure,34.228681049428026,Sawdust,4.210797122302158,0.0,0.0,Ca-superphosphate,5.369699589724749,7.0,Trough,None,41.0,1.0,None,Continuous,27.32884658064516,Mg(OH)₂,52.0,1.9291903556760983,2.1457865217391303,73.44744245277025,107.28458500000006,5.225685808134377,1.4532865285873413,0.1947992532177584,24.325704382335665
Sewage sludge,0.0,0.0,Poultry manure,12.70947185986538,Green waste,4.210797122302158,0.0,1.0,MgHPO₄,4.989531568220101,5.387550459678235,Reactor,None,20.0,20.0,None,None,27.32884658064516,DCD,54.0,0.0,2.1457865217391303,27.27181341532189,109.81213500000004,7.752330277937793,0.7613393664360046,0.2154994161512756,29.31814320910911
Sewage sludge,0.0,0.0,Green waste,17.579226595124226,Sawdust,4.210797122302158,0.0,0.0,Clay,9.155307613304515,5.121210074065958,Trough,None,28.0,0.0,None,None,27.32884658064516,Biochar,54.31924476655101,0.0,2.1457865217391303,37.72126749041563,110.024164,8.144946535435052,1.20961594581604,0.1493518595995295,25.698525939675584
Sewage sludge,0.0,0.0,Green waste,36.0,Soil,4.210797122302158,0.0,0.0,Mg(OH)₂,4.648788853769893,7.918752135155567,Trough,None,42.0,21.0,None,None,27.32884658064516,Calcium magnesium phosphate fertilizer,66.11967033579045,0.0,2.1457865217391303,91.24923165407029,109.12911000000004,6.176491696438765,0.5637484192848206,0.2161815747143226,1000000.0
