,Material_Main,Turning times,Period (d),V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_3,Additive_2,Additive_1,Material_2,Additive_4,Material_3,Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial GI (%),Initial pH,Initial C/N (%),Initial Moisture Content (%)
Additive_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Material_3,0.005586742905613747,0.02109630340785083,0.007672313669050239,0.006244318985738346,0.007338547847805426,0.0023273105097094673,6.77401215615416e-05,0.003568733180689815,0.004015204154722657,0.0008037207500827254,0.0,0.04880790653190679,0.003802603112469728,0.001996115855474365,0.0037995272363778435,0.0023294058482516166,0.007432096917230384,0.01048929621377645,0.010759893278367804,0.022223807021856837,0.00732308974739896,0.00627388234495414
Compost volume (m3),0.02360706781520586,0.06384073964684402,0.05072154022878029,0.09567400967215214,0.031243024699086082,0.019191769159097986,0.0011476525838120396,0.014463327619420117,0.028012305019343715,0.01582945922658841,0.0,0.003802603112469728,0.25166818279489117,0.042145207947799974,0.03572001980102691,0.02853567089200619,0.05238894767627048,0.03318284070621608,0.061187888222313434,0.08323428451513407,0.09708958961234018,0.03260736740837286
V1_Ventilation Type,0.033742404492540214,0.12236440165821237,0.05844213915616662,0.03866998611418979,0.03713216288057584,0.024711467578520007,0.002374730115945121,0.0352827918556692,0.023808514072388223,0.032440029428147964,0.0,0.001996115855474371,0.04214520794779998,1.1618931633008984,0.10967796112857411,0.0402668774183159,0.10871296649131999,0.16025064372782458,0.09893555221908802,0.09285032592764432,0.13725705256078813,0.05922883088226413
V4_Ventilation Day,0.023466603438126902,0.13745012507712404,0.10813504467593445,0.06508809317452632,0.052815855116179776,0.024754093496294913,0.003977784461217188,0.04276403938883386,0.058172368068683235,0.024796314273094026,0.0,0.003799527236377804,0.035720019801026924,0.10967796112857418,0.7946889869103415,0.013873838058094133,0.06877233733404764,0.0715221606350032,0.12140316613120006,0.07274935763896694,0.1837619594517759,0.05272979926942302
V3_Ventilation Duration (min),0.011208903611154487,0.02250339074325296,0.01412935872733534,0.061552036341899395,0.013995744248757701,0.006271314670854851,0.0003982014860062073,0.005010915605450136,0.015320507105299476,0.011224589758387693,0.0,0.002329405848251618,0.028535670892006225,0.04026687741831589,0.01387383805809415,0.2632920731819402,0.025212253699352618,0.05376645079403277,0.033663179183267035,0.016909254572191577,0.029706884322857743,0.012697238132029887
Application Rate (%DW),0.027563983293996223,0.1858995269963679,0.17791179502285792,0.12587328357856098,0.028663783993184668,0.027256118269012516,0.005670315909000801,0.06711349471959058,0.12178009591571173,0.021252116120657392,0.0,0.0074320969172303,0.052388947676270496,0.10871296649132,0.06877233733404754,0.025212253699352555,1.8713236874984933,0.0891103128600024,0.13287017493097605,0.08984770210401126,0.16435267215373975,0.055479901993132824
V5_Ventilation rate (L/min/kg iniDW),0.03734881771776635,0.1944672591036182,0.07671531915999627,0.11628918622473702,0.022613817269988297,0.014878167071945518,0.0035027140889307925,0.02409951809071407,0.05538190161807754,0.029252751440721852,0.0,0.010489296213776486,0.03318284070621609,0.1602506437278246,0.07152216063500362,0.05376645079403268,0.08911031286000248,1.0480818404350984,0.16227773538879417,0.12774010356166432,0.17431679338125763,0.059029510785406684
Initial GI (%),0.05325849292333472,0.35020413352168556,0.1936356145769809,0.2850574625420504,0.0759024099917829,0.0378065715294255,0.0051689508365417875,0.0714740497133437,0.07640154543873458,0.026285966179007737,0.0,0.010759893278367814,0.061187888222313414,0.0989355522190881,0.12140316613120015,0.03366317918326704,0.13287017493097636,0.1622777353887944,1.337928741567344,0.17610028775959455,0.2627245103682042,0.18227997634267926
Initial pH,0.034242018335858,0.17397325847994544,0.1479710101922126,0.08378620814433085,0.09364228148322382,0.0257051566881478,0.0052142207902809035,0.035926761183268534,0.060457318846117256,0.027115408618355628,0.0,0.022223807021856872,0.08323428451513397,0.09285032592764414,0.07274935763896706,0.0169092545721916,0.0898477021040112,0.12774010356166382,0.1761002877595944,0.49939831167022847,0.2432013151342286,0.14828010683280404
Initial C/N (%),0.08654793025802573,0.30397833594985385,0.21081262856239621,0.16464880017063174,0.08629765338255159,0.07309104893897511,0.004033153337069832,0.054237097170887566,0.13603138400359846,0.03669551303230768,0.0,0.007323089747399105,0.09708958961234032,0.13725705256078802,0.1837619594517761,0.02970688432285776,0.16435267215373994,0.17431679338125788,0.2627245103682044,0.24320131513422852,2.2948853738850445,0.11275377782756461
Initial Moisture Content (%),0.022724733797525657,0.14023070618455105,0.06208618992399948,0.044682818562333096,0.054603159705922694,0.020642672282843857,0.0009369997588282357,0.02920116533163966,0.030690990511243514,0.02387036197519132,0.0,0.0062738823449541275,0.032607367408372875,0.0592288308822642,0.05272979926942299,0.012697238132029836,0.0554799019931329,0.05902951078540668,0.18227997634267928,0.14828010683280438,0.11275377782756488,0.3078588945932015
