V5_Ventilation rate (L/min/kg iniDW),Additive_3,Application Rate (%DW),Additive_1,V2_Ventilation Interval (min),V3_Ventilation Duration (min),V4_Ventilation Day,M1_is Enclosed,Turning times,Material_2,Material_Main, Composting Method,Additive_2,Compost volume (m3),Period (d),Initial GI (%),Additive_4,Initial C/N (%),Initial pH,Material_3,Initial Moisture Content (%),V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.3880420320118376,4.0,9.667215053076351,30.0,1250.0,3.872728579809277,3.0,1.0,14.0,12.0,10,0.0,1.0,0.6277154746460176,45.0,27.32884658064516,1.0,26.0,5.0,4.0,51.0,1.0,2.0952942734506244,68.7535478195541,105.08788700000002,8.55636018450719,0.3840826451778412,0.16239341277831737,1000000.0
1.5417440696590845,4.0,7.53201717309568,28.0,322.0,10.668397876515671,15.0,0.0,5.0,8.0,10,1.0,8.0,0.6277154746460176,40.0,27.32884658064516,1.0,36.0,11.928364688338977,2.0,72.04018374369669,1.0,2.0952942734506244,32.3349912437791,107.32194400000004,8.738076512138505,0.9995697140693665,0.12729291642059168,1000000.0
0.43336491052102044,4.0,5.348898504231869,37.0,895.0,12.684947913938231,13.0,1.0,9.0,2.0,10,0.0,2.0,0.6277154746460176,43.0,27.32884658064516,1.0,17.0,9.824079901941847,0.0,65.0,1.0,2.0952942734506244,75.32559120028615,107.56881000000003,7.275912395278451,0.723660945892334,0.15205470365059556,1000000.0
0.5629768688102621,4.0,5.918361019259773,35.0,508.0,1.4752524113414056,19.0,1.0,8.0,5.0,10,1.0,12.0,0.6277154746460176,42.0,27.32884658064516,1.0,29.694431328943203,5.444493291599797,3.0,50.0,1.0,2.0952942734506244,76.07670275987559,107.41801800000006,10.45641576352977,0.43286392092704773,0.12831779883050742,1000000.0
1.6911400319177634,4.0,6.374306435561899,33.0,0.0,0.0,40.0,0.0,8.0,13.0,10,1.0,11.0,0.6277154746460176,46.0,27.32884658064516,1.0,40.0,8.53399350882809,3.0,52.0,0.0,2.0952942734506244,38.7809275731818,105.00072000000004,8.999257704758868,0.6948458552360535,0.17726333241572206,1000000.0
0.8079653935666549,4.0,5.8795716336319135,6.0,1052.0,10.003471787138254,15.0,1.0,15.0,13.0,10,0.0,2.0,0.6277154746460176,32.0,27.32884658064516,1.0,40.08103723712833,7.0,0.0,62.0,1.0,2.0952942734506244,83.98156779691622,105.37868600000002,8.355874969316792,0.4234427511692047,0.15265959135476428,26.024924611445446
0.0,4.0,8.6528224691286,22.0,0.0,0.0,0.0,0.0,1.0,6.0,10,2.0,13.0,0.6277154746460176,44.0,27.32884658064516,1.0,13.0,11.816717966897496,3.0,64.0,2.0,2.0952942734506244,36.93605014296842,105.53145500000004,9.307321532846395,0.6160627603530884,0.1651178780589805,1000000.0
1.1868292012696624,4.0,6.162875444279262,24.0,1104.0,22.31353432845285,41.0,1.0,6.0,6.0,10,2.0,2.0,0.6277154746460176,44.0,27.32884658064516,1.0,33.0,9.036274585747673,2.0,72.69494733124128,1.0,2.0952942734506244,21.08203674551238,106.76232200000003,8.860173214152399,0.41117769479751587,0.13849120601922882,1000000.0
0.7138594397752795,4.0,3.5484409665210137,12.0,192.0,17.438278419195235,17.0,1.0,0.0,13.0,10,0.0,3.0,0.6277154746460176,22.0,27.32884658064516,1.0,16.0,6.0,5.0,51.0,1.0,2.0952942734506244,81.44642910570025,107.06219300000002,8.355874969316792,0.4198821783065796,0.17591642341428676,1000000.0
1.4590902743814638,4.0,7.569065637789237,8.0,133.0,47.827122701086516,39.0,0.0,20.0,14.0,10,2.0,12.0,0.6277154746460176,45.0,27.32884658064516,1.0,32.0,9.899445924346493,5.0,74.40059662971552,1.0,2.0952942734506244,60.913858646827734,105.02547000000003,8.393159843725842,0.4297129213809967,0.17636342983761075,1000000.0
