Material_Main,Turning times,Application Rate (%DW),V3_Ventilation Duration (min), Composting Method,Initial pH,V1_Ventilation Type,Compost volume (m3),Additive_4,Initial Moisture Content (%),V2_Ventilation Interval (min),Additive_3,Initial GI (%),Material_2,Material_3,Period (d),V4_Ventilation Day,Additive_1,Initial C/N (%),M1_is Enclosed,Additive_2,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
8,2.0,3.6145398940084794,18.53370108297682,2.0,5.0,1.0,4.210797122302158,1.0,64.28384040344778,661.0,4.0,27.32884658064516,13.0,0.0,72.0,12.0,12.0,12.0,0.0,6.0,0.25722106187207827,2.1457865217391303,27.61883086206808,99.42313200000002,8.170020870836058,0.295896977186203,0.09050980142337905,1000000.0
8,6.0,7.968985341240486,0.0,2.0,10.286909630944145,0.0,4.210797122302158,1.0,60.0,0.0,4.0,27.32884658064516,8.0,2.0,123.0,64.0,18.0,10.0,0.0,15.0,0.6947042368610379,2.1457865217391303,59.56940049048603,98.67009900000001,7.187922494614656,0.5022442936897278,0.17980760118827355,1000000.0
8,2.0,5.761296095315123,0.47385088135473596,2.0,10.100917093229647,1.0,4.210797122302158,1.0,62.0,90.0,4.0,27.32884658064516,14.0,2.0,132.0,57.0,2.0,40.0,0.0,11.0,1.4697979880759557,2.1457865217391303,56.76787899492311,101.04381500000005,7.888016729350849,0.396308571100235,0.12577736494077355,1000000.0
8,0.0,8.79535769873321,51.97632997637433,1.0,10.139428555290984,1.0,4.210797122302158,1.0,53.0,1031.0,4.0,27.32884658064516,0.0,5.0,65.0,11.0,8.0,17.76233735508216,0.0,12.0,0.8518364264425713,2.1457865217391303,73.01504156842762,100.80802700000004,7.04071246699492,0.35500237345695496,0.15425279604595526,1000000.0
8,3.0,4.329554967720343,0.0,2.0,6.999999999999999,0.0,4.210797122302158,1.0,72.26437782557093,0.0,4.0,27.32884658064516,3.0,4.0,112.0,45.0,25.0,41.14163734279917,1.0,15.0,1.729129739840793,2.1457865217391303,88.28117089245775,100.18482900000002,7.456972329781419,0.55047208070755,0.15866446581663743,24.013891869573886
8,4.0,7.784644393866845,6.764480074409388,0.0,5.0,1.0,4.210797122302158,1.0,81.17030130401079,186.0,4.0,27.32884658064516,0.0,4.0,84.0,65.0,16.0,35.0,1.0,3.0,0.14591611899216606,2.1457865217391303,36.26614186325659,101.11248100000003,9.524702312511739,0.46713098883628845,0.12446698214631044,1000000.0
8,4.0,2.0325374272982764,31.9575762969557,2.0,10.06363165476575,1.0,4.210797122302158,1.0,69.0,1255.0,4.0,27.32884658064516,12.0,2.0,30.0,25.0,4.0,13.0,1.0,3.0,1.0017743836077087,2.1457865217391303,83.17958032280316,100.49369200000005,7.392488397433021,0.4564087688922882,0.1327324596636509,1000000.0
8,5.0,7.625282181986025,0.0,0.0,8.0,0.0,4.210797122302158,1.0,52.0,0.0,4.0,27.32884658064516,0.0,4.0,58.0,41.0,8.0,14.046448754039865,1.0,0.0,1.7428912872389593,2.1457865217391303,17.332960431686605,100.14956200000002,8.234435601352063,0.4119859039783478,0.22203483869263602,1000000.0
8,2.0,9.306199958736341,0.0,0.0,10.409604206870716,0.0,4.210797122302158,1.0,81.59343685996714,0.0,4.0,27.32884658064516,0.0,3.0,131.0,24.0,19.0,40.24679918576007,1.0,11.0,0.8441580940916087,2.1457865217391303,86.36103923594536,102.21541500000004,7.891522306621243,0.4650284945964813,0.19748544868828088,21.536514664144917
8,2.0,8.91311426481371,0.0,2.0,5.0,0.0,4.210797122302158,1.0,80.53734414313666,0.0,4.0,27.32884658064516,5.0,4.0,91.0,70.0,13.0,45.21319937815484,0.0,15.0,0.5481085926464055,2.1457865217391303,97.01787383034869,100.26278800000001,7.494257204190469,0.5580783486366272,0.14609720378268626,25.593985731029537
8,3.0,3.239248493256188,0.0,2.0,8.0,0.0,4.210797122302158,1.0,51.0,0.0,4.0,27.32884658064516,0.0,0.0,100.0,83.0,22.0,16.0,0.0,3.0,1.8408066115746688,2.1457865217391303,35.465658790384495,101.84406300000002,8.956272690558103,0.4052480161190033,0.18591438654391548,1000000.0
8,0.0,6.49586066214585,17.399598042717304,1.0,8.637864942188122,1.0,4.210797122302158,1.0,79.89809040761187,1253.0,4.0,27.32884658064516,5.0,2.0,124.0,63.0,22.0,15.0,1.0,6.0,1.5191244652339215,2.1457865217391303,84.64164958847115,99.28320700000003,5.817274383688818,0.4178926646709442,0.16219867503254998,1000000.0
8,3.0,5.958005328310755,0.0,0.0,6.496234022898834,0.0,4.210797122302158,1.0,75.75880957137662,0.0,4.0,27.328846580645163,0.0,3.0,57.0,48.0,7.0,39.0,1.0,15.0,0.45772892658049485,2.1457865217391303,31.37498313580904,102.97861800000003,7.8542374322121935,0.4384390413761139,0.16093574740005848,1000000.0
8,6.0,5.68534464135187,0.0,2.0,7.0,0.0,4.210797122302158,1.0,83.45423731242954,0.0,4.0,27.32884658064516,2.0,0.0,122.0,26.0,37.0,40.74825136091557,0.0,1.0,1.2908324685393113,2.1457865217391303,87.4370485546908,99.32838300000002,9.05161669729398,0.4496150314807892,0.1770025370630749,21.983775107814964
8,1.0,7.617956982197097,47.50803179368437,2.0,7.0,1.0,4.210797122302158,1.0,50.0,1335.0,4.0,27.32884658064516,3.0,2.0,29.0,14.0,27.0,19.0,0.0,11.0,0.11511107402735354,2.1457865217391303,26.88583583046204,97.86366900000003,8.188654969093111,0.46363791823387146,0.0967423521265823,1000000.0
8,6.0,7.215823669779585,32.84195269193644,0.0,6.0,1.0,4.210797122302158,1.0,72.38725498756202,973.0,4.0,27.32884658064516,0.0,9.0,98.0,33.0,18.0,38.0,1.0,7.0,0.34384722581555294,2.1457865217391303,30.533754298474456,100.55515700000004,7.978947122205811,0.4292374551296234,0.15662249468410458,1000000.0
8,3.0,3.395223303068126,0.0,1.0,8.0,0.0,4.210797122302158,1.0,74.66989849995737,0.0,4.0,27.32884658064516,6.0,9.0,94.0,36.0,24.0,42.9411167657366,0.0,2.0,1.542999745200026,2.1457865217391303,92.1424695843438,99.10081100000004,6.812337962998075,0.4553520977497101,0.192433799882138,23.152055388187488
8,0.0,2.038880508084131,0.0,2.0,11.38781946740815,0.0,4.210797122302158,1.0,66.0,0.0,4.0,27.32884658064516,14.0,2.0,130.0,23.0,8.0,28.0,0.0,1.0,0.4350395258339912,2.1457865217391303,30.428585882474614,99.35480100000002,5.426256198973026,0.45489493012428284,0.1453214332028221,1000000.0
8,0.0,6.918117763178822,0.0,1.0,10.862751577727522,0.0,4.210797122302158,1.0,80.840065154711,0.0,4.0,27.328846580645163,8.0,2.0,112.0,46.0,8.0,25.1863207349408,1.0,3.0,1.853617540392091,2.1457865217391303,22.88451786033821,99.23234200000003,4.970247119325762,0.45489493012428284,0.16365769592159246,1000000.0
8,0.0,3.2659498199403787,0.0,2.0,10.459808155238253,0.0,4.210797122302158,1.0,72.28125485880199,0.0,4.0,27.32884658064516,2.0,2.0,116.0,20.0,12.0,30.0,1.0,11.0,0.19637674679922834,2.1457865217391303,74.4612361589605,99.38433100000003,5.2422472867928835,0.41252782940864563,0.13483853618645275,1000000.0
8,1.0,8.57172239636134,0.0,2.0,5.0,0.0,4.210797122302158,1.0,71.5421726954477,0.0,4.0,27.32884658064516,4.0,0.0,18.0,17.0,15.0,15.0,1.0,13.0,1.9540752223095714,2.1457865217391303,24.298111373411313,99.47692700000003,7.4756064280384695,0.398319810628891,0.16022440546080138,1000000.0
8,3.0,3.704344822435278,20.88445550445526,2.0,6.0,1.0,4.210797122302158,1.0,84.05185114536337,1225.0,4.0,27.66462588952113,2.0,2.0,58.0,30.0,31.0,18.0,0.0,2.0,0.04980753913572733,2.1457865217391303,53.622058935561334,97.84221900000004,7.063736547468148,0.49803951382637024,0.09183834866064745,1000000.0
8,3.0,3.288611484332632,25.199109959283813,2.0,6.0,1.0,4.210797122302158,1.0,59.0,1020.0,4.0,27.32884658064516,0.0,4.0,120.0,32.0,10.0,34.0,0.0,3.0,1.9243094676369108,2.1457865217391303,25.44835327666947,101.89063600000004,9.387317090127537,0.4617609679698944,0.1247566054768657,1000000.0
8,0.0,8.468375331366575,0.0,1.0,8.576123092664776,0.0,4.210797122302158,1.0,63.0,0.0,4.0,27.32884658064516,6.0,9.0,57.0,17.0,13.0,33.0,1.0,3.0,1.8457150409755918,2.1457865217391303,59.965819155129644,99.48274500000005,5.007531993734813,0.46250119805336,0.20065190478043968,1000000.0
8,2.0,7.434153871387917,0.0,1.0,5.0,0.0,4.210797122302158,1.0,61.0,0.0,4.0,27.32884658064516,8.0,3.0,84.0,15.0,25.0,18.0,1.0,5.0,1.260660635555606,2.1457865217391303,19.53186341581343,98.87923100000003,7.918622286365987,0.47287020087242126,0.17738046516362552,1000000.0
8,0.0,7.1441301146921194,0.0,2.0,8.765523474475183,0.0,4.210797122302158,1.0,70.0,0.0,4.0,27.32884658064516,3.0,3.0,101.0,70.0,20.0,40.5191118679754,1.0,3.0,0.6075139977353037,2.1457865217391303,86.94536411914164,100.05736100000001,4.8262644219992605,0.45489493012428284,0.13639850063146977,27.907471166747673
8,7.0,7.024212450029444,4.329735214271773,0.0,10.223297061026456,1.0,4.210797122302158,1.0,59.0,215.0,4.0,27.32884658064516,0.0,5.0,39.0,39.0,12.0,32.0,1.0,6.0,0.7882566737365566,2.1457865217391303,74.55677185934263,100.33359800000002,8.316883765821178,0.42064276337623596,0.17449495897642794,1000000.0
8,9.0,4.419601979282877,0.0,2.0,8.0,0.0,4.210797122302158,1.0,78.88340670113445,0.0,4.0,27.32884658064516,0.0,2.0,124.0,24.0,7.0,22.0,0.0,1.0,1.6630063498829117,2.1457865217391303,22.188494659180755,99.67492400000003,9.607172628240763,0.4371276795864105,0.22883642865827641,1000000.0
8,2.0,6.7798946238874835,0.0,1.0,5.0,0.0,4.210797122302158,1.0,74.05407697804792,0.0,4.0,27.32884658064516,0.0,5.0,111.0,12.0,16.0,43.465100199304125,1.0,12.0,0.9253583100183107,2.1457865217391303,93.26682617370757,102.54562600000003,8.136241573697403,0.30400940775871277,0.19720188208472442,21.13673853978546
8,5.0,7.378770063935283,0.0,2.0,11.60356563660146,0.0,4.210797122302158,1.0,69.0,0.0,4.0,27.32884658064516,0.0,4.0,127.0,25.0,10.0,21.0,1.0,15.0,1.6828530846588161,2.1457865217391303,22.187149322457024,101.458907,6.507204869545299,0.5781251788139343,0.20898860019811533,1000000.0
8,0.0,5.5933679256683275,21.32980962897968,1.0,8.0,1.0,4.210797122302158,1.0,57.0,110.0,4.0,27.32884658064516,0.0,2.0,80.0,59.0,24.0,37.0,1.0,15.0,0.7958440376727234,2.1457865217391303,49.948643049225325,102.80079700000005,7.472921207887867,0.4620491564273834,0.16026065440077303,1000000.0
8,1.0,7.667731103473611,57.07180157502613,2.0,7.0,1.0,4.210797122302158,1.0,79.23947209487626,520.0,4.0,27.328846580645163,5.0,9.0,35.0,18.0,4.0,21.0,0.0,9.0,0.9041705771874904,2.1457865217391303,65.76965646890733,99.58284100000004,7.906650827607899,0.46363791823387146,0.1758976733647007,1000000.0
8,0.0,8.381545217320843,26.576367854867204,1.0,5.0,1.0,4.210797122302158,1.0,60.0,1065.0,4.0,27.32884658064516,4.0,4.0,102.0,16.0,16.0,25.0,1.0,6.0,1.0067438249980836,2.1457865217391303,31.54591092646652,99.01066200000002,6.136563399583079,0.31891581416130066,0.16527809285251882,1000000.0
8,2.0,2.8952451722782997,0.0,2.0,8.532005792764867,0.0,4.210797122302158,1.0,50.0,0.0,4.0,27.328846580645163,0.0,5.0,88.0,58.0,31.0,36.0,0.0,11.0,1.935824129226829,2.1457865217391303,14.637548990531023,102.75936200000004,7.674591617112838,0.5403792858123779,0.16275753740271398,1000000.0
8,2.0,4.958795670055372,15.53794906333935,0.0,8.0,1.0,4.210797122302158,1.0,73.81144860712301,1109.0,4.0,27.32884658064516,0.0,4.0,77.0,34.0,13.0,28.0,1.0,12.0,0.33506719977129484,2.1457865217391303,49.41893121448142,101.49893800000004,8.285281831781623,0.45629826188087463,0.1354338571932227,1000000.0
8,6.0,4.327778725091395,0.0,0.0,11.26096561744648,0.0,4.210797122302158,1.0,68.0,0.0,4.0,27.32884658064516,0.0,9.0,57.0,23.0,18.0,35.0,1.0,9.0,1.3557435281982644,2.1457865217391303,68.94208351791343,100.86970700000003,7.547902722636386,0.4545494616031647,0.22002450756430053,1000000.0
8,6.0,5.857279005390881,0.0,1.0,11.378166362807477,0.0,4.210797122302158,1.0,69.0,0.0,4.0,27.32884658064516,5.0,2.0,101.0,29.0,27.0,45.1219997189956,0.0,11.0,1.4524001813259977,2.1457865217391303,96.82217883093759,99.08285800000002,7.330283435304968,0.44917359948158264,0.20264951549555388,23.445480462142793
8,21.0,2.172579638588913,0.0,1.0,8.918155981503645,0.0,4.210797122302158,1.0,52.0,0.0,4.0,27.32884658064516,12.0,0.0,129.0,77.0,23.0,16.0,1.0,15.0,1.8826146179579166,2.1457865217391303,66.3545980966843,95.55477600000002,7.541554391502876,0.4300810992717743,0.18936297839712668,1000000.0
8,25.0,2.283406083501231,23.626462374898157,1.0,11.53425775778059,1.0,4.210797122302158,1.0,70.24855298266473,1024.0,4.0,27.32884658064516,0.0,5.0,72.0,25.0,4.0,16.0,1.0,0.0,1.5531156414814518,2.1457865217391303,73.85058610652054,98.68218200000003,9.958410842510633,0.41054317355155945,0.17887262270082355,1000000.0
8,0.0,4.077719764926276,0.0,1.0,8.599274123474254,0.0,4.210797122302158,1.0,72.75071016585795,0.0,4.0,27.32884658064516,8.0,2.0,111.0,79.0,37.0,33.0,1.0,9.0,1.2560577531897699,2.1457865217391303,16.534344655127764,99.55024500000005,5.386229984119385,0.45204636454582214,0.14512457050358166,1000000.0
8,0.0,6.700842817839927,23.151314510956247,2.0,11.044327731063696,1.0,4.210797122302158,1.0,83.36982940261962,1219.0,4.0,27.32884658064516,0.0,3.0,60.0,45.0,7.0,40.0,0.0,3.0,1.4945229708205776,2.1457865217391303,48.763708881244284,103.81496400000006,8.530811341306615,0.46130380034446716,0.14338142538899037,1000000.0
8,6.0,6.118081962828925,0.0,2.0,10.996171472694211,0.0,4.210797122302158,1.0,81.46754714287574,0.0,4.0,27.32884658064516,0.0,3.0,80.0,40.0,25.0,21.0,1.0,8.0,1.608019481561631,2.1457865217391303,27.709379000634872,101.08917200000003,7.368256907537024,0.5354847311973572,0.21412020809379795,1000000.0
8,6.0,5.455649112746937,0.0,2.0,9.54743870364689,0.0,4.210797122302158,1.0,79.86591722457783,0.0,4.0,27.32884658064516,6.0,9.0,85.0,81.0,4.0,19.0,0.0,2.0,0.09576005758446438,2.1457865217391303,48.7390861617245,99.88920000000006,7.737008769326071,0.47040942311286926,0.17338099212664088,1000000.0
8,0.0,5.977128739066676,39.0946538916411,2.0,5.451443751871796,1.0,4.210797122302158,1.0,80.78939218739711,1077.0,4.0,27.32884658064516,2.0,4.0,76.0,43.0,27.0,15.0,1.0,11.0,1.5243475886801865,2.1457865217391303,24.033807109599273,99.28320700000003,5.673291686362316,0.5533990859985352,0.13680293130300109,1000000.0
8,6.0,3.647590533788205,0.0,0.0,10.3727882863461,0.0,4.210797122302158,1.0,79.9349564051075,0.0,4.0,27.32884658064516,14.0,4.0,84.0,11.0,14.0,37.0,1.0,15.0,1.3575402566949473,2.1457865217391303,14.287413650967947,97.78968300000003,6.848784980249859,0.3077147901058197,0.20113734652952509,1000000.0
