M1_is Enclosed,Initial Moisture Content (%),Material_2,V4_Ventilation Day,V2_Ventilation Interval (min),V1_Ventilation Type, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Compost volume (m3),Additive_4,Additive_2,Period (d),Initial pH,Material_Main,Additive_3,Additive_1,Turning times,Material_3,V3_Ventilation Duration (min),Application Rate (%DW),Initial GI (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,79.26972998799205,2.0,0.0,0.0,2.0,2.0,0.0,42.12127942127037,0.15181,1.0,6.0,15.0,9.425100106080162,6,4.0,20.0,3.0,9.0,0.0,9.68136137066982,27.32884658064516,1.411,59.4331252634125,94.15673200000005,6.412717690442143,0.41362205147743225,0.16815331728416938,24.047434550825972
0.0,55.0,5.0,7.0,420.0,1.0,1.0,1.360844612529959,12.0,0.15181,1.0,8.0,35.0,8.0,6,4.0,31.0,4.0,5.0,58.458768844129416,8.461428259445977,27.328846580645163,1.411,48.421140357278304,94.395749,5.936805542232583,0.2977144718170166,0.15761758850658394,1000000.0
1.0,65.0,6.0,0.0,0.0,2.0,0.0,0.0,29.0,0.15181,1.0,5.0,83.0,11.071362508202249,6,4.0,35.0,3.0,3.0,0.0,7.68976785335681,27.328846580645163,1.411,16.548214167532034,94.03405400000003,6.412717690442143,0.4134853780269623,0.19080470086500737,1000000.0
1.0,74.21087259031975,6.0,0.0,0.0,2.0,0.0,0.0,40.915030868002454,0.15181,1.0,7.0,19.0,8.0,6,4.0,12.0,3.0,4.0,0.0,9.43989777850477,27.32884658064516,1.411,57.731108554751465,94.19791000000005,6.412717690442143,0.41362205147743225,0.20237429064724133,23.0746674886193
0.0,69.0,8.0,12.0,0.0,0.0,1.0,0.09656546895481104,22.0,0.15181,1.0,8.0,32.0,9.607700435264526,6,4.0,20.0,0.0,4.0,0.0,4.021584941578784,27.328846580645163,1.411,22.244720439208557,94.41626600000001,2.9016010248056756,0.39133206009864807,0.15199280201801582,1000000.0
1.0,64.0,2.0,9.0,784.0,1.0,0.0,1.8567589424914797,28.0,0.15181,1.0,0.0,118.0,6.8787794151697295,6,4.0,22.0,3.0,3.0,26.11346359875213,6.556925244672298,27.32884658064516,1.411,11.948162736521436,94.591217,5.936805542232583,0.20590715110301971,0.18739886308017856,1000000.0
1.0,60.00000000000001,6.0,13.0,256.0,1.0,0.0,1.3675200037229736,32.0,0.15181,1.0,6.0,27.0,8.130743330693981,6,4.0,31.0,3.0,5.0,22.414974197047528,4.3919257235300595,27.328846580645163,1.411,43.37573334354238,94.145604,5.936805542232583,0.20604382455348969,0.21099246460720264,1000000.0
1.0,51.00501925928263,2.0,47.0,908.0,1.0,1.0,1.9863511973262293,13.0,0.15181,1.0,8.0,83.0,6.301252141354098,6,4.0,8.0,2.0,4.0,42.88840026455779,7.82644552534225,27.32884658064516,1.411,47.577501280719815,92.78185099999995,5.936805542232583,0.3894479274749756,0.13937340166795245,1000000.0
1.0,79.9815458244555,6.0,36.0,705.0,1.0,1.0,0.5933391005237543,35.0,0.15181,1.0,15.0,43.0,9.077469336421295,6,4.0,24.0,4.0,4.0,2.3541775972458168,4.4280194935130845,27.32884658064516,1.411,15.644045369933382,94.33300500000003,6.363006255627459,0.20362980663776398,0.1387471884434497,1000000.0
0.0,56.69758593245983,13.0,19.0,0.0,0.0,2.0,0.5305147454468429,17.631674050331373,0.15181,1.0,0.0,111.0,5.096624173732637,6,4.0,28.0,2.0,4.0,0.0,9.345046389156789,27.32884658064516,1.411,33.72829038064585,95.01081800000001,6.856559550517936,0.35814031958580017,0.12495340925277673,1000000.0
1.0,77.45627716588986,5.0,12.0,54.0,1.0,2.0,0.7715215819753767,21.0,0.15181,1.0,2.0,125.0,9.550267674919663,6,4.0,28.0,3.0,3.0,52.50344309086127,3.910226225889784,27.32884658064516,1.411,22.355934976971277,94.39608799999998,5.936805542232583,0.20590715110301971,0.16321998390517042,1000000.0
1.0,78.99478693506857,5.0,0.0,0.0,2.0,0.0,0.0,11.502681053527189,0.15181,1.0,6.0,85.0,6.0,6,4.0,34.0,3.0,3.0,0.0,3.255253849134875,27.520386119979168,1.411,51.01522711338429,94.05433000000005,6.412717690442143,0.4134853780269623,0.16135226554022689,1000000.0
0.0,70.0,5.0,0.0,0.0,2.0,1.0,0.0,21.0,0.15181,1.0,13.0,16.0,10.900155726553244,6,4.0,37.0,4.0,3.0,0.0,7.536430140128779,27.32884658064516,1.411,48.06035563533236,94.76344900000004,6.412717690442143,0.3257019519805908,0.1469844631479545,1000000.0
0.0,68.0,8.0,0.0,0.0,2.0,1.0,0.0,13.0,0.15181,1.0,10.0,21.0,8.108522624812087,6,4.0,17.0,0.0,0.0,0.0,7.80606549867944,27.32884658064516,1.411,18.91984378104334,95.01915700000004,2.9218161620917296,0.3946029543876648,0.12480205278494699,1000000.0
0.0,60.0,2.0,23.0,0.0,0.0,1.0,0.6455005881029643,19.0,0.15181,1.0,11.0,50.0,6.0,6,4.0,14.0,0.0,9.0,0.0,8.271403128617838,27.32884658064516,1.411,54.83254829672116,94.85202699999999,2.9016010248056756,0.39133206009864807,0.19901949613022868,1000000.0
0.0,72.99967695889504,8.0,7.0,682.0,1.0,1.0,0.13814317990711666,19.0,0.15181,1.0,2.0,17.0,11.85430231134696,6,4.0,35.0,3.0,9.0,32.54136807557152,3.1728334460016816,27.32884658064516,1.411,8.136412211876287,95.171904,5.692428589243822,0.3680247664451599,0.1200067112233677,1000000.0
1.0,78.5451766561022,4.0,45.0,862.0,1.0,0.0,0.16219143072173625,34.0,0.15181,1.0,15.0,47.0,5.0,6,4.0,31.0,3.0,0.0,30.527327459940953,9.490303443319448,27.32884658064516,1.411,56.07481299839931,94.45965899999999,5.936805542232583,0.22827939689159393,0.12324768483159138,1000000.0
1.0,80.078766949492,6.0,15.0,0.0,0.0,0.0,0.8596469581251505,26.0,0.15181,1.0,2.0,61.0,10.045172065703166,6,4.0,30.0,3.0,9.0,0.0,2.844197278159987,27.32884658064516,1.411,33.183507465028995,95.14844400000004,6.856559550517936,0.3569149374961853,0.22572177511920988,1000000.0
1.0,73.24714106273944,13.0,35.0,0.0,0.0,0.0,0.5568437822700225,28.99999999999999,0.15181,1.0,6.0,70.0,9.682953080563806,6,4.0,11.0,4.0,2.0,0.0,3.134457036457691,27.328846580645163,1.411,10.675757612855103,94.24685200000003,6.856559550517936,0.39425423741340637,0.2302387963160019,1000000.0
1.0,68.0,12.0,0.0,0.0,2.0,0.0,0.0,21.0,0.15181,1.0,3.0,110.0,8.0,6,4.0,35.0,2.0,9.0,0.0,9.799909131986002,27.32884658064516,1.411,13.933266102837948,94.06295400000005,6.412717690442143,0.38482093811035156,0.20898237213640358,1000000.0
1.0,82.71971352896384,5.0,14.0,0.0,0.0,2.0,0.6548013635499816,17.602493703503256,0.15181,1.0,1.0,126.0,6.0,6,4.0,22.0,3.0,3.0,0.0,8.983482002078983,27.50621461527591,1.411,22.841780050028063,94.88611000000003,6.856559550517936,0.35677826404571533,0.1512714028572393,1000000.0
0.0,77.8489278564933,12.0,4.0,1229.0,1.0,1.0,0.11199391811536241,14.0,0.15181,1.0,6.0,126.0,11.15070139461331,6,4.0,31.0,0.0,9.0,41.21405360993701,7.412029342736264,27.32884658064516,1.411,33.15488332395409,94.48718099999996,2.33010909121024,0.4728541374206543,0.12162822794832781,1000000.0
1.0,67.0,2.0,29.0,0.0,0.0,2.0,1.423098515226138,40.0,0.15181,1.0,13.0,69.0,7.0,6,4.0,31.0,2.0,3.0,0.0,2.5858981617742574,27.32884658064516,1.411,56.26254197325226,94.19754100000004,6.856559550517936,0.3328191339969635,0.21126319131280558,1000000.0
