 Composting Method,Initial pH,Period (d),Additive_1,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial GI (%),Additive_4,M1_is Enclosed,Initial C/N (%),Additive_3,Material_2,Material_3,Initial Moisture Content (%),Material_Main,V1_Ventilation Type,V4_Ventilation Day,Additive_2,Turning times,Application Rate (%DW),V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,8.0,20.0,31.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,16.0,4.0,6.0,0.0,56.0,2,2.0,0.0,10.0,3.0,5.543473669059317,0.0,1.775,15.243549526099605,89.14689799999998,6.592875579300572,0.23492223024368286,0.15619203432562495,1000000.0
1.0,5.0,21.0,35.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,31.0,4.0,2.0,9.0,76.80032433635236,2,2.0,0.0,3.0,6.0,3.4795792071401683,0.0,1.775,60.41530641953312,89.57701999999999,5.685827422533591,0.49158740043640137,0.16846407276108608,1000000.0
1.0,8.0,112.0,38.0,0.06,1.4572275156026904,0.0,27.32884658064516,1.0,1.0,30.0,4.0,8.0,9.0,66.0,2,0.0,0.0,1.0,21.0,9.169519649453925,0.0,1.775,67.14129667553624,87.71798500000001,6.357433320409943,0.43796151876449585,0.20442242253455828,1000000.0
0.0,5.0,79.0,34.0,0.06,0.0,0.0,27.328846580645163,1.0,1.0,10.0,4.0,2.0,0.0,74.39643447520172,2,2.0,0.0,9.0,21.0,6.375728367354898,0.0,1.775,51.03093796466911,87.92303600000002,6.4103186479393255,0.3122427761554718,0.15478513819028253,1000000.0
2.0,6.0,71.0,35.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,32.0,4.0,3.0,0.0,70.30821748062266,2,2.0,0.0,3.0,12.0,6.463283454379245,0.0,1.775,23.431987976948857,88.591394,7.117430882285744,0.4866788387298584,0.17067204672635022,1000000.0
2.0,5.545615008954833,124.0,30.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,16.0,4.0,6.0,4.0,79.13732909411843,2,2.0,0.0,1.0,11.0,5.674926378155518,0.0,1.775,14.632448200778358,89.44950099999998,6.0563132340288615,0.4901413023471832,0.14622879774800224,1000000.0
2.0,5.0,88.0,8.0,0.06,1.3338465227627838,0.0,27.328846580645163,1.0,1.0,28.000000000000004,4.0,12.0,5.0,66.0,2,0.0,3.0,2.0,17.0,6.778543179423047,0.0,1.775,40.849171929866145,90.23446399999999,7.707527383460756,0.77853924036026,0.20911179746844816,1000000.0
0.0,7.0,93.0,10.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,41.220408771252444,4.0,6.0,3.0,67.0,2,2.0,0.0,2.0,25.0,6.774298381268232,0.0,1.775,73.16622556897309,88.89316,6.091020771332633,0.32830214500427246,0.20032426792754407,19.663181987154672
2.0,5.498783969319567,28.0,34.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,30.0,4.0,14.0,5.0,53.0,2,2.0,0.0,6.0,5.0,6.633310278330256,0.0,1.775,39.86079153968239,89.15368499999998,3.667339562480292,0.22326047718524933,0.17631458054148877,1000000.0
2.0,5.0,15.0,7.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,34.0,4.0,0.0,0.0,77.57739187940047,2,2.0,0.0,5.0,9.0,2.9174325393811475,0.0,1.775,25.692685293082217,88.930963,7.1361412273301745,0.6963467597961426,0.16585703972851798,1000000.0
1.0,7.0,121.0,8.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,21.0,4.0,12.0,0.0,51.0,2,2.0,0.0,1.0,31.0,6.8713834998948835,0.0,1.775,62.268789791289805,89.76813799999998,3.644639067463058,0.4672955274581909,0.1945165925242753,1000000.0
1.0,5.0,85.0,31.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,33.24301109648172,4.0,8.0,3.0,74.71276976824929,2,2.0,0.0,2.0,28.0,4.322914220166166,0.0,1.775,22.801396939024116,89.31272899999998,5.685827422533591,0.5152339935302734,0.19921674370706788,1000000.0
0.0,6.0,111.0,38.0,0.06,0.0,0.0,27.328846580645166,1.0,1.0,32.0,4.0,4.0,0.0,72.80710326497851,2,2.0,0.0,6.0,13.0,6.078100842532655,0.0,1.775,45.92651481350426,88.23285000000001,6.592875579300572,0.19217601418495178,0.16798883466740072,1000000.0
2.0,5.0,27.0,34.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,38.0,4.0,4.0,3.0,58.0,2,2.0,0.0,7.0,8.0,7.387619290652826,0.0,1.775,12.915767113882687,87.95322299999998,6.210382725518763,0.25012484192848206,0.1642568884587881,1000000.0
1.0,6.0,82.0,10.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,21.0,4.0,5.0,9.0,78.37550887476664,2,2.0,0.0,9.0,28.0,6.609144759604822,0.0,1.775,66.51880157580369,88.08986200000001,6.091020771332633,0.19897706806659698,0.16419707469850597,1000000.0
1.0,5.0,34.0,22.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,33.0,4.0,3.0,0.0,74.43000535496779,2,2.0,0.0,6.0,6.0,5.59197715525922,0.0,1.775,48.62686890262133,89.62011699999998,6.187682230501529,0.1982690393924713,0.15997321436636897,1000000.0
2.0,5.0,14.0,22.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,18.0,4.0,3.0,0.0,76.39288821970834,2,2.0,0.0,10.0,24.0,3.7289584441517407,0.0,1.775,61.26904574668917,88.02145300000001,6.712237533486703,0.6891819834709167,0.16015813738483245,1000000.0
0.0,5.0,90.0,34.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,36.0,4.0,6.0,3.0,60.57037186443651,2,2.0,0.0,3.0,21.0,7.440033896844449,0.0,1.775,38.459368763738354,88.806547,5.685827422533591,0.43637147545814514,0.18521994673394065,1000000.0
