M1_is Enclosed,Period (d), Composting Method,Turning times,V2_Ventilation Interval (min),Compost volume (m3),Initial GI (%),Material_2,Additive_2,Initial Moisture Content (%),Material_3,Additive_1,V5_Ventilation rate (L/min/kg iniDW),Initial pH,Material_Main,Additive_3,Additive_4,V4_Ventilation Day,Application Rate (%DW),Initial C/N (%),V1_Ventilation Type,V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,107.0,1.0,11.0,886.0,0.314,27.32884658064516,0.0,5.0,64.0,5.0,15.0,1.5399025057028077,11.813394217921926,5,4.0,1.0,4.0,5.161018302880148,15.0,1.0,49.11133548577753,1.4280600332415827,48.90820977955927,92.168385,9.220223297300556,0.23734264075756073,0.15063694267222058,1000000.0
0.0,129.0,1.0,11.0,358.0,0.314,27.32884658064516,3.0,2.0,65.0,2.0,6.0,0.058517949941933045,10.64215433636754,5,4.0,1.0,0.0,4.080141111493883,35.0,1.0,1.1131278162070157,1.4280600332415827,38.355913470973384,91.34911599999995,4.318950630680001,0.40833011269569397,0.13358167317716718,1000000.0
0.0,56.0,2.0,25.0,1030.0,0.314,27.32884658064516,2.0,3.0,68.0,5.0,20.0,1.1749548395401257,9.275348363687336,5,4.0,1.0,3.0,2.9774594506876833,30.0,1.0,28.454253090015214,1.4280600332415827,37.881848131013854,92.62237499999998,11.067804037976629,0.3315333127975464,0.1582485002010775,1000000.0
1.0,125.0,0.0,11.0,0.0,0.314,27.32884658064516,5.0,5.0,71.62647960761927,4.0,23.0,0.8417013750330178,9.269060655982194,5,4.0,1.0,0.0,2.3537453023689627,16.0,2.0,0.0,1.4280600332415827,28.703257859901885,90.95232999999996,4.0238649017268076,0.5310296416282654,0.20371057865578404,1000000.0
0.0,86.0,1.0,14.0,0.0,0.314,27.32884658064516,4.0,2.0,76.11302156370017,5.0,31.0,1.375762597624394,9.524450873568814,5,4.0,1.0,0.0,2.057628508888226,37.413811194166236,2.0,0.5150035503939828,1.4280600332415827,53.23341915258256,91.57103999999994,5.943319714604056,0.4608958661556244,0.1740304314854876,1000000.0
0.0,50.0,2.0,16.0,699.0,0.314,27.32884658064516,3.0,8.0,79.70142662562778,3.0,24.0,0.038935938455288976,5.0,5,4.0,1.0,4.0,7.996521519909115,31.0,1.0,50.38727916678973,1.4280600332415827,46.854392383875975,91.500553,6.18860605521249,0.3018718361854553,0.12843277041929566,1000000.0
0.0,91.0,2.0,7.0,0.0,0.314,27.32884658064516,0.0,6.0,79.46077738152984,0.0,24.0,0.0,6.0,5,4.0,1.0,0.0,3.715660027398331,21.0,2.0,0.0,1.4280600332415827,40.22786222000716,90.57089599999998,3.1828114943831767,0.40981733798980713,0.17382060771330485,1000000.0
1.0,106.0,1.0,27.0,103.0,0.314,27.32884658064516,2.0,0.0,50.0,5.0,20.0,0.9922805609295314,10.137538247557426,5,4.0,1.0,2.0,9.573791220622264,29.0,1.0,15.114220992972944,1.4280600332415827,47.361522955485334,92.65406899999998,8.889527714181845,0.298872709274292,0.1894134926555267,1000000.0
1.0,72.0,1.0,16.0,963.0,0.314,27.32884658064516,3.0,0.0,68.0,2.0,12.0,0.5569539972611686,11.35334066928862,5,4.0,1.0,2.0,4.579848145808748,39.0,1.0,7.653397028605442,1.4280600332415827,42.56546950421153,91.888751,6.1887299436505305,0.33408278226852417,0.1532857776070278,1000000.0
1.0,31.0,1.0,13.0,0.0,0.314,27.32884658064516,4.0,2.0,55.0,5.0,24.0,0.5925091048507147,11.892450773342517,5,4.0,1.0,3.0,9.182836628417393,30.0,0.0,0.0,1.4280600332415827,53.263185922208415,91.29625499999996,9.570004513111074,0.2839459180831909,0.22496920227067135,1000000.0
0.0,27.0,1.0,3.0,501.0,0.314,27.32884658064516,2.0,7.0,68.0,4.0,7.0,1.356548829050082,8.0,5,4.0,1.0,2.0,7.273341960353655,43.29796470925877,1.0,4.9228020770435466,1.4280600332415827,61.83209292199695,92.834718,7.068983024804157,0.3290776312351227,0.17569092797582658,22.482820703081714
0.0,129.0,2.0,6.0,327.0,0.314,27.32884658064516,5.0,5.0,60.0,0.0,12.0,1.6864367661157234,5.0,5,4.0,1.0,0.0,9.283027832263317,16.0,1.0,43.95136574762793,1.4280600332415827,38.67557012925775,91.68615699999997,4.946374366081296,0.32520416378974915,0.13245539790219063,1000000.0
