V4_Ventilation Day,Material_3,V3_Ventilation Duration (min),Additive_4,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial GI (%),Additive_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Application Rate (%DW),Additive_1,Initial Moisture Content (%),Material_Main,Material_2,M1_is Enclosed,Period (d), Composting Method,Turning times,Additive_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
17.0,3.0,49.77925880265588,1.0,519.0,5.361650971046973,44.790813147009246,27.32884658064516,0.0,1.7360837211080864,1.6689649643571038,1.0,10.1531070209406,28.0,59.35170803009315,0,12.0,0.0,109.0,1.0,30.0,6.0,6.0406961494062035,38.15183960421577,109.08759600000002,6.8706882458530645,0.2315855622291565,0.14962986446992982,22.852396471786744
35.0,4.0,51.98471246508019,1.0,765.0,5.663294381759672,20.829053835690427,27.32884658064516,8.0,11.120835143168657,6.481724182260332,1.0,30.976083825101703,16.0,73.26909752469746,0,13.0,1.0,130.0,1.0,30.0,1.0,7.3551860733529715,56.76981830414897,105.83451899999999,10.225249980972455,0.8987182974815369,0.17543044091907647,21.94609102805253
7.0,2.0,31.56491097543621,1.0,1299.0,9.674655116986049,15.794410571466486,27.32884658064516,1.0,16.939209906209417,4.200034107033961,1.0,10.348375938005296,12.0,61.83073922480663,0,2.0,0.0,85.0,1.0,30.0,5.0,2.7983833982251154,52.4310313397621,107.43381300000004,8.871336907172221,0.5245041251182556,0.14499936369960276,23.17765128090769
39.0,5.0,50.43281749748457,1.0,937.0,8.370033696589775,17.589178799013606,27.32884658064516,11.0,9.117109390104018,2.403966793062843,1.0,13.15645042114395,14.0,80.10414799820114,0,8.0,1.0,105.0,2.0,31.0,1.0,5.347779116411365,59.7146135014047,106.56741,6.565511288375105,0.8925277590751648,0.17547873403087416,24.267657370965157
4.0,9.0,26.524801179446044,1.0,32.0,10.626529845372033,36.41596575011801,27.32884658064516,10.0,2.931339317833743,3.8021953381091924,1.0,14.780917786813578,30.0,81.91131328281986,0,6.0,1.0,112.0,0.0,31.0,1.0,1.5857879364189515,45.493730404622426,105.85346700000005,8.31765509444872,1.0372940301895142,0.19617839282430974,22.598775997221804
57.0,4.0,49.80170010962172,1.0,1057.0,9.364727742823028,26.96020517838463,27.32884658064516,8.0,13.192654820169027,5.514793753781089,1.0,22.183247341516942,13.0,63.15364514676965,0,12.0,1.0,116.0,0.0,31.0,5.0,4.550328679417712,27.62368243219589,106.925451,9.386150787159334,0.7578415274620056,0.14631248103827782,25.544575541485397
60.0,4.0,30.14256311229646,1.0,774.0,7.313387970569819,33.991944842817816,27.32884658064516,13.0,19.036064419175823,0.768386635455387,1.0,6.029381058369099,30.0,47.05751082597377,0,13.0,1.0,63.0,2.0,30.0,6.0,5.028222092123345,38.17504931529253,106.35500600000002,6.721575340887157,0.643496036529541,0.1658966062047382,25.44625163810775
0.0,3.0,0.18685180183690864,1.0,0.0,8.46297505371528,35.692710900840815,27.32884658064516,10.0,4.328237931861089,0.0,2.0,21.26350054318722,11.0,73.08116882385478,0,4.0,0.0,70.0,1.0,31.0,6.0,8.290163606453453,52.99645825457252,102.66719500000006,10.694221964544724,0.44957801699638367,0.14292428638120508,19.698716918610835
27.0,0.0,50.93855920607921,1.0,33.0,10.31109756709256,19.910253773021463,27.32884658064516,15.0,11.687887244638917,1.3234906108140554,1.0,5.3180710497619375,22.0,74.61333460754328,0,14.0,1.0,90.0,0.0,19.0,6.0,3.691125568042808,34.97249410452828,102.34289000000001,7.815572506470781,0.6937228441238403,0.21810044784737465,24.777626033362626
33.0,4.0,13.36523226532586,1.0,143.0,4.892525382576761,29.895715698481307,27.32884658064516,10.0,22.448431026798144,2.414919268082211,1.0,7.6579471539054556,27.0,44.54082263003926,0,4.0,1.0,120.0,0.0,31.0,1.0,1.2898144985759248,44.909128516131005,108.40366599999999,5.3451369774962725,0.9366124272346497,0.21117591584200462,22.482933407799187
