Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
5,5.55556,0.0,0,1,50.0,50.0,10.0,8,0.1,3.87,60.0,38.7
8,5.55556,0.0,0,1,50.0,50.0,0.0,8,0.1,0.3,55.0,19.4242
8,5.55556,0.0,0,1,50.0,50.0,10.0,8,0.1,0.3,59.0,12.303
8,5.55556,0.0,0,1,50.0,50.0,20.0,8,0.1,0.3,59.608,11.9394
8,5.55556,0.0,0,1,50.0,50.0,20.5,8,0.1,0.3,59.608,11.2121
8,5.55556,0.0,0,1,50.0,50.0,21.0,8,0.1,0.3,59.608,9.51515
8,5.55556,0.0,0,1,50.0,50.0,22.0,8,0.1,0.3,59.608,9.18182
5,7.0,0.0,0,1,91.0,7.6,0.0,8,0.25,0.01275,60.0,63.5179
5,7.0,0.0,0,1,91.0,7.6,12.5,8,0.25,0.01275,60.0,57.0893
5,7.0,0.0,0,1,91.0,7.6,12.5,8,0.25,0.01275,60.0,59.3214
5,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,46.2857
5,7.0,0.0,0,1,91.0,7.6,0.0,8,0.25,0.01275,60.0,63.4286
5,7.0,0.0,0,1,91.0,7.6,12.5,8,0.25,0.01275,60.0,54.8571
5,7.0,0.0,0,1,91.0,7.6,12.5,8,0.25,0.01275,60.0,57.9821
5,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,46.8214
5,7.0,0.0,0,1,91.0,7.6,0.0,8,0.25,0.01275,60.0,65.3036
5,7.0,0.0,0,1,91.0,7.6,12.5,8,0.25,0.01275,60.0,58.9643
5,7.0,0.0,0,1,91.0,7.6,12.5,8,0.25,0.01275,60.0,57.625
5,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,51.1071
6,0.0,0.0,0,1,32.0,32.0,0.0,8,0.1,1.17937,75.32,22.82
6,0.0,0.0,0,1,32.0,32.0,0.0,8,0.1,0.58699,69.37,43.09
6,0.0,0.0,0,1,32.0,32.0,0.0,8,0.1,0.80324,66.06,49.76
0,0.0,0.0,0,1,32.0,32.0,0.0,8,0.1,1.17937,76.28,23.45
0,0.0,0.0,0,1,32.0,32.0,0.0,8,0.1,0.60935,72.85,37.55
0,0.0,0.0,0,1,32.0,32.0,0.0,8,0.1,0.61862,63.45,57.58
6,0.0,0.0,0,1,32.0,32.0,0.0,8,0.1,0.59399,67.86,32.63
0,0.0,0.0,0,1,32.0,32.0,0.0,8,0.1,1.17937,76.28,36.19
6,11.66667,0.0,2,0,70.0,0.0,0.0,2,22.5,0.0,67.924,34.44421
6,11.66667,0.0,2,0,70.0,0.0,0.6,2,22.5,0.0,67.924,28.30697
6,11.66667,0.0,2,0,70.0,0.0,1.0,2,22.5,0.0,67.924,29.97245
6,11.66667,0.0,2,0,70.0,0.0,1.7,2,22.5,0.0,67.924,30.68183
6,7.0,0.0,2,0,56.0,0.0,0.0,2,22.5,0.0,68.24,46.88991
6,7.0,0.0,2,0,56.0,0.0,4.0,2,22.5,0.0,68.24,34.85462
6,7.0,0.0,2,0,56.0,0.0,7.3,2,22.5,0.0,68.24,33.33327
6,7.0,0.0,2,0,56.0,0.0,13.5,2,22.5,0.0,62.72,23.79163
6,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,2,0.98322,0.76086,64.42877,13.35194
6,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,2,0.98322,0.76086,64.42877,21.21206
4,0.0,0.0,0,1,28.0,28.0,0.0,8,0.1,0.74607,58.4,36.77
4,0.0,0.0,0,1,28.0,28.0,0.0,8,0.1,0.78624,56.2,45.06
4,0.0,0.0,0,1,28.0,28.0,0.0,8,0.1,0.74607,58.8,43.65
4,0.0,0.0,0,1,28.0,28.0,0.0,8,0.1,0.87816,60.9,50.1
4,0.0,0.0,0,1,28.0,28.0,0.0,8,0.1,0.65354,61.9,53.43
5,0.0,0.0,0,1,28.0,28.0,0.0,0,0.1,0.65354,61.9,56.34
5,0.0,0.0,0,1,28.0,28.0,0.0,0,0.1,0.54194,64.5,54.84
5,0.0,0.0,0,1,28.0,28.0,0.0,8,0.1,0.49312,65.3,56.57
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,67.8621
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,68.5241
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,65.7655
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,68.0828
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,64.5517
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,59.3655
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,55.7241
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,59.3655
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,61.6828
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,43.9172
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,53.0759
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,51.6414
8,0.0,0.0,0,0,84.0,0.0,0.0,8,0.12,0.0,81.0,24.9
8,0.0,0.0,0,0,84.0,0.0,0.0,8,0.12,0.0,75.8,31.4
1,0.0,0.0,0,0,84.0,0.0,0.0,8,0.12,0.0,77.3,31.6
1,0.0,0.0,0,0,84.0,0.0,0.0,8,0.12,0.0,77.0,40.8
1,0.0,0.0,0,0,84.0,0.0,0.0,0,0.12,0.0,80.0,35.0
1,0.0,0.0,0,0,84.0,0.0,22.28321,8,0.12,0.0,84.1,14.9
1,0.0,0.0,0,0,84.0,0.0,9.53373,8,0.12,0.0,80.7,32.3
1,0.0,0.0,0,0,84.0,0.0,15.84383,8,0.12,0.0,81.5,25.3
0,12.0,0.0,0,1,60.0,60.0,4.49709,8,0.045,0.22,60.0,44.0
0,12.0,0.0,0,1,60.0,60.0,4.49709,8,0.045,0.44,60.0,51.0
0,12.0,0.0,0,1,60.0,60.0,4.49709,8,0.045,0.66,60.0,54.0
0,12.0,0.0,0,1,60.0,60.0,1.79709,8,0.045,0.22,65.0,42.0
0,12.0,0.0,0,1,60.0,60.0,1.79709,8,0.045,0.44,65.0,56.0
0,12.0,0.0,0,1,60.0,60.0,2.79709,8,0.045,0.66,65.0,51.0
0,12.0,0.0,0,1,60.0,60.0,2.29709,8,0.045,0.22,70.0,47.0
0,12.0,0.0,0,1,60.0,60.0,1.29709,8,0.045,0.44,70.0,36.0
0,12.0,0.0,0,1,60.0,60.0,0.29709,8,0.045,0.66,70.0,50.0
1,0.0,0.0,0,1,28.0,28.0,0.0,8,0.01,0.28,69.0,23.5
1,0.0,0.0,0,1,28.0,28.0,0.0,4,0.01,0.28,63.0,20.6
1,0.0,0.0,0,1,28.0,28.0,0.0,4,0.01,0.28,66.0,21.8
1,0.0,0.0,0,1,28.0,28.0,0.0,5,0.01,0.28,65.0,16.8
1,0.0,0.0,0,1,28.0,28.0,0.0,5,0.01,0.28,67.0,19.2
1,0.0,0.0,0,1,28.0,28.0,25.0,8,0.01,0.28,65.0,8.9
1,0.0,0.0,0,1,28.0,28.0,14.28571,8,0.01,0.28,67.0,13.4
1,0.0,0.0,0,1,28.0,28.0,0.0,8,0.01,0.28,65.0,29.5
1,0.0,0.0,0,1,28.0,28.0,0.0,2,0.01,0.28,65.0,18.6
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.24,65.0,43.0
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.48,65.0,50.0
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.72,65.0,53.0
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.24,70.0,41.0
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.48,70.0,55.0
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.72,70.0,50.0
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.24,75.0,46.0
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.48,75.0,34.0
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.72,75.0,49.0
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.24,64.1,42.7
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.48,65.2,51.0
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.72,63.7,50.7
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.24,71.3,41.6
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.48,70.6,54.0
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.72,70.8,50.3
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.24,75.7,45.6
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.48,76.8,33.8
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.72,74.0,48.9
5,6.21429,0.0,2,0,87.0,0.0,0.0,5,0.144,0.0,67.7,63.12
5,6.21429,0.0,2,0,87.0,0.0,0.0,5,0.144,0.0,67.7,69.28
0,3.88889,0.0,0,1,35.0,35.0,0.0,5,0.1559,0.35558,66.03,52.90177
0,3.88889,0.0,0,1,35.0,35.0,0.0,5,0.2984,0.35558,65.69,55.63031
0,3.88889,0.0,0,1,35.0,35.0,0.0,5,0.5697,0.35558,66.14,55.11272
8,7.0,0.0,1,0,70.0,0.0,0.0,8,1.2,0.0,64.0,63.64
8,7.0,0.0,1,1,70.0,0.0,0.0,8,1.2,0.0,64.0,63.16
8,14.0,0.0,1,0,70.0,0.0,0.0,8,1.2,0.0,64.0,63.33
8,14.0,0.0,1,1,70.0,0.0,0.0,8,1.2,0.0,64.0,62.73
8,0.0,0.0,1,0,70.0,0.0,0.0,8,1.2,0.0,64.0,52.88
8,0.0,0.0,1,1,70.0,0.0,0.0,8,1.2,0.0,64.0,51.81
6,7.0,0.0,0,1,35.0,35.0,0.0,8,0.06,0.2,72.1,50.26
8,8.0,0.0,0,1,56.0,0.0,0.0,8,1.2,0.0,67.6,66.0
8,8.0,0.0,0,1,56.0,0.0,3.3,8,1.2,0.0,67.6,59.5
8,8.0,0.0,0,1,56.0,0.0,6.6,8,1.2,0.0,67.6,60.5
8,8.0,0.0,0,1,56.0,0.0,9.9,8,1.2,0.0,67.6,55.3
8,8.0,0.0,0,1,56.0,0.0,13.2,8,1.2,0.0,67.6,44.3
5,3.11111,0.0,0,1,28.0,0.0,0.0,8,0.13,0.0,61.4561,41.19
5,3.11111,0.0,0,1,28.0,0.0,2.0,8,0.13,0.0,60.661,38.64
5,3.11111,0.0,0,1,28.0,0.0,4.0,8,0.13,0.0,59.7109,31.45
5,3.11111,0.0,0,1,28.0,0.0,6.0,8,0.13,0.0,60.4548,25.78
5,3.11111,0.0,0,1,28.0,0.0,8.0,8,0.13,0.0,60.0684,18.48
5,3.11111,0.0,0,1,28.0,0.0,10.0,8,0.13,0.0,59.4546,12.39
8,14.0,1.0,0,1,28.0,28.0,0.0,8,0.07122,0.8589,60.0,46.9
8,14.0,1.0,0,1,28.0,28.0,0.0,8,0.07122,0.92562,60.0,53.94
8,14.0,1.0,0,1,28.0,28.0,0.0,8,0.07122,0.90323,60.0,67.74
2,7.0,0.5,0,1,28.0,28.0,0.0,8,0.06,1.20727,66.9,52.8
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.96434,58.6,59.4
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.85547,53.1,62.5
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.76023,47.5,60.1
1,4.44444,0.0,1,1,40.0,0.0,0.0,8,0.2,0.0,65.0,55.81
1,4.44444,0.0,1,1,40.0,0.0,1.0,8,0.2,0.0,65.0,54.13
1,4.44444,0.0,1,1,40.0,0.0,5.0,8,0.2,0.0,65.0,52.5
1,4.44444,0.0,1,1,40.0,0.0,6.0,8,0.2,0.0,65.0,48.48
