Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),NH3-N loss (%)
3,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,13.4503
8,5.09091,0.0,0,1,56.0,56.0,0.0,5,0.13,1.11111,55.0,1.02
8,5.09091,0.0,0,1,56.0,56.0,2.0,5,0.13,1.11111,55.0,0.2
8,5.09091,0.0,0,1,56.0,56.0,4.0,5,0.13,1.11111,55.0,0.11
8,5.09091,0.0,0,1,56.0,56.0,6.0,5,0.13,1.11111,55.0,0.11
8,5.09091,0.0,0,1,56.0,56.0,8.0,5,0.13,1.11111,55.0,0.06
8,5.09091,0.0,0,1,56.0,56.0,12.0,5,0.13,1.11111,55.0,0.04
8,5.09091,0.0,0,1,56.0,56.0,18.0,5,0.13,1.11111,55.0,0.02
3,1.0,0.0,0,1,25.0,25.0,0.0,5,0.03,0.82386,66.0,21.2
3,1.0,0.0,0,1,25.0,25.0,2.22035,5,0.03,0.80596,66.0,32.8
3,1.0,0.0,0,1,25.0,25.0,1.82166,5,0.03,0.80912,66.0,12.6
3,1.0,0.0,0,1,25.0,25.0,1.42297,5,0.03,0.8123,66.0,3.5
4,1.86486,0.0,1,0,69.0,0.0,0.0,1,0.08,0.0,80.7,11.4
4,1.86486,0.0,1,0,69.0,0.0,3.0,1,0.08,0.0,80.7,8.13793
4,1.86486,0.0,1,0,69.0,0.0,4.0,1,0.08,0.0,80.7,4.22508
4,1.86486,0.0,1,0,69.0,0.0,3.0,1,0.08,0.0,80.7,7.9278
9,8.75,0.0,0,1,35.0,35.0,0.0,5,0.06,0.3,69.2,32.5
9,8.75,0.0,0,1,35.0,35.0,1.06418,5,0.06,0.3,69.2,14.5
9,8.75,0.0,0,1,35.0,35.0,1.06418,5,0.06,0.3,69.2,16.0
9,8.75,0.0,0,1,35.0,35.0,1.06418,5,0.06,0.3,69.2,13.3
9,8.75,0.0,0,1,35.0,35.0,1.06418,5,0.06,0.3,69.2,5.9
9,5.0,0.0,0,1,30.0,30.0,0.0,5,0.12,2.56621,66.11478,1.6
9,5.0,0.0,0,1,30.0,30.0,5.0,5,0.12,2.56621,68.19048,1.184
9,5.0,0.0,0,1,30.0,30.0,10.0,5,0.12,2.56621,61.06148,0.864
9,5.0,0.0,0,1,30.0,30.0,20.0,5,0.12,2.56621,59.191,0.688
9,5.0,0.0,0,1,30.0,30.0,1.0,5,0.12,2.56621,68.19048,0.848
9,7.0,0.0,0,1,28.0,28.0,0.0,6,0.06,0.36,62.06,13.18
9,7.0,0.0,0,1,28.0,28.0,10.0,6,0.06,0.36,58.69,11.36
3,7.5,2.0,0,1,30.0,30.0,0.0,5,0.06,0.65577,53.59,23.17
3,7.5,2.0,0,1,30.0,30.0,0.0,5,0.06,0.82521,61.399,14.5
3,7.5,2.0,0,1,30.0,30.0,3.33172,5,0.06,0.82521,61.399,12.31
3,7.5,2.0,0,1,30.0,30.0,3.33172,5,0.06,0.82521,61.399,20.84
