Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),N2O-N loss (%)
8,5.55556,0.0,0,1,50.0,50.0,10.0,5,0.1,0.3,59.0,0.29833
8,5.55556,0.0,0,1,50.0,50.0,20.0,5,0.1,0.3,59.608,0.19711
8,5.55556,0.0,0,1,50.0,50.0,20.5,5,0.1,0.3,59.608,0.18645
8,5.55556,0.0,0,1,50.0,50.0,21.0,5,0.1,0.3,59.608,0.17047
8,5.55556,0.0,0,1,50.0,50.0,22.0,5,0.1,0.3,59.608,0.17047
8,0.0,0.0,0,0,84.0,0.0,0.0,5,0.12,0.0,81.0,0.55
8,0.0,0.0,0,0,84.0,0.0,0.0,5,0.12,0.0,75.8,0.57
1,0.0,0.0,0,0,84.0,0.0,0.0,5,0.12,0.0,77.3,0.06
1,0.0,0.0,0,0,84.0,0.0,0.0,5,0.12,0.0,77.0,0.03
1,0.0,0.0,0,0,84.0,0.0,0.0,0,0.12,0.0,80.0,0.01
1,0.0,0.0,0,0,84.0,0.0,22.28321,5,0.12,0.0,84.1,0.12
1,0.0,0.0,0,0,84.0,0.0,9.53373,5,0.12,0.0,80.7,0.02
1,0.0,0.0,0,0,84.0,0.0,15.84383,5,0.12,0.0,81.5,0.07
1,0.0,0.0,0,1,28.0,28.0,0.0,5,0.01,0.28,69.0,0.01619
1,0.0,0.0,0,1,28.0,28.0,0.0,3,0.01,0.28,63.0,0.01181
1,0.0,0.0,0,1,28.0,28.0,0.0,3,0.01,0.28,66.0,0.01812
1,0.0,0.0,0,1,28.0,28.0,0.0,4,0.01,0.28,65.0,0.02763
1,0.0,0.0,0,1,28.0,28.0,0.0,4,0.01,0.28,67.0,0.04223
1,0.0,0.0,0,1,28.0,28.0,25.0,5,0.01,0.28,65.0,0.01279
1,0.0,0.0,0,1,28.0,28.0,14.28571,5,0.01,0.28,67.0,0.01041
1,0.0,0.0,0,1,28.0,28.0,0.0,5,0.01,0.28,65.0,0.00707
1,0.0,0.0,0,1,28.0,28.0,0.0,1,0.01,0.28,65.0,0.00779
