Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),CH4-C loss (%)
5,3.11111,0.0,0,1,28.0,0.0,8.0,5,0.13,0.0,60.0684,0.19
5,3.11111,0.0,0,1,28.0,0.0,10.0,5,0.13,0.0,59.4546,0.17
7,0.0,0.0,1,0,110.6,0.0,0.0,5,0.4,0.0,77.53,0.13
7,0.0,0.0,1,0,110.6,0.0,0.0,0,0.4,0.0,66.36,0.4
6,0.0,0.0,0,1,50.0,50.0,0.0,4,0.03,0.22286,72.13,0.01872
6,0.0,0.0,0,1,50.0,50.0,0.0,5,0.03,0.20526,69.74,0.20265
6,0.0,0.0,0,1,50.0,50.0,0.0,2,0.03,0.21455,71.05,0.14782
2,7.0,0.5,0,1,28.0,28.0,0.0,5,0.06,1.20727,66.9,0.34
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.96434,58.6,0.27
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.85547,53.1,0.2
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.76023,47.5,0.12
7,0.0,0.0,2,1,56.0,56.0,0.32468,5,1.37,0.108,69.2,0.06
7,0.0,0.0,2,1,56.0,56.0,2.06897,4,1.37,0.108,71.0,0.05
7,0.0,0.0,2,1,56.0,56.0,0.0,5,1.37,0.108,70.3,0.02
7,0.0,0.0,2,1,56.0,56.0,2.83688,4,1.18,0.108,71.8,0.03
0,0.0,0.0,1,0,64.0,0.0,0.0,5,1.1,0.0,74.27405,0.197
0,0.0,0.0,1,1,64.0,0.0,0.0,5,1.1,0.0,74.27405,0.296
0,5.33333,0.0,1,1,64.0,0.0,0.0,5,1.1,0.0,74.27405,0.428
0,5.33333,0.02128,1,1,64.0,64.0,0.0,5,1.1,2.5,74.27405,0.164
5,7.5,0.01389,0,1,30.0,30.0,0.0,5,0.1,0.00833,60.0,0.049
5,7.5,0.01389,0,1,30.0,30.0,10.0,5,0.1,0.00833,60.0,0.05
5,7.5,0.01389,0,1,30.0,30.0,10.0,5,0.1,0.00833,60.0,0.028
0,0.0,0.0,0,1,20.0,20.0,0.0,5,0.06,0.21,60.22,0.15
0,0.0,1.0,0,1,20.0,20.0,0.0,5,0.06,0.42,60.22,0.13
0,0.0,0.33333,0,1,20.0,20.0,0.0,5,0.06,0.84,60.22,0.21
0,0.0,0.0,0,1,21.0,21.0,0.0,5,0.06,0.21,55.0,0.00012
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,4e-05
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,4e-05
0,15.5,0.0,0,1,31.0,31.0,0.0,5,0.06,0.09384,65.4,0.05
0,15.5,0.0,0,1,31.0,31.0,0.0,5,0.06,0.15639,65.4,0.04
0,15.5,0.5,0,1,31.0,31.0,0.0,5,0.06,0.28151,65.4,0.05
7,21.0,0.0,0,1,21.0,21.0,0.0,5,1.2096,0.24,59.81,0.38
7,21.0,0.0,0,1,21.0,21.0,0.0,0,1.2096,0.24,60.21,0.43
5,1.0,0.0,0,1,15.0,15.0,0.0,4,0.018,0.9532,65.03,0.38776
5,1.0,0.0,0,1,15.0,15.0,29.0,4,0.018,0.90506,63.17,0.2855
5,1.0,0.0,0,1,15.0,15.0,29.0,4,0.018,0.88629,62.39,0.32892
5,1.0,0.0,0,1,15.0,15.0,29.0,4,0.018,0.89127,62.6,0.30074
5,1.0,0.0,0,1,15.0,15.0,29.0,4,0.018,0.8765,61.97,0.34662
5,1.0,0.0,0,1,15.0,15.0,29.0,4,0.018,0.91149,63.43,0.30362
4,6.42857,0.0,0,0,45.0,0.0,0.0,5,0.06,0.0,64.06,0.22
4,6.42857,0.0,0,0,45.0,0.0,0.0,5,0.06,0.0,64.06,0.19
7,17.5,0.0,0,1,70.0,0.0,0.0,5,1.2096,0.0,63.6,0.24
7,17.5,0.0,0,1,70.0,70.0,0.0,5,1.2096,0.18,63.6,0.32
7,17.5,0.0,0,1,70.0,70.0,0.0,5,1.2096,0.36,63.6,0.09
7,17.5,0.0,0,1,70.0,70.0,0.0,5,1.2096,0.54,63.6,0.01
7,17.5,2.0,0,1,70.0,70.0,0.0,5,1.2096,0.54,63.6,0.03
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.08564
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.17394
5,0.0,0.0,0,1,31.0,31.0,0.0,5,0.01,0.48,71.0,0.03724
5,0.0,0.0,0,1,31.0,31.0,0.0,5,0.01,0.23,71.0,0.03629
5,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.00574
5,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.00447
6,5.0,0.02778,0,1,45.0,45.0,0.0,5,0.12,1.97084,65.0,0.14
6,5.0,0.02778,0,1,45.0,45.0,5.0,5,0.12,2.55513,65.0,0.06
6,5.0,0.02778,0,1,45.0,45.0,1.0,5,0.12,1.71142,65.0,0.05
6,5.0,0.02778,0,1,45.0,45.0,1.0,5,0.12,1.71142,65.0,0.02
6,5.0,0.02778,0,1,45.0,45.0,3.0,5,0.12,1.43942,65.0,0.04
6,5.0,0.02778,0,1,45.0,45.0,3.0,5,0.12,1.43942,65.0,0.08
6,5.0,0.02778,0,1,45.0,45.0,5.0,5,0.12,2.55513,65.0,0.04
6,7.0,0.0,0,1,35.0,35.0,0.0,5,0.06,0.3,72.86,0.4
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.002
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.0007
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.0007
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.0003
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.0017
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.0012
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.0017
0,0.0,0.0,1,0,90.0,0.0,0.0,4,0.02069,0.0,73.564,0.05
0,0.0,0.0,1,0,90.0,0.0,0.0,4,0.02069,0.0,73.564,0.03
