Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final C_N (%)
1,7,0.75,0,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,32,0.44,11,20.54,8.54
1,7,0.75,0,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,10,0.44,11,20.54,8.79
1,15,1.0,0,3,35.0,35.0,0,0.0,0.0,9.0,2.25,0.02,64.71,17,0.5,11,29.01,25.5
1,15,1.0,0,3,35.0,35.0,0,0.0,0.0,9.0,2.57,0.02,64.07,17,0.5,8,30.34,27.06
1,15,1.0,0,3,35.0,35.0,0,0.0,0.0,9.0,4.07,0.02,65.74,17,0.5,8,29.05,27.44
1,26,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,10.93
1,26,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,11,20.54,8.91
1,26,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,11,20.54,8.71
1,26,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,31,0.44,11,20.54,8.75
1,26,1.0,0,9,56.0,56.0,1,0.0,0.0,11.0,2.0,0.13,55.0,4,1.11,11,25.09,17.64
1,26,1.0,0,9,56.0,56.0,1,0.0,0.0,11.0,4.0,0.13,55.0,4,1.11,11,25.0,16.46
1,26,1.0,0,9,56.0,56.0,1,0.0,0.0,11.0,6.0,0.13,55.0,4,1.11,11,23.99,13.15
1,26,1.0,0,9,56.0,56.0,1,0.0,0.0,11.0,8.0,0.13,55.0,4,1.11,11,22.32,13.6
1,26,1.0,0,9,56.0,56.0,1,0.0,0.0,11.0,12.0,0.13,55.0,4,1.11,11,21.14,14.22
1,26,1.0,0,9,56.0,56.0,1,0.0,0.0,11.0,18.0,0.13,55.0,4,1.11,11,20.4,11.4
3,5,0.0,1,4,69.0,0.0,2,0.0,0.0,37.0,0.0,0.08,80.7,24,0.0,11,20.38,15.53
3,5,0.0,1,4,69.0,0.0,2,0.0,0.0,37.0,3.0,0.08,80.7,4,0.0,11,22.77,15.03
3,5,0.0,1,4,69.0,0.0,2,0.0,0.0,37.0,4.0,0.08,80.7,30,0.0,11,19.47,15.5
3,5,0.0,1,4,69.0,0.0,2,0.0,0.0,37.0,3.0,0.08,80.7,30,0.0,0,22.13,17.5
1,1,1.0,0,10,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,69.2,24,0.3,11,18.4,10.36
1,1,1.0,0,10,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,14,0.3,7,18.4,8.37
1,1,1.0,0,10,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,15,0.3,9,18.4,9.17
1,1,1.0,0,10,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,6,0.3,9,18.4,10.23
1,1,1.0,0,10,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,14,0.3,9,18.4,12.71
1,18,1.0,0,9,50.0,50.0,1,20.0,60.0,7.0,0.0,0.29,67.71,24,0.18,11,21.24,16.77
1,18,1.0,0,9,50.0,50.0,1,20.0,60.0,7.0,12.0,0.29,66.08,4,0.25,11,21.21,18.48
3,15,0.0,2,10,82.0,0.0,2,0.0,0.0,15.0,1.38,5.46,63.7,22,0.0,11,15.4,13.73
3,15,0.0,2,10,82.0,0.0,2,0.0,0.0,15.0,9.64,5.46,63.7,4,0.0,10,17.51,16.28
3,21,0.0,1,0,50.0,0.0,2,0.0,0.0,9.0,0.0,0.06,60.6,24,0.0,11,22.5,14.0
3,21,0.0,1,0,50.0,0.0,2,0.0,0.0,9.0,25.49,0.06,60.1,13,0.0,11,23.4,14.7
1,27,1.0,0,10,28.0,28.0,0,0.0,0.0,4.0,0.0,0.06,62.06,24,0.36,11,17.91,14.43
1,27,1.0,0,10,28.0,28.0,0,0.0,0.0,4.0,10.0,0.06,58.69,29,0.36,11,18.23,14.28
1,26,1.0,0,9,56.0,56.0,0,0.0,0.0,11.0,10.0,0.1,55.0,32,0.79,11,25.18,12.5
1,26,1.0,0,9,56.0,56.0,0,0.0,0.0,11.0,10.0,0.1,55.0,18,0.79,11,25.67,12.74
1,26,1.0,0,9,56.0,56.0,0,0.0,0.0,11.0,10.0,0.1,55.0,3,0.79,11,25.44,11.78
3,14,0.0,2,10,26.0,0.0,2,0.0,0.0,7.0,0.0,1.2,65.0,24,0.0,11,22.46,25.32
3,14,0.0,2,10,26.0,0.0,2,0.0,0.0,7.0,15.68,1.2,65.0,4,0.0,11,24.97,28.14
1,1,1.0,0,10,35.0,35.0,1,30.0,30.0,2.0,0.0,0.06,67.6,24,0.38,11,17.43,10.28
1,1,1.0,0,10,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,65.79,25,0.38,11,14.84,9.33
1,1,1.0,0,10,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,67.3,7,0.38,11,16.2,9.11
1,1,1.0,0,10,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,66.1,25,0.38,1,13.98,8.93
1,26,1.0,0,10,50.0,50.0,0,0.0,0.0,5.0,0.0,0.1,58.0,24,0.69,11,25.0,17.0
1,26,1.0,0,10,50.0,50.0,0,0.0,0.0,5.0,10.0,0.1,62.49,4,0.42,11,25.94,16.77
1,26,1.0,0,10,50.0,50.0,0,0.0,0.0,5.0,10.0,0.1,62.49,32,0.42,11,25.94,16.85
1,26,1.0,0,10,50.0,50.0,0,0.0,0.0,5.0,20.0,0.1,59.46,4,0.36,13,17.95,17.62
1,1,1.0,0,9,34.0,34.0,0,0.0,0.0,6.0,0.0,0.06,65.0,24,0.27,11,11.37,9.71
1,1,1.0,0,9,34.0,34.0,0,0.0,0.0,6.0,10.0,0.06,65.0,29,0.26,11,11.37,10.22
1,1,1.0,0,9,34.0,34.0,0,0.0,0.0,6.0,10.29,0.06,65.0,29,0.26,3,11.37,8.9
1,1,1.0,0,9,34.0,34.0,0,0.0,0.0,6.0,14.57,0.06,65.0,29,0.26,3,11.37,8.94
1,1,1.0,0,10,35.0,0.0,0,0.0,0.0,6.0,0.0,0.06,69.2,24,0.25,11,18.43,7.54
1,1,1.0,0,10,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,14,0.25,8,18.43,11.64
1,1,1.0,0,10,35.0,0.0,0,0.0,0.0,6.0,4.0,0.06,68.85,29,0.25,11,18.43,14.2
1,1,1.0,0,10,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,14,0.25,11,18.43,13.94
1,26,1.0,0,7,50.0,34.9,0,2.05,50.0,9.0,0.0,0.1,60.0,24,1.37,11,31.01,15.62
1,26,1.0,0,7,50.0,29.8,0,2.02,49.0,9.0,2.0,0.1,60.0,9,1.42,11,30.06,14.18
1,26,1.0,0,7,50.0,31.3,0,2.02,49.0,9.0,4.0,0.1,60.0,9,1.4,11,30.33,15.1
1,26,1.0,0,7,50.0,30.6,0,2.0,48.0,9.0,6.0,0.1,60.0,9,1.35,11,30.55,14.3
1,26,1.0,0,7,50.0,35.7,0,2.02,49.0,9.0,8.0,0.1,60.0,9,1.34,11,31.04,11.84
1,26,1.0,0,7,50.0,34.2,0,1.02,25.0,9.0,10.0,0.1,60.0,9,1.29,11,30.79,12.64
1,26,1.0,0,9,42.0,42.0,0,0.0,0.0,9.0,2.0,0.1,63.49,19,0.39,11,25.56,18.96
1,26,1.0,0,9,42.0,42.0,0,0.0,0.0,9.0,4.0,0.1,62.01,19,0.4,11,25.83,19.69
1,26,1.0,0,9,42.0,42.0,0,0.0,0.0,9.0,6.0,0.1,61.89,19,0.4,11,25.91,16.64
1,26,1.0,0,9,42.0,42.0,0,0.0,0.0,9.0,10.0,0.1,61.7,19,0.41,11,25.98,16.95
0,3,1.0,0,9,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,75.32,24,0.56,11,17.96,16.73
0,3,1.0,0,9,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,69.37,24,0.49,11,17.83,16.29
0,3,1.0,0,9,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,66.06,24,0.78,11,19.19,14.43
0,16,1.0,0,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,72.85,24,0.5,11,21.05,19.19
0,16,1.0,0,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,63.45,24,0.51,11,22.43,14.43
0,23,1.0,0,9,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,67.86,24,0.44,11,12.13,17.05
0,23,1.0,0,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,76.28,24,0.75,11,22.24,19.35
0,11,1.0,0,6,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,58.8,24,0.83,11,35.0,27.32
0,11,1.0,0,6,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,61.9,24,0.59,11,25.0,17.3
0,9,1.0,0,8,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,61.9,24,0.56,11,20.0,15.0
0,9,1.0,0,8,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,64.5,24,0.35,11,15.0,12.2
0,23,1.0,0,8,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,65.3,24,0.52,11,11.7,11.5
1,8,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,20.61
1,8,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,25,0.44,11,20.54,14.04
1,8,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,32,0.44,11,20.54,16.09
1,8,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,25,0.44,13,20.54,14.13
1,14,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,25,0.44,11,20.54,28.99
1,14,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,25,0.44,13,20.54,28.91
2,8,0.0,0,10,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,81.0,24,0.0,11,12.2,15.1
2,12,0.0,0,10,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,75.8,24,0.0,11,15.3,15.2
2,12,0.0,0,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,77.0,24,0.0,11,20.1,17.1
2,20,0.0,0,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,80.0,24,0.0,11,29.9,28.6
2,12,0.0,0,1,84.0,0.0,2,0.0,0.0,0.0,9.53,0.12,80.7,4,0.0,11,20.5,20.4
0,8,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,69.0,24,0.28,11,11.0,10.3
0,10,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,63.0,24,0.28,11,11.0,10.2
0,10,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,66.0,24,0.28,11,11.0,9.6
0,15,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,24,0.28,11,14.7,12.7
0,15,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,67.0,24,0.28,11,12.9,12.1
0,8,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,25.0,0.01,65.0,4,0.28,11,16.7,17.4
