Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final GI (%)
1,9,1.0,0,4,91.0,71.8,0,0.0,0.0,13.0,25.0,0.25,60.0,4,0.89,3,20.0,109.29
1,9,1.0,0,4,91.0,76.8,0,0.0,0.0,13.0,0.0,0.25,60.0,22,1.05,11,25.0,84.64
1,9,0.75,0,4,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,4,0.44,11,20.54,117.32
1,9,0.75,0,4,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,10,0.44,11,20.54,95.89
1,9,0.75,0,4,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,4,0.44,3,20.54,126.43
1,9,1.0,0,4,91.0,80.8,0,0.0,0.0,13.0,0.0,0.25,60.0,22,0.99,11,30.0,96.96
1,9,1.0,0,4,91.0,59.8,0,0.0,0.0,13.0,12.5,0.25,60.0,4,0.81,11,30.0,129.64
1,9,1.0,0,4,91.0,59.8,0,0.0,0.0,13.0,12.5,0.25,60.0,10,0.81,11,30.0,103.39
1,9,0.75,0,4,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,4,0.44,3,20.54,130.18
1,1,1.0,0,0,60.0,60.0,0,0.0,0.0,5.0,13.15,0.04,60.0,27,0.22,11,16.0,57.16
1,1,1.0,0,0,60.0,60.0,0,0.0,0.0,5.0,13.15,0.04,60.0,27,0.44,11,19.0,82.0
1,1,1.0,0,0,60.0,60.0,0,0.0,0.0,5.0,13.15,0.04,60.0,27,0.66,11,22.0,87.05
1,1,1.0,0,0,60.0,60.0,0,0.0,0.0,5.0,10.07,0.04,65.0,27,0.22,11,19.0,81.1
1,1,1.0,0,0,60.0,60.0,0,0.0,0.0,5.0,7.49,0.04,65.0,27,0.44,11,22.0,86.92
1,1,1.0,0,0,60.0,60.0,0,0.0,0.0,5.0,12.04,0.04,65.0,27,0.66,11,16.0,66.87
1,1,1.0,0,0,60.0,60.0,0,0.0,0.0,5.0,1.17,0.04,70.0,27,0.22,11,22.0,73.02
1,1,1.0,0,0,60.0,60.0,0,0.0,0.0,5.0,1.07,0.04,70.0,27,0.44,11,16.0,58.92
1,1,1.0,0,0,60.0,60.0,0,0.0,0.0,5.0,1.39,0.04,70.0,27,0.66,11,19.0,82.08
1,1,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,62.26
1,1,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,90.86
1,1,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,83.66
1,1,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,81.52
1,1,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,85.8
