Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final EC (ms_cm)
1,1,1.0,0,8,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,67.3,7,0.38,12,16.2,1.74
1,1,1.0,0,8,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,66.1,25,0.38,0,13.98,1.9
1,1,1.0,0,7,34.0,34.0,0,0.0,0.0,6.0,0.0,0.06,65.0,24,0.27,12,11.37,0.97
1,1,1.0,0,7,34.0,34.0,0,0.0,0.0,6.0,10.0,0.06,65.0,31,0.26,12,11.37,1.91
1,1,1.0,0,7,34.0,34.0,0,0.0,0.0,6.0,10.29,0.06,65.0,31,0.26,2,11.37,2.07
1,1,1.0,0,7,34.0,34.0,0,0.0,0.0,6.0,14.57,0.06,65.0,31,0.26,2,11.37,2.16
1,11,1.0,0,7,34.0,34.0,0,0.0,0.0,7.0,0.0,0.01,67.6,24,0.03,12,33.5,1.37
1,11,1.0,0,7,34.0,34.0,0,0.0,0.0,7.0,7.73,0.01,67.3,21,0.03,9,33.52,4.48
1,11,1.0,0,7,34.0,34.0,0,0.0,0.0,7.0,7.13,0.01,66.8,15,0.03,7,33.11,4.45
1,11,1.0,0,7,34.0,34.0,0,0.0,0.0,7.0,6.05,0.01,66.0,21,0.03,7,31.53,3.83
3,4,0.0,2,8,52.0,0.0,2,0.0,0.0,13.0,0.0,13.88,65.0,24,0.0,12,16.75,1.73
3,4,0.0,2,8,52.0,0.0,2,0.0,0.0,13.0,23.0,6.64,65.0,5,0.0,12,24.09,1.23
3,4,0.75,2,8,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,12,20.54,1.37
3,4,0.75,2,8,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,12,20.54,4.31
1,14,1.0,0,5,91.0,64.2,0,0.0,0.0,13.0,0.0,0.25,60.0,24,0.91,12,20.0,1.49
1,14,1.0,0,5,91.0,70.2,0,0.0,0.0,13.0,12.5,0.25,60.0,5,0.93,12,20.0,1.07
1,14,1.0,0,5,91.0,70.2,0,0.0,0.0,13.0,12.5,0.25,60.0,13,0.93,12,20.0,2.87
1,14,1.0,0,5,91.0,71.8,0,0.0,0.0,13.0,25.0,0.25,60.0,5,0.89,4,20.0,2.34
1,14,0.75,0,5,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,13,0.44,12,20.54,1.95
1,14,0.75,0,5,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,4,20.54,1.64
1,14,1.0,0,5,91.0,59.8,0,0.0,0.0,13.0,12.5,0.25,60.0,13,0.81,12,30.0,1.6
1,14,0.75,0,5,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,4,20.54,1.52
0,2,1.0,0,7,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,75.32,24,0.56,12,17.96,5.75
0,2,1.0,0,7,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,69.37,24,0.49,12,17.83,5.5
0,2,1.0,0,7,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,66.06,24,0.78,12,19.19,4.01
0,12,1.0,0,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,76.28,24,0.52,12,21.77,3.58
0,12,1.0,0,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,72.85,24,0.5,12,21.05,4.9
0,12,1.0,0,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,63.45,24,0.51,12,22.43,5.94
0,18,1.0,0,7,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,67.86,24,0.44,12,12.13,3.92
0,18,1.0,0,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,76.28,24,0.75,12,22.24,4.64
0,6,0.75,0,4,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,12,20.54,3.4
0,6,1.0,0,4,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,56.2,24,0.78,12,40.0,3.4
0,6,1.0,0,4,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,58.8,24,0.83,12,35.0,3.8
0,6,1.0,0,4,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,60.9,24,0.66,12,30.0,3.9
0,6,1.0,0,4,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,61.9,24,0.59,12,25.0,4.4
0,5,1.0,0,6,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,61.9,24,0.56,12,20.0,4.8
