Material_Main,Period (d),Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_3,Additive_2,Additive_1,Material_3,Additive_4,Material_2,Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,Application Rate (%DW),V3_Ventilation Duration (min),Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
10,37.0,9.25,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,37.0,0.0,0.0,20.7,0.72,63.7,50.7
10,37.0,9.25,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,37.0,0.0,0.0,18.4,0.24,71.3,41.6
10,37.0,9.25,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,37.0,0.0,0.0,21.1,0.48,70.6,54.0
10,37.0,9.25,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,37.0,0.0,0.0,15.0,0.72,70.8,50.3
10,37.0,9.25,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,37.0,0.0,0.0,21.2,0.24,75.7,45.6
10,37.0,9.25,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,37.0,0.0,0.0,14.9,0.48,76.8,33.8
10,37.0,9.25,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,37.0,0.0,0.0,18.0,0.72,74.0,48.9
7,87.0,6.21429,0.0,0.0,2,4,11,27,4,1,8,0.144,2.0,0.0,0.0,0.0,20.0,0.0,68.64,63.12
7,87.0,6.21429,0.0,0.0,2,4,11,27,4,1,8,0.144,2.0,0.0,0.0,0.0,25.0,0.0,69.05,69.28
0,35.0,3.88889,0.0,1.0,0,4,11,27,4,1,8,0.1559,0.0,35.0,0.0,0.0,21.96203,0.34,66.03,52.90177
0,35.0,3.88889,0.0,1.0,0,4,11,27,4,1,8,0.2984,0.0,35.0,0.0,0.0,21.51131,0.34,65.69,55.63031
0,35.0,3.88889,0.0,1.0,0,4,11,27,4,1,8,0.5697,0.0,35.0,0.0,0.0,21.64477,0.34,66.14,55.11272
