Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),N2O-N loss (%)
7,5.57143,0,1,4,39.0,39.0,20.0,0.0,5,0.288,0.455,68.07,25.38104,2.089,1,53.021,0,0.581,1.11
7,5.57143,0,1,4,39.0,39.0,20.0,0.0,4,0.288,0.455,68.53,24.5692,2.247,1,55.207,0,0.58026,1.37
8,7.85714,2,0,0,55.0,0.0,0.0,0.0,0,11.25,0.0,60.04,15.39,1.998,0,30.74922,0,0.351,0.0397
8,3.66667,2,0,0,55.0,0.0,0.0,0.0,0,11.25,0.0,60.04,15.39,1.998,0,30.74922,0,0.351,0.0169
7,5.24451,2,0,0,45.00543,23.95271,3.71964,4.61917,0,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,0.018
7,5.24451,2,0,7,45.00543,23.95271,3.71964,4.61917,0,1.07218,0.65641,64.22697,21.36486,2.05673,1,39.17911,0,0.47904,0.0066
7,7.0,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.2,72.1,11.37,2.68,0,30.45,0,0.667,0.5
8,8.0,0,1,0,56.0,0.0,0.0,0.0,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,0,0.475,1.0
8,8.0,0,1,0,56.0,0.0,0.0,3.3,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,1,0.475,0.79
8,8.0,0,1,0,56.0,0.0,0.0,6.6,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,1,0.475,0.74
8,8.0,0,1,0,56.0,0.0,0.0,9.9,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,1,0.475,0.68
8,8.0,0,1,0,56.0,0.0,0.0,13.2,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,1,0.475,0.86
6,3.11111,0,1,0,28.0,0.0,0.0,0.0,5,0.13,0.0,61.4561,30.8801,1.667,0,51.47713,0,0.5,2.05
6,3.11111,0,1,0,28.0,0.0,0.0,2.0,5,0.13,0.0,60.661,30.0375,1.668,0,50.10255,4,0.5,2.01
6,3.11111,0,1,0,28.0,0.0,0.0,4.0,5,0.13,0.0,59.7109,30.3496,1.613,0,48.9539,4,0.5,1.53
6,3.11111,0,1,0,28.0,0.0,0.0,6.0,5,0.13,0.0,60.4548,30.568,1.562,0,47.74722,4,0.5,1.42
6,3.11111,0,1,0,28.0,0.0,0.0,8.0,5,0.13,0.0,60.0684,30.8801,1.563,0,48.2656,4,0.5,1.24
6,3.11111,0,1,0,28.0,0.0,0.0,10.0,5,0.13,0.0,59.4546,31.0362,1.555,0,48.26129,4,0.5,0.75
0,5.33333,1,0,0,64.0,0.0,0.0,0.0,5,1.0,0.0,74.0,24.17538,2.23336,0,45.71888,0,0.1715,0.1
0,5.33333,1,1,0,64.0,0.0,0.0,0.0,5,1.0,0.0,74.0,24.17538,2.28344,0,45.71888,0,0.1715,0.11
0,5.33333,1,1,0,64.0,0.0,0.0,0.0,5,1.0,0.0,74.0,23.67538,2.23179,0,45.71888,0,0.1715,0.06
0,5.33333,1,1,0,64.0,64.0,0.0,0.0,5,1.0,1.157,74.0,19.65,2.11755,0,37.85355,0,0.1715,0.06
6,0.0,0,1,5,25.0,25.0,30.0,0.0,5,0.06,0.08242,60.0,19.76844,2.23049,1,44.09341,0,0.30333,0.69491
6,0.0,0,1,5,25.0,25.0,30.0,0.0,5,0.06,0.82645,60.0,20.12346,2.2314,1,44.90358,0,0.3025,0.26553
6,0.0,0,1,5,25.0,25.0,30.0,0.0,5,0.06,1.64384,60.0,20.01965,2.23068,1,44.65753,0,0.30417,0.16811
8,0.0,1,0,0,109.6,0.0,0.0,0.0,5,0.4,0.0,77.53,6.53,1.635,0,32.37416,0,1.105,0.02
8,0.0,1,0,0,109.6,0.0,0.0,0.0,0,0.4,0.0,66.71,6.81,1.535,0,33.03228,0,0.89,1.1
8,0.0,1,0,0,109.6,0.0,0.0,0.0,0,0.4,0.0,66.36,9.22,1.535,0,33.03228,0,0.886,1.2
8,0.0,1,0,0,109.6,0.0,0.0,0.0,0,2.25507,0.0,67.68,7.35,1.575,0,31.87228,0,0.95,0.004
8,0.0,1,0,0,109.6,0.0,0.0,0.0,0,2.25507,0.0,66.26,7.24,1.535,0,33.03228,0,0.87,0.033
7,0.0,0,1,0,50.0,50.0,0.0,0.0,4,0.03,0.22286,72.13,19.11,2.21,0,42.22,0,0.26833,0.05951
7,0.0,0,1,0,50.0,50.0,0.0,0.0,5,0.03,0.20526,69.74,13.27,2.93,0,38.84,0,0.26833,0.04235
7,0.0,0,1,0,50.0,50.0,0.0,0.0,2,0.03,0.21455,71.05,13.56,3.48,0,38.16,0,0.26833,0.0336
8,14.0,0,1,5,28.0,28.0,30.0,0.0,5,0.07122,0.8589,60.0,15.04166,2.6237,1,39.4648,0,0.22888,0.136
8,14.0,0,1,5,28.0,28.0,30.0,0.0,5,0.07122,0.92562,60.0,19.96354,1.99111,1,39.7496,0,0.21239,0.214
8,14.0,0,1,5,28.0,28.0,30.0,0.0,5,0.07122,0.90323,60.0,24.98683,1.60222,1,40.0344,0,0.21765,0.279
8,14.0,0,1,5,28.0,28.0,30.0,0.0,5,0.07122,0.90909,60.0,30.22585,1.32741,1,40.1221,0,0.21625,0.315
2,7.0,0,1,6,28.0,28.0,30.0,0.0,5,0.06,1.20727,66.9,25.0,1.5,1,37.5,0,0.55333,1.68
2,7.0,0,1,6,28.0,28.0,30.0,0.0,0,0.06,0.96434,58.6,20.9,1.7,1,36.1,0,0.51833,0.69
2,7.0,0,1,6,28.0,28.0,30.0,0.0,0,0.06,0.85547,53.1,18.7,1.9,1,35.1,0,0.48833,1.34
2,7.0,0,1,6,28.0,28.0,30.0,0.0,0,0.06,0.76023,47.5,16.8,2.0,1,34.1,0,0.54167,2.36
0,5.24451,2,0,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,0.9
0,5.24451,2,0,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,1.1
8,0.0,2,1,0,56.0,56.0,0.0,0.0,5,1.37,0.108,69.4,29.0,1.37255,0,40.19608,0,0.305,1.13
8,0.0,2,1,0,56.0,56.0,0.0,1.7301,5,1.37,0.108,71.1,24.7,1.6609,0,41.17647,18,0.305,1.06
8,0.0,2,1,0,56.0,56.0,0.0,1.38889,5,1.37,0.108,71.2,17.6,2.39583,0,42.01389,18,0.305,1.02
8,0.0,2,1,0,56.0,56.0,0.0,3.7037,5,1.37,0.108,67.6,19.0,2.19136,0,41.97531,18,0.305,0.71
8,0.0,2,1,0,56.0,56.0,0.0,0.32468,5,1.37,0.108,69.2,19.5,2.33766,0,45.77922,18,0.305,0.81
8,0.0,2,1,0,56.0,56.0,0.0,2.06897,4,1.37,0.108,71.0,21.2,2.31034,0,48.62069,18,0.305,0.77
8,0.0,2,1,0,56.0,56.0,0.0,0.0,5,1.37,0.108,70.3,19.6,2.22222,0,44.10774,8,0.305,1.2
8,0.0,2,1,0,56.0,56.0,0.0,2.83688,4,1.18,0.108,71.8,19.5,2.30496,0,45.03546,18,0.305,1.03
0,0.0,1,0,0,64.0,0.0,0.0,0.0,5,1.1,0.0,74.27405,24.31619,2.04892,0,45.07488,0,0.15591,0.11274
0,0.0,1,1,0,64.0,0.0,0.0,0.0,5,1.1,0.0,74.27405,24.31619,2.04892,0,45.07488,0,0.15591,0.11492
0,5.33333,1,1,0,64.0,0.0,0.0,0.0,5,1.1,0.0,74.27405,23.88538,2.04892,0,45.59188,0,0.15591,0.06709
0,5.24451,1,1,9,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,1,39.17911,0,0.47904,0.06553
6,7.5,0,1,8,30.0,30.0,10.0,0.0,5,0.1,0.00833,60.0,41.11596,0.77987,1,32.0651,0,0.5,0.024
6,7.5,0,1,8,30.0,30.0,10.0,10.0,5,0.1,0.00833,60.0,38.25338,0.78831,1,30.1556,3,0.5,0.016
6,7.5,0,1,8,30.0,30.0,10.0,10.0,5,0.1,0.00833,60.0,42.9974,0.77338,1,33.2532,0,0.5,0.006
0,0.0,0,1,0,20.0,20.0,0.0,0.0,5,0.06,0.21,60.22,29.35,1.45,0,42.38,0,0.66843,0.4004
0,0.0,0,1,2,20.0,20.0,10.0,0.0,5,0.06,0.42,60.22,29.35,1.45,1,42.38,0,0.66843,0.534
0,0.0,0,1,3,20.0,20.0,5.0,0.0,5,0.06,0.84,60.22,29.35,1.45,1,42.38,0,0.66843,0.6341
8,6.22222,0,1,0,56.0,0.0,0.0,0.0,5,0.1,0.0,66.95741,24.8781,1.66749,0,42.32072,0,0.40058,0.72
8,6.22222,0,1,0,56.0,0.0,0.0,15.0,5,0.1,0.0,64.52963,22.8873,1.80593,0,35.79315,13,0.53068,0.73
8,6.22222,0,1,0,56.0,0.0,0.0,10.0,5,0.1,0.0,64.23182,26.366,1.57849,0,39.99132,0,0.42636,0.45
8,6.22222,0,1,0,56.0,0.0,0.0,25.0,5,0.1,0.0,62.88594,24.4799,1.71941,0,36.36269,0,0.49567,0.55
0,0.0,0,1,0,21.0,21.0,0.0,0.0,5,0.06,0.21,55.0,11.5,2.34,0,26.8,0,0.25926,0.00623
0,0.0,0,1,0,21.0,21.0,0.0,20.0,5,0.06,0.21,55.0,14.7,2.52,0,36.1,9,0.25926,0.00162
0,0.0,0,1,0,21.0,21.0,0.0,20.0,5,0.06,0.21,55.0,14.0,2.52,0,35.3,9,0.25926,0.00224
0,15.5,0,1,0,31.0,31.0,0.0,0.0,5,0.06,0.09384,65.4,14.2,2.1,0,29.7,0,0.51333,0.74
0,15.5,0,1,0,31.0,31.0,0.0,0.0,5,0.06,0.15639,65.4,14.2,2.1,0,29.7,0,0.51333,0.83
0,15.5,0,1,4,31.0,31.0,10.0,0.0,5,0.06,0.28151,65.4,14.2,2.1,1,29.7,0,0.51333,0.93
7,7.0,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.2,72.1,10.57997,2.77826,0,29.3939,0,0.646,0.88
7,7.0,0,1,0,35.0,35.0,0.0,10.0,5,0.06,0.2,72.1,11.30095,2.59565,0,29.3333,14,0.646,1.11
7,7.0,0,1,0,35.0,35.0,0.0,10.0,5,0.06,0.2,72.1,10.89254,2.6837,0,29.2323,1,0.646,0.6
7,7.0,0,1,0,35.0,35.0,0.0,12.5,5,0.06,0.2,72.1,11.19228,2.68042,0,30.0,14,0.646,0.24
7,7.0,0,1,0,35.0,35.0,0.0,12.5,5,0.06,0.2,72.1,11.3794,2.67717,0,30.4646,1,0.646,0.23
