Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TN loss (%)
3,2.11111,0,1,0,19.0,19.0,0.0,9.9,4,0.3946,10.0,70.0,26.34783,1.61,0,42.42,19,0.76493,18.9
10,5.83333,0,1,8,35.0,35.0,10.0,2.38663,4,0.187,5.96659,58.1,26.0,1.8681,1,48.57059,19,0.2139,33.01
10,5.83333,0,1,8,35.0,35.0,10.0,14.31981,4,0.187,5.96659,58.1,26.0,1.73697,1,45.16131,30,0.2139,28.94
10,5.83333,0,1,8,35.0,35.0,10.0,26.25298,4,0.187,5.96659,58.1,26.0,1.54555,1,40.18429,30,0.2139,21.28
10,5.83333,0,1,8,35.0,35.0,10.0,38.18616,4,0.187,5.96659,58.1,26.0,1.48859,1,38.70333,30,0.2139,17.39
5,5.0,1,0,0,35.0,0.0,0.0,3.01629,11,1.0,0.0,66.8467,26.10745,1.6298,0,39.02896,19,0.2,15.2
5,5.0,1,0,0,35.0,0.0,0.0,6.06463,11,1.0,0.0,67.0219,26.24405,1.62781,0,39.02896,6,0.2,10.5
5,5.0,1,0,0,35.0,0.0,0.0,8.86923,11,1.0,0.0,66.1752,26.53278,1.62185,0,39.02896,6,0.2,9.0
5,5.0,1,0,0,35.0,0.0,0.0,11.87687,11,1.0,0.0,66.3211,26.53278,1.62384,0,39.02896,6,0.2,4.2
10,9.33333,1,0,0,112.0,42.0,0.0,0.0,7,0.28,0.2569,65.4,25.0,1.4,0,43.93961,0,0.42092,42.8
10,9.33333,1,0,0,112.0,42.0,0.0,2.94985,7,0.28,0.26221,66.1,25.0,1.6,0,44.09714,19,0.42642,41.4
10,9.33333,1,0,0,112.0,0.0,0.0,0.0,7,1.0664,0.0,64.9,17.22075,3.4,0,38.19286,0,0.74535,46.54838
10,9.33333,1,0,0,112.0,0.0,0.0,2.8169,7,1.0664,0.0,64.5,18.53975,3.1,0,37.99286,19,0.7441,34.81425
7,7.71429,0,1,0,54.0,54.0,0.0,0.0,11,0.0938,0.05,65.0,25.0,1.97611,0,43.48908,0,0.57539,53.83
7,7.71429,0,1,0,54.0,54.0,0.0,5.0,11,0.0785,0.05,65.0,25.0,1.9161,0,43.48908,19,0.57539,47.08
10,7.0,1,1,0,56.0,28.0,0.0,0.0,7,0.4,5e-05,65.0,19.52878,1.76424,0,36.92762,0,0.285,36.8405
10,7.0,1,1,0,56.0,28.0,0.0,8.4771,7,0.4,5e-05,65.0,23.27456,1.52655,0,37.75262,0,0.29355,26.4139
10,7.0,1,1,0,56.0,28.0,0.0,16.95419,7,0.4,5e-05,65.0,22.72025,1.85107,0,39.69858,0,0.3021,16.5561
10,7.0,1,1,0,56.0,28.0,0.0,25.43129,7,0.4,4e-05,65.0,18.94242,2.04762,0,39.30548,0,0.31065,12.5751
10,7.0,1,1,0,56.0,28.0,0.0,9.04224,7,0.4,5e-05,65.0,23.27456,1.52655,0,37.75262,0,0.29412,12.7014
10,7.0,1,1,0,56.0,28.0,0.0,9.60738,7,0.4,5e-05,65.0,23.27456,1.43925,0,37.75262,0,0.29469,9.85783
10,7.0,1,1,0,56.0,28.0,0.0,10.17252,7,0.4,5e-05,65.0,23.27456,1.43925,0,37.75262,0,0.29526,18.3255
3,3.88889,0,1,0,35.0,35.0,0.0,2.25,7,0.02,0.5,66.647,29.0076,1.72104,0,41.4847,14,0.57359,44.2829
3,3.88889,0,1,0,35.0,35.0,0.0,1.8209,7,0.02,0.5,64.24035,32.0229,1.73107,0,41.7283,14,0.51128,0.2907
3,3.88889,0,1,0,35.0,35.0,0.0,2.5709,7,0.02,0.5,65.43,30.3435,1.66133,0,41.1493,14,0.51435,19.0891
3,3.88889,0,1,0,35.0,35.0,0.0,3.3209,7,0.02,0.5,66.486,26.9466,1.81193,0,41.2947,14,0.57359,27.3256
3,3.88889,0,1,0,35.0,35.0,0.0,4.0709,7,0.02,0.5,66.033,29.0458,1.66134,0,41.4847,14,0.57048,47.9651
10,6.66667,0,1,10,40.0,30.0,30.0,0.0,11,0.1604,7.69231,64.54545,16.53936,2.34,1,38.7021,0,0.69974,53.1
10,6.66667,0,1,10,40.0,30.0,30.0,6.0,11,0.1604,7.31707,63.55556,16.39658,2.31,1,37.8761,2,0.55501,36.2
10,6.66667,0,1,10,40.0,30.0,30.0,15.0,11,0.09105,6.81818,62.06897,15.97083,2.41,1,38.4897,21,0.33485,46.5
10,6.66667,0,1,10,40.0,30.0,30.0,1.46082,11,0.1604,7.79221,65.17413,16.34774,2.34,1,38.2537,21,0.65431,41.5
5,7.0,1,0,0,28.0,0.0,0.0,0.0,11,1.0,0.0,65.0,26.71429,1.4,0,37.4,0,0.1,19.53
5,7.0,1,0,0,28.0,0.0,0.0,6.0,11,1.0,0.0,61.15219,25.78943,1.4,0,43.4955,0,0.10575,22.53
5,7.0,1,0,0,28.0,0.0,0.0,18.0,11,1.0,0.0,61.24963,24.64633,1.4,0,40.33513,0,0.11726,20.85
5,7.0,1,0,0,28.0,0.0,0.0,30.0,11,1.0,0.0,61.0,24.57825,1.4,0,40.33513,0,0.12877,19.4
5,7.0,1,0,0,28.0,0.0,0.0,42.0,11,1.0,0.0,65.127,24.41803,1.4,0,40.58513,0,0.14028,16.26
5,5.24451,1,0,0,45.00543,23.95271,3.71964,4.61917,11,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,14.85
10,7.0,0,1,0,28.0,28.0,0.0,0.0,7,1.8,0.20354,63.2432,21.33081,2.07658,0,38.52876,0,0.66833,19.5
10,7.0,0,1,0,28.0,28.0,0.0,0.69203,7,1.8,0.20761,64.0541,18.6549,2.07658,0,37.96957,19,0.67,18.5
8,5.09091,0,1,0,56.0,56.0,0.0,0.0,11,0.13,1.11111,55.0,25.02125,1.80435,1,45.1471,0,0.5,6.03
