Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
5,7.0,0,1,0,91.0,30.0,0.0,12.5,8,0.25,0.41755,60.0,30.0,1.7,0,51.0,5,0.43077,57.625
5,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,8,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,51.1071
6,0.0,0,1,0,32.0,32.0,0.0,0.0,8,0.1,1.10037,75.32,17.96,2.03716,0,35.22112,0,0.53992,22.82
6,0.0,0,1,0,32.0,32.0,0.0,0.0,8,0.1,0.73337,69.37,17.83,2.03042,0,33.49016,0,0.5,43.09
6,0.0,0,1,0,32.0,32.0,0.0,0.0,8,0.1,0.95037,66.06,19.19,2.48499,0,40.77194,0,0.48149,49.76
0,0.0,0,1,0,32.0,32.0,0.0,0.0,8,0.1,1.12537,76.28,21.77,2.03716,0,37.79612,0,0.53267,23.45
0,0.0,0,1,0,32.0,32.0,0.0,0.0,8,0.1,0.76597,72.85,21.05,1.83633,0,33.48416,0,0.52818,37.55
0,0.0,0,1,0,32.0,32.0,0.0,0.0,8,0.1,0.98111,63.45,22.43,2.23203,0,39.43121,0,0.57875,57.58
6,0.0,0,1,0,32.0,32.0,0.0,0.0,8,0.1,0.98586,67.86,12.13,3.13774,0,40.42,0,0.38503,32.63
0,0.0,0,1,0,32.0,32.0,0.0,0.0,8,0.1,1.15037,76.28,22.24,2.05016,0,37.79612,0,0.53267,36.19
6,11.66667,2,0,0,70.0,0.0,0.0,0.0,2,22.5,0.0,68.32,23.01534,2.0896,0,41.74879,0,0.88889,34.44421
6,11.66667,2,0,0,70.0,0.0,0.0,0.6,2,22.5,0.0,68.32,24.01534,2.0896,0,41.42584,0,0.88889,28.30697
6,11.66667,2,0,0,70.0,0.0,0.0,1.0,2,22.5,0.0,68.32,22.51534,2.0896,0,43.08308,0,0.88889,29.97245
6,11.66667,2,0,0,70.0,0.0,0.0,1.7,2,22.5,0.0,68.32,23.01534,2.0896,0,41.74879,0,0.88889,30.68183
6,7.0,2,0,0,56.0,0.0,0.0,0.0,2,22.5,0.0,68.24,24.03534,1.75688,0,41.19071,0,0.44444,46.88991
6,7.0,2,0,0,56.0,0.0,0.0,4.0,2,22.5,0.0,68.24,24.03534,1.75688,0,41.19071,0,0.44444,34.85462
6,7.0,2,0,0,56.0,0.0,0.0,7.3,2,22.5,0.0,68.24,24.03534,1.75688,0,41.19071,0,0.44444,33.33327
6,7.0,2,0,0,56.0,0.0,0.0,13.5,2,22.5,0.0,64.57171,20.19687,2.07544,0,38.49769,0,0.44444,23.79163
6,7.0,2,0,0,56.0,0.0,0.0,25.0,2,22.5,0.0,66.33216,21.20906,1.91178,0,35.22958,0,0.44444,13.35194
6,5.24451,2,0,0,45.00543,23.95271,3.71964,4.61917,2,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,21.21206
4,0.0,0,1,0,28.0,28.0,0.0,0.0,8,0.1,0.80903,58.4,45.0,2.20033,0,33.26062,0,0.76428,36.77
4,0.0,0,1,0,28.0,28.0,0.0,0.0,8,0.1,0.75724,56.2,40.0,2.2992,0,33.03462,0,0.78002,45.06
4,0.0,0,1,0,28.0,28.0,0.0,0.0,8,0.1,0.86928,58.8,35.0,2.10633,0,36.76374,0,0.75699,43.65
4,0.0,0,1,0,28.0,28.0,0.0,0.0,8,0.1,0.8932,60.9,30.0,2.03009,0,39.73334,0,0.75699,50.1
4,0.0,0,1,0,28.0,28.0,0.0,0.0,8,0.1,0.9429,61.9,25.0,2.12189,0,41.4921,0,0.47261,53.43
5,0.0,0,1,0,28.0,28.0,0.0,0.0,0,0.1,0.9429,61.9,20.0,2.35892,0,40.50493,0,0.47261,56.34
5,0.0,0,1,0,28.0,28.0,0.0,0.0,0,0.1,0.49312,64.5,15.0,3.07265,0,40.77503,0,0.30974,54.84
5,0.0,0,1,0,28.0,28.0,0.0,0.0,8,0.1,0.49312,65.3,11.7,2.95563,0,37.73054,0,0.30974,56.57
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,8,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,67.8621
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,8,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,13,0.47904,68.5241
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,8,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,16,0.47904,65.7655
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,8,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,13,0.47904,68.0828
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,8,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,64.5517
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,8,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,13,0.47904,59.3655
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,8,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,16,0.47904,55.7241
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,8,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,13,0.47904,59.3655
