material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,TN loss  (%)
3,-1.0,-1.0,60.0,30.0,6.52,7,34,3,25.779999999999998
3,-1.0,-1.0,60.0,30.0,6.5,7,34,3,18.48
3,-1.0,-1.0,60.0,30.0,6.55,7,34,3,12.389999999999999
3,2.084,52.1,55.00000000000001,25.0,7.75,9,42,4,3.2800000000000002
3,-1.0,-1.0,-1.0,-1.0,8.2,9,42,3,1.87
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,42,3,1.06
5,1.46,42.91,67.60000000000001,33.5,6.1,11,23,4,20.9
5,1.22,40.9,67.30000000000001,33.52459016393442,7.65,11,23,1,14.7
5,1.24,41.06,66.8,33.112903225806456,6.7,11,23,1,17.299999999999997
5,1.32,41.620000000000005,66.0,31.53030303030303,6.43,11,23,1,5.7
5,1.79,30.630000000000003,60.0,20.0,8.0,11,4,4,17.0
5,1.79,30.630000000000003,60.0,20.0,8.0,11,4,3,10.5
5,1.79,30.630000000000003,60.0,20.0,8.0,11,4,1,13.3
5,1.79,30.630000000000003,60.0,20.0,8.0,11,4,2,9.71
3,1.2,32.11446740858506,60.0,26.76205617382088,7.8,7,1,4,18.8
3,10.4,30.176565008025683,60.0,2.9015927892332387,7.8,7,1,3,17.5
3,2.845139718825504,33.99239543726235,60.0,2.536745928153907,7.8,7,1,3,15.8
3,-1.0,6.0,66.0,25.0,-1.0,9,31,4,31.27
3,-1.0,6.35,66.0,25.0,-1.0,9,31,3,7.06
3,-1.0,5.8,66.0,25.0,-1.0,9,31,1,18.58
3,-1.0,5.85,66.0,25.0,-1.0,9,31,2,17.78
3,-1.0,-1.0,-1.0,-1.0,7.6,0,4,4,17.42
3,-1.0,-1.0,-1.0,-1.0,7.6,0,4,3,11.14
3,-1.0,-1.0,-1.0,-1.0,7.6,0,4,3,9.5
3,-1.0,-1.0,-1.0,20.0,7.49,7,4,4,26.06
3,-1.0,-1.0,-1.0,25.0,7.45,7,4,4,21.99
3,-1.0,-1.0,-1.0,30.0,7.42,7,4,4,13.04
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,34,4,23.89
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,34,0,30.01
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,34,3,16.59
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,34,2,22.73
3,1.9900000000000002,39.800000000000004,60.0,20.0,7.96,7,18,4,37.37
3,2.02,40.4,60.0,20.0,7.9,7,18,3,28.54
3,1.9300000000000002,38.6,60.0,20.0,7.54,7,18,1,25.82
3,1.96,39.2,60.0,20.0,7.45,7,18,2,16.99
3,7.87,196.75,60.0,25.0,7.6,7,18,4,29.9
3,1.7799999999999998,44.49999999999999,60.0,25.0,7.69,7,18,3,18.35
3,1.8199999999999998,45.49999999999999,60.0,25.0,7.16,7,18,3,16.31
3,1.7599999999999998,43.99999999999999,60.0,25.0,7.27,7,18,3,3.4
3,1.6700000000000002,50.1,60.0,30.0,7.53,7,18,4,23.1
3,1.6300000000000001,48.900000000000006,60.0,30.0,7.48,7,18,3,16.99
3,1.7000000000000002,51.00000000000001,60.0,30.0,7.13,7,18,3,8.15
3,1.52,45.6,60.0,30.0,7.1,7,18,3,5.43
3,1.9900000000000002,39.800000000000004,60.0,20.0,7.96,7,18,4,37.37
3,7.87,196.75,60.0,25.0,7.6,7,18,4,29.9
3,1.6700000000000002,50.1,60.0,30.0,7.53,7,18,4,23.1
3,2.02,40.4,60.0,20.0,7.9,7,18,3,28.54
3,1.7799999999999998,44.49999999999999,60.0,25.0,7.69,7,18,3,18.35
3,1.6300000000000001,48.900000000000006,60.0,30.0,7.48,7,18,3,16.99
3,1.9300000000000002,38.6,60.0,20.0,7.54,7,18,3,25.82
3,1.8199999999999998,45.49999999999999,60.0,25.0,7.16,7,18,3,16.31
3,1.7000000000000002,51.00000000000001,60.0,30.0,7.13,7,18,3,8.15
3,1.96,39.2,60.0,20.0,7.45,7,18,3,16.99
3,1.7599999999999998,43.99999999999999,60.0,25.0,7.27,7,18,3,3.4
3,1.52,45.6,60.0,30.0,7.1,7,18,3,5.43
3,2.52,35.3,-1.0,14.0,7.21,0,42,4,16.77
3,2.34,26.8,-1.0,11.5,7.26,0,42,3,14.92
3,2.52,36.1,-1.0,14.7,7.36,0,42,3,7.94
3,2.1,29.7,65.4,14.2,9.1,0,34,4,29.8
3,2.1,29.7,65.4,14.2,9.1,0,34,4,31.0
3,2.1,29.7,65.4,14.2,9.1,0,34,4,35.9
2,1.06,22.86,-1.0,21.566037735849054,8.19,11,28,4,55.2
2,2.46,42.01,-1.0,17.077235772357724,8.82,11,15,4,35.9
2,2.6,46.09,-1.0,17.72692307692308,8.08,11,2,4,29.9
2,1.92,38.09,-1.0,19.838541666666668,8.66,11,27,4,30.51
5,2.68,30.45,72.1,11.361940298507461,7.72,11,4,4,38.08
5,2.68,30.45,72.1,11.361940298507461,7.72,11,4,1,30.24
5,2.68,30.45,72.1,11.361940298507461,7.72,11,4,1,28.22
5,2.68,30.45,72.1,11.361940298507461,7.72,11,4,2,35.14
5,2.68,30.45,72.1,11.361940298507461,7.72,11,4,2,26.16
5,3.5701784419752753,43.30626450116009,67.86,12.13,5.86,11,7,4,52.0
5,1.5851156733964107,28.468677494199536,75.32,17.96,6.28,11,7,4,17.06
5,2.560597444542619,45.65545243619489,69.37,17.83,8.05,11,7,4,37.71
5,2.4365576135095495,46.75754060324826,66.06,19.19,8.33,11,7,4,33.42
5,2.2093453282417856,48.09744779582367,76.28,21.77,8.74,11,7,4,23.26
5,2.272514342715113,47.83642691415313,72.85,21.05,8.65,11,7,4,31.6
5,2.1182167154736624,47.511600928074245,63.45,22.43,8.79,11,7,4,34.13
