material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,CH4-C loss (%)
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,21,4,4.3
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,21,0,7.21
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,21,3,3.31
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,21,2,3.92
3,2.1,29.7,65.4,14.2,9.1,0,21,4,0.05
3,2.1,29.7,65.4,14.2,9.1,0,21,4,0.05
3,2.1,29.7,65.4,14.2,9.1,0,21,4,0.04
4,2.68,30.45,72.1,11.361940298507461,7.72,10,3,4,1.5
4,2.68,30.45,72.1,11.361940298507461,7.72,10,3,1,0.81
4,2.68,30.45,72.1,11.361940298507461,7.72,10,3,1,0.62
4,2.68,30.45,72.1,11.361940298507461,7.72,10,3,2,0.69
4,2.68,30.45,72.1,11.361940298507461,7.72,10,3,2,0.62
3,1.91,38.1,59.81,19.9,7.3,8,3,4,0.38
3,1.79,35.6,60.21,19.9,7.89,8,17,4,0.43
4,-1.0,-1.0,-1.0,-1.0,-1.0,10,15,4,4.0
4,-1.0,-1.0,-1.0,-1.0,-1.0,10,15,0,2.5
4,-1.0,-1.0,-1.0,-1.0,-1.0,10,15,0,4.2
4,-1.0,-1.0,-1.0,-1.0,-1.0,10,15,0,2.6
3,2.18,28.0,65.03,12.88,7.88,3,14,4,0.385204
3,1.9,43.37434388303481,63.17,24.41,7.88,3,14,3,0.283163
3,1.8,43.16737540603248,62.39,27.43,7.7,3,14,3,0.326531
3,1.8,43.65782853828306,62.6,28.06,7.88,3,14,3,0.30102
3,2.05,38.03156300000003,61.97,16.31,7.88,3,14,3,0.34438799999999997
3,1.8,45.88559215777261,63.43,39.93,7.88,3,14,3,0.30102
2,1.79,42.59,72.00489691100002,23.8,8.2,10,18,4,0.22
2,4.45,44.38,70.46750000000002,30.6,8.4,10,18,4,0.19
3,3.86,46.9,81.0,12.2,7.0,3,27,4,0.28
3,3.18,48.8,75.8,15.3,7.1,4,11,4,0.28
0,2.16,48.2,77.3,22.3,8.7,10,11,4,0.12
0,2.25,45.3,77.0,20.1,8.8,10,11,4,0.13
0,1.82,54.5,80.0,29.9,6.7,10,20,4,0.06
0,2.26,38.3,84.1,16.9,10.7,10,27,3,0.07
0,2.21,45.3,80.7,20.5,9.8,10,11,3,0.12
0,2.03,42.5,81.5,21.3,10.0,10,11,3,0.07
3,2.12,36.7,67.35141999999993,17.3,7.9823613,8,3,4,0.24
3,2.12,36.7,67.33011999999994,17.3,8.0193613,8,3,4,0.32
3,2.12,36.7,67.52870999999998,17.3,8.108158700000002,8,3,4,0.09
3,2.12,36.7,67.15951,17.3,7.917320900000004,8,3,4,0.01
3,2.12,36.7,67.15951,17.3,7.917320900000004,8,3,4,0.01
3,2.12,36.7,67.55981999999997,17.3,8.0069369,8,3,4,0.03
3,1.9,40.0,61.0,21.05263157894737,7.913376900000002,0,15,4,0.36428571428571427
3,1.9,40.0,61.0,21.05263157894737,7.9521769,0,15,4,0.3928571428571429
3,1.9,40.0,61.0,21.05263157894737,7.9341769,0,15,4,0.37142857142857144
3,1.9,40.0,61.0,21.05263157894737,7.937176900000001,0,15,4,0.37142857142857144
3,1.9,40.0,61.0,21.05263157894737,7.941676900000001,0,15,4,0.38571428571428573
3,1.65,43.0,83.0,16.5,8.45,0,1,4,0.08339999999999999
3,1.65,43.0,83.0,16.5,8.45,0,1,4,0.16955
3,4.6,35.2,71.0,6.1,6.8,6,1,4,0.0507
3,4.61,35.2,71.0,6.1,6.8,6,1,4,0.049499999999999995
3,3.42,48.7,65.0,12.2,6.95,6,1,3,0.0135
3,3.42,48.7,65.0,12.2,6.95,6,1,3,0.0098
1,-1.0,-1.0,66.9,31.8,5.6,10,27,4,10.0
1,-1.0,-1.0,57.58,31.5,6.6,10,3,4,0.4
1,-1.0,-1.0,57.78,32.5,6.5,10,15,4,0.1
1,-1.0,-1.0,58.599999999999994,22.5,6.2,10,16,4,0.2
3,2.17,38.76,65.9,17.86,7.8,8,3,4,1.6
3,1.96,36.72,-1.0,-1.0,-1.0,8,3,1,0.6
3,2.06,36.53,-1.0,-1.0,-1.0,8,3,2,0.6
3,2.1,37.4,-1.0,-1.0,-1.0,8,3,2,0.7
3,2.07,36.9,63.0,17.8,8.6,8,3,4,0.01869
3,2.07,36.9,63.0,17.8,8.6,8,3,4,0.0398
3,2.07,36.9,63.0,17.8,8.6,8,3,4,0.25630000000000003
3,2.36,34.8,64.1,14.7,-1.0,8,4,4,7.5
3,2.06,38.0,71.3,18.4,-1.0,8,4,4,7.2
3,1.93,40.9,75.7,21.2,-1.0,8,4,4,6.4
3,2.08,38.0,65.2,18.3,-1.0,8,4,4,3.7
3,1.9,40.1,70.6,21.1,-1.0,8,4,4,1.7
3,2.37,35.3,76.8,14.9,-1.0,8,4,4,5.7
3,1.9,39.4,63.7,20.7,-1.0,8,4,4,0.8
3,2.35,35.2,70.8,15.0,-1.0,8,4,4,4.2
3,2.09,37.6,74.0,18.0,-1.0,8,4,4,3.8
3,2.36,34.8,64.1,14.7,-1.0,8,4,4,7.5
3,2.06,38.0,71.3,18.4,-1.0,8,4,4,7.2
3,1.93,40.9,75.7,21.2,-1.0,8,4,4,6.4
3,2.08,38.0,65.2,18.3,-1.0,8,4,4,3.7
3,1.9,40.1,70.6,21.1,-1.0,8,4,4,1.7
3,2.37,35.3,76.8,14.9,-1.0,8,4,4,5.7
3,1.9,39.4,63.7,20.7,-1.0,8,4,4,0.8
3,2.35,35.2,70.8,15.0,-1.0,8,4,4,4.2
3,2.09,37.6,74.0,18.0,-1.0,8,4,4,3.8
