material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,NH3-N loss  (%)
3,-1.0,-1.0,60.0,30.0,6.5,7,43,3,14.899999999999999
3,-1.0,-1.0,60.0,30.0,6.55,7,43,3,10.7
3,2.084,52.1,55.00000000000001,25.0,7.75,9,53,4,2.5
3,-1.0,-1.0,-1.0,-1.0,8.2,9,53,3,1.55
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,53,3,0.8699999999999999
5,1.46,42.91,67.60000000000001,33.5,6.1,11,25,4,8.7
5,1.22,40.9,67.30000000000001,33.52459016393442,7.65,11,25,1,7.870000000000001
5,1.24,41.06,66.8,33.112903225806456,6.7,11,25,1,6.6000000000000005
5,1.32,41.620000000000005,66.0,31.53030303030303,6.43,11,25,1,3.5000000000000004
3,1.2,32.11446740858506,60.0,26.76205617382088,7.8,7,3,4,8.8
3,10.4,30.176565008025683,60.0,2.9015927892332387,7.8,7,3,3,8.6
3,2.845139718825504,33.99239543726235,60.0,2.536745928153907,7.8,7,3,3,6.4
3,-1.0,-1.0,-1.0,-1.0,7.6,0,4,4,44.47
3,-1.0,-1.0,-1.0,-1.0,7.6,0,4,3,16.74
3,-1.0,-1.0,-1.0,-1.0,7.6,0,4,3,10.03
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,43,4,20.65
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,43,0,28.11
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,43,3,13.86
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,43,2,19.21
5,2.68,30.45,72.1,11.361940298507461,7.72,11,4,4,29.52
5,2.68,30.45,72.1,11.361940298507461,7.72,11,4,1,24.68
5,2.68,30.45,72.1,11.361940298507461,7.72,11,4,1,21.16
5,2.68,30.45,72.1,11.361940298507461,7.72,11,4,2,32.03
5,2.68,30.45,72.1,11.361940298507461,7.72,11,4,2,22.91
3,1.91,38.1,59.81,19.9,7.3,9,4,4,17.13
3,1.79,35.6,60.21,19.9,7.89,9,38,4,11.11
5,-1.0,-1.0,-1.0,-1.0,-1.0,11,26,4,13.6
5,-1.0,-1.0,-1.0,-1.0,-1.0,11,26,0,18.06
5,-1.0,-1.0,-1.0,-1.0,-1.0,11,26,0,13.51
5,-1.0,-1.0,-1.0,-1.0,-1.0,11,26,0,14.29
3,1.52,35.65,66.56369999999994,23.5,8.3,0,53,4,23.3720930232558
3,1.04,23.81,65.05469999999998,22.9,7.2,0,53,1,14.4883720930233
3,1.02,23.61,65.68179999999995,22.3,8.3,0,53,3,16.2558139534884
3,1.03,23.81,67.50139999999998,23.1,7.5,0,53,2,19.46753404651166
3,1.0,37.16,62.35080000000001,37.2,8.2,0,24,4,22.36462474418603
3,0.82,29.73,71.84760000000004,36.1,7.0,0,24,1,20.43658432558141
3,0.8,29.73,55.0916,37.1,8.0,0,24,3,26.72223674418606
3,0.81,29.73,70.15879691100002,36.6,7.3,0,24,2,19.70521341860468
3,0.85,40.41,75.57460000000005,47.5,7.7,0,17,4,21.76474079069769
3,0.7,32.33,64.245593822,45.9,6.7,0,17,1,19.8594578139535
3,0.68,32.33,73.95100000000004,47.5,7.6,0,17,3,18.66850760465118
3,0.69,32.33,73.87280000000001,46.7,6.9,0,17,2,20.28326862790699
3,1.52,35.65,68.08669999999992,23.5,8.3,0,53,4,22.08572474418603
3,1.0,37.16,62.35080000000001,37.2,8.2,0,24,4,22.36462474418603
