material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,CO2-C loss  (%)
3,1.957125259704029,102.294980436471,69.39999999999999,29.0,8.8,3,12,4,19.773
3,1.970713095,94.58404134570766,71.1,24.7,9.1,3,12,4,19.5477333
3,2.002313646346497,93.03564999999995,71.2,17.6,8.8,3,12,4,18.572333
3,8.554935425745661,148.035937513198,67.60000000000001,19.0,9.0,3,12,4,19.3482667
3,1.925854356000001,96.22154499999996,69.19999999999999,19.5,8.6,3,12,4,21.419
3,8.455836773733967,160.8386313001604,71.0,21.2,9.2,3,13,4,18.8188
3,1.868634398,88.70554499999997,70.3,19.6,7.5,3,14,4,2.4622
3,1.90891476918851,38.99379531322507,71.8,19.5,8.4,3,15,4,19.798333
0,3.195126133333333,51.04792599102442,63.92792691100001,11.5239567718,8.261700000000005,1,16,4,22.268516299999998
3,1.890255213745662,46.57980999999998,65.0,18.0,8.545766666666673,3,16,4,14.984937
3,1.995417850733966,39.84696000000002,65.0,18.0,8.434100000000003,3,16,4,19.791332
3,1.923959309745661,43.47218000000001,65.0,18.0,8.50036666666667,3,16,4,17.2333333
3,1.673704105929168,44.73811788562409,55.00000000000001,26.0,8.758000000000003,3,16,4,1.9
0,1.751506812551726,49.03518112201391,63.8,23.2,8.7,1,16,4,6.2745517
0,3.745051026430251,40.78583923230416,54.99000000000001,7.78,8.1111,1,16,4,9.669999999999998
0,2.911536250584823,34.16655409948599,69.31,11.28,8.192900000000003,1,16,4,7.5550000000000015
5,6.6,92.4,71.7,14.000000000000002,7.55,10,16,4,0.47
5,6.39,89.46,79.6,14.0,7.43,10,16,4,0.628
5,6.69,107.04,77.9,16.0,8.7,10,16,4,0.293
5,6.31,94.65,78.8,15.000000000000004,8.2,10,16,4,0.233
5,5.77,77.9,82.16,13.500866551126519,9.4,10,16,4,27.49
5,4.36,71.0,82.36,16.284403669724767,9.8,10,16,4,11.145
5,11.58,114.6,69.94,9.896373056994818,9.6,10,16,4,1.672
5,-1.0,-1.0,74.2,-1.0,-1.0,10,16,4,1.87
5,4.32,115.2,76.0,26.666666666666664,-1.0,10,16,4,37.572
5,4.32,115.3,76.0,26.689814814814813,-1.0,10,16,4,31.86
3,7.96,132.2,60.0,16.60804020100502,8.35,0,5,4,16.5
3,5.0,180.67,59.6,36.134,6.99,0,7,4,14.559999999999999
3,8.4,177.9,57.8,21.178571428571427,-1.0,0,16,4,4.5
3,7.5,160.3,62.1,21.373333333333335,-1.0,0,16,4,5.1979999999999995
3,8.3,172.4,59.1,20.771084337349397,-1.0,0,16,4,8.44
5,7.5,157.8,60.55,21.040000000000003,-1.0,10,16,4,5.915
5,7.5,157.8,60.55,21.040000000000003,-1.0,10,16,4,8.168000000000001
5,7.5,157.8,60.55,21.040000000000003,-1.0,10,16,4,7.323
5,7.5,157.8,60.55,21.040000000000003,-1.0,10,16,4,6.76
5,7.5,157.8,60.55,21.040000000000003,-1.0,10,16,4,6.478
5,5.19,93.37,72.7,17.990366088631987,-1.0,10,16,4,2.668
5,5.43,97.8,71.7,18.011049723756905,-1.0,10,16,4,2.154
5,5.43,97.8,71.7,18.011049723756905,-1.0,10,16,4,17.84
3,-1.0,-1.0,80.0,23.06666667,-1.0,3,16,4,11.468
3,-1.0,-1.0,72.0,24.43333333,-1.0,3,16,4,16.286
5,2.845139718825504,56.407650761498424,50.4,26.30288166768854,8.94,10,16,4,14.113
5,2.845139718825504,56.407650761498424,55.1,23.30210772833724,8.79,10,16,4,14.31
5,8.31,107.24,65.03715044039971,12.904933814681106,-1.0,10,16,4,1.27
5,8.78,105.3,65.03715044039971,11.993166287015946,-1.0,10,16,4,8.251000000000001
5,11.12,117.88,65.03715044039971,10.600719424460431,-1.0,10,16,4,8.931000000000001
