material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,N2O-N loss  (%)
3,0.69,32.33,73.87280000000001,46.7,6.9,0,15,3,6.660621637010041
2,0.97,51.3,76.36259999999997,52.88659793814433,6.7,10,35,4,5.674447530318774
2,0.92,50.6,75.0436,55.0,8.76,10,35,1,6.902632225644681
2,0.92,49.4,76.06080000000001,53.69565217391304,9.33,10,35,1,6.916052684745939
2,0.94,48.9,76.22680000000001,52.02127659574468,9.35,10,35,1,6.728788833982795
2,0.91,46.6,75.72990000000001,51.20879120879121,8.13,10,35,1,6.933181161681194
2,0.83,44.6,75.69040000000001,53.73493975903615,8.86,10,35,1,7.814169375989649
2,0.77,41.1,75.83610000000002,53.37662337662338,8.77,10,35,1,8.37773370161165
3,2.18,28.0,65.03,12.88,7.88,3,20,4,0.8436152307692306
3,1.9,43.37434388303481,63.17,24.41,7.88,3,20,3,0.8780898623392691
3,1.8,43.16737540603248,62.39,27.43,7.7,3,20,3,1.059893998512357
3,1.8,43.65782853828306,62.6,28.06,7.88,3,20,3,1.003681186185424
3,2.05,38.03156300000003,61.97,16.31,7.88,3,20,3,0.9087845492225165
3,1.8,45.88559215777261,63.43,39.93,7.88,3,20,3,1.092491927013726
2,2.473897911832947,49.47795823665894,61.1,20.0,6.0,10,22,4,2.353619999999998
2,1.722737819025522,51.68213457076566,53.5,30.0,6.1,10,22,4,1.925896
2,1.363109048723898,54.52436194895591,48.5,40.0,6.5,10,22,4,1.798084665
2,2.105820639564209,48.4338747099768,74.7,23.0,8.9,10,6,4,1.050007318997079
2,1.662799690641918,49.88399071925754,65.6,30.0,8.9,10,6,4,0.8395404300000002
2,1.357308584686775,54.29234338747099,53.0,40.0,8.2,10,6,4,1.582796644999999
2,1.283007402496962,53.8863109048724,47.5,42.0,6.9,10,28,4,1.674480384999999
2,1.79,42.59,72.00489691100002,23.8,8.2,10,25,4,0.41
2,4.45,44.38,70.46750000000002,30.6,8.4,10,25,4,0.09
3,3.86,46.9,81.0,12.2,7.0,3,35,4,0.55
