Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
0,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,0.49974,63.45,22.43,2.15195,0,38.84165,3,0.60378,57.58
6,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,0.41996,67.86,12.13,3.13718,0,36.11357,3,0.48025,32.63
0,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,0.46062,76.28,22.24,2.17076,0,37.57637,3,0.50995,36.19
6,2,0,70.0,0,0.0,0.0,5,0.0,2,22.5,0.0,67.256,20.03434,2.0856,0,42.95213,3,0.88889,34.44421
6,2,0,70.0,0,0.0,0.0,5,0.6,2,22.5,0.0,68.246,20.53434,2.0856,0,42.95213,3,0.88889,28.30697
6,2,0,70.0,0,0.0,0.0,5,1.0,2,22.5,0.0,68.126,20.03434,2.0856,0,42.95213,3,0.88889,29.97245
6,2,0,70.0,0,0.0,0.0,5,1.7,2,22.5,0.0,68.126,20.03434,2.0856,0,42.95213,3,0.88889,30.68183
6,2,0,56.0,0,0.0,0.0,7,0.0,2,22.5,0.0,68.24,24.03534,1.75688,0,41.19072,3,0.44444,46.88991
6,2,0,56.0,0,0.0,0.0,7,4.0,2,22.5,0.0,68.24,24.03534,1.75688,0,41.19072,3,0.44444,34.85462
6,2,0,56.0,0,0.0,0.0,7,7.3,2,22.5,0.0,66.16,24.03534,1.75688,0,41.19071,3,0.44444,33.33327
6,2,0,56.0,0,0.0,0.0,7,13.5,2,22.5,0.0,63.30622,21.35568,1.99355,0,39.30858,3,0.44444,23.79163
6,2,0,56.0,0,0.0,0.0,7,25.0,2,22.5,0.0,65.21622,21.36415,1.84906,0,36.03973,3,0.44444,13.35194
6,2,0,44.44706,0,22.85922,3.69595,7,4.90157,2,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,3,0.47538,21.21206
4,0,1,28.0,0,28.0,0.0,0,0.0,8,0.1,0.51762,58.4,45.0,2.062,0,37.01683,3,0.68675,36.77
4,0,1,28.0,0,28.0,0.0,0,0.0,8,0.1,0.51762,56.2,40.0,2.17878,0,38.01505,3,0.69646,45.06
4,0,1,28.0,0,28.0,0.0,0,0.0,8,0.1,0.51762,58.8,35.0,2.09501,0,36.89639,3,0.60809,43.65
4,0,1,28.0,0,28.0,0.0,0,0.0,8,0.1,0.58858,60.9,30.0,2.18708,0,40.73402,3,0.52769,50.1
4,0,1,28.0,0,28.0,0.0,0,0.0,8,0.1,0.58893,61.9,25.0,2.28291,0,39.72726,3,0.55847,53.43
5,0,1,28.0,0,28.0,0.0,0,0.0,0,0.1,0.60458,61.9,20.0,2.26108,0,41.95725,3,0.5555,56.34
5,0,1,28.0,0,28.0,0.0,0,0.0,0,0.1,0.30676,64.5,15.0,2.41916,0,36.68,3,0.48942,54.84
5,0,1,28.0,0,28.0,0.0,0,0.0,8,0.1,0.305,65.3,11.7,2.57284,0,37.48,3,0.44832,56.57
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,8,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,3,0.47538,67.8621
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,8,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,19,0.47538,68.5241
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,8,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,23,0.47538,65.7655
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,8,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,19,0.47538,68.0828
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,8,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,3,0.47538,64.5517
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,8,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,19,0.47538,59.3655
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,8,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,23,0.47538,55.7241
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,8,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,19,0.47538,59.3655
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,3,0.47538,61.6828
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,19,0.47538,43.9172
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,23,0.47538,53.0759
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,19,0.47538,51.6414
8,0,0,84.0,0,0.0,0.0,0,0.0,8,0.12,0.0,81.0,12.2,3.86,0,46.9,3,0.35789,24.9
8,0,0,84.0,0,0.0,0.0,0,0.0,8,0.12,0.0,75.8,15.3,3.18,0,48.8,3,0.37259,31.4
1,0,0,84.0,0,0.0,0.0,0,0.0,8,0.12,0.0,77.3,22.3,2.16,0,48.2,3,0.34361,31.6
1,0,0,84.0,0,0.0,0.0,0,0.0,8,0.12,0.0,77.0,20.1,2.25,0,45.3,3,0.35833,40.8
1,0,0,84.0,0,0.0,0.0,0,0.0,0,0.12,0.0,80.0,29.9,1.82,0,54.5,3,0.35875,35.0
1,0,0,84.0,0,0.0,0.0,0,22.28321,8,0.12,0.0,84.1,16.9,2.26,0,38.3,3,0.35901,14.9
1,0,0,84.0,0,0.0,0.0,0,9.53373,8,0.12,0.0,80.7,20.5,2.21,0,45.3,3,0.35838,32.3
1,0,0,84.0,0,0.0,0.0,0,15.84383,8,0.12,0.0,81.5,21.3,2.03,0,42.5,3,0.35766,25.3
0,0,1,60.0,0,60.0,0.0,4,2.79709,8,0.045,0.22,60.0,16.0,2.3,0,36.9,22,0.56915,44.0
0,0,1,60.0,0,60.0,0.0,4,3.49709,8,0.045,0.44,60.0,19.0,2.0,0,38.2,22,0.56915,51.0
0,0,1,60.0,0,60.0,0.0,4,4.49709,8,0.045,0.66,60.0,22.0,1.8,0,39.8,22,0.59489,54.0
0,0,1,60.0,0,60.0,0.0,4,3.66746,8,0.045,0.22,65.0,19.0,2.0,0,38.4,22,0.52672,42.0
0,0,1,60.0,0,60.0,0.0,4,3.66746,8,0.045,0.44,65.0,22.0,1.8,0,40.4,22,0.53022,56.0
0,0,1,60.0,0,60.0,0.0,4,2.16746,8,0.045,0.66,65.0,16.0,2.3,0,37.2,22,0.4415,51.0
0,0,1,60.0,0,60.0,0.0,4,3.35437,8,0.045,0.22,70.0,22.0,1.8,0,40.6,22,0.38834,47.0
0,0,1,60.0,0,60.0,0.0,4,1.47518,8,0.045,0.44,70.0,16.0,2.3,0,37.5,22,0.32984,36.0
0,0,1,60.0,0,60.0,0.0,4,2.43345,8,0.045,0.66,70.0,19.0,2.0,0,38.5,22,0.38834,50.0
1,0,1,28.0,0,28.0,0.0,0,0.0,8,0.01,0.28,69.0,11.0,3.7,0,40.7,3,0.24194,23.5
1,0,1,28.0,0,28.0,0.0,0,0.0,4,0.01,0.28,63.0,11.0,3.7,0,40.7,3,0.27027,20.6
1,0,1,28.0,0,28.0,0.0,0,0.0,4,0.01,0.28,66.0,11.0,3.7,0,40.7,3,0.25735,21.8
