Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),CH4-C loss (%)
6,0,1,39.0,4,39.0,20.0,7,0.0,5,0.288,0.455,68.07,25.38104,2.089,1,53.021,3,0.54703,0.147
6,0,1,39.0,4,39.0,20.0,7,0.0,4,0.288,0.455,68.53,24.5692,2.247,1,55.207,3,0.52721,0.135
6,2,0,44.44706,0,22.85922,3.69595,10,4.90157,0,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,3,0.47538,0.32
6,2,0,44.44706,6,22.85922,3.69595,6,4.90157,0,1.22038,0.66439,64.03324,21.34763,2.07399,1,39.62259,3,0.47538,0.064
7,0,1,56.0,0,0.0,0.0,7,0.0,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,3,0.475,0.27
7,0,1,56.0,0,0.0,0.0,7,3.3,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,17,0.475,0.1
7,0,1,56.0,0,0.0,0.0,7,6.6,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,17,0.475,0.21
7,0,1,56.0,0,0.0,0.0,7,9.9,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,17,0.475,0.31
7,0,1,56.0,0,0.0,0.0,7,13.2,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,17,0.475,0.28
5,0,1,28.0,0,0.0,0.0,8,0.0,5,0.13,0.0,61.4561,30.8801,1.667,0,51.47713,3,0.5,0.34
5,0,1,28.0,0,0.0,0.0,8,2.0,5,0.13,0.0,60.661,30.0375,1.668,0,50.10255,7,0.5,0.31
5,0,1,28.0,0,0.0,0.0,8,4.0,5,0.13,0.0,59.7109,30.3496,1.613,0,48.9539,7,0.5,0.24
5,0,1,28.0,0,0.0,0.0,8,6.0,5,0.13,0.0,60.4548,30.568,1.562,0,47.74722,7,0.5,0.25
5,0,1,28.0,0,0.0,0.0,8,8.0,5,0.13,0.0,60.0684,30.8801,1.563,0,48.2656,7,0.5,0.19
5,0,1,28.0,0,0.0,0.0,8,10.0,5,0.13,0.0,59.4546,31.0362,1.555,0,48.26129,7,0.5,0.17
7,1,0,109.6,0,0.0,0.0,0,0.0,5,0.4,0.0,77.53,6.53,1.635,0,33.44224,3,1.105,0.13
7,1,0,109.6,0,0.0,0.0,0,0.0,0,0.4,0.0,66.36,9.22,1.575,0,33.61228,3,0.886,0.4
6,0,1,50.0,0,50.0,0.0,0,0.0,4,0.03,0.22286,72.13,19.11,2.21,0,42.22,3,0.26833,0.01872
6,0,1,50.0,0,50.0,0.0,0,0.0,5,0.03,0.20526,69.74,13.27,2.93,0,38.84,3,0.26833,0.20265
6,0,1,50.0,0,50.0,0.0,0,0.0,2,0.03,0.21455,71.05,13.56,3.48,0,38.16,3,0.26833,0.14782
2,0,1,28.0,5,28.0,30.0,4,0.0,5,0.06,1.20727,66.9,25.0,1.5,1,37.5,3,0.55333,0.34
2,0,1,28.0,5,28.0,30.0,4,0.0,0,0.06,0.96434,58.6,20.9,1.7,1,36.1,3,0.51833,0.27
2,0,1,28.0,5,28.0,30.0,4,0.0,0,0.06,0.85547,53.1,18.7,1.9,1,35.1,3,0.48833,0.2
2,0,1,28.0,5,28.0,30.0,4,0.0,0,0.06,0.76023,47.5,16.8,2.0,1,34.1,3,0.54167,0.12
7,2,1,56.0,0,56.0,0.0,0,0.32468,5,1.37,0.108,69.2,19.5,2.33766,0,45.77922,18,0.305,0.06
7,2,1,56.0,0,56.0,0.0,0,2.06897,4,1.37,0.108,71.0,21.2,2.31034,0,48.62069,18,0.305,0.05
7,2,1,56.0,0,56.0,0.0,0,0.0,5,1.37,0.108,70.3,19.6,2.22222,0,44.10774,15,0.305,0.02
7,2,1,56.0,0,56.0,0.0,0,2.83688,4,1.18,0.108,71.8,19.5,2.30496,0,45.03546,18,0.305,0.03
0,1,0,64.0,0,0.0,0.0,0,0.0,5,1.1,0.0,74.27405,23.07538,2.04892,0,45.63272,3,0.15591,0.197
0,1,1,64.0,0,0.0,0.0,0,0.0,5,1.1,0.0,74.27405,23.07538,2.04892,0,45.63272,3,0.15591,0.296
0,1,1,64.0,0,0.0,0.0,10,0.0,5,1.1,0.0,74.27405,23.07538,2.04892,0,45.63272,3,0.15591,0.428
0,1,1,44.44706,8,22.85922,3.69595,10,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,1,39.62259,3,0.47538,0.164
5,0,1,30.0,7,30.0,10.0,4,0.0,5,0.1,0.00833,60.0,41.11596,0.77987,1,32.0651,3,0.5,0.049
5,0,1,30.0,7,30.0,10.0,4,10.0,5,0.1,0.00833,60.0,38.25338,0.78831,1,30.1556,5,0.5,0.05
5,0,1,30.0,7,30.0,10.0,4,10.0,5,0.1,0.00833,60.0,42.9974,0.77338,1,33.2532,3,0.5,0.028
0,0,1,20.0,0,20.0,0.0,0,0.0,5,0.06,0.21,60.22,29.35,1.45,0,42.38,3,0.66843,0.15
0,0,1,20.0,2,20.0,10.0,0,0.0,5,0.06,0.42,60.22,29.35,1.45,1,42.38,3,0.66843,0.13
0,0,1,20.0,3,20.0,5.0,0,0.0,5,0.06,0.84,60.22,29.35,1.45,1,42.38,3,0.66843,0.21
0,0,1,21.0,0,21.0,0.0,0,0.0,5,0.06,0.21,55.0,11.5,2.34,0,26.8,3,0.25926,0.00012
0,0,1,21.0,0,21.0,0.0,0,20.0,5,0.06,0.21,55.0,14.7,2.52,0,36.1,11,0.25926,4e-05
0,0,1,21.0,0,21.0,0.0,0,20.0,5,0.06,0.21,55.0,14.0,2.52,0,35.3,11,0.25926,4e-05
0,0,1,31.0,0,31.0,0.0,2,0.0,5,0.06,0.09384,65.4,14.2,2.1,0,29.7,3,0.51333,0.05
0,0,1,31.0,0,31.0,0.0,2,0.0,5,0.06,0.15639,65.4,14.2,2.1,0,29.7,3,0.51333,0.04
0,0,1,31.0,4,31.0,10.0,2,0.0,5,0.06,0.28151,65.4,14.2,2.1,1,29.7,3,0.51333,0.05
7,0,1,21.0,0,21.0,0.0,1,0.0,5,1.2096,0.24,59.81,19.9,1.91,0,38.1,3,0.66843,0.38
7,0,1,21.0,0,21.0,0.0,1,0.0,0,1.2096,0.24,60.21,19.9,1.79,0,35.6,3,0.66843,0.43
