Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),CO2-C loss (%)
5,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.3,72.86,11.37,2.68,0,30.45,0,0.667,37.1
0,2,0,133.0,0,0.0,0.0,0,0.0,5,0.7668,0.0,66.675,15.62261,1.37,0,40.7163,0,0.697,6.19
0,2,0,133.0,0,0.0,0.0,0,6.46,5,1.67247,0.0,66.682,13.035,1.33,0,31.6675,5,0.70446,6.01
0,2,0,133.0,0,0.0,0.0,0,5.47,5,1.67247,0.0,66.682,13.035,1.38,0,31.5475,5,0.70446,8.49
0,2,0,133.0,0,0.0,0.0,0,9.52,5,1.67247,0.0,66.792,13.135,1.23,0,31.5475,5,0.69231,3.36
0,2,0,133.0,0,0.0,0.0,0,5.47,5,1.67247,0.0,66.682,13.035,1.42,0,31.5475,7,0.70446,10.0
0,2,0,133.0,0,0.0,0.0,0,10.59,5,1.67247,0.0,66.353,13.065,1.2,0,31.6675,7,0.69132,4.3
0,2,0,133.0,0,0.0,0.0,0,10.59,5,1.67247,0.0,66.353,13.065,1.22,0,31.5475,7,0.69132,2.88
0,1,0,90.0,0,0.0,0.0,0,0.0,5,0.02069,0.0,65.193,23.224,2.377,0,58.795,0,0.87008,2.64
0,1,0,90.0,0,0.0,0.0,0,0.0,4,0.02069,0.0,66.95,25.0,2.481,0,58.551,0,0.69316,13.17
0,1,0,90.0,0,0.0,0.0,0,0.0,4,0.02069,0.0,67.0,24.0,2.351,0,58.135,0,0.58005,12.83
