Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),N2O-N loss (%)
7,0,1,34.0,0,34.0,0.0,6,10.0,5,0.06,0.26291,65.0,11.37,2.21292,0,35.76798,26,0.60375,0.6
7,0,1,34.0,0,34.0,0.0,6,10.28571,5,0.06,0.26265,65.0,11.37,2.21292,0,35.63567,26,0.60433,0.25
7,0,1,34.0,0,34.0,0.0,6,14.57143,5,0.06,0.2589,65.0,11.37,2.25992,0,37.42,26,0.61308,0.13
8,0,1,35.0,0,0.0,0.0,6,0.0,5,0.06,0.25,69.2,18.43351,2.03653,0,37.5404,4,0.37833,1.5
8,0,1,35.0,0,0.0,0.0,6,9.13414,5,0.06,0.25,63.27932,18.43351,2.03653,0,37.5404,13,0.255,1.4
8,0,1,35.0,0,0.0,0.0,6,4.0,5,0.06,0.25,65.01916,18.43351,2.03653,0,37.5404,26,0.33056,1.4
8,0,1,35.0,0,0.0,0.0,6,9.13414,5,0.06,0.25,63.27932,18.43351,2.03653,0,37.5404,13,0.255,2.0
6,0,1,50.0,0,25.5,0.025,8,0.0,5,0.1,0.065,60.0,31.0074,1.68589,0,44.57341,4,0.5,2.05
6,0,1,50.0,0,21.3,0.025,8,2.0,5,0.1,0.03,60.0,30.0553,1.71673,0,44.57341,9,0.5,2.01
6,0,1,50.0,0,19.1,0.025,8,4.0,5,0.1,0.07,60.0,30.3317,1.69581,0,45.8476,9,0.5,1.53
6,0,1,50.0,0,19.3,0.025,8,6.0,5,0.1,0.095,60.0,30.5467,1.64443,0,43.63852,9,0.5,1.42
