Initial GI (%),Initial pH,Additive_3,Turning times,Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),M1_is Enclosed,V4_Ventilation Day, Composting Method,Application Rate (%DW),Additive_2,Additive_4,Material_3,Material_Main,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Initial C/N (%),Material_2,Period (d),Compost volume (m3),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
27.32884658064516,6.0,4,16.0,65.03926813776458,10.0,0,0.0,0,2.0,2.188334137234209,12.0,1,2.0,0,2,0,0,15.0,3.0,40.0,2.147162565177521,1.596639959668374,23.94959939502561,109.83811000000007,5.847820641693111,0.9685450792312622,0.16982747606331677,1000000.0
27.32884658064516,7.701639551665092,4,28.0,69.17038097921103,7.0,0,0.0,0,2.0,5.6831926093787555,11.0,1,9.0,0,2,0,0,14.544504993108706,3.0,35.0,2.147162565177521,1.596639959668374,23.22233786559355,110.16289000000006,8.595538709338207,0.6996394991874695,0.1549194841587203,24.180256401700444
27.32884658064516,5.525958839384512,4,23.0,50.83904524253341,6.0,0,1.0,0,0.0,9.896118503485638,13.0,1,3.0,0,2,0,0,16.0,5.0,65.0,2.147162565177521,1.596639959668374,25.546239354693984,109.80136200000007,8.389518877016632,0.49909743666648865,0.158261611976634,1000000.0
27.32884658064516,5.981452479131427,4,10.0,69.0,37.0,0,0.0,0,1.0,5.92714842961867,7.0,1,5.0,0,2,0,0,10.502768210471814,2.0,99.0,2.147162565177521,1.596639959668374,16.769139411974,110.15009000000005,8.389518877016632,0.5725113153457642,0.15980952457587808,20.641522321110507
27.32884658064516,6.94134427909352,4,6.0,68.0,14.0,0,1.0,0,0.0,2.445821795359084,10.0,1,0.0,0,2,0,0,23.0,0.0,100.0,2.147162565177521,1.596639959668374,15.96639959668374,110.39038300000004,6.018421386522681,0.8053974509239197,0.19626099717686973,1000000.0
27.32884658064516,7.0,4,13.0,67.15537573034717,20.0,0,1.0,0,0.0,4.9734049974705234,7.0,1,9.0,0,2,0,0,25.0,4.0,93.0,2.147162565177521,1.596639959668374,39.91599899170935,109.31181100000003,8.700043703892016,0.7119753956794739,0.2613432680260795,1000000.0
27.32884658064516,5.5286637713965225,4,4.0,59.5787738968495,21.0,0,1.0,0,0.0,2.52835072810225,12.0,1,0.0,0,2,0,0,12.0,5.0,102.0,2.147162565177521,1.596639959668374,19.15967951602049,110.87126500000004,5.518757314993995,0.9490841031074524,0.17290041981062462,1000000.0
27.32884658064516,5.0,4,27.0,69.0,21.0,0,1.0,0,2.0,7.528360724860034,12.0,1,3.0,0,2,0,0,24.536900661157514,5.0,31.0,2.147162565177521,1.596639959668374,39.17659608201743,109.49973600000004,8.389518877016632,0.5188960433006287,0.22231290370051993,27.876431583898043
27.32884658064516,5.0,4,10.0,53.498182087536065,12.0,0,0.0,0,2.0,3.683029132885769,0.0,1,5.0,0,2,0,0,12.063910802424768,0.0,55.0,2.147162565177521,1.596639959668374,19.261722057026343,110.62716000000006,7.0201086433818025,0.8007693290710449,0.14069193226526444,24.6715229201896
27.32884658064516,6.543391447391963,4,28.0,53.0,11.0,0,1.0,0,0.0,8.323216545206865,8.0,1,0.0,0,2,0,0,13.0,0.0,114.0,2.147162565177521,1.596639959668374,20.756319475688862,110.75048600000005,9.049186115062078,0.5470687747001648,0.17066368131760382,1000000.0
