V4_Ventilation Day,Additive_4,Additive_3,Initial GI (%),Initial C/N (%),Application Rate (%DW),Initial Moisture Content (%),Initial pH,V1_Ventilation Type,Material_3,Material_Main,V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Period (d),M1_is Enclosed, Composting Method,Additive_2,Material_2,V2_Ventilation Interval (min),Turning times,Additive_1,Compost volume (m3),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
29.0,1,4,27.32884658064516,20.438718234981568,5.4870525934086105,53.15382287417374,6.0,1,2.0,7,48.1779819353519,0.4458893026283499,58.0,1.0,1.0,12.0,4.0,1116.0,2.0,37.0,0.6292491869918699,2.4967368849582217,51.03010169854668,113.47312700000002,8.41408334995887,0.950533926486969,0.12893368680969744,18.541393229992906
22.0,1,4,27.32884658064516,27.0,9.704225485475845,67.0,5.0,0,0.0,7,0.0,0.2288474003372647,51.0,1.0,0.0,13.0,3.0,0.0,2.0,33.0,0.6292491869918699,2.4967368849582217,67.41189589387199,113.84475400000002,6.139893138059543,1.210898756980896,0.2041265776180284,1000000.0
57.0,1,4,27.32884658064516,15.39593694946311,7.259694722569418,66.0,5.0,1,0.0,7,18.994177119594838,1.9215616781473546,90.0,1.0,0.0,6.0,2.0,1043.0,6.0,36.0,0.6292491869918699,2.4967368849582217,38.43960366021571,112.203512,8.889317145724801,0.13389331102371216,0.1314566637538524,23.666019693340974
0.0,1,4,27.32884658064516,16.504189503041363,5.597512840075197,57.480361512082325,5.754858402897918,2,2.0,7,0.0,0.0,98.0,1.0,1.0,15.0,3.0,0.0,7.0,34.0,0.6292491869918699,2.4967368849582217,41.206618688583674,115.63053900000004,5.358617366202829,0.5111717581748962,0.1661926767638109,15.684194492127887
0.0,1,4,27.32884658064516,31.0,3.9516761739429684,54.0,6.0,2,9.0,7,0.0,0.0,77.0,0.0,1.0,11.0,5.0,0.0,6.0,30.0,0.6292491869918699,2.4967368849582217,77.39884343370487,111.14060700000006,4.482384535874436,0.5301769971847534,0.19979765819280182,1000000.0
56.0,1,4,27.32884658064516,13.930382157112415,5.314209181728312,52.0,6.0,1,4.0,7,18.6039960655893,1.0376863678000277,123.0,1.0,0.0,12.0,5.0,1348.0,6.0,33.0,0.6292491869918699,2.4967368849582217,34.78049895322644,111.57206900000001,8.41408334995887,0.374609112739563,0.1388265440971277,22.38351834544784
0.0,1,4,27.32884658064516,27.210949216267288,6.779345233529733,63.0,5.0,2,4.0,7,0.0,0.0,50.0,1.0,1.0,10.0,4.0,0.0,31.0,31.0,0.6292491869918699,2.4967368849582217,67.93858058297955,111.93456800000004,4.54683941840579,0.5111717581748962,0.20164504847857365,23.17743992682426
25.0,1,4,27.32884658064516,18.0,4.487842361807363,62.0,6.0,1,5.0,7,36.82703603657122,1.0630900541371269,76.0,1.0,0.0,2.0,5.0,710.0,0.0,34.0,0.6292491869918699,2.4967368849582217,44.94126392924799,110.075232,10.674746720387867,1.0298244953155518,0.1775631826051357,1000000.0
0.0,1,4,27.32884658064516,26.0,5.506407485760234,56.0,5.486373054613298,2,0.0,7,0.0,0.0,90.0,0.0,1.0,13.0,3.0,0.0,7.0,35.0,0.6292491869918699,2.4967368849582217,64.91515900891376,115.88595300000004,5.358617366202829,0.5111717581748962,0.17076910840840215,1000000.0
50.0,1,4,27.32884658064516,30.271732707737147,7.0792070300661765,68.62828121646058,6.969310843561068,0,0.0,7,0.0,1.7350377252077591,83.0,1.0,1.0,3.0,4.0,0.0,2.0,31.0,0.6292491869918699,2.4967368849582217,75.58055162300356,108.59484500000003,8.540912581727683,1.0953389406204224,0.17342801180582385,18.842753299888816
51.0,1,4,27.32884658064516,24.206975893678106,2.705910450601558,68.0,6.389778544013406,1,2.0,7,25.767539232111602,0.2642258033561775,96.0,0.0,1.0,7.0,2.0,1010.0,13.0,36.0,0.6292491869918699,2.4967368849582217,60.43844958704064,110.14468999999997,8.305137128750529,0.39303895831108093,0.13036214350162187,22.682051875245037
57.0,1,4,27.32884658064516,33.61070186952615,8.857056235369908,55.0,6.0,0,0.0,7,0.0,0.16291114711631494,104.0,1.0,0.0,8.0,3.0,0.0,0.0,37.0,0.6292491869918699,2.4967368849582217,83.91707908698021,113.37404000000004,5.77229442152239,1.2530617713928223,0.12553176065078492,19.070434870146876
20.0,1,4,27.32884658064516,32.18108510335505,9.907706291571259,64.0,5.0,1,4.0,7,15.526794923392407,1.398337813319877,60.0,0.0,1.0,15.0,2.0,545.0,6.0,38.0,0.6292491869918699,2.4967368849582217,80.34770217552612,113.85304100000003,8.41408334995887,0.39303895831108093,0.1437678605066951,19.969301737556258
66.0,1,4,27.32884658064516,16.0,8.569854482676686,68.23238493575873,7.364446597746598,0,5.0,7,0.0,0.5540134224414253,93.0,1.0,0.0,1.0,4.0,0.0,3.0,30.0,0.6292491869918699,2.4967368849582217,39.94779015933155,107.03252700000003,8.52871050871086,0.6177647113800049,0.18288027550447847,1000000.0
74.0,1,4,27.32884658064516,18.03823259644306,7.732447220190774,55.0,7.239345864964983,0,4.0,7,0.0,1.8779593281272846,132.0,1.0,0.0,11.0,0.0,0.0,1.0,31.0,0.6292491869918699,2.4967368849582217,45.0367206629951,113.59060000000005,2.995313348875473,1.2078149318695068,0.17338914773853312,21.174517053527858
28.0,1,4,27.32884658064516,22.07434779713875,3.622262834227528,55.53226646602873,7.113158116257077,1,2.0,7,47.40568086255274,1.58943502106485,28.0,0.0,2.0,12.0,2.0,575.0,26.0,34.0,0.6292491869918699,2.4967368849582217,55.11383835651258,111.24493499999997,8.41408334995887,0.43844670057296753,0.16296735687178907,23.396550852575626
0.0,1,4,27.32884658064516,29.915951217731184,2.0050400877142662,64.89130589635772,6.0,2,0.0,7,0.0,0.0,132.0,1.0,0.0,10.0,5.0,0.0,24.0,35.0,0.6292491869918699,2.4967368849582217,74.69225885392028,110.47619900000004,4.54683941840579,0.5071950554847717,0.2082737078697075,16.19116245434301
24.0,1,4,27.32884658064516,27.268821341316578,5.580239700887281,63.601849056445744,6.0,0,5.0,7,0.0,0.6874993197964525,52.0,1.0,0.0,9.0,3.0,0.0,6.0,34.0,0.6292491869918699,2.4967368849582217,68.08307205220103,113.03625500000004,5.340120030015616,0.5973879098892212,0.22471299592140265,18.037890984427634
9.0,1,4,27.32884658064516,33.0,5.799206039902815,66.91175555122445,6.0,0,5.0,7,0.0,0.38404832681381107,17.0,0.0,2.0,13.0,2.0,0.0,3.0,34.0,0.6292491869918699,2.4967368849582217,82.39231720362132,114.04213900000005,6.139893138059543,0.5038687586784363,0.18200026730501392,1000000.0
