V2_Ventilation Interval (min),Initial GI (%),Material_2,Additive_3,Initial Moisture Content (%),Turning times,V1_Ventilation Type,Additive_1,Compost volume (m3),Period (d),Initial pH,Material_Main,Application Rate (%DW),Additive_4,Material_3,Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),V3_Ventilation Duration (min),M1_is Enclosed,V4_Ventilation Day,Additive_2, Composting Method,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
767.0,27.32884658064516,2.0,4,68.0,17.0,1,2.0,0.06,91.0,5.7708556936972055,2,6.0179683180967345,1,0.0,17.854497454078757,1.1289449039643502,2.9620907890243786,0.0,36.0,9.0,2.0,1.775,31.69173298098979,92.12808199999999,8.612032587310745,0.9659112691879272,0.17365725192785705,23.64624714786834
0.0,27.32884658064516,12.0,4,62.0,2.0,0,4.0,0.06,69.0,5.0,2,7.286964845911324,1,9.0,35.439107032194364,1.1636444111778357,0.0,1.0,36.0,15.0,0.0,1.775,62.90441498214499,92.40433999999996,6.097073126923583,0.7584215402603149,0.24932015236437735,23.452166512591326
0.0,27.32884658064516,3.0,4,67.0,24.0,0,2.0,0.06,18.0,7.0,2,8.747755192424114,1,5.0,29.0,1.173256882271594,0.0,0.0,10.0,1.0,1.0,1.775,51.474999999999994,91.93906199999998,4.508250405485806,0.6737750172615051,0.2339974615116822,1000000.0
0.0,27.32884658064516,3.0,4,64.0,5.0,2,2.0,0.06,75.0,8.0,2,5.673033722342975,1,5.0,11.59514094939966,0.0,0.0,1.0,0.0,2.0,1.0,1.775,20.581375185184395,91.72243599999997,7.46044393990431,0.40566471219062805,0.200611051008748,17.757523325365902
0.0,27.32884658064516,8.0,4,51.0,22.0,0,2.0,0.06,37.0,5.0,2,6.941462256033765,1,4.0,38.572636659493625,0.014503508142165389,0.0,1.0,22.0,2.0,2.0,1.775,68.46643007060118,91.12354699999996,5.8267014945882805,0.6066176891326904,0.22479598398060455,24.55863704735026
465.0,27.32884658064516,2.0,4,54.878410823262726,0.0,1,17.0,0.06,77.0,7.024402131812823,2,6.003733628733343,1,9.0,27.608597058048883,0.8934467295232158,3.0099278783085692,1.0,45.0,11.0,1.0,1.775,49.005259778036766,92.10371899999998,11.190274253548166,0.9699344635009766,0.19151128924966243,20.060930688960397
0.0,27.32884658064516,6.0,4,59.0,10.0,2,4.0,0.06,64.0,6.93677696004822,2,2.115509891132837,1,3.0,20.64058753416864,0.0,0.0,0.0,0.0,7.0,1.0,1.775,36.63704287314933,90.80401299999998,3.435941659728774,0.45247939229011536,0.15544418386699607,20.544787930159956
0.0,27.68445740033137,3.0,4,66.0,0.0,0,8.0,0.06,55.0,7.302160344050012,2,7.571921256950769,1,9.0,30.413258413918605,1.694122009681293,0.0,1.0,55.0,5.0,1.0,1.775,53.98353368470552,91.27566399999998,7.557040765735444,0.5722099542617798,0.204945506817651,1000000.0
0.0,27.32884658064516,4.0,4,69.0,1.0,2,2.0,0.06,22.0,8.0,2,8.458316623556623,1,9.0,27.43581300101717,0.0,0.0,0.0,0.0,8.0,1.0,1.775,48.69856807680547,92.25155799999999,5.017317163919334,0.5312671065330505,0.1993444658524044,22.538717954976452
0.0,27.32884658064516,4.0,4,52.94193551638135,22.0,2,2.0,0.06,34.0,8.0,2,8.651885397290554,1,0.0,21.0,0.0,0.0,0.0,0.0,7.0,1.0,1.775,37.275,91.44048299999999,5.646675289406314,0.4608096778392792,0.17574863347490172,1000000.0
0.0,27.32884658064516,5.0,4,55.28145253829573,1.0,0,2.0,0.06,118.0,8.0,2,8.238752414745957,1,5.0,13.0,0.8104457174985176,0.0,1.0,83.0,5.0,0.0,1.775,23.075,91.89887599999996,10.741431728916979,0.6107588410377502,0.20377107387439305,1000000.0
0.0,27.32884658064516,2.0,4,62.0,25.0,2,2.0,0.06,67.0,7.0,2,7.167552633272,1,9.0,19.672577870549485,0.0,0.0,1.0,0.0,8.0,0.0,1.775,34.918825720225335,91.46777299999998,7.235144302937425,0.6940069794654846,0.22831022639989063,18.69338541003209
0.0,27.32884658064516,4.0,4,51.91232683756302,0.0,0,4.0,0.06,40.0,6.0,2,8.884755663510727,1,0.0,16.42590822409618,0.6424958916644674,0.0,1.0,39.0,8.0,2.0,1.775,29.155987097770716,91.89887599999996,7.8303336785295246,0.6006220579147339,0.11882631290519222,21.838123732006473
0.0,27.32884658064516,4.0,4,51.0,30.0,0,2.0,0.06,77.0,7.0,2,8.381092798458424,1,0.0,37.0,1.7049059574770955,0.0,0.0,48.0,11.0,1.0,1.775,65.675,91.37411699999997,5.737995611091377,0.5652265548706055,0.19548537583592154,1000000.0
