 Composting Method,Compost volume (m3),V3_Ventilation Duration (min),Turning times,Additive_2,Material_3,Additive_4,V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),V1_Ventilation Type,Material_Main,Initial GI (%),Initial Moisture Content (%),Initial pH,Additive_1,Additive_3,Initial C/N (%),M1_is Enclosed,Material_2,Period (d),V4_Ventilation Day,V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
2.0,0.045,0.0,7.0,6.0,0.0,1,0.7327760757303825,3.8536646467538933,0,9,27.32884658064516,51.0,5.0,16.0,4,39.04306382436492,1.0,8.0,96.0,45.0,0.0,1.97,76.9148357339989,107.15677999999997,10.745083773476265,0.20548930764198303,0.24122309433515243,25.090111162187423
2.0,0.045,0.0,29.0,10.0,0.0,1,0.9549484612439929,4.8277863200736055,0,9,27.32884658064516,54.0,6.0,36.0,4,13.834349190994025,1.0,8.0,86.0,57.0,0.0,1.97,27.25366790625823,108.15097100000001,11.143470639827365,0.08260053396224976,0.18663387536162684,27.694065955874404
0.0,0.045,0.0,24.0,11.0,4.0,1,1.2260070124350502,6.648602082602672,0,9,27.32884658064516,55.37292616738324,7.0,35.0,4,32.0,1.0,14.0,100.0,44.0,0.0,1.97,63.04,107.62268599999999,10.872975177811696,0.3704315423965454,0.21577023827966704,1000000.0
0.0,0.045,0.0,11.0,3.0,4.0,1,1.2583475759366343,4.055454081387297,0,9,27.32884658064516,68.05410169250163,8.0,34.0,4,39.0,1.0,2.0,81.0,44.0,0.0,1.97,76.83,108.84445399999998,11.07274765803059,0.4645349681377411,0.20609243041071557,1000000.0
1.0,0.045,0.0,17.0,10.0,2.0,1,0.0053496043986267505,3.086107330765209,0,9,27.32884658064516,57.0,6.314638931174816,38.0,4,34.0,1.0,2.0,97.0,45.0,0.0,1.97,66.98,109.138164,10.767950114737706,0.30013149976730347,0.19377957733092016,1000000.0
1.0,0.045,0.0,17.0,7.0,4.0,1,1.0317715640118224,6.862722523271412,0,9,27.32884658064516,50.940238882543625,5.570844002099166,37.0,4,30.05037556165011,1.0,4.0,72.0,68.0,0.0,1.97,59.19923985645072,108.18083399999999,10.987149242779216,0.19471843540668488,0.19104810955461854,26.202635992760204
1.0,0.045,0.0,21.0,9.0,5.0,1,0.31514190168538736,2.282723111807811,0,9,27.32884658064516,66.68516095356823,5.874704979170318,38.0,4,24.784317341496827,1.0,0.0,113.0,79.0,0.0,1.97,48.82510516274875,108.58768299999998,7.641927046560915,0.34867173433303833,0.21105678610290202,24.7963085663604
2.0,0.045,0.0,5.0,1.0,9.0,1,1.5791566459010549,4.691236575434701,0,9,27.32884658064516,62.0,5.991576294106301,35.0,4,32.63168537408569,1.0,12.0,77.0,51.0,0.0,1.97,64.28442018694881,107.779186,12.01479533310331,0.20586921274662018,0.18098241112400312,22.35340597823357
0.0,0.045,0.0,20.0,1.0,4.0,1,0.03899115658424712,3.5445275591892145,0,9,27.32884658064516,67.7190786075356,6.0,31.0,4,29.0,1.0,8.0,82.0,47.0,0.0,1.97,57.13,107.87879599999998,11.909921287706965,0.39379608631134033,0.18804584982340944,1000000.0
0.0,0.045,0.0,2.0,11.0,9.0,1,1.9900975174690163,3.2044341448095635,0,9,27.32884658064516,67.07674810292599,6.0,27.0,4,27.843245016789073,1.0,6.0,125.0,41.0,0.0,1.97,54.85119268307447,107.02946899999995,10.756592452945808,0.340442955493927,0.2155464608241323,22.12095652597051
