Material_2, Composting Method,M1_is Enclosed,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),N2O-N loss (%)
10,0,0.0,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,77.3,15,0.0,7,22.3,0.06
10,0,0.0,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,77.0,15,0.0,7,20.1,0.03
16,0,0.0,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,80.0,15,0.0,7,29.9,0.01
7,0,0.0,1,84.0,0.0,2,0.0,0.0,0.0,22.28,0.12,84.1,2,0.0,7,16.9,0.12
10,0,0.0,1,84.0,0.0,2,0.0,0.0,0.0,9.53,0.12,80.7,2,0.0,7,20.5,0.02
10,0,0.0,1,84.0,0.0,2,0.0,0.0,0.0,15.84,0.12,81.5,2,0.0,7,21.3,0.07
7,0,1.0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,69.0,15,0.28,7,11.0,0.02
8,0,1.0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,63.0,15,0.28,7,11.0,0.01
8,0,1.0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,66.0,15,0.28,7,11.0,0.02
13,0,1.0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,15,0.28,7,14.7,0.03
13,0,1.0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,67.0,15,0.28,7,12.9,0.04
7,0,1.0,1,28.0,28.0,0,0.0,0.0,0.0,25.0,0.01,65.0,2,0.28,7,16.7,0.01
7,0,1.0,1,28.0,28.0,0,0.0,0.0,0.0,14.29,0.01,67.0,2,0.28,7,14.0,0.01
0,0,1.0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,15,0.28,7,14.0,0.01
4,0,1.0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,15,0.28,7,12.1,0.01
2,0,1.0,7,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,64.1,15,0.24,7,14.7,1.6
2,0,1.0,7,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,71.3,15,0.24,7,18.4,1.5
2,0,1.0,7,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,75.7,15,0.24,7,21.2,2.1
1,0,1.0,7,31.0,30.0,0,0.0,0.0,1.0,2.83,0.95,69.47,15,0.31,7,13.16,0.54
1,1,0.0,7,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,15,0.0,7,17.4,0.81
1,1,1.0,7,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,15,0.0,7,17.4,0.96
1,1,0.0,7,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,15,0.0,7,17.4,1.05
1,1,1.0,7,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,15,0.0,7,17.4,1.07
1,0,1.0,6,39.0,39.0,1,20.0,20.0,7.0,0.0,0.29,68.07,15,0.46,7,25.38,1.11
13,0,1.0,6,39.0,39.0,1,20.0,20.0,7.0,0.0,0.29,68.53,15,0.46,7,24.57,1.37
5,2,0.0,7,55.0,0.0,2,0.0,0.0,7.0,0.0,11.25,60.04,15,0.0,7,15.39,0.04
5,2,0.0,7,55.0,0.0,2,0.0,0.0,15.0,0.0,11.25,60.04,15,0.0,7,15.39,0.02
5,2,0.75,6,42.74,22.55,2,2.36,13.4,5.45,5.24,1.45,64.48,15,0.49,7,20.51,0.02
5,2,0.75,6,42.74,22.55,1,2.36,13.4,5.45,5.24,1.45,64.48,15,0.49,7,20.51,0.01
1,0,1.0,6,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,72.1,15,0.2,7,11.37,0.5
1,0,1.0,7,56.0,0.0,2,0.0,0.0,7.0,0.0,1.2,67.6,15,0.0,7,18.98,1.0
1,0,1.0,7,56.0,0.0,2,0.0,0.0,7.0,3.3,1.2,67.6,20,0.0,7,18.98,0.79
1,0,1.0,7,56.0,0.0,2,0.0,0.0,7.0,6.6,1.2,67.6,20,0.0,7,18.98,0.74
1,0,1.0,7,56.0,0.0,2,0.0,0.0,7.0,9.9,1.2,67.6,20,0.0,7,18.98,0.68
1,0,1.0,7,56.0,0.0,2,0.0,0.0,7.0,13.2,1.2,67.6,20,0.0,7,18.98,0.86
18,0,1.0,5,28.0,0.0,2,0.0,0.0,9.0,0.0,0.13,61.46,15,0.0,7,30.88,2.05
18,0,1.0,5,28.0,0.0,2,0.0,0.0,9.0,2.0,0.13,60.66,6,0.0,7,30.04,2.01
18,0,1.0,5,28.0,0.0,2,0.0,0.0,9.0,4.0,0.13,59.71,6,0.0,7,30.35,1.53
18,0,1.0,5,28.0,0.0,2,0.0,0.0,9.0,6.0,0.13,60.45,6,0.0,7,30.57,1.42
18,0,1.0,5,28.0,0.0,2,0.0,0.0,9.0,8.0,0.13,60.07,6,0.0,7,30.88,1.24
18,0,1.0,5,28.0,0.0,2,0.0,0.0,9.0,10.0,0.13,59.45,6,0.0,7,31.04,0.75
12,1,0.0,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.0,74.0,15,0.0,7,21.56,0.1
12,1,1.0,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.0,74.0,15,0.0,7,18.21,0.11
12,1,1.0,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.0,74.0,15,0.0,7,18.21,0.06
