V4_Ventilation Day,V1_Ventilation Type,Additive_3,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Initial C/N (%), Composting Method,Additive_1,Application Rate (%DW),Turning times,Additive_4,Compost volume (m3),Initial GI (%),V5_Ventilation rate (L/min/kg iniDW),Material_Main,Initial Moisture Content (%),M1_is Enclosed,Material_2,Initial pH,Period (d),Additive_2,Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
37.141843494979206,2.0,1.0,1.4714894308417248,1009.6540047473836,12.99662940364017,1.0,21.0,9.523703910103533,0.73062355121622,1.0,20.39537177974863,1.2680610710187676,0.04168658683332769,1,83.24608385511928,0.0,4.0,4.810640185804626,80.89427838288421,0.0,2.0,2.5354836378199868,58.05654794073926,94.86797,10.592298791087005,0.4626965820789337,0.1166102205458973,18.556097090124396
32.0,2.0,1.0,40.591028399618125,1118.0,39.86183122117504,0.0,2.0,22.54263608608977,31.0,1.0,9.23655458291973,0.0,0.09007840723535554,1,78.15039240726188,1.0,6.0,11.910348396441417,86.0,9.0,9.0,8.36517020920793,54.777017120794,93.536152,17.26414335160674,0.7229874134063721,0.1584176077805026,20.146991811789828
64.29340874147526,2.0,1.0,59.22067896092774,469.53672636515586,30.76203730873442,0.0,6.0,26.288774191054525,30.0,1.0,16.57642164008746,0.05869779861130784,0.817496295490594,1,83.48662526366809,1.0,3.0,11.681459707895112,98.27633272580123,0.0,2.0,1.3659159034266994,49.676112938840575,91.83263900000003,15.451529010587823,0.8314711451530457,0.17606686737661326,21.47984322727308
48.48406479610898,1.0,6.0,25.733911413289675,675.00026883076,20.595846341433003,1.0,23.0,1.477278746026782,0.0,1.0,24.820094162413127,80.68711002624065,0.06982549489618871,1,68.91902367759266,1.0,5.0,6.989057944881365,114.00240214965848,2.0,9.0,3.150441961493698,60.39974666610382,93.39260600000001,8.636463979101974,0.47200024127960205,0.14453615163745093,20.206987394637856
51.66596669059004,1.0,4.0,56.5574565708758,843.2759570037523,16.98966322935558,1.0,4.0,17.36884149185423,8.7960562415581,1.0,4.078542763452091,80.03594851693258,0.08437881604377248,1,82.08211560404479,1.0,5.0,9.469509300586402,69.16441140495506,0.0,9.0,3.586580733873464,30.16576913100652,94.45031300000002,14.871500869029504,0.8665708899497986,0.1727633867786322,21.729553403011202
3.0,2.0,6.0,56.88331754995006,296.0,20.806098396903316,0.0,7.0,11.157953142679663,30.0,1.0,17.591280332136144,80.7,0.1361538163708309,1,53.98261561463881,1.0,4.0,6.934896822557433,98.03661403318075,15.0,4.0,1.7708042800166341,43.203819809860136,93.73616300000002,15.490626030988455,0.7661804556846619,0.17411749943247948,20.624747881730986
57.000000000000014,0.0,6.0,38.78659208234457,838.0,45.42321556193927,1.0,18.0,6.4730989257105644,31.0,1.0,16.14261773986786,0.0,0.12294340231274689,1,71.38028172605868,0.0,2.0,6.994604382531216,26.0,3.0,3.0,6.019285228465607,61.576856131784766,92.744514,6.441758229291578,0.7378121018409729,0.157729284870399,23.789372505286618
50.0,0.0,3.0,0.2117299743376286,96.0,31.096411252957985,0.0,2.0,37.13304849482665,14.0,1.0,7.253508916757776,0.0,1.4657474774064014,1,56.29519809604308,1.0,4.0,6.755499264004966,78.0,3.0,0.0,2.4209904691616613,53.05583221193143,92.32574000000001,12.090817573275272,0.5997583866119385,0.19485167766226102,20.35475934453003
3.9249138536471753,1.0,1.0,49.3500420651371,336.00529837301656,40.64850535006228,0.0,2.0,17.237270684049946,11.107258339051379,1.0,0.09710736866218239,80.69999999999999,8.177866714986028,1,43.486948905791415,1.0,13.0,10.40384946923251,131.42118777051218,11.0,2.0,8.472959799413871,48.40384022674207,92.61433199999998,15.964554226166396,0.6125386357307434,0.15904953820191703,20.688422096724118
56.80650076187818,2.0,4.0,40.076111937615,1206.0027278261616,38.79856215876737,2.0,33.0,16.560311596574024,24.0,1.0,25.24833976496874,2.4427598351593014,0.3061432969039035,1,71.69278076377758,1.0,3.0,6.745784200104535,54.896118969528985,7.0,2.0,5.963119714255867,49.373440637573225,93.98412,12.744875411051776,0.6459132432937622,0.15747677740471114,23.37613638604894
