Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),N2O-N loss (%)
1,0,1,28.0,0,28.0,0.0,0,25.0,5,0.01,0.28,65.0,0.01279
1,0,1,28.0,0,28.0,0.0,0,14.28571,5,0.01,0.28,67.0,0.01041
1,0,1,28.0,0,28.0,0.0,0,0.0,5,0.01,0.28,65.0,0.00707
1,0,1,28.0,0,28.0,0.0,0,0.0,1,0.01,0.28,65.0,0.00779
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.24,64.1,1.6
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.24,71.3,1.5
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.24,75.7,2.1
8,0,1,31.0,0,30.0,0.0,1,1.49932,5,0.95,0.312,69.47,0.54
8,1,0,70.0,0,0.0,0.0,9,0.0,5,1.2,0.0,64.0,0.81
8,1,1,70.0,0,0.0,0.0,9,0.0,5,1.2,0.0,64.0,0.96
8,1,0,70.0,0,0.0,0.0,5,0.0,5,1.2,0.0,64.0,1.05
8,1,1,70.0,0,0.0,0.0,5,0.0,5,1.2,0.0,64.0,1.07
7,0,1,39.0,4,39.0,20.0,7,0.0,5,0.288,0.455,68.07,1.11
7,0,1,39.0,4,39.0,20.0,7,0.0,4,0.288,0.455,68.53,1.37
8,2,0,55.0,0,0.0,0.0,7,0.0,0,11.25,0.0,60.04,0.0397
8,2,0,55.0,0,0.0,0.0,12,0.0,0,11.25,0.0,60.04,0.0169
7,2,0,43.4613,0,23.19054,3.90898,11,4.45139,0,1.00714,0.74405,63.94368,0.018
7,2,0,43.4613,7,23.19054,3.90898,6,4.45139,0,1.00714,0.74405,63.94368,0.0066
7,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,72.1,0.5
8,0,1,56.0,0,0.0,0.0,7,0.0,5,1.2,0.0,67.6,1.0
8,0,1,56.0,0,0.0,0.0,7,3.3,5,1.2,0.0,67.6,0.79
8,0,1,56.0,0,0.0,0.0,7,6.6,5,1.2,0.0,67.6,0.74
8,0,1,56.0,0,0.0,0.0,7,9.9,5,1.2,0.0,67.6,0.68
8,0,1,56.0,0,0.0,0.0,7,13.2,5,1.2,0.0,67.6,0.86
6,0,1,28.0,0,0.0,0.0,8,0.0,5,0.13,0.0,61.4561,2.05
6,0,1,28.0,0,0.0,0.0,8,2.0,5,0.13,0.0,60.661,2.01
6,0,1,28.0,0,0.0,0.0,8,4.0,5,0.13,0.0,59.7109,1.53
6,0,1,28.0,0,0.0,0.0,8,6.0,5,0.13,0.0,60.4548,1.42
6,0,1,28.0,0,0.0,0.0,8,8.0,5,0.13,0.0,60.0684,1.24
6,0,1,28.0,0,0.0,0.0,8,10.0,5,0.13,0.0,59.4546,0.75
0,1,0,64.0,0,0.0,0.0,11,0.0,5,1.0,0.0,74.0,0.1
0,1,1,64.0,0,0.0,0.0,11,0.0,5,1.0,0.0,74.0,0.11
0,1,1,64.0,0,0.0,0.0,11,0.0,5,1.0,0.0,74.0,0.06
0,1,1,64.0,0,64.0,0.0,11,0.0,5,1.0,1.157,74.0,0.06
6,0,1,25.0,5,25.0,30.0,0,0.0,5,0.06,0.08242,60.0,0.69491
6,0,1,25.0,5,25.0,30.0,0,0.0,5,0.06,0.82645,60.0,0.26553
6,0,1,25.0,5,25.0,30.0,0,0.0,5,0.06,1.64384,60.0,0.16811
8,1,0,109.6,0,0.0,0.0,0,0.0,5,0.4,0.0,77.53,0.02
8,1,0,109.6,0,0.0,0.0,0,0.0,0,0.4,0.0,66.71,1.1
8,1,0,109.6,0,0.0,0.0,0,0.0,0,0.4,0.0,66.36,1.2
8,1,0,53.1,0,0.0,0.0,0,0.0,0,2.39681,0.0,67.68,0.004
8,1,0,78.9,0,0.0,0.0,0,0.0,0,0.07908,0.0,66.26,0.033
7,0,1,50.0,0,50.0,0.0,0,0.0,4,0.03,0.22286,72.13,0.05951
7,0,1,50.0,0,50.0,0.0,0,0.0,5,0.03,0.20526,69.74,0.04235
7,0,1,50.0,0,50.0,0.0,0,0.0,2,0.03,0.21455,71.05,0.0336
8,0,1,28.0,5,28.0,30.0,2,0.0,5,0.07122,0.8589,60.0,0.136
8,0,1,28.0,5,28.0,30.0,2,0.0,5,0.07122,0.92562,60.0,0.214
8,0,1,28.0,5,28.0,30.0,2,0.0,5,0.07122,0.90323,60.0,0.279
8,0,1,28.0,5,28.0,30.0,2,0.0,5,0.07122,0.90909,60.0,0.315
2,0,1,28.0,6,28.0,30.0,4,0.0,5,0.06,1.20727,66.9,1.68
2,0,1,28.0,6,28.0,30.0,4,0.0,0,0.06,0.96434,58.6,0.69
2,0,1,28.0,6,28.0,30.0,4,0.0,0,0.06,0.85547,53.1,1.34
2,0,1,28.0,6,28.0,30.0,4,0.0,0,0.06,0.76023,47.5,2.36
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.9
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,1.1
8,2,1,56.0,0,56.0,0.0,0,0.0,5,1.37,0.108,69.4,1.13
8,2,1,56.0,0,56.0,0.0,0,1.7301,5,1.37,0.108,71.1,1.06
8,2,1,56.0,0,56.0,0.0,0,1.38889,5,1.37,0.108,71.2,1.02
8,2,1,56.0,0,56.0,0.0,0,3.7037,5,1.37,0.108,67.6,0.71
8,2,1,56.0,0,56.0,0.0,0,0.32468,5,1.37,0.108,69.2,0.81
8,2,1,56.0,0,56.0,0.0,0,2.06897,4,1.37,0.108,71.0,0.77
8,2,1,56.0,0,56.0,0.0,0,0.0,5,1.37,0.108,70.3,1.2
8,2,1,56.0,0,56.0,0.0,0,2.83688,4,1.18,0.108,71.8,1.03
0,1,0,64.0,0,0.0,0.0,0,0.0,5,1.1,0.0,74.27405,0.11274
0,1,1,64.0,0,0.0,0.0,0,0.0,5,1.1,0.0,74.27405,0.11492
0,1,1,64.0,0,0.0,0.0,11,0.0,5,1.1,0.0,74.27405,0.06709
0,1,1,43.4613,9,23.19054,3.90898,11,4.45139,5,1.00714,0.74405,63.94368,0.06553
6,0,1,30.0,8,30.0,10.0,4,0.0,5,0.1,0.00833,60.0,0.024
6,0,1,30.0,8,30.0,10.0,4,10.0,5,0.1,0.00833,60.0,0.016
6,0,1,30.0,8,30.0,10.0,4,10.0,5,0.1,0.00833,60.0,0.006
0,0,1,20.0,0,20.0,0.0,0,0.0,5,0.06,0.21,60.22,0.4004
0,0,1,20.0,2,20.0,10.0,0,0.0,5,0.06,0.42,60.22,0.534
0,0,1,20.0,3,20.0,5.0,0,0.0,5,0.06,0.84,60.22,0.6341
8,0,1,56.0,0,0.0,0.0,8,0.0,5,0.1,0.0,65.01262,0.72
8,0,1,56.0,0,0.0,0.0,8,15.0,5,0.1,0.0,61.16171,0.73
8,0,1,56.0,0,0.0,0.0,8,10.0,5,0.1,0.0,61.16171,0.45
8,0,1,56.0,0,0.0,0.0,8,25.0,5,0.1,0.0,60.51,0.55
0,0,1,21.0,0,21.0,0.0,0,0.0,5,0.06,0.21,55.0,0.00623
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.00162
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.00224
0,0,1,31.0,0,31.0,0.0,2,0.0,5,0.06,0.09384,65.4,0.74
0,0,1,31.0,0,31.0,0.0,2,0.0,5,0.06,0.15639,65.4,0.83
0,0,1,31.0,4,31.0,10.0,2,0.0,5,0.06,0.28151,65.4,0.93
7,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,72.1,0.88
7,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,72.1,1.11
7,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,72.1,0.6
7,0,1,35.0,0,35.0,0.0,5,12.5,5,0.06,0.2,72.1,0.24
7,0,1,35.0,0,35.0,0.0,5,12.5,5,0.06,0.2,72.1,0.23
8,0,1,21.0,0,21.0,0.0,1,0.0,5,1.2096,0.24,59.81,2.3
8,0,1,21.0,0,21.0,0.0,1,0.0,0,1.2096,0.24,60.21,1.24
5,0,0,45.0,0,0.0,0.0,7,0.0,5,0.06,0.0,66.014,0.41
