Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TN loss (%)
5,1,0,35.0,0,0.0,0.0,7,6.06463,11,1.0,0.0,67.0219,10.5
5,1,0,35.0,0,0.0,0.0,7,8.86923,11,1.0,0.0,66.1752,9.0
5,1,0,35.0,0,0.0,0.0,7,11.87687,11,1.0,0.0,66.3211,4.2
10,1,0,43.4613,0,23.19054,3.90898,12,4.45139,7,1.00714,0.74405,63.94368,42.8
10,1,0,43.4613,0,23.19054,3.90898,12,4.45139,7,1.00714,0.74405,63.94368,41.4
10,1,0,112.0,0,0.0,0.0,12,0.0,7,0.5685,0.0,64.9,46.54838
10,1,0,112.0,0,0.0,0.0,12,2.8169,7,0.12057,0.0,64.5,34.81425
7,0,1,54.0,0,54.0,0.0,7,0.0,11,0.2,0.05,65.0,53.83
7,0,1,54.0,0,54.0,0.0,7,5.0,11,0.20418,0.05,65.0,47.08
10,1,1,43.4613,0,23.19054,3.90898,8,4.45139,7,1.00714,0.74405,63.94368,36.8405
10,1,1,43.4613,0,23.19054,3.90898,8,4.45139,7,1.00714,0.74405,63.94368,26.4139
10,1,1,56.0,0,28.0,0.0,8,16.95419,7,0.4,5e-05,65.0,16.5561
10,1,1,56.0,0,28.0,0.0,8,25.43129,7,0.4,4e-05,65.0,12.5751
10,1,1,43.4613,0,23.19054,3.90898,8,4.45139,7,1.00714,0.74405,63.94368,12.7014
10,1,1,43.4613,0,23.19054,3.90898,8,4.45139,7,1.00714,0.74405,63.94368,9.85783
10,1,1,43.4613,0,23.19054,3.90898,8,4.45139,7,1.00714,0.74405,63.94368,18.3255
3,0,1,35.0,0,35.0,0.0,9,2.25,7,0.02,0.5,68.712,44.2829
3,0,1,35.0,0,35.0,0.0,9,1.8209,7,0.02,0.5,68.712,0.2907
3,0,1,35.0,0,35.0,0.0,9,2.5709,7,0.02,0.5,68.712,19.0891
3,0,1,35.0,0,35.0,0.0,9,3.3209,7,0.02,0.5,66.926,27.3256
3,0,1,35.0,0,35.0,0.0,9,4.0709,7,0.02,0.5,65.46,47.9651
10,0,1,40.0,10,30.0,30.0,6,0.0,11,0.10561,7.69231,64.54545,53.1
10,0,1,40.0,10,30.0,30.0,6,6.0,11,0.26354,7.31707,63.55556,36.2
10,0,1,40.0,10,30.0,30.0,6,15.0,11,0.2447,6.81818,62.06897,46.5
