Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),CH4-C loss (%)
4,0,0,45.0,0,0.0,0.0,7,0.0,5,0.06,0.0,66.014,0.19
7,0,1,70.0,0,0.0,0.0,4,0.0,5,1.2096,0.0,63.6,0.24
7,0,1,70.0,0,70.0,0.0,4,0.0,5,1.2096,0.18,63.6,0.32
7,0,1,70.0,0,70.0,0.0,4,0.0,5,1.2096,0.36,63.6,0.09
7,0,1,70.0,0,70.0,0.0,4,0.0,5,1.2096,0.54,63.6,0.01
7,0,1,43.4613,4,23.19054,3.90898,4,4.45139,5,1.00714,0.74405,63.94368,0.03
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.08564
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.17394
5,0,1,31.0,0,31.0,0.0,0,0.0,5,0.01,0.48,71.0,0.03724
5,0,1,31.0,0,31.0,0.0,0,0.0,5,0.01,0.23,71.0,0.03629
5,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.00574
5,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.00447
6,0,1,45.0,7,45.0,20.0,8,0.0,5,0.12,0.95053,65.0,0.14
6,0,1,45.0,7,45.0,20.0,8,5.0,5,0.12,0.93677,65.0,0.06
6,0,1,45.0,7,45.0,20.0,8,1.0,5,0.12,0.95053,65.0,0.05
6,0,1,45.0,7,45.0,20.0,8,1.0,5,0.12,0.95053,65.0,0.02
6,0,1,45.0,7,45.0,20.0,8,3.0,5,0.12,0.92712,65.0,0.04
6,0,1,45.0,7,45.0,20.0,8,3.0,5,0.12,0.92712,65.0,0.08
6,0,1,45.0,7,45.0,20.0,8,5.0,5,0.12,0.93677,65.0,0.04
6,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.3,72.86,0.4
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.002
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.0007
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.0007
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.0003
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.0017
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.0012
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.0017
0,1,0,90.0,0,0.0,0.0,0,0.0,4,0.02069,0.0,69.014,0.05
0,1,0,90.0,0,0.0,0.0,0,0.0,4,0.02069,0.0,69.014,0.03
