Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),NH3-N loss (%)
8,0,1,22.0,0,22.0,0.0,0,0.0,5,0.002,0.55667,62.5648,11.7777
8,0,1,22.0,0,22.0,0.0,0,0.0,0,0.002,0.52375,61.575,14.7074
8,0,1,22.0,0,22.0,0.0,0,0.0,4,0.002,0.56367,63.1761,29.8424
8,0,1,22.0,0,22.0,0.0,0,0.0,5,0.002,0.36067,57.5744,9.1448
8,0,1,22.0,0,22.0,0.0,0,0.0,5,0.002,0.52375,61.183,7.9158
8,0,1,22.0,0,22.0,0.0,0,0.0,5,0.002,0.3883,60.5878,5.0544
8,0,1,22.0,0,22.0,0.0,0,0.0,5,0.002,0.3883,59.9182,14.8176
8,0,1,22.0,0,22.0,0.0,0,0.0,5,0.002,0.3883,61.0342,23.2875
8,0,1,43.4613,8,23.19054,3.90898,0,4.45139,4,1.00714,0.74405,63.94368,2.66375
8,0,1,43.4613,8,23.19054,3.90898,0,4.45139,4,1.00714,0.74405,63.94368,1.57823
8,0,1,43.4613,8,23.19054,3.90898,0,4.45139,4,1.00714,0.74405,63.94368,1.86471
8,0,1,43.4613,8,23.19054,3.90898,0,4.45139,4,1.00714,0.74405,63.94368,3.84607
9,2,1,56.0,0,56.0,0.0,0,0.0,5,1.37,0.108,69.4,16.5
9,2,1,56.0,0,56.0,0.0,0,1.7301,5,1.37,0.108,71.1,27.5
9,2,1,56.0,0,56.0,0.0,0,0.32468,5,1.37,0.108,69.2,36.2
9,2,1,56.0,0,56.0,0.0,0,0.0,5,1.37,0.108,70.3,24.8
9,2,1,56.0,0,56.0,0.0,0,2.83688,4,1.18,0.108,71.8,24.9
9,0,1,31.6,0,31.6,0.0,2,0.0,5,0.3,0.06349,68.5,4.37643
7,0,1,31.6,0,31.6,0.0,2,0.0,5,0.3,0.07479,68.8,10.20627
1,0,1,30.9,0,30.9,0.0,2,0.0,5,0.3,0.13333,62.5,0.31793
3,0,1,31.7,0,31.7,0.0,2,0.0,4,0.3,0.17423,49.3,0.01038
3,0,1,31.7,0,31.7,0.0,2,0.0,4,0.3,0.14742,59.3,0.00975
3,0,1,43.4613,0,23.19054,3.90898,2,4.45139,4,1.00714,0.74405,63.94368,0.09463
1,0,1,31.6,0,31.6,0.0,2,0.0,4,0.3,0.10315,69.3,0.5021
1,0,1,43.4613,0,23.19054,3.90898,2,4.45139,4,1.00714,0.74405,63.94368,0.00133
5,0,1,30.7,0,30.7,0.0,2,0.0,5,0.3,0.09,50.0,0.04284
5,0,1,30.8,0,30.8,0.0,2,0.0,5,0.3,0.14399,53.7,0.21616
8,0,1,30.9,0,30.9,0.0,2,0.0,5,0.3,0.16469,49.4,2.09466
1,0,1,31.6,0,31.6,0.0,2,0.0,5,0.3,0.1738,62.6,0.53156
6,0,1,30.7,0,30.7,0.0,2,0.0,4,0.3,0.17962,60.1,0.7338
6,0,1,43.4613,0,23.19054,3.90898,2,4.45139,4,1.00714,0.74405,63.94368,0.00779
1,0,1,43.4613,0,23.19054,3.90898,2,4.45139,4,1.00714,0.74405,63.94368,0.07871
0,0,1,66.0,0,66.0,0.0,10,0.0,5,0.028,0.4,72.7,23.7467
0,0,1,66.0,0,66.0,0.0,10,0.0,5,0.028,0.4,71.7,20.78947
0,0,1,66.0,0,66.0,0.0,10,0.0,5,0.028,0.2,71.7,17.63158
0,0,1,66.0,0,66.0,0.0,10,0.0,4,0.028,0.2,68.8,11.45833
0,0,1,66.0,0,66.0,0.0,10,0.0,4,0.028,0.2,69.5,9.36556
0,0,1,66.0,0,66.0,0.0,10,0.0,4,0.028,0.2,67.3,13.15789
0,0,1,66.0,0,66.0,0.0,10,0.0,5,0.028,0.2,71.8,18.99736
0,1,0,64.0,0,0.0,0.0,0,0.0,5,1.1,0.0,74.27405,8.84253
0,1,1,64.0,0,0.0,0.0,0,0.0,5,1.1,0.0,74.27405,8.03866
0,1,1,64.0,0,0.0,0.0,11,0.0,5,1.1,0.0,74.27405,17.68506
0,1,1,43.4613,12,23.19054,3.90898,11,4.45139,5,1.00714,0.74405,63.94368,24.11599
7,0,1,30.0,11,30.0,10.0,4,0.0,5,0.1,0.00833,60.0,8.8
7,0,1,30.0,11,30.0,10.0,4,10.0,5,0.1,0.00833,60.0,8.6
7,0,1,30.0,11,30.0,10.0,4,10.0,5,0.1,0.00833,60.0,6.4
0,0,1,20.0,0,20.0,0.0,0,0.0,5,0.06,0.21,60.22,17.2859
0,0,1,20.0,2,20.0,10.0,0,0.0,5,0.06,0.42,60.22,13.0478
0,0,1,20.0,3,20.0,5.0,0,0.0,5,0.06,0.84,60.22,13.9488
9,0,1,56.0,0,0.0,0.0,8,0.0,5,0.1,0.0,65.01262,20.65
9,0,1,56.0,0,0.0,0.0,8,15.0,5,0.1,0.0,61.16171,28.11
9,0,1,56.0,0,0.0,0.0,8,10.0,5,0.1,0.0,61.16171,13.86
9,0,1,56.0,0,0.0,0.0,8,25.0,5,0.1,0.0,60.51,19.21
0,0,1,21.0,0,21.0,0.0,0,0.0,5,0.06,0.21,55.0,14.75511
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,8.92663
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,6.29648
8,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,72.1,29.52
8,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,72.1,24.68
8,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,72.1,21.16
8,0,1,35.0,0,35.0,0.0,5,12.5,5,0.06,0.2,72.1,32.03
8,0,1,35.0,0,35.0,0.0,5,12.5,5,0.06,0.2,72.1,22.91
9,0,1,21.0,0,21.0,0.0,1,0.0,5,1.2096,0.24,59.81,17.13
9,0,1,21.0,0,21.0,0.0,1,0.0,0,1.2096,0.24,60.21,11.11
7,0,1,15.0,0,15.0,0.0,14,0.0,4,0.018,0.9532,65.03,23.4667
7,0,1,15.0,0,15.0,0.0,14,29.0,4,0.018,0.90506,63.17,17.6
7,0,1,15.0,0,15.0,0.0,14,29.0,4,0.018,0.88629,62.39,21.2267
7,0,1,15.0,0,15.0,0.0,14,29.0,4,0.018,0.89127,62.6,18.6667
7,0,1,15.0,0,15.0,0.0,14,29.0,4,0.018,0.8765,61.97,19.4133
7,0,1,15.0,0,15.0,0.0,14,29.0,4,0.018,0.91149,63.43,20.6933
5,0,0,45.0,0,0.0,0.0,7,0.0,5,0.06,0.0,66.014,29.8
5,0,0,45.0,0,0.0,0.0,7,0.0,5,0.06,0.0,66.014,22.8
9,0,1,70.0,0,0.0,0.0,4,0.0,5,1.2096,0.0,63.6,18.5
9,0,1,70.0,0,70.0,0.0,4,0.0,5,1.2096,0.18,63.6,20.0
9,0,1,70.0,0,70.0,0.0,4,0.0,5,1.2096,0.36,63.6,31.5
9,0,1,43.4613,4,23.19054,3.90898,4,4.45139,5,1.00714,0.74405,63.94368,25.3
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,6.39252
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.78505
7,0,1,31.0,0,31.0,0.0,0,0.0,5,0.01,0.48,71.0,26.4179
7,0,1,31.0,0,31.0,0.0,0,0.0,5,0.01,0.23,71.0,17.5746
7,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,21.6606
7,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,16.3433
9,0,1,30.0,1,30.0,25.0,4,0.0,5,0.06,0.48,65.9,29.1
9,0,1,30.0,1,30.0,25.0,4,10.0,5,0.06,0.48,65.44582,22.8
9,0,1,30.0,1,30.0,25.0,4,10.2,5,0.06,0.48,65.44582,21.6
9,0,1,30.0,1,30.0,25.0,4,5.2,5,0.06,0.48,62.90682,24.6
9,1,0,54.0,0,0.0,0.0,7,0.0,5,0.13,0.0,67.214,11.4
9,1,0,54.0,0,0.0,0.0,7,15.0,5,0.13,0.0,61.36171,10.1
9,1,0,54.0,0,0.0,0.0,7,15.0,5,0.13,0.0,61.36171,9.0
9,1,0,54.0,0,0.0,0.0,7,0.0,5,0.13,0.0,67.214,20.5
9,1,0,54.0,0,0.0,0.0,7,6.0,5,0.13,0.0,61.88,16.4
9,1,0,54.0,0,0.0,0.0,7,6.0,5,0.13,0.0,61.88,15.7
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,18.91355
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,7.0952
8,0,1,45.0,11,45.0,20.0,8,0.0,5,0.12,0.95053,65.0,7.3
8,0,1,45.0,11,45.0,20.0,8,5.0,5,0.12,0.93677,65.0,4.09
8,0,1,45.0,11,45.0,20.0,8,1.0,5,0.12,0.95053,65.0,3.58
8,0,1,45.0,11,45.0,20.0,8,1.0,5,0.12,0.95053,65.0,0.8
8,0,1,45.0,11,45.0,20.0,8,3.0,5,0.12,0.92712,65.0,0.98
8,0,1,45.0,11,45.0,20.0,8,3.0,5,0.12,0.92712,65.0,1.57
8,0,1,45.0,11,45.0,20.0,8,5.0,5,0.12,0.93677,65.0,2.89
9,0,1,50.0,0,50.0,0.0,0,0.0,5,0.1,0.3,60.0,2.48
9,0,1,50.0,0,50.0,0.0,0,10.0,5,0.1,0.3,60.0,1.57
9,0,1,50.0,0,50.0,0.0,0,10.0,5,0.1,0.3,60.0,1.74
9,0,1,50.0,0,50.0,0.0,0,20.0,5,0.1,0.3,60.0,0.86
8,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.1,72.86,18.4
8,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,72.86,21.2
8,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.3,72.86,19.1
9,0,1,28.0,0,28.0,0.0,3,0.75122,5,0.06,0.25,57.6,17.9
9,0,1,28.0,0,28.0,0.0,3,0.75122,5,0.06,0.25,57.6,16.1
9,0,1,28.0,0,28.0,0.0,3,0.75122,5,0.06,0.25,57.6,18.4
9,0,1,28.0,0,28.0,0.0,3,0.75122,5,0.06,0.25,57.6,15.8
9,0,1,28.0,0,28.0,0.0,3,0.75122,5,0.06,0.25,57.6,17.2
0,1,0,90.0,0,0.0,0.0,0,0.0,5,0.02069,0.0,69.014,0.41
0,1,0,90.0,0,0.0,0.0,0,0.0,4,0.02069,0.0,69.014,0.13
0,1,0,90.0,0,0.0,0.0,0,0.0,4,0.02069,0.0,69.014,0.23
