Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),NH3-N loss (%)
0,0,1,15.0,0,6.0,0.0,0,0.0,5,0.17,0.28948,70.6,16.03774
0,0,1,15.0,0,6.0,0.0,0,3.10479,5,0.17,0.28882,70.8,14.96815
0,0,1,15.0,0,6.0,0.0,0,3.43688,5,0.17,0.28171,70.1,13.54839
0,0,1,15.0,0,6.0,0.0,0,3.68545,5,0.17,0.27867,69.8,15.16129
0,0,1,15.0,0,15.0,0.0,0,0.0,5,0.17,0.27765,71.5,14.81481
0,0,1,15.0,0,15.0,0.0,0,3.66885,5,0.17,0.28276,72.3,16.66667
0,0,1,15.0,0,15.0,0.0,0,7.0174,5,0.17,0.27016,71.3,12.9771
0,0,1,15.0,0,15.0,0.0,0,10.35227,5,0.17,0.26561,71.1,13.2
9,1,0,70.0,0,0.0,0.0,9,0.0,5,1.2,0.0,64.934,35.3
9,1,0,70.0,0,0.0,0.0,9,3.3,5,1.2,0.0,68.97,28.0
9,1,0,70.0,0,0.0,0.0,9,6.6,5,1.2,0.0,65.85171,21.2
9,1,0,70.0,0,0.0,0.0,9,9.9,5,1.2,0.0,62.58171,16.8
9,1,0,70.0,0,0.0,0.0,9,13.2,5,1.2,0.0,63.88171,14.8
9,1,0,70.0,0,0.0,0.0,9,16.5,5,1.2,0.0,65.42171,8.3
7,0,1,43.4613,6,23.19054,3.90898,6,4.45139,4,1.00714,0.74405,63.94368,12.84
8,0,1,22.0,0,22.0,0.0,10,0.00258,4,0.0035,0.44633,59.4,16.2936
8,0,1,22.0,0,22.0,0.0,10,0.00258,4,0.0035,0.38033,57.5,18.7427
8,0,1,22.0,0,22.0,0.0,10,0.0,4,0.0035,0.36184,58.2,33.8826
7,0,1,45.0,5,45.0,17.0,20,0.0,2,2.4,6.67,55.0,17.965
7,0,1,45.0,5,45.0,17.0,20,0.44444,2,2.4,6.67,55.0,3.22179
7,0,1,45.0,5,45.0,17.0,20,0.44444,2,2.4,6.67,55.0,5.63813
7,0,1,43.4613,0,23.19054,3.90898,11,4.45139,2,1.00714,0.74405,63.94368,10.351
7,0,1,43.4613,0,23.19054,3.90898,11,4.45139,2,1.00714,0.74405,63.94368,2.046
7,0,1,43.4613,0,23.19054,3.90898,11,4.45139,2,1.00714,0.74405,63.94368,2.362
3,0,1,30.0,0,30.0,0.0,4,0.0,2,0.06,0.2,60.59701,24.9
3,0,1,30.0,0,30.0,0.0,4,2.1383,2,0.06,0.2,53.94105,12.6
3,0,1,30.0,0,30.0,0.0,4,3.20088,2,0.06,0.2,54.98105,15.3
3,0,1,30.0,0,30.0,0.0,4,2.216,2,0.06,0.2,53.94105,8.9
3,0,1,30.0,0,30.0,0.0,4,2.53615,2,0.06,0.2,54.98105,8.9
3,0,1,19.0,0,19.0,0.0,8,0.0,2,0.019,10.0,70.0,16.5467
3,0,1,19.0,0,19.0,0.0,8,3.0,2,0.019,10.0,70.0,12.879
3,0,1,19.0,0,19.0,0.0,8,6.9,2,0.0143,10.0,70.0,12.879
3,0,1,19.0,0,19.0,0.0,8,9.9,2,0.0143,10.0,70.0,2.9862
9,1,0,43.4613,0,23.19054,3.90898,11,4.45139,4,1.00714,0.74405,63.94368,21.4
9,1,0,43.4613,0,23.19054,3.90898,11,4.45139,4,1.00714,0.74405,63.94368,20.7
9,1,0,112.0,0,0.0,0.0,11,0.0,4,0.5685,0.0,64.9,18.4
9,1,0,112.0,0,0.0,0.0,11,2.8169,4,0.12057,0.0,64.5,19.7
3,0,1,35.0,0,35.0,0.0,8,2.25,4,0.02,0.5,68.712,27.1028
3,0,1,35.0,0,35.0,0.0,8,1.8209,4,0.02,0.5,68.712,0.46729
3,0,1,35.0,0,35.0,0.0,8,2.5709,4,0.02,0.5,68.712,10.42991
3,0,1,35.0,0,35.0,0.0,8,3.3209,4,0.02,0.5,66.926,17.37382
3,0,1,35.0,0,35.0,0.0,8,4.0709,4,0.02,0.5,65.46,29.17756
9,0,1,40.0,10,30.0,30.0,6,0.0,5,0.10561,7.69231,64.54545,26.0
9,0,1,40.0,10,30.0,30.0,6,6.0,5,0.26354,7.31707,63.55556,11.8
9,0,1,40.0,10,30.0,30.0,6,15.0,5,0.2447,6.81818,62.06897,21.5
9,0,1,40.0,10,30.0,30.0,6,1.46082,5,0.11343,7.79221,65.17413,20.2
3,0,1,24.0,0,24.0,0.0,16,2.56049,1,0.03,0.76104,63.5,12.86
3,0,1,24.0,0,24.0,0.0,16,0.0,1,0.03,0.76815,63.5,10.23
3,0,1,43.4613,1,23.19054,3.90898,19,4.45139,5,1.00714,0.74405,63.94368,9.64912
3,0,1,43.4613,1,23.19054,3.90898,19,4.45139,5,1.00714,0.74405,63.94368,13.4503
8,0,1,56.0,0,56.0,3.0,10,0.0,5,0.13,1.11111,55.0,1.02
8,0,1,56.0,0,56.0,4.5,10,2.0,5,0.13,1.11111,55.0,0.2
8,0,1,56.0,0,56.0,0.0,10,4.0,5,0.13,1.11111,55.0,0.11
8,0,1,56.0,0,56.0,0.0,10,6.0,5,0.13,1.11111,55.0,0.11
8,0,1,56.0,0,56.0,3.0,10,8.0,5,0.13,1.11111,55.0,0.06
8,0,1,56.0,0,56.0,1.5,10,12.0,5,0.13,1.11111,55.0,0.04
8,0,1,56.0,0,56.0,0.0,10,18.0,5,0.13,1.11111,55.0,0.02
3,0,1,25.0,0,25.0,0.0,17,0.0,5,0.03,0.82386,66.0,21.2
